,smiles,lumo
278,CC(=O)C(=O)C,-0.0826
279,CC(=O)C(=N)N,-0.0515
280,CC(=O)C(=O)N,-0.0632
281,NC(=[NH2+])C([O-])=O,-0.0376
282,C(=O)(C(=O)N)N,-0.0321
283,CC(C)C(=O)C,-0.0081
284,CC(C)C(=O)N,0.0371
285,CC([NH3+])C([O-])=O,0.0174
286,CC(O)C(C)=O,-0.0258
287,CC(O)C(N)=O,0.0186
288,CC(=O)N(C)C,0.0354
289,CN(C)C(=O)N,0.0604
290,CC(C)C(C)C,0.0822
291,CC(C)C(C)O,0.0684
292,CC(O)C(C)O,0.0643
293,CC1(CCC1)C,0.0812
294,CC1(CCO1)C,0.0812
295,CC1(COC1)C,0.0728
296,CC1(CCC1)O,0.0743
297,CC1(COC1)O,0.0616
298,CC1(C)CC1O,0.083
299,CC1(O)CC1O,0.0794
300,CC1CC1(C)C,0.0887
301,CC1CC1(C)O,0.0798
302,CC1OC1(C)C,0.0923
303,CC1(CN1C)C,0.0873
304,CC1CC(=N)O1,0.0305
305,CC1CC(=O)C1,-0.0163
306,CC1CC(=O)N1,0.0387
307,CC1CC(=O)O1,0.0124
308,CN1CC(=O)C1,-0.0233
309,C1C(CC1=O)O,-0.0206
310,CC1CC(C)C1,0.0906
311,CC1CC(C)O1,0.0942
312,CC1CC(O)C1,0.0788
313,CN1CC(C1)O,0.0838
314,OC1CC(O)C1,0.0691
315,CC12CC(C1)C2,0.0984
316,CC12CC(C1)O2,0.1012
317,CC12CN(C1)C2,0.0834
318,OC12CC(C1)C2,0.0809
319,OC12CN(C1)C2,0.0682
320,C#CC(=O)C#C,-0.0898
321,C#CC(=O)C#N,-0.121
322,C(#N)C(=O)C#N,-0.1562
323,C#CC(=O)C=O,-0.1181
324,C(=O)C(=O)C#N,-0.1503
325,C(=O)C(=O)C=O,-0.1455
326,CC(C#C)C#C,0.034
327,CC(C#C)C#N,0.0116
328,CC(C#N)C#N,-0.0129
329,NC(C#C)C#N,-0.003
330,C(#N)C(C#N)N,-0.0279
331,C#CC(C#C)O,0.0039
332,OC(C#C)C#N,-0.0199
333,C(#N)C(C#N)O,-0.0464
334,CC(C=O)C#C,-0.0324
335,CC(C=O)C#N,-0.0545
336,OC(C=O)C#C,-0.0493
337,OC(C=O)C#N,-0.0733
338,CC(C=O)C=O,-0.0573
339,CN(C=N)C=O,-0.0171
340,CN(C=O)C=O,-0.0352
341,C(=O)C(C=O)O,-0.0663
342,CN=C(C#N)N,-0.0399
343,CN=C(C=O)N,-0.0605
344,CCC(=O)C#C,-0.0552
345,CCC(=O)C#N,-0.0854
346,CNC(=N)C#N,-0.0407
347,CNC(=O)C#C,-0.0243
348,COC(=O)C#C,-0.0424
349,COC(=O)C#N,-0.0717
350,C#CC(=O)CO,-0.0573
351,C(C(=O)C#N)O,-0.0881
352,CCC(=O)C=O,-0.0944
353,CNC(=N)C=O,-0.0681
354,CNC(=O)C=O,-0.0726
355,COC(=O)C=O,-0.0862
356,C(C(=O)C=O)O,-0.0953
357,CCC(=O)CC,-0.0057
358,CCC(=O)CO,-0.0073
359,CCC(=O)NC,0.0378
360,CCC(=O)OC,0.0192
361,CNC(=O)CO,0.0274
362,CNC(=O)NC,0.067
363,CNC(=O)OC,0.0662
364,COC(=O)CN,0.015
365,COC(=O)CO,0.0032
366,C(C(=O)CO)O,-0.01
367,CC(=NC)OC,0.0334
368,CC(CO)C#C,0.0553
369,CC(CO)C#N,0.035
370,CCC(C)C#C,0.0581
371,CCC(C)C#N,0.0383
372,CCC(N)C#N,0.0286
373,CCC(O)C#C,0.0332
374,CCC(O)C#N,0.0117
375,CNC(C)C#N,0.0288
376,COC(C)C#C,0.0395
377,COC(C)C#N,0.0177
378,NC(CO)C#N,0.0215
379,NCC(N)C#N,0.0266
380,NCC(O)C#N,0.0078
381,OCC(O)C#C,0.0188
382,OCC(O)C#N,-0.0038
383,CC(CO)C=O,-0.0219
384,CCC(C)C=O,-0.0181
385,CCC(O)C=O,-0.0372
386,CCN(C)C=O,0.0328
387,COC(C)C=O,-0.0276
388,OCC(O)C=O,-0.0476
389,CC(CO)CO,0.0735
390,CCC(C)CC,0.0843
391,CCC(C)CO,0.0783
392,CCC(C)OC,0.0861
393,CCC(CC)O,0.0721
394,CCC(O)CO,0.0618
395,COC(C)CO,0.079
396,C(C(CO)O)O,0.049
397,CC1(CC1)C#C,0.0571
398,CC1(CC1)C#N,0.037
399,CC1(CN1)C#C,0.0441
400,CC1(CN1)C#N,0.0226
401,CC1(CO1)C#C,0.0263
402,CC1(CO1)C#N,0.0031
403,C1CC1(C#N)N,0.029
404,C#CC1(CC1)O,0.035
405,C1CC1(C#N)O,0.0136
406,CC1(CC1)C=O,-0.0141
407,CC1(CN1)C=O,-0.0234
408,CC1(CO1)C=O,-0.0374
409,C1CC1(C=O)O,-0.0315
410,CC1(CC1)CO,0.0757
411,CC1(CO)CN1,0.0724
412,CC1(CO)CO1,0.081
413,CCC1(CC1)C,0.0859
414,CCC1(C)CO1,0.0877
415,CCC1(CC1)O,0.0723
416,CC1(CC1)OC,0.0897
417,C1CC1(CO)O,0.0639
418,CC1CCC1=O,-0.0163
419,CC1CNC1=O,0.0373
420,CC1COC1=N,0.0284
421,CC1COC1=O,0.0099
422,CC1NCC1=O,-0.0238
423,CC1OCC1=O,-0.0323
424,CN1CCC1=O,0.0394
425,NC1COC1=N,0.0196
426,NC1COC1=O,0.0012
427,OC1CCC1=O,-0.0284
428,OC1CNC1=O,0.0204
429,OC1COC1=N,0.0123
430,OC1COC1=O,-0.0058
431,CC1CCC1C,0.0842
432,CC1CCC1O,0.0751
433,CC1COC1C,0.085
434,CC1OCC1O,0.0626
435,OC1CCC1O,0.0591
436,N=C1CN=CN1,-0.0049
437,C1C=CCC1=O,-0.0164
438,C1C=CNC1=O,-0.0013
439,C1C(=O)NC=N1,-0.0182
440,C1C(=O)OC=N1,-0.0315
441,N=C1OCC=C1,-0.0302
442,C1CC(=O)C=C1,-0.0429
443,C1C=CC(=O)N1,-0.0263
444,N=C1CCCO1,0.0316
445,N=C1COCO1,0.0187
446,N=C1OCCO1,0.0548
447,C1CCC(=O)C1,-0.0124
448,C1CC(=O)NC1,0.0377
449,C1CC(=O)OC1,0.0149
450,C1COCC1=O,-0.0253
451,C1C(=O)OCO1,-0.0003
452,C1CNC(=O)N1,0.0629
453,C1COC(=O)N1,0.052
454,C1COC(=O)O1,0.0401
455,CC1=CCCC1,0.037
456,CC1=CCOC1,0.0249
457,CC1=NCCO1,0.0319
458,CC1CC=CC1,0.0313
459,CC1CN=CO1,0.0261
460,OC1CC=CC1,0.0209
461,CC1CCC=C1,0.03
462,CC1COC=N1,0.0239
463,CC1OCC=C1,0.0182
464,OC1CCC=C1,0.0142
465,CC1CCCC1,0.0828
466,CC1CCCO1,0.0868
467,CC1CCOC1,0.0839
468,CC1COCO1,0.0904
469,CC1OCCO1,0.0896
470,C1CCC(C1)O,0.0738
471,OC1CCOC1,0.0712
472,CC1C(C)C1C,0.0841
473,CC1C(C)C1O,0.0725
474,CC1C(C)N1C,0.0826
475,CC1C(O)C1O,0.0537
476,OC1C(O)C1O,0.0505
477,CC12CC1CC2,0.0951
478,CC12CC1CO2,0.0868
479,CC12CC1OC2,0.0805
480,CC12CCC1O2,0.0955
481,OC12CC1CC2,0.0834
482,OC12CC1OC2,0.0706
483,C#CC#CC#C,-0.0565
484,C#CC#CC#N,-0.085
485,C(#CC#N)C#N,-0.1164
486,C#CCCC#C,0.0391
487,C#CCCC#N,0.0193
488,C(CC#N)C#N,-0.0013
489,C#CC#CC=O,-0.0922
490,C(=O)C#CC#N,-0.1211
491,C(=O)C#CC=O,-0.0927
492,N=COCC#C,0.0135
493,N=COCC#N,-0.0071
494,C#CCCC=O,-0.0302
495,C(CC#N)C=O,-0.0464
496,C#CCNC=O,0.0191
497,C(C#N)NC=O,-0.0017
498,C#CCOC=O,-0.0051
499,C(C#N)OC=O,-0.0259
500,N=COCC=O,-0.0461
501,C(CC=O)C=O,-0.0386
502,C(C=O)NC=O,-0.0377
503,C(C=O)OC=O,-0.0513
504,CC#CC#CC,0.0026
505,CC#CCC#C,0.0422
506,CC#CCC#N,0.0206
507,CC#CCC=O,-0.0269
508,CN=CNC=O,-0.0172
509,CN=COC=O,-0.0239
510,CCC#CC#C,-0.0092
511,CCC#CC#N,-0.0374
512,C#CC#CCO,-0.024
513,C(C#CC#N)O,-0.0526
514,CCC#CC=O,-0.0579
515,C(C#CC=O)O,-0.0625
516,CCC#CCC,0.0588
517,CCC#CCO,0.0372
518,C(C#CCO)O,0.0292
519,CCN=COC,0.0282
520,CC#CCCO,0.0619
521,CCCC#CC,0.0646
522,CC#CCOC,0.0413
523,CCOC=NC,0.0272
524,CCCCC#C,0.0587
525,CCCCC#N,0.0376
526,CCNCC#N,0.023
527,CCOCC#C,0.0346
528,CCOCC#N,0.0109
529,COCCC#C,0.0547
530,COCCC#N,0.0324
531,C#CCCCO,0.0564
532,C(CC#N)CO,0.0354
533,CCCCC=O,-0.0188
534,CCCNC=O,0.034
535,CCCOC=O,0.0095
536,CCOCC=O,-0.027
537,COCCC=O,-0.0258
538,C(CC=O)CO,-0.0209
539,C(CO)NC=O,0.0352
540,OCCOC=N,0.0147
541,C(COC=O)O,0.0033
542,CCCCCC,0.0917
543,CCCCCO,0.0813
544,CCCCOC,0.0912
545,CCCOCC,0.0928
546,CCOCCO,0.0832
547,COCCCO,0.078
548,COCCOC,0.0848
549,C(CCO)CO,0.0773
550,C#CC1CCC1,0.0501
551,C#CC1CCO1,0.0206
552,C#CC1COC1,0.0374
553,C1CC(C1)C#N,0.0282
554,N#CC1CCN1,0.0144
555,N#CC1CCO1,-0.0024
556,C1C(CO1)C#N,0.0136
557,C1CC(C1)C=O,-0.023
558,O=CC1CCO1,-0.0357
559,C1C(CO1)C=O,-0.0341
560,C1CN(C1)C=O,0.0265
561,CN=C1CCO1,0.0325
562,CCC1CCC1,0.0897
563,CCC1CCO1,0.087
564,CCC1COC1,0.0778
565,COC1CCC1,0.0871
566,COC1COC1,0.0697
567,C1CC(C1)CO,0.0775
568,OCC1CCO1,0.0698
569,C1C(CO1)CO,0.0686
570,C#CCC1CC1,0.0556
571,C#CCC1CO1,0.0484
572,C#CCN1CC1,0.0381
573,C1CC1CC#N,0.0346
574,N#CCC1CN1,0.0237
575,N#CCC1CO1,0.0256
576,C1CN1CC#N,0.0199
577,N=COC1CC1,0.0211
578,C1CC1CC=O,-0.0201
579,O=CCC1CN1,-0.0268
580,O=CCC1CO1,-0.0285
581,C1CN1CC=O,-0.0251
582,C1CC1NC=O,0.0288
583,C1CC1OC=O,0.0022
584,CC#CC1CC1,0.0572
585,CC#CC1CN1,0.0408
586,CC#CC1CO1,0.0288
587,CCCC1CC1,0.0954
588,CCCC1CO1,0.0961
589,CCCN1CC1,0.0931
590,CCOC1CC1,0.0952
591,COCC1CC1,0.0923
592,COCC1CN1,0.0781
593,COCC1CO1,0.0832
594,C1CC1CCO,0.0807
595,OCCC1CO1,0.0771
596,C1CN1CCO,0.0883
597,CC1CC1C#C,0.0508
598,CC1CC1C#N,0.0307
599,CC1NC1C#C,0.0378
600,CC1NC1C#N,0.016
601,CC1OC1C#C,0.0209
602,CC1OC1C#N,-0.0034
603,CN1CC1C#C,0.0338
604,CN1CC1C#N,0.0112
605,OC1CC1C#C,0.0359
606,OC1CC1C#N,0.0249
607,CC1CC1C=O,-0.0158
608,CC1CN1C=O,0.0039
609,CC1NC1C=O,-0.0262
610,CC1OC1C=O,-0.0431
611,CN1CC1C=O,-0.0384
612,OC1CC1C=O,-0.0148
613,CC1CC1CO,0.0794
614,CC1NC1CO,0.072
615,CC1OC1CO,0.0801
616,CCC1CC1C,0.094
617,CCC1CC1O,0.0822
618,CCC1CN1C,0.0865
619,CCC1OC1C,0.0971
620,CCN1CC1C,0.0929
621,CN1CC1CO,0.0695
622,COC1CC1C,0.093
623,COC1CC1O,0.0739
624,OCC1CC1O,0.079
625,CC(=O)C1CC1,-0.0086
626,CC(=O)C1CN1,-0.0237
627,CC(=O)C1CO1,-0.027
628,CC(=O)N1CC1,0.0075
629,C1CC1C(=O)N,0.033
630,NC(=O)C1CN1,0.0176
631,NC(=O)C1CO1,0.012
632,C1CN1C(=O)N,0.0373
633,CC(C)C1CC1,0.0939
634,CC(C)C1CO1,0.0883
635,CC(C)N1CC1,0.0898
636,CC(O)C1CC1,0.0791
637,CC(O)C1CN1,0.0627
638,CC(O)C1CO1,0.0859
639,C1CC2(C1)CC2,0.0944
640,C1CC12CCO2,0.0811
641,C1CC12COC2,0.0696
642,C1C2(N1)COC2,0.0588
643,C1CC2(C1)CO2,0.0764
644,C1C2(CO1)CO2,0.0656
645,C1C2CC1C=C2,0.0181
646,C1C2OC1C=C2,0.0008
647,C1C2CC1CC2,0.0922
648,C1C2CC1OC2,0.0984
649,C1C2CCC1O2,0.0923
650,CC1C2CC1C2,0.1047
651,CC1C2CC1O2,0.0894
652,OC1C2CC1C2,0.0751
653,OC1C2CC1O2,0.0631
654,C1COCC=C1,0.0243
655,C1CCC=CC1,0.0337
656,C1CN=COC1,0.0278
657,C1CCCCC1,0.087
658,C1CCOCC1,0.0894
659,C1COCCO1,0.0954
660,C1COCOC1,0.0912
661,C1CC2CCC12,0.0842
662,C1CC2OCC12,0.0766
663,C1OC2COC12,0.0584
664,CC1C2CCC12,0.0932
665,CC1C2COC12,0.0823
666,OC1C2CCC12,0.0769
667,OC1C2COC12,0.0597
668,C1C2CC=CC12,0.0251
669,C1C2OC=NC12,0.015
670,C1C=CC2NC12,0.0171
671,C1C=CC2OC12,0.0022
672,C1C2CCCC12,0.0913
673,C1C2CCOC12,0.0914
674,C1C2COCC12,0.0925
675,C1C2OCOC12,0.0896
676,C1CC2OC2C1,0.0972
677,C1OCC2NC12,0.0757
678,C1OCC2OC12,0.0964
679,N=C1OC2CC12,0.0182
680,O=C1CC2CC12,-0.0079
681,O=C1CC2CN12,-0.0123
682,O=C1CC2NC12,-0.0181
683,O=C1CC2OC12,-0.031
684,O=C1CN2CC12,-0.0245
685,O=C1NC2CC12,0.0085
686,O=C1OC2CC12,-0.0009
687,CC1CC2CC12,0.0931
688,CC1CC2OC12,0.0893
689,CC1OC2CC12,0.0887
690,OC1CC2CC12,0.0768
691,OC1CC2NC12,0.0756
692,OC1CC2OC12,0.0773
693,OC1CN2CC12,0.0621
694,C1C2C3CC2C13,0.1064
695,C1C2C3CN2C13,0.0946
696,C1C2C3OC2C13,0.0778
697,N1C2C3NC2C13,0.0625
698,N1C2C3OC2C13,0.0534
699,O1C2C3OC2C13,0.0447
700,C1CC1C2CC2,0.0925
701,C1CC1C1CO1,0.0938
702,C1CC1N2CC2,0.0925
703,C1NC1C1CN1,0.0704
704,C1NC1C1CO1,0.0746
705,C1OC1C1CO1,0.0726
706,C1C2C1C1CC21,0.0868
707,C1C2C1C1NC21,0.0799
708,C1C2C1C1OC21,0.0634
709,C1C2C1N1CC21,0.0711
710,N1C2C1C1NC21,0.0708
711,N1C2C1C1OC21,0.0552
712,O1C2C1C1OC21,0.0396
713,C1C2C3C1CN23,0.0934
714,C1C2C3CC1C23,0.1074
715,C1C2C3CC1N23,0.0905
716,C1C2C3CN1C23,0.0883
717,C1C2C3OC1C23,0.084
718,C12C3C1C1C2C31,0.085
719,C12C3C1N1C2C31,0.0669
720,c1ccnnc1,-0.0503
721,c1cnnnc1,-0.0696
722,c1nncnn1,-0.1121
723,c1ncnnn1,-0.1005
724,c1cnnnn1,-0.0979
725,Cc1ccn[nH]1,0.026
726,Cc1ccno1,-0.0071
727,Cc1cnn[nH]1,0.0018
728,Cc1cnno1,-0.0356
729,Cc1c[nH]nc1,0.028
730,Cc1c[nH]nn1,0.0027
731,Cc1cnoc1,-0.008
732,Cc1conn1,-0.0371
733,Cc1[nH]ncn1,0.011
734,Cc1ncno1,-0.0235
735,Cc1cc[nH]n1,0.0296
736,Cc1nc[nH]n1,0.0134
737,Cc1cn[nH]n1,0.0012
738,Cc1n[nH]nn1,-0.0242
739,Cc1ccon1,-0.0052
740,Cc1ncon1,-0.0228
741,Cc1cnon1,-0.0417
742,Cc1nnon1,-0.0698
743,Cn1cccn1,0.0247
744,Cn1ccnn1,0.0014
745,Cn1cncn1,0.0091
746,Cn1cnnc1,0.0168
747,Cn1cnnn1,-0.0149
748,Cn1nccn1,-0.0011
749,Cn1ncnn1,-0.0245
750,Cn1nnnn1,-0.0474
751,N=C1NC=NO1,-0.0026
752,N=C1NN=NN1,-0.0198
753,N=C1OC=NO1,-0.0221
754,N=C1ON=NO1,-0.0759
755,c1cn[nH]c1N,0.038
756,c1cnoc1N,0.0127
757,c1c([nH]nn1)N,0.0126
758,c1c(onn1)N,-0.0171
759,c1c(cn[nH]1)N,0.0301
760,c1c(nn[nH]1)N,0.0044
761,c1c(con1)N,-0.0048
762,c1c(nno1)N,-0.0346
763,c1nc([nH]n1)N,0.0283
764,c1nc(on1)N,0.0015
765,c1c[nH]nc1N,0.0347
766,c1[nH]nc(n1)N,0.0189
767,c1c(n[nH]n1)N,0.006
768,c1(n[nH]nn1)N,-0.0191
769,c1conc1N,0.0029
770,c1nc(no1)N,-0.0138
771,c1c(non1)N,-0.0343
772,c1(nnon1)N,-0.0625
773,c1[nH]c(=O)[nH]n1,0.0138
774,c1[nH]c(=O)on1,-0.0128
775,c1(=O)[nH]nn[nH]1,-0.0285
776,c1(=O)[nH]nno1,-0.059
777,c1noc(=O)o1,-0.0327
778,c1(=O)onno1,-0.088
779,c1cn[nH]c1O,0.0394
780,c1c(cn[nH]1)O,0.0237
781,c1c(nn[nH]1)O,-0.0042
782,c1nc([nH]n1)O,0.025
783,c1c[nH]nc1O,0.0271
784,c1[nH]nc(n1)O,0.0082
785,c1c(n[nH]n1)O,-0.0028
786,c1(n[nH]nn1)O,-0.0312
787,c1conc1O,-0.0063
788,c1nc(no1)O,-0.0275
789,c1(nnon1)O,-0.0778
790,CC#CC(=NO)C,-0.0214
791,CC(=NO)CC#C,0.0065
792,CC(=NO)CC#N,-0.0126
793,CC(=NO)CC=O,-0.0382
794,CC(=NO)CCO,0.0103
795,CCCC(=NO)C,0.0178
796,CC(=NO)COC,0.0055
797,CC(=NO)C(=NO)C,-0.0326
798,CC(=NO)C(=O)N,-0.0387
799,CC(C)C(=NO)C,0.0188
800,CC(O)C(C)=NO,0.0114
801,CC1CC(C1)=NO,0.0102
802,CN1CC(=NO)C1,0.0053
803,ON=C1CC(O)C1,0.0067
804,C#CC(=NO)C#C,-0.0602
805,CCC(=NO)C#C,-0.031
806,C#CC(=NO)CO,-0.0314
807,CCC(=NO)CC,0.0153
808,CCC(=NO)CO,0.0051
809,CC1CCC1=NO,0.0099
810,CC1NCC1=NO,0.004
