smiles,logP
CN1C(=O)CN=C(c2cc(Cl)ccc12)C1CCCCC=1,2.98
CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=CC=CC=C1Cl)C(=O)OC,3.52
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C2=C(O)C2=C1C=CC=C2O,0.1999999999999999
CCN(CC)C(=O)CCC(=O)OCN1N=CC2=C1N=CNC2=O,0.0
c1c(O)c(O)ccc1CC(N)C(=O)OCc2ccccc2,1.28
NNC(=O)C1=CC=NC=C1,-0.92
FC(F)(F)c1[nH]c2ccc[n]c2[n]1,1.16
CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C,3.1
Clc3cc2Oc1c(Cl)cc(Cl)c(Cl)c1Oc2cc3Cl,6.42
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12,4.984999999999999
CC(C)CCC(O)=O,2.005
CC(C)C(C)C,3.635
CN[C@H](C)[C@@H](O)C1=CC=CC=C1,1.345
NC1=CC2=NC3=C(C=CC(N)=C3)C=C2C=C1,1.615
C[N+]([O-])=O,-0.1349999999999999
Nc1ccc(cc1)C(N)=O,-0.1949999999999999
COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,2.015
[CH3:1][O:2][P@:3](=[S:4])([O:5][C:6]1=[C:13]([Cl:14])[CH:12]=[C:10]([Br:11])[C:8]([Cl:9])=[CH:7]1)[C:15]1=[CH:20][CH:19]=[CH:18][CH:17]=[CH:16]1,6.095
c1ccc2c3c(cccc31)c1cccc3cccc2c31,6.035
Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)c(Cl)c1Cl,7.035
ClC(CCl)CCl,2.25
Nc1cc(Cl)c(Cl)c(Cl)c1Cl,4.289999999999999
COC(=O)/C=C\C(=O)OC,0.48
COC(=O)C=CC(=O)OC,0.48
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC33CCC(=O)O3)C12,2.52
CCCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,4.48
CCCOc2cccc(NC(=O)OCCN1CCCCC1)c2,4.27
CCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,3.99
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,3.22
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,1.39
[CH3:1][CH2:2][CH2:3][C@@H:4]([CH3:5])[C:6]1([CH2:7][CH:8]=[CH2:9])[C:10](=[O:11])[NH:12][C:13](=[O:14])[NH:15][C:16]1=[O:17],2.18
CC(=O)c1ccc(N)cc1,0.62
CCOc1ccccc1NC(=O)OCCN2CCCCC2,3.38
[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.43
C=CCCC=C,2.66
CCOc2cccc(NC(=O)OCCN1CCCCC1)c2,3.56
CCCCOc2cccc(NC(=O)OCCN1CCCCC1)c2,4.83
Clc1cc(Cl)c2c3c(cccc3Cl)oc2c1Cl,6.1
CC(C)=C,2.55
CCCCCOc2cccc(NC(=O)OCCN1CCCCC1)c2,5.29
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,-1.0716666666666663
c1cc2ccc3cccc4c3c2c2c3c4cccc3ccc21,6.425
CCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,3.205
ClC1=CC=C(\C=C\N(=O)=O)C=C1,2.645
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,2.625
CC1CCC(=O)CC1,1.585
[O-][N+](=O)\C=C\C1=CC=CC=C1Cl,2.645
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C(O)=O,-0.205
NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1,-1.865
OC(=O)Cc1ccccc1,1.205
O=C(O)C(N)CC(=O)N,-3.615
[CH3:1][CH:2]([CH3:3])[NH:4][CH2:5][C@@H:6]([OH:7])[CH2:8][O:9][C:10]1=[C:15]([O:16][CH2:17][CH:18]=[CH2:19])[CH:14]=[CH:13][CH:12]=[CH:11]1,2.305
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1,6.105
CCCCCOc2ccc(NC(=O)OCCN1CCCCC1)cc2,5.105
Clc1cc(Cl)c(cc1)-c1ccccc1Cl,5.964499999999999
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C=CC=C1Cl,5.7
Cl[Pt]1(Cl)(Cl)(Cl)N[C@@H]2CCCC[C@H]2N1,-1.2413333333333334
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.8256
CCCCCCCCCCc1ccccc1,7.223333333333333
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,2.57
COc2ccc(NC(=O)OCCN1CCCCC1)cc2,2.75
OC1=CC=C(O)C=C1,0.79
OC(=O)C1=CC=C(Cl)C(=C1)[N+]([O-])=O,2.33
OC(CNCCNC(=O)Cc1ccccc1)COCc2ccccc2,1.25
Oc1ccc(cc1)Oc1ccccc1,3.55
COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C,3.6
CCCCCCCCCCCC(O)=O,4.4
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1,4.4
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,4.103333333333333
CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,4.3133333333333335
Clc1cc(Cl)ccc1Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2,6.915
[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,3.675
OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,2.1950000000000003
c1c(O)c(O)ccc1CC(N)C(=O)OC2CCCCC2,1.595
n1c(C#N)nccc1,-0.1149999999999999
NC(=O)C1=CC=CC=C1O,1.085
[O-][N+](=O)c1cc(F)ccc1F,2.055
COCCC1=CC=C(OC[C@@H](O)CNC(C)C)C=C1,2.145
CCCCCCC(C)=O,2.565
[CH3:10][C:1]1=[CH:9][CH2:5][C@@H:4]2[CH2:3][C@H:2]1[C:6]2([CH3:7])[CH3:8],4.635
CC(C)C,2.565
ClC1=CC(=C(Cl)C=C1)C1=C(Cl)C=C(Cl)C=C1Cl,6.305
Clc1cc(Cl)ccc1-c1cc(Cl)ccc1Cl,6.182
CCCCc1ccccc1,4.4145
[H:22][C@@:14]([OH:15])([CH2:16][NH:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:13][O:12][C:11]1=[C:6]([CH:7]=[CH:8][CH:9]=[CH:10]1)[CH:5]1[CH2:1][CH2:2][CH2:3][CH2:4]1,4.386666666666667
c1cc2C(O)C(O)C3CCCCC3c2cc1,2.266666666666667
CC(C)CN,0.9333333333333332
Clc1c(cc(Cl)c(Cl)c1Cl)-c1cc(Cl)c(Cl)cc1,7.45
ClC(Cl)C(Cl)(Cl)Cl,3.4889999999999994
Clc1cc(Cl)c(Cl)cc1-c1cccc(Cl)c1Cl,6.48
COc1cccc(Cl)c1,2.79
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,5.67
ClC(Cl)=C(Cl)Cl,3.21
CCOC(=O)C(C)Oc1ccc(cc1)Oc1c[n]c2cc(Cl)ccc2[n]1,4.470000000000001
O=S1(=O)N=C(Cc2ccccc2)Nc2ccccc12,1.7
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,0.5733333333333334
C1c2ccccc2-c2cc3ccccc3cc21,5.5845
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H]1Cl,3.88
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0.4633333333333333
c1cccc2Nc3ccccc3Sc21,3.965
CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,3.715
Clc1cccc2c1cccc2Cl,4.484999999999999
ClC1=CC(=C(Cl)C(Cl)=C1)C1=CC(Cl)=C(Cl)C(Cl)=C1,7.285
CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2.205
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)cc1,7.005000000000001
CN1C(=O)OC(C)(C)C1=O,-0.185
c1ccccc1C(N)C(=O)O,-1.885
CC(=C)C(=O)OCc1ccccc1,2.345
COC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.325
Clc1ccc(cc1)-c1ccccc1Cl,5.273
Cc1ccc(C)c2cccc(C)c12,5.0815
CC(C)(C)c1ccccc1,3.986
CC2CC1OC(=O)C(=C)C1C(O)C3(C)C2C=CC3(=O),0.61625
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,3.56
[O-][N+](=O)c1ccc(cc1)Oc1ccccc1,4.1
CN1CCN=C(c2cc(Cl)ccc12)c1ccccc1,4.23
Clc1cc2[n]cc[n]c2cc1,1.92
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C1OC(SC)C(O)C(O)C1O,0.38
NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,-0.08
COc1ccccc1C=CC(=O)O,2.3600000000000003
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,2.88
COC1=CC=CC(=C1)[C@]1(O)CCCC[C@@H]1CN(C)C,2.49
CC(C)(C)OC(=O)/C=C/c1ccccc1C1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC,5.38
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,1.7966666666666666
CCCCCCCOc1ccccc1NC(=O)OCCN2CCCCC2,5.84
CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,-0.0312
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,3.808333333333333
COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,3.333333333333333
BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2)C(Br)=C1,7.603333333333333
Cc1cc(C)c(C)cc1,3.79975
Nc1ccc(Cl)c(Cl)c1Cl,3.505
ClCCCl,1.655
CCCCCCC#C,3.745
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,1.125
CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,3.475
CC(=O)CC(C)=O,0.225
c1ccc2C(O3)CC(N)C3c2c1,0.575
COP(=S)(Oc1cc(Cl)c(I)cc1Cl)OC,5.335
CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F,5.365
ClC1=CC(Cl)=C(Cl)C(=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1,6.905
Clc1cc(-c2cc(Cl)ccc2Cl)c(Cl)cc1,6.063333333333333
Nc1c(Cl)c(Cl)cc(Cl)c1Cl,4.343333333333333
OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1,3.4033333333333338
CCCOc1ccccc1NC(=O)OCCN2CCCCC2,4.0200000000000005
CCCCOc1ccccc1NC(=O)OCCN2CCCCC2,4.579999999999999
ClC1=CC2=C(C3=CC(Cl)=C(Cl)C=C3O2)C(Cl)=C1,6.5600000000000005
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,7.56
CN1C2=CC=C(Cl)C=C2C(=N[C@H](O)C1=O)C1=C(Cl)C=CC=C1,2.55
Oc1c(Cl)cc(Cl)cc1Cl,3.86
CCl,1.08
c1cc(S(=O)(=O)N)ccc1S(=O)(=O)CCCCO,-0.43
ClC1=CC(=CC(Cl)=C1Cl)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,7.38
BrC1=CC(Br)=C(Br)C=C1,4.49
OS(=O)(=O)C1=C(OC2=C(NC(=O)NC3=CC(Cl)=C(Cl)C=C3)C=C(Cl)C=C2)C=CC(Cl)=C1,1.72
C(F)(F)(F)c1ccc2C(C3)CC(N)C3c2c1,3.02
Clc1cc2c(c(Cl)c1Cl)c(Cl)ccc2Cl,6.63
N(N=O)(CCCl)C(=O)NC2CCCCC2O,1.545
ClCCCCC,2.964
Clc1cc(Cl)c(Cl)c(Cl)c1,4.716
S=C=NCc1ccccc1,2.995
ClC1=CC=C(C=C1Cl)C1=CC(Cl)=C(Cl)C(Cl)=C1,6.725
CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=CC=C(F)C=C2)C2=CC=CC=C12,4.335
C1CNCCN1,-1.335
OC(=O)\C=C\C1=CC=C(O)C=C1,1.625
[CH3:14][CH2:13][CH2:12][O:11][C:9](=[O:10])[CH2:8][S:7][C:6]1=[CH:1][CH:2]=[CH:3][CH:4]=[CH:5]1,2.525
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)OC,5.045
Nc1c(Cl)c(ccc1[N+]([O-])=O)Oc1ccccc1,4.205
CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N,1.065
CN(C)C(=O)Nc1ccc(cc1)C(C)C,2.64
CN1C(C)=C(C(C)C)C(=O)N1c1ccccc1,2.0933333333333333
COc1ccccc1NC(=O)OCCN2CCCCC2,2.91
COc2cccc(NC(=O)OCCN1CCCCC1)c2,3.12
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,2.85
Clc1cc2c(cc1)cccc2Cl,4.596666666666667
CC1=CCC2CC1C2(C)C,4.6177777777777775
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,3.875
CCCCCCCO,2.56
Cc1cc2ccc3ccccc3c2cc1,5.079666666666667
O=C1c2ccccc2C(=O)N1SC1CCCCC1,3.5
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.48
CN1C(CO)=NC=C1N(=O)=O,-0.19
Cn1c(N(=O)(=O))ncc1CO,-0.19
NCCc1c[nH]c2ccc(O)cc21,0.37
CC1=CC(=O)Oc2cc(O)ccc21,1.74
CCc1[n][n](C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl,4.77
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,6.583333333333333
Clc1ccc(Cl)c(Cl)c1Cl,4.6808
OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,1.8233333333333333
Clc1ccccc1-c1ccccc1,4.52825
Clc1cc(-c2ccccc2)c(Cl)cc1,5.238666666666667
Oc1ccc(Cl)cc1Cl,3.01
Clc1cc(Cl)c(cc1)-c1ccc(Cl)c(Cl)c1Cl,6.455
Clc1cc(cc(Cl)c1Cl)-c1cc(Cl)c(Cl)c(Cl)c1,7.255
CCC1=CC2=C(S1)N(C)C(=O)CN=C2C1=CC=CC=C1Cl,3.335
CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,3.3150000000000004
CC(C)C(C)(C)O,1.325
[CH3:12][CH2:11][CH2:10][C:8](=[O:9])[NH:7][C:6]1=[CH:5][C:4]([C:2]([CH3:1])=[O:3])=[C:15]([O:16][CH2:17][C@H:18]([OH:19])[CH2:20][NH:21][CH:22]([CH3:23])[CH3:24])[CH:14]=[CH:13]1,1.865
COC(=O)Nc1[nH]c2ccc(cc2[n]1)C(=O)c1ccccc1,2.9850000000000003
Nc1cc(ccc1)C(O)=O,0.495
O=S(=O)(N)c(ccc(c1)Cl)c1,0.995
CCN1CC(OC1=O)C(O)C(CC1CCCCC1)NC(=O)C(CC1=CNC=N1)NC(=O)C(CC1=CC=C(OC)C=C1)NC(=O)N1CC(O)C(O)C1,1.065
CC(=O)Nc1ccccc1OC,0.825
OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1,1.495
OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,5.404999999999999
ClC1=CC(=C(Cl)C(Cl)=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1,7.115
CCOP(=S)(Oc1[n]c(Cl)c(Cl)cc1Cl)OCC,5.115
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,4.445
CC(O)(P(O)(O)=O)P(O)(O)=O,-3.645
ClC1=CC(=CC(Cl)=C1)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,7.365
C#Cc1ccccc1,2.3633333333333333
Cc1cc2ccc(C)cc2cc1,4.462
Nc1c(Cl)cc(Cl)cc1Cl,3.51
Clc1ccc(cc1)-c1ccc(Cl)cc1,5.37
CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1,5.25
CC1C=C(C)CCC1C=O,2.95
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,1.7200000000000002
OC(=O)CN1C=CC(=C1)C(=O)C1=CC2=C(C=CC=C2)C=C1,2.12
OC(=O)P(O)(O)=O,-1.95
C[n]1c(c[n]c1C(C)C)[N+]([O-])=O,1.21
CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,1.65
CC1=C(C(=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C)N(=O)=O,5.050000000000001
CC1(C)C(C(=O)OC(C#N)c2cc(ccc2)Oc2ccccc2)C1(C)C,5.85
Clc2cccc3Oc1ccccc1Oc23,4.9
c1c(C(F)(F)F)cc2C(C3)CC(N)C3c2c1,3.06
[H]\C(=C(\[H])C1=CC=C(OC)C=C1)C(=O)OCC(CC)CCCC,5.949999999999999
Cc1cc2c(cc1C(C)=O)C(C)(C)CC(C)C2(C)C,5.550000000000001
CC1=CC[C@H](CC1)C(C)(C)O,3.13
CCCCN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,3.95
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O,4.449999999999999
Clc2cc(Oc1ccccc1)c(Cl)c(Cl)c2Cl,6.16
Cc1c(Cl)cccc1Cl,4.140000000000001
CCOP(=O)(Oc1ccccc1)OCC,1.49
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,0.2933333333333333
O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,-1.6195
CC1(C)C2CC(=O)C1(C)CC2,2.56
OC1OC(CO)C(O)C(O)C1NC(=O)N(N=O)CCCl,-0.84
ClC1=CC(Cl)=C(C=C1Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1Cl,7.115
[CH3:19][C:18]([CH3:20])([CH3:21])[NH:17][CH2:16][C@@H:14]([OH:15])[CH2:13][O:12][C:11]1=[N:10][S:9][N:8]=[C:7]1[N:6]1[CH2:1][CH2:2][O:3][CH2:4][CH2:5]1,1.975
C/C(/C=C/CC(C)CCCC(C)(C)OC)=C\C(=O)OC(C)C,5.355
[NH2:5][C@H:4]([CH2:6][C:7]1=[CH:15][NH:10][C:9]2=[CH:11][CH:12]=[CH:13][CH:14]=[C:8]12)[C:2]([OH:3])=[O:1],-0.915
ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl,7.035
CC(C)(C)c1cc(O)cc(c1)C(C)(C)C,4.494999999999999
COc1ccc(Cl)c(Cl)c1Cl,3.885
ClC1=CC(=C(Cl)C(Cl)=C1)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,6.994999999999999
Cc1cc2c3ccccc3ccc2cc1,5.005000000000001
CCC=O,0.4449999999999999
OC(=O)C1=CC=C(O)C(O)=C1,1.005
COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,2.87
NC(CC1=CC=C(O)C(O)=C1)C(O)=O,-2.566666666666667
Cc1ccccc1C,3.24
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1,2.9919999999999995
CCCCCCCCCCCCCCO,6.166666666666667
ClC=C(Cl)Cl,2.432333333333333
ClC1=CC(Cl)=C(C(Cl)=C1)C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1,7.0600000000000005
CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,2.48
Cc1ccccc1C(C)C,4.24
Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,7.109999999999999
C[n+]1ccc(cc1)-c1cc[n+](C)cc1,-4.359999999999999
O=C(C1CCN(CCN2C(=O)Nc3ccccc3C2=O)CC1)c1ccc(F)cc1,3.15
CN(C)[C@@H]1[C@H]2C[C@@H]3C(=C(O)[C@@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(O)C=CC=C1[C@]3(C)O,-1.33
CCOC(=O)N1C(=O)NC=C(F)C1=O,-0.03
CC(C)C(C)=O,0.7
[O-][N+](=O)c1ccccc1Cl,2.38
C1c2c3ccccc3ccc2-c2ccccc21,5.54
c1c(Cl)c(Cl)c(OC)c(Cl)c1Cl,4.54
CCNc1[n]c(Cl)[n]c(NC(C)(C)C)[n]1,3.223333333333333
C1=CC2=C(C=C1)C1=C(C=C2)C2=CC=CC3=C2C1=CC=C3,6.2620000000000005
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,2.763333333333333
c1c2c3ccccc3ccc2cc2ccccc21,5.663499999999999
Cl[Pt]1(Cl)NCCN1,-2.3000000000000003
O=C1C=CC(=O)NN1,-0.7925
Oc1cc(Cl)c(Cl)c(Cl)c1,4.145
CC(Cl)CCl,2.115
S=C=NCCc1ccccc1,3.605
OC(=O)c1ccccc1Oc1ccccc1,2.975
O6C(C)C(O)C(OC)CC6OC1CC2CCC3C4(O)CC(OC(=O)C)C(C5=CC(=O)OC5)C4(C)CCC3C2(C)CC1,2.395
O=NN1CCCCC1,0.495
ClC1C(OC)C(OC)C(Cl)C(Cl)C1Cl,2.685
COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O,1.165
CC1=C(O)C(CO)=C(CO)C=N1,-0.635
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,2.585
BrC(Br)Br,2.535
