,smiles,mu
152,C1CC1CO,1.3201
153,OCC1CN1,2.9395
154,OCC1CO1,1.7822
155,C1CC=CC1,0.1413
156,C1COC=N1,1.6299
157,C1C=CCO1,1.5715
158,C1CCCC1,0.001
159,C1CCOC1,1.465
160,C1COCO1,1.3482
161,C1C2CCC12,0.2527
162,C1C2COC12,1.7167
163,C1CC2OC12,1.8518
164,c1c[nH]nc1,2.2277
165,c1cnn[nH]1,4.2954
166,c1[nH]ncn1,2.79
167,c1[nH]cnn1,5.498
168,c1cn[nH]n1,0.0597
169,c1cnoc1,2.8629
170,c1conn1,3.4411
171,c1ncon1,1.126
172,c1nnco1,3.1035
173,c1nnno1,2.8915
174,c1cnon1,3.2148
175,c1nnon1,1.9641
176,n1nnon1,0.6581
177,CC(=NO)C#C,0.6411
178,CC(=NO)CO,1.9975
179,CCC(=NO)C,0.6759
180,C1CC(=NO)C1,0.8763
181,C1C(=NO)CN1,1.2383
182,C1C(=NO)CO1,1.1556
183,C(F)(F)(F)F,0.0003
184,N=C1NC=CO1,3.2823
185,N=C1OC=CO1,3.6351
186,c1c[nH]c(=O)[nH]1,3.6997
187,c1coc(=O)[nH]1,4.6537
188,c1coc(=O)o1,4.4195
189,Cc1ccc[nH]1,1.9162
190,Cc1ccco1,0.5222
191,Cc1cnco1,2.0636
192,Cc1ncco1,1.3368
193,c1cc([nH]c1)N,1.5102
194,c1cc(oc1)N,1.5774
195,c1c(ocn1)N,2.9659
196,c1coc(n1)N,1.8589
197,c1cc([nH]c1)O,0.9982
198,c1c([nH]cn1)O,2.938
199,c1cnc([nH]1)O,2.18
200,Cc1cc[nH]c1,1.6978
201,Cc1c[nH]cn1,3.3147
202,Cc1ccoc1,0.8398
203,Cc1cocn1,1.3204
204,c1c[nH]cc1N,1.8044
205,c1c(nc[nH]1)N,3.0074
206,c1cocc1N,1.7218
207,c1c(nco1)N,1.6737
208,c1c[nH]cc1O,1.6811
209,c1c(nc[nH]1)O,2.8207
210,c1c(nco1)O,0.4508
211,Cn1cccc1,2.0318
212,Cn1ccnc1,3.9054
213,c1ccccc1,0.0
214,c1ccncc1,2.1103
215,c1cnccn1,0.0
216,c1cncnc1,2.2031
217,c1ncncn1,0.0001
218,CC(C)(C)C#C,0.6082
219,CC(C)(C)C#N,3.9525
220,CC(C)(C#N)N,2.8519
221,CC(C)(C#C)O,1.7721
222,CC(C)(C#N)O,4.8465
223,CC(C)(C)C=O,2.5692
224,CC(C)(C=O)O,2.8176
225,CC(C)(C)CO,1.3469
226,CC(C)(CO)O,0.1987
227,CCC(C)(C)C,0.0414
228,CCC(C)(C)O,1.3435
229,CC(C)(C)OC,1.0896
230,CC#CC(=O)C,3.5644
231,CC#CC(=O)N,4.0759
232,CC#CC(C)C,0.1156
233,CC#CC(C)O,1.89
234,CC(=O)CC#C,2.2729
235,CC(=O)CC#N,5.6789
236,C#CCC(=O)N,3.7732
237,C(C#N)C(=O)N,6.7117
238,CC(=N)NC=O,0.9105
239,CC(=N)OC=O,4.0954
240,CC(=O)CC=O,2.6833
241,CC(=O)NC=N,5.1423
242,CC(=O)NC=O,5.6602
243,CC(=O)OC=N,0.9137
244,C(=O)NC(=N)N,2.4787
245,C(C=O)C(=O)N,3.7344
246,C(=N)NC(=O)N,5.2585
247,C(=O)NC(=O)N,6.1119
248,NC(=O)OC=N,1.994
249,CC(C)CC#C,0.6828
250,CC(C)CC#N,3.9826
251,CC(O)CC#C,1.4348
252,CC(O)CC#N,4.9064
253,CN(C)CC#N,4.0824
254,CC(C)CC=O,2.7416
255,CC(C)NC=O,3.6603
256,CC(C)OC=O,4.1216
257,CC(O)CC=O,3.3205
258,CN(C)CC=O,2.7328
259,CC(=O)CCO,1.2601
260,CCCC(=O)C,2.5426
261,CCCC(=O)N,3.4104
262,CCNC(=O)C,3.4941
263,CCNC(=O)N,3.5648
264,CCOC(=O)C,1.9371
265,CCOC(=O)N,2.4228
266,C[NH2+]CC([O-])=O,5.2128
267,CC(=O)COC,3.6117
268,COCC(=O)N,4.2922
269,C(CO)C(=O)N,2.1536
270,[NH3+]CCC([O-])=O,14.8809
271,CC(C)CCO,1.3839
272,CC(O)CCO,0.18
273,CCCC(C)C,0.0898
274,CCCC(C)O,1.3758
275,CCOC(C)C,0.9735
276,CC(C)COC,0.9451
277,COCC(C)O,2.2037
278,CC(=O)C(=O)C,0.0005
279,CC(=O)C(=N)N,1.9354
280,CC(=O)C(=O)N,1.1652
281,NC(=[NH2+])C([O-])=O,8.5052
282,C(=O)(C(=O)N)N,0.0024
283,CC(C)C(=O)C,2.5905
284,CC(C)C(=O)N,3.4399
285,CC([NH3+])C([O-])=O,5.0933
286,CC(O)C(C)=O,2.9304
287,CC(O)C(N)=O,4.1096
288,CC(=O)N(C)C,3.5335
289,CN(C)C(=O)N,3.6689
290,CC(C)C(C)C,0.0
291,CC(C)C(C)O,1.414
292,CC(O)C(C)O,0.1664
293,CC1(CCC1)C,0.0245
294,CC1(CCO1)C,1.636
295,CC1(COC1)C,1.888
296,CC1(CCC1)O,1.3454
297,CC1(COC1)O,2.486
298,CC1(C)CC1O,1.2792
299,CC1(O)CC1O,1.9707
300,CC1CC1(C)C,0.0963
301,CC1CC1(C)O,1.2745
302,CC1OC1(C)C,1.7972
303,CC1(CN1C)C,1.1514
304,CC1CC(=N)O1,2.8604
305,CC1CC(=O)C1,2.8997
306,CC1CC(=O)N1,3.855
307,CC1CC(=O)O1,4.16
308,CN1CC(=O)C1,2.5981
309,C1C(CC1=O)O,3.0457
310,CC1CC(C)C1,0.1412
311,CC1CC(C)O1,1.5588
312,CC1CC(O)C1,1.398
313,CN1CC(C1)O,1.5574
314,OC1CC(O)C1,1.3233
315,CC12CC(C1)C2,0.2077
316,CC12CC(C1)O2,1.8191
317,CC12CN(C1)C2,1.9709
318,OC12CC(C1)C2,1.329
319,OC12CN(C1)C2,1.7613
320,C#CC(=O)C#C,3.1111
321,C#CC(=O)C#N,3.7814
322,C(#N)C(=O)C#N,0.6341
323,C#CC(=O)C=O,4.3138
324,C(=O)C(=O)C#N,1.4415
325,C(=O)C(=O)C=O,3.4458
326,CC(C#C)C#C,0.6022
327,CC(C#C)C#N,3.7481
328,CC(C#N)C#N,4.1272
329,NC(C#C)C#N,2.5088
330,C(#N)C(C#N)N,3.6178
331,C#CC(C#C)O,1.3299
332,OC(C#C)C#N,3.263
333,C(#N)C(C#N)O,2.3093
334,CC(C=O)C#C,2.3065
335,CC(C=O)C#N,2.7273
336,OC(C=O)C#C,2.1664
337,OC(C=O)C#N,2.9799
338,CC(C=O)C=O,3.0426
339,CN(C=N)C=O,2.4166
340,CN(C=O)C=O,0.6161
341,C(=O)C(C=O)O,3.3417
342,CN=C(C#N)N,5.1006
343,CN=C(C=O)N,2.7489
344,CCC(=O)C#C,2.733
345,CCC(=O)C#N,3.5163
346,CNC(=N)C#N,3.0753
347,CNC(=O)C#C,3.6839
348,COC(=O)C#C,1.7556
349,COC(=O)C#N,4.0593
350,C#CC(=O)CO,4.1336
351,C(C(=O)C#N)O,4.1197
352,CCC(=O)C=O,1.0401
353,CNC(=N)C=O,3.7361
354,CNC(=O)C=O,5.2806
355,COC(=O)C=O,3.7746
356,C(C(=O)C=O)O,5.1353
357,CCC(=O)CC,2.5012
358,CCC(=O)CO,3.84
359,CCC(=O)NC,3.4247
360,CCC(=O)OC,1.6323
361,CNC(=O)CO,4.3706
362,CNC(=O)NC,3.5856
363,CNC(=O)OC,2.2967
364,COC(=O)CN,1.6419
365,COC(=O)CO,2.8141
366,C(C(=O)CO)O,5.1141
367,CC(=NC)OC,0.8775
368,CC(CO)C#C,1.3163
369,CC(CO)C#N,3.7371
370,CCC(C)C#C,0.7089
371,CCC(C)C#N,4.0632
372,CCC(N)C#N,2.8538
373,CCC(O)C#C,1.3296
374,CCC(O)C#N,3.3465
375,CNC(C)C#N,4.4075
376,COC(C)C#C,1.41
377,COC(C)C#N,3.2128
378,NC(CO)C#N,4.5745
379,NCC(N)C#N,4.8739
380,NCC(O)C#N,3.5369
381,OCC(O)C#C,2.1731
382,OCC(O)C#N,2.1065
383,CC(CO)C=O,1.4722
384,CCC(C)C=O,2.7619
385,CCC(O)C=O,2.216
386,CCN(C)C=O,3.8246
387,COC(C)C=O,2.7851
388,OCC(O)C=O,1.2875
389,CC(CO)CO,2.6348
390,CCC(C)CC,0.067
391,CCC(C)CO,1.3482
392,CCC(C)OC,1.0377
393,CCC(CC)O,1.4336
394,CCC(O)CO,2.3512
395,COC(C)CO,2.2435
396,C(C(CO)O)O,1.7715
397,CC1(CC1)C#C,0.7654
398,CC1(CC1)C#N,4.1425
399,CC1(CN1)C#C,1.9146
400,CC1(CN1)C#N,4.9191
401,CC1(CO1)C#C,1.7508
402,CC1(CO1)C#N,3.8379
403,C1CC1(C#N)N,3.0748
404,C#CC1(CC1)O,1.2031
405,C1CC1(C#N)O,3.5524
406,CC1(CC1)C=O,2.9392
407,CC1(CN1)C=O,3.0447
408,CC1(CO1)C=O,2.2978
409,C1CC1(C=O)O,2.375
410,CC1(CC1)CO,1.3206
411,CC1(CO)CN1,2.1168
412,CC1(CO)CO1,1.7232
413,CCC1(CC1)C,0.1151
414,CCC1(C)CO1,1.7595
415,CCC1(CC1)O,1.3751
416,CC1(CC1)OC,1.104
417,C1CC1(CO)O,2.0651
418,CC1CCC1=O,2.6766
419,CC1CNC1=O,3.5654
420,CC1COC1=N,2.5239
421,CC1COC1=O,3.9998
422,CC1NCC1=O,2.556
423,CC1OCC1=O,0.9705
424,CN1CCC1=O,3.6013
425,NC1COC1=N,1.33
426,NC1COC1=O,2.9069
427,OC1CCC1=O,2.1771
428,OC1CNC1=O,2.5208
429,OC1COC1=N,1.2035
430,OC1COC1=O,3.0125
431,CC1CCC1C,0.1206
432,CC1CCC1O,1.3078
433,CC1COC1C,1.7671
434,CC1OCC1O,2.3269
435,OC1CCC1O,1.022
436,N=C1CN=CN1,3.4388
437,C1C=CCC1=O,2.5958
438,C1C=CNC1=O,3.246
439,C1C(=O)NC=N1,2.525
440,C1C(=O)OC=N1,1.6338
441,N=C1OCC=C1,3.3473
442,C1CC(=O)C=C1,3.5709
443,C1C=CC(=O)N1,4.2248
444,N=C1CCCO1,3.1568
445,N=C1COCO1,1.8361
446,N=C1OCCO1,4.2769
447,C1CCC(=O)C1,2.8451
448,C1CC(=O)NC1,3.7977
449,C1CC(=O)OC1,4.3159
450,C1COCC1=O,1.8765
451,C1C(=O)OCO1,2.7134
452,C1CNC(=O)N1,3.9802
453,C1COC(=O)N1,4.8739
454,C1COC(=O)O1,5.0601
455,CC1=CCCC1,0.2336
456,CC1=CCOC1,1.8189
457,CC1=NCCO1,1.2483
458,CC1CC=CC1,0.1489
459,CC1CN=CO1,1.8411
460,OC1CC=CC1,1.4817
461,CC1CCC=C1,0.1605
462,CC1COC=N1,1.5301
463,CC1OCC=C1,1.4505
464,OC1CCC=C1,1.7344
465,CC1CCCC1,0.0756
466,CC1CCCO1,1.5053
467,CC1CCOC1,1.7082
468,CC1COCO1,1.2942
469,CC1OCCO1,1.0448
470,C1CCC(C1)O,1.3247
471,OC1CCOC1,1.5931
472,CC1C(C)C1C,0.0164
473,CC1C(C)C1O,1.3139
474,CC1C(C)N1C,1.3293
475,CC1C(O)C1O,1.9714
476,OC1C(O)C1O,0.6618
477,CC12CC1CC2,0.3029
478,CC12CC1CO2,1.6329
479,CC12CC1OC2,1.8852
480,CC12CCC1O2,1.8535
481,OC12CC1CC2,1.1413
482,OC12CC1OC2,2.2569
483,C#CC#CC#C,0.0151
484,C#CC#CC#N,4.5941
485,C(#CC#N)C#N,0.0
486,C#CCCC#C,0.0008
487,C#CCCC#N,3.4446
488,C(CC#N)C#N,0.0004
489,C#CC#CC=O,3.248
490,C(=O)C#CC#N,2.4648
491,C(=O)C#CC=O,2.3737
492,N=COCC#C,3.3466
493,N=COCC#N,3.3728
494,C#CCCC=O,2.1557
495,C(CC#N)C=O,2.4084
496,C#CCNC=O,3.3746
497,C(C#N)NC=O,3.6197
498,C#CCOC=O,3.7921
499,C(C#N)OC=O,3.8224
500,N=COCC=O,2.1434
501,C(CC=O)C=O,0.0008
502,C(C=O)NC=O,3.1684
503,C(C=O)OC=O,1.8826
504,CC#CC#CC,0.0009
505,CC#CCC#C,0.7462
506,CC#CCC#N,4.0685
507,CC#CCC=O,2.7868
508,CN=CNC=O,4.5664
509,CN=COC=O,4.1826
510,CCC#CC#C,1.2338
511,CCC#CC#N,5.2846
512,C#CC#CCO,1.9151
513,C(C#CC#N)O,5.7112
514,CCC#CC=O,3.9327
515,C(C#CC=O)O,3.9039
516,CCC#CCC,0.0
517,CCC#CCO,1.263
518,C(C#CCO)O,1.4538
519,CCN=COC,2.8394
520,CC#CCCO,1.514
521,CCCC#CC,0.1495
522,CC#CCOC,0.9061
523,CCOC=NC,2.8689
524,CCCCC#C,0.835
525,CCCCC#N,4.1681
526,CCNCC#N,4.2405
527,CCOCC#C,1.2818
528,CCOCC#N,4.5806
529,COCCC#C,1.0683
530,COCCC#N,3.7667
531,C#CCCCO,1.8394
532,C(CC#N)CO,4.9959
533,CCCCC=O,2.8209
534,CCCNC=O,3.6925
535,CCCOC=O,4.1439
536,CCOCC=O,2.899
537,COCCC=O,2.8428
538,C(CC=O)CO,3.2791
539,C(CO)NC=O,4.0088
540,OCCOC=N,3.0286
541,C(COC=O)O,3.2052
542,CCCCCC,0.0
543,CCCCCO,1.3185
544,CCCCOC,1.0198
545,CCCOCC,0.8667
546,CCOCCO,2.2344
547,COCCCO,2.365
548,COCCOC,0.0023
549,C(CCO)CO,0.0002
550,C#CC1CCC1,0.7819
551,C#CC1CCO1,1.8509
552,C#CC1COC1,1.2731
553,C1CC(C1)C#N,4.1766
554,N#CC1CCN1,3.0536
555,N#CC1CCO1,4.2848
556,C1C(CO1)C#N,2.742
557,C1CC(C1)C=O,2.8867
558,O=CC1CCO1,2.8301
559,C1C(CO1)C=O,1.1864
560,C1CN(C1)C=O,4.2072
561,CN=C1CCO1,2.0739
562,CCC1CCC1,0.0792
563,CCC1CCO1,1.6234
564,CCC1COC1,1.9413
565,COC1CCC1,1.0403
566,COC1COC1,2.1966
567,C1CC(C1)CO,1.2955
568,OCC1CCO1,2.5785
569,C1C(CO1)CO,2.2789
570,C#CCC1CC1,0.6877
571,C#CCC1CO1,1.9719
572,C#CCN1CC1,0.8803
573,C1CC1CC#N,4.0027
574,N#CCC1CN1,4.3345
575,N#CCC1CO1,4.8091
576,C1CN1CC#N,4.358
577,N=COC1CC1,3.3988
578,C1CC1CC=O,2.7826
579,O=CCC1CN1,2.6802
580,O=CCC1CO1,2.8138
581,C1CN1CC=O,2.6644
582,C1CC1NC=O,3.5897
583,C1CC1OC=O,3.9549
584,CC#CC1CC1,0.1421
585,CC#CC1CN1,1.9282
586,CC#CC1CO1,2.024
587,CCCC1CC1,0.1174
588,CCCC1CO1,1.6966
589,CCCN1CC1,1.0196
590,CCOC1CC1,0.9952
591,COCC1CC1,0.9417
592,COCC1CN1,2.561
593,COCC1CO1,2.483
594,C1CC1CCO,1.392
595,OCCC1CO1,1.0902
596,C1CN1CCO,2.7069
597,CC1CC1C#C,0.8753
598,CC1CC1C#N,4.1979
599,CC1NC1C#C,1.6946
600,CC1NC1C#N,4.7574
601,CC1OC1C#C,1.7653
602,CC1OC1C#N,3.7031
603,CN1CC1C#C,0.9125
604,CN1CC1C#N,3.0219
605,OC1CC1C#C,1.2269
606,OC1CC1C#N,4.0674
607,CC1CC1C=O,3.3091
608,CC1CN1C=O,3.6028
609,CC1NC1C=O,3.196
610,CC1OC1C=O,3.1275
611,CN1CC1C=O,1.4054
612,OC1CC1C=O,4.3878
613,CC1CC1CO,1.3825
614,CC1NC1CO,2.3104
615,CC1OC1CO,2.0793
616,CCC1CC1C,0.117
617,CCC1CC1O,1.2983
618,CCC1CN1C,1.2559
619,CCC1OC1C,1.7551
620,CCN1CC1C,1.1836
621,CN1CC1CO,2.1379
622,COC1CC1C,0.9946
623,COC1CC1O,1.6821
624,OCC1CC1O,1.0353
625,CC(=O)C1CC1,2.6757
626,CC(=O)C1CN1,2.4621
627,CC(=O)C1CO1,2.0825
628,CC(=O)N1CC1,3.0813
629,C1CC1C(=O)N,3.4477
630,NC(=O)C1CN1,3.5751
631,NC(=O)C1CO1,2.4867
632,C1CN1C(=O)N,3.0016
633,CC(C)C1CC1,0.0271
634,CC(C)C1CO1,1.7161
635,CC(C)N1CC1,1.0303
636,CC(O)C1CC1,1.5102
637,CC(O)C1CN1,2.731
638,CC(O)C1CO1,1.5413
639,C1CC2(C1)CC2,0.1291
640,C1CC12CCO2,1.6374
641,C1CC12COC2,1.8251
642,C1C2(N1)COC2,1.9279
643,C1CC2(C1)CO2,1.8101
644,C1C2(CO1)CO2,1.7363
645,C1C2CC1C=C2,0.1535
646,C1C2OC1C=C2,1.7949
647,C1C2CC1CC2,0.047
648,C1C2CC1OC2,1.6503
649,C1C2CCC1O2,1.6655
650,CC1C2CC1C2,0.1283
651,CC1C2CC1O2,1.993
652,OC1C2CC1C2,1.4563
653,OC1C2CC1O2,1.8437
654,C1COCC=C1,1.1836
655,C1CCC=CC1,0.2447
656,C1CN=COC1,2.2186
657,C1CCCCC1,0.0
658,C1CCOCC1,1.3202
659,C1COCCO1,0.0
660,C1COCOC1,1.8428
661,C1CC2CCC12,0.1319
662,C1CC2OCC12,1.7554
663,C1OC2COC12,1.2594
664,CC1C2CCC12,0.1799
665,CC1C2COC12,1.6332
666,OC1C2CCC12,1.3959
667,OC1C2COC12,1.6786
668,C1C2CC=CC12,0.2073
669,C1C2OC=NC12,1.5227
670,C1C=CC2NC12,1.4999
671,C1C=CC2OC12,1.8478
672,C1C2CCCC12,0.1741
673,C1C2CCOC12,1.3987
674,C1C2COCC12,1.5611
675,C1C2OCOC12,1.059
676,C1CC2OC2C1,1.8302
677,C1OCC2NC12,2.8893
678,C1OCC2OC12,2.2543
679,N=C1OC2CC12,2.6904
680,O=C1CC2CC12,3.2426
681,O=C1CC2CN12,3.8131
682,O=C1CC2NC12,3.691
683,O=C1CC2OC12,2.7712
684,O=C1CN2CC12,2.1794
685,O=C1NC2CC12,3.7175
686,O=C1OC2CC12,4.1654
687,CC1CC2CC12,0.2782
688,CC1CC2OC12,1.8181
689,CC1OC2CC12,1.6252
690,OC1CC2CC12,1.4055
691,OC1CC2NC12,2.6703
692,OC1CC2OC12,1.9201
693,OC1CN2CC12,1.7907
694,C1C2C3CC2C13,0.0
695,C1C2C3CN2C13,1.6815
696,C1C2C3OC2C13,1.8496
697,N1C2C3NC2C13,1.5668
698,N1C2C3OC2C13,1.4437
699,O1C2C3OC2C13,0.0
700,C1CC1C2CC2,0.0
701,C1CC1C1CO1,1.8416
702,C1CC1N2CC2,1.0782
703,C1NC1C1CN1,2.8886
704,C1NC1C1CO1,2.6444
705,C1OC1C1CO1,1.903
706,C1C2C1C1CC21,0.339
707,C1C2C1C1NC21,1.6601
708,C1C2C1C1OC21,1.8604
709,C1C2C1N1CC21,1.5349
710,N1C2C1C1NC21,2.8506
711,N1C2C1C1OC21,3.3094
712,O1C2C1C1OC21,3.1711
713,C1C2C3C1CN23,1.7558
714,C1C2C3CC1C23,0.2808
715,C1C2C3CC1N23,1.6922
716,C1C2C3CN1C23,1.6597
717,C1C2C3OC1C23,1.7566
718,C12C3C1C1C2C31,0.0001
719,C12C3C1N1C2C31,1.9051
720,c1ccnnc1,3.9853
721,c1cnnnc1,4.753
722,c1nncnn1,0.0004
723,c1ncnnn1,2.5272
724,c1cnnnn1,4.38
725,Cc1ccn[nH]1,2.6766
726,Cc1ccno1,3.1194
727,Cc1cnn[nH]1,4.8091
728,Cc1cnno1,4.0664
729,Cc1c[nH]nc1,2.2444
730,Cc1c[nH]nn1,4.1169
731,Cc1cnoc1,3.2522
732,Cc1conn1,3.6981
733,Cc1[nH]ncn1,3.1055
734,Cc1ncno1,1.8949
735,Cc1cc[nH]n1,1.9119
736,Cc1nc[nH]n1,2.3091
737,Cc1cn[nH]n1,0.5006
738,Cc1n[nH]nn1,2.0655
739,Cc1ccon1,2.8649
740,Cc1ncon1,1.0701
741,Cc1cnon1,3.7027
742,Cc1nnon1,2.7404
743,Cn1cccn1,2.2871
744,Cn1ccnn1,4.458
745,Cn1cncn1,3.1995
746,Cn1cnnc1,5.9568
747,Cn1cnnn1,5.7041
748,Cn1nccn1,0.4905
749,Cn1ncnn1,2.7916
750,Cn1nnnn1,4.7538
751,N=C1NC=NO1,3.3378
752,N=C1NN=NN1,1.4387
753,N=C1OC=NO1,1.7372
754,N=C1ON=NO1,1.3883
755,c1cn[nH]c1N,3.385
756,c1cnoc1N,3.8286
757,c1c([nH]nn1)N,5.383
758,c1c(onn1)N,5.0217
759,c1c(cn[nH]1)N,2.6547
760,c1c(nn[nH]1)N,4.0185
761,c1c(con1)N,3.9291
762,c1c(nno1)N,4.0976
763,c1nc([nH]n1)N,3.6291
764,c1nc(on1)N,3.0643
765,c1c[nH]nc1N,1.7832
766,c1[nH]nc(n1)N,1.9435
767,c1c(n[nH]n1)N,1.525
768,c1(n[nH]nn1)N,2.3205
769,c1conc1N,3.1792
770,c1nc(no1)N,1.8006
771,c1c(non1)N,4.3899
772,c1(nnon1)N,3.6429
773,c1[nH]c(=O)[nH]n1,2.7251
774,c1[nH]c(=O)on1,5.0233
775,c1(=O)[nH]nn[nH]1,0.3207
776,c1(=O)[nH]nno1,2.925
777,c1noc(=O)o1,3.3641
778,c1(=O)onno1,1.0079
779,c1cn[nH]c1O,2.8587
780,c1c(cn[nH]1)O,0.8594
781,c1c(nn[nH]1)O,2.8417
782,c1nc([nH]n1)O,2.1239
783,c1c[nH]nc1O,2.1199
784,c1[nH]nc(n1)O,2.8755
785,c1c(n[nH]n1)O,1.2703
786,c1(n[nH]nn1)O,0.8171
787,c1conc1O,1.6519
788,c1nc(no1)O,2.7179
789,c1(nnon1)O,2.5588
790,CC#CC(=NO)C,0.9081
791,CC(=NO)CC#C,0.4796
792,CC(=NO)CC#N,3.5818
793,CC(=NO)CC=O,2.0372
794,CC(=NO)CCO,0.8991
795,CCCC(=NO)C,0.7013
796,CC(=NO)COC,0.7169
797,CC(=NO)C(=NO)C,0.0
798,CC(=NO)C(=O)N,3.3526
799,CC(C)C(=NO)C,0.5991
800,CC(O)C(C)=NO,1.4965
801,CC1CC(C1)=NO,1.0383
802,CN1CC(=NO)C1,0.896
803,ON=C1CC(O)C1,1.6073
804,C#CC(=NO)C#C,0.468
805,CCC(=NO)C#C,0.6625
806,C#CC(=NO)CO,1.7906
807,CCC(=NO)CC,0.6108
808,CCC(=NO)CO,2.0392
809,CC1CCC1=NO,0.8203
810,CC1NCC1=NO,1.1445
811,CC1OCC1=NO,1.103
812,ON=C1CCC1O,0.9638
813,C1C=CCC1=NO,0.6622
814,C1CC(=NO)C=C1,1.3282
815,C1C(=NO)C=CN1,2.4693
816,C1CCC(=NO)C1,0.9192
817,C1COCC1=NO,1.01
818,CC(=NO)C1CC1,0.6127
819,CC(=NO)C1CN1,1.6908
820,CC(=NO)C1CO1,1.5017
821,ON=C1CC2CC12,1.2435
822,ON=C1CC2NC12,2.0903
823,ON=C1CC2OC12,1.8161
824,ON=C1CN2CC12,0.9303
825,C#CC(F)(F)F,2.0892
