,smiles,homo
233,CC#CC(C)O,-0.2492
234,CC(=O)CC#C,-0.246
235,CC(=O)CC#N,-0.274
236,C#CCC(=O)N,-0.2498
237,C(C#N)C(=O)N,-0.2741
238,CC(=N)NC=O,-0.2611
239,CC(=N)OC=O,-0.2723
240,CC(=O)CC=O,-0.2505
241,CC(=O)NC=N,-0.2397
242,CC(=O)NC=O,-0.2511
243,CC(=O)OC=N,-0.2768
244,C(=O)NC(=N)N,-0.2336
245,C(C=O)C(=O)N,-0.2502
246,C(=N)NC(=O)N,-0.2443
247,C(=O)NC(=O)N,-0.2548
248,NC(=O)OC=N,-0.2743
249,CC(C)CC#C,-0.259
250,CC(C)CC#N,-0.3161
251,CC(O)CC#C,-0.2622
252,CC(O)CC#N,-0.2866
253,CN(C)CC#N,-0.2371
254,CC(C)CC=O,-0.2481
255,CC(C)NC=O,-0.2484
256,CC(C)OC=O,-0.2748
257,CC(O)CC=O,-0.2437
258,CN(C)CC=O,-0.2267
259,CC(=O)CCO,-0.2458
260,CCCC(=O)C,-0.2415
261,CCCC(=O)N,-0.243
262,CCNC(=O)C,-0.2402
263,CCNC(=O)N,-0.2427
264,CCOC(=O)C,-0.2654
265,CCOC(=O)N,-0.2644
266,C[NH2+]CC([O-])=O,-0.2494
267,CC(=O)COC,-0.2449
268,COCC(=O)N,-0.2464
269,C(CO)C(=O)N,-0.2471
270,[NH3+]CCC([O-])=O,-0.167
271,CC(C)CCO,-0.2613
272,CC(O)CCO,-0.2583
273,CCCC(C)C,-0.3042
274,CCCC(C)O,-0.2613
275,CCOC(C)C,-0.2458
276,CC(C)COC,-0.2508
277,COCC(C)O,-0.2581
278,CC(=O)C(=O)C,-0.2408
279,CC(=O)C(=N)N,-0.2483
280,CC(=O)C(=O)N,-0.2416
281,NC(=[NH2+])C([O-])=O,-0.2349
282,C(=O)(C(=O)N)N,-0.2422
283,CC(C)C(=O)C,-0.2389
284,CC(C)C(=O)N,-0.2409
285,CC([NH3+])C([O-])=O,-0.251
286,CC(O)C(C)=O,-0.263
287,CC(O)C(N)=O,-0.26
288,CC(=O)N(C)C,-0.2342
289,CN(C)C(=O)N,-0.2306
290,CC(C)C(C)C,-0.3016
291,CC(C)C(C)O,-0.2613
292,CC(O)C(C)O,-0.2564
293,CC1(CCC1)C,-0.2837
294,CC1(CCO1)C,-0.2392
295,CC1(COC1)C,-0.2425
296,CC1(CCC1)O,-0.2526
297,CC1(COC1)O,-0.246
298,CC1(C)CC1O,-0.2497
299,CC1(O)CC1O,-0.2427
300,CC1CC1(C)C,-0.2558
301,CC1CC1(C)O,-0.2458
302,CC1OC1(C)C,-0.2545
303,CC1(CN1C)C,-0.219
304,CC1CC(=N)O1,-0.2598
305,CC1CC(=O)C1,-0.2394
306,CC1CC(=O)N1,-0.2465
307,CC1CC(=O)O1,-0.2737
308,CN1CC(=O)C1,-0.2304
309,C1C(CC1=O)O,-0.242
310,CC1CC(C)C1,-0.2832
311,CC1CC(C)O1,-0.2399
312,CC1CC(O)C1,-0.253
313,CN1CC(C1)O,-0.2196
314,OC1CC(O)C1,-0.2525
315,CC12CC(C1)C2,-0.2934
316,CC12CC(C1)O2,-0.2307
317,CC12CN(C1)C2,-0.2257
318,OC12CC(C1)C2,-0.2587
319,OC12CN(C1)C2,-0.2445
320,C#CC(=O)C#C,-0.28
321,C#CC(=O)C#N,-0.3156
322,C(#N)C(=O)C#N,-0.3538
323,C#CC(=O)C=O,-0.2672
324,C(=O)C(=O)C#N,-0.2978
325,C(=O)C(=O)C=O,-0.2606
326,CC(C#C)C#C,-0.2622
327,CC(C#C)C#N,-0.2879
328,CC(C#N)C#N,-0.3433
329,NC(C#C)C#N,-0.2798
330,C(#N)C(C#N)N,-0.3037
331,C#CC(C#C)O,-0.2708
332,OC(C#C)C#N,-0.3019
333,C(#N)C(C#N)O,-0.3463
334,CC(C=O)C#C,-0.2536
335,CC(C=O)C#N,-0.2801
336,OC(C=O)C#C,-0.2709
337,OC(C=O)C#N,-0.3073
338,CC(C=O)C=O,-0.2559
339,CN(C=N)C=O,-0.2595
340,CN(C=O)C=O,-0.2725
341,C(=O)C(C=O)O,-0.2649
342,CN=C(C#N)N,-0.2622
343,CN=C(C=O)N,-0.2476
344,CCC(=O)C#C,-0.264
345,CCC(=O)C#N,-0.2976
346,CNC(=N)C#N,-0.2527
347,CNC(=O)C#C,-0.2591
348,COC(=O)C#C,-0.2806
349,COC(=O)C#N,-0.3197
350,C#CC(=O)CO,-0.2661
351,C(C(=O)C#N)O,-0.3004
352,CCC(=O)C=O,-0.2515
353,CNC(=N)C=O,-0.2388
354,CNC(=O)C=O,-0.2505
355,COC(=O)C=O,-0.2683
356,C(C(=O)C=O)O,-0.2516
357,CCC(=O)CC,-0.2412
358,CCC(=O)CO,-0.2429
359,CCC(=O)NC,-0.2422
360,CCC(=O)OC,-0.268
361,CNC(=O)CO,-0.2433
362,CNC(=O)NC,-0.2383
363,CNC(=O)OC,-0.2496
364,COC(=O)CN,-0.2466
365,COC(=O)CO,-0.2705
366,C(C(=O)CO)O,-0.2447
367,CC(=NC)OC,-0.2427
368,CC(CO)C#C,-0.2613
369,CC(CO)C#N,-0.2896
370,CCC(C)C#C,-0.2575
371,CCC(C)C#N,-0.3144
372,CCC(N)C#N,-0.2695
373,CCC(O)C#C,-0.2649
374,CCC(O)C#N,-0.3028
375,CNC(C)C#N,-0.2424
376,COC(C)C#C,-0.2538
377,COC(C)C#N,-0.2865
378,NC(CO)C#N,-0.2619
379,NCC(N)C#N,-0.2534
380,NCC(O)C#N,-0.2549
381,OCC(O)C#C,-0.2624
382,OCC(O)C#N,-0.2878
383,CC(CO)C=O,-0.2523
384,CCC(C)C=O,-0.2451
385,CCC(O)C=O,-0.2736
386,CCN(C)C=O,-0.2407
387,COC(C)C=O,-0.2545
388,OCC(O)C=O,-0.2662
389,CC(CO)CO,-0.2607
390,CCC(C)CC,-0.303
391,CCC(C)CO,-0.2625
392,CCC(C)OC,-0.248
393,CCC(CC)O,-0.2621
394,CCC(O)CO,-0.256
395,COC(C)CO,-0.2545
396,C(C(CO)O)O,-0.2606
397,CC1(CC1)C#C,-0.24
398,CC1(CC1)C#N,-0.2853
399,CC1(CN1)C#C,-0.2444
400,CC1(CN1)C#N,-0.2743
401,CC1(CO1)C#C,-0.2616
402,CC1(CO1)C#N,-0.3007
403,C1CC1(C#N)N,-0.2722
404,C#CC1(CC1)O,-0.2424
405,C1CC1(C#N)O,-0.2828
406,CC1(CC1)C=O,-0.2482
407,CC1(CN1)C=O,-0.2483
408,CC1(CO1)C=O,-0.2592
409,C1CC1(C=O)O,-0.2519
410,CC1(CC1)CO,-0.2616
411,CC1(CO)CN1,-0.2463
412,CC1(CO)CO1,-0.2611
413,CCC1(CC1)C,-0.2627
414,CCC1(C)CO1,-0.2587
415,CCC1(CC1)O,-0.2519
416,CC1(CC1)OC,-0.245
417,C1CC1(CO)O,-0.2421
418,CC1CCC1=O,-0.2374
419,CC1CNC1=O,-0.2452
420,CC1COC1=N,-0.2615
421,CC1COC1=O,-0.2726
422,CC1NCC1=O,-0.2421
423,CC1OCC1=O,-0.2575
424,CN1CCC1=O,-0.2414
425,NC1COC1=N,-0.2491
426,NC1COC1=O,-0.2481
427,OC1CCC1=O,-0.2509
428,OC1CNC1=O,-0.2475
429,OC1COC1=N,-0.2717
430,OC1COC1=O,-0.2674
431,CC1CCC1C,-0.2822
432,CC1CCC1O,-0.2522
433,CC1COC1C,-0.2398
434,CC1OCC1O,-0.2442
435,OC1CCC1O,-0.2476
436,N=C1CN=CN1,-0.2323
437,C1C=CCC1=O,-0.2409
438,C1C=CNC1=O,-0.2165
439,C1C(=O)NC=N1,-0.25
440,C1C(=O)OC=N1,-0.2793
441,N=C1OCC=C1,-0.2462
442,C1CC(=O)C=C1,-0.2366
443,C1C=CC(=O)N1,-0.2428
444,N=C1CCCO1,-0.2549
445,N=C1COCO1,-0.272
446,N=C1OCCO1,-0.2556
447,C1CCC(=O)C1,-0.235
448,C1CC(=O)NC1,-0.237
449,C1CC(=O)OC1,-0.2646
450,C1COCC1=O,-0.2439
451,C1C(=O)OCO1,-0.2775
452,C1CNC(=O)N1,-0.2457
453,C1COC(=O)N1,-0.2632
454,C1COC(=O)O1,-0.2935
455,CC1=CCCC1,-0.2238
456,CC1=CCOC1,-0.2252
457,CC1=NCCO1,-0.2399
458,CC1CC=CC1,-0.2335
459,CC1CN=CO1,-0.246
460,OC1CC=CC1,-0.2461
461,CC1CCC=C1,-0.2341
462,CC1COC=N1,-0.2473
463,CC1OCC=C1,-0.2302
464,OC1CCC=C1,-0.2491
465,CC1CCCC1,-0.3044
466,CC1CCCO1,-0.2379
467,CC1CCOC1,-0.2381
468,CC1COCO1,-0.2502
469,CC1OCCO1,-0.2542
470,C1CCC(C1)O,-0.2601
471,OC1CCOC1,-0.2428
472,CC1C(C)C1C,-0.2571
473,CC1C(C)C1O,-0.2441
474,CC1C(C)N1C,-0.2104
475,CC1C(O)C1O,-0.2301
476,OC1C(O)C1O,-0.2552
477,CC12CC1CC2,-0.243
478,CC12CC1CO2,-0.2287
479,CC12CC1OC2,-0.2293
480,CC12CCC1O2,-0.2442
481,OC12CC1CC2,-0.2475
482,OC12CC1OC2,-0.2318
483,C#CC#CC#C,-0.2465
484,C#CC#CC#N,-0.284
485,C(#CC#N)C#N,-0.3277
486,C#CCCC#C,-0.2615
487,C#CCCC#N,-0.2821
488,C(CC#N)C#N,-0.3397
489,C#CC#CC=O,-0.275
490,C(=O)C#CC#N,-0.3053
491,C(=O)C#CC=O,-0.2894
492,N=COCC#C,-0.2698
493,N=COCC#N,-0.2899
494,C#CCCC=O,-0.2549
495,C(CC#N)C=O,-0.274
496,C#CCNC=O,-0.2561
497,C(C#N)NC=O,-0.2788
498,C#CCOC=O,-0.2819
499,C(C#N)OC=O,-0.3057
500,N=COCC=O,-0.2626
501,C(CC=O)C=O,-0.2578
502,C(C=O)NC=O,-0.2579
503,C(C=O)OC=O,-0.2773
504,CC#CC#CC,-0.2265
505,CC#CCC#C,-0.2479
506,CC#CCC#N,-0.2693
507,CC#CCC=O,-0.2463
508,CN=CNC=O,-0.2408
509,CN=COC=O,-0.2771
510,CCC#CC#C,-0.2405
511,CCC#CC#N,-0.2842
512,C#CC#CCO,-0.2442
513,C(C#CC#N)O,-0.2849
514,CCC#CC=O,-0.2632
515,C(C#CC=O)O,-0.2682
516,CCC#CCC,-0.239
517,CCC#CCO,-0.2418
518,C(C#CCO)O,-0.2515
519,CCN=COC,-0.2447
520,CC#CCCO,-0.2431
521,CCCC#CC,-0.2397
522,CC#CCOC,-0.2424
523,CCOC=NC,-0.2456
524,CCCCC#C,-0.2579
525,CCCCC#N,-0.3164
526,CCNCC#N,-0.2476
527,CCOCC#C,-0.2547
528,CCOCC#N,-0.2825
529,COCCC#C,-0.2584
530,COCCC#N,-0.2751
531,C#CCCCO,-0.2594
532,C(CC#N)CO,-0.282
533,CCCCC=O,-0.248
534,CCCNC=O,-0.2492
535,CCCOC=O,-0.2771
536,CCOCC=O,-0.2564
537,COCCC=O,-0.2544
538,C(CC=O)CO,-0.2512
539,C(CO)NC=O,-0.2477
540,OCCOC=N,-0.27
541,C(COC=O)O,-0.281
542,CCCCCC,-0.3039
543,CCCCCO,-0.2614
544,CCCCOC,-0.2496
545,CCCOCC,-0.2481
546,CCOCCO,-0.2599
547,COCCCO,-0.2515
548,COCCOC,-0.2512
549,C(CCO)CO,-0.2614
550,C#CC1CCC1,-0.2544
551,C#CC1CCO1,-0.2535
552,C#CC1COC1,-0.2533
553,C1CC(C1)C#N,-0.3085
554,N#CC1CCN1,-0.2526
555,N#CC1CCO1,-0.2807
556,C1C(CO1)C#N,-0.2731
557,C1CC(C1)C=O,-0.2459
558,O=CC1CCO1,-0.2487
559,C1C(CO1)C=O,-0.2557
560,C1CN(C1)C=O,-0.2396
561,CN=C1CCO1,-0.2475
562,CCC1CCC1,-0.2855
563,CCC1CCO1,-0.2406
564,CCC1COC1,-0.2416
565,COC1CCC1,-0.2445
566,COC1COC1,-0.247
567,C1CC(C1)CO,-0.2613
568,OCC1CCO1,-0.2475
569,C1C(CO1)CO,-0.2432
570,C#CCC1CC1,-0.2584
571,C#CCC1CO1,-0.2611
572,C#CCN1CC1,-0.239
573,C1CC1CC#N,-0.3029
574,N#CCC1CN1,-0.2641
575,N#CCC1CO1,-0.2893
576,C1CN1CC#N,-0.2611
577,N=COC1CC1,-0.2588
578,C1CC1CC=O,-0.2458
579,O=CCC1CN1,-0.2489
580,O=CCC1CO1,-0.2535
581,C1CN1CC=O,-0.2497
582,C1CC1NC=O,-0.2469
583,C1CC1OC=O,-0.2762
584,CC#CC1CC1,-0.2264
585,CC#CC1CN1,-0.229
586,CC#CC1CO1,-0.2473
587,CCCC1CC1,-0.2707
588,CCCC1CO1,-0.2621
589,CCCN1CC1,-0.2296
590,CCOC1CC1,-0.2424
591,COCC1CC1,-0.2495
592,COCC1CN1,-0.2447
593,COCC1CO1,-0.2579
594,C1CC1CCO,-0.2617
595,OCCC1CO1,-0.2659
596,C1CN1CCO,-0.2447
597,CC1CC1C#C,-0.24
598,CC1CC1C#N,-0.2867
599,CC1NC1C#C,-0.2454
600,CC1NC1C#N,-0.2776
601,CC1OC1C#C,-0.2601
602,CC1OC1C#N,-0.2985
603,CN1CC1C#C,-0.2293
604,CN1CC1C#N,-0.2579
605,OC1CC1C#C,-0.2506
606,OC1CC1C#N,-0.278
607,CC1CC1C=O,-0.2446
608,CC1CN1C=O,-0.2505
609,CC1NC1C=O,-0.2482
610,CC1OC1C=O,-0.2601
611,CN1CC1C=O,-0.2353
612,OC1CC1C=O,-0.2437
613,CC1CC1CO,-0.2572
614,CC1NC1CO,-0.2467
615,CC1OC1CO,-0.2622
616,CCC1CC1C,-0.263
617,CCC1CC1O,-0.2517
618,CCC1CN1C,-0.22
619,CCC1OC1C,-0.2567
620,CCN1CC1C,-0.2199
621,CN1CC1CO,-0.2232
622,COC1CC1C,-0.2416
623,COC1CC1O,-0.2289
624,OCC1CC1O,-0.25
625,CC(=O)C1CC1,-0.2425
626,CC(=O)C1CN1,-0.257
627,CC(=O)C1CO1,-0.251
628,CC(=O)N1CC1,-0.2455
629,C1CC1C(=O)N,-0.2454
630,NC(=O)C1CN1,-0.2521
631,NC(=O)C1CO1,-0.2507
632,C1CN1C(=O)N,-0.2459
633,CC(C)C1CC1,-0.2725
634,CC(C)C1CO1,-0.2618
635,CC(C)N1CC1,-0.2299
636,CC(O)C1CC1,-0.2585
637,CC(O)C1CN1,-0.2355
638,CC(O)C1CO1,-0.265
639,C1CC2(C1)CC2,-0.2618
640,C1CC12CCO2,-0.224
641,C1CC12COC2,-0.241
642,C1C2(N1)COC2,-0.2449
643,C1CC2(C1)CO2,-0.2579
644,C1C2(CO1)CO2,-0.2554
645,C1C2CC1C=C2,-0.2223
646,C1C2OC1C=C2,-0.2346
647,C1C2CC1CC2,-0.2957
648,C1C2CC1OC2,-0.2355
649,C1C2CCC1O2,-0.2427
650,CC1C2CC1C2,-0.2892
651,CC1C2CC1O2,-0.2338
652,OC1C2CC1C2,-0.2526
653,OC1C2CC1O2,-0.2388
654,C1COCC=C1,-0.2427
655,C1CCC=CC1,-0.2343
656,C1CN=COC1,-0.2453
657,C1CCCCC1,-0.2913
658,C1CCOCC1,-0.2429
659,C1COCCO1,-0.2351
660,C1COCOC1,-0.2601
661,C1CC2CCC12,-0.2634
662,C1CC2OCC12,-0.2393
663,C1OC2COC12,-0.2484
664,CC1C2CCC12,-0.2481
665,CC1C2COC12,-0.2325
666,OC1C2CCC12,-0.2452
667,OC1C2COC12,-0.2374
668,C1C2CC=CC12,-0.2245
669,C1C2OC=NC12,-0.2458
670,C1C=CC2NC12,-0.2299
671,C1C=CC2OC12,-0.2454
672,C1C2CCCC12,-0.2611
673,C1C2CCOC12,-0.2271
674,C1C2COCC12,-0.2482
675,C1C2OCOC12,-0.2313
676,C1CC2OC2C1,-0.2561
677,C1OCC2NC12,-0.2391
678,C1OCC2OC12,-0.2557
679,N=C1OC2CC12,-0.2622
680,O=C1CC2CC12,-0.2407
681,O=C1CC2CN12,-0.25
682,O=C1CC2NC12,-0.2405
683,O=C1CC2OC12,-0.2489
684,O=C1CN2CC12,-0.2495
685,O=C1NC2CC12,-0.2475
686,O=C1OC2CC12,-0.2803
687,CC1CC2CC12,-0.2504
688,CC1CC2OC12,-0.2504
689,CC1OC2CC12,-0.2317
690,OC1CC2CC12,-0.25
691,OC1CC2NC12,-0.2377
692,OC1CC2OC12,-0.2521
693,OC1CN2CC12,-0.235
694,C1C2C3CC2C13,-0.2893
695,C1C2C3CN2C13,-0.2293
696,C1C2C3OC2C13,-0.2321
697,N1C2C3NC2C13,-0.2251
698,N1C2C3OC2C13,-0.2396
699,O1C2C3OC2C13,-0.2495
700,C1CC1C2CC2,-0.2473
701,C1CC1C1CO1,-0.2596
702,C1CC1N2CC2,-0.2188
703,C1NC1C1CN1,-0.2328
704,C1NC1C1CO1,-0.2493
705,C1OC1C1CO1,-0.2647
706,C1C2C1C1CC21,-0.2073
707,C1C2C1C1NC21,-0.2059
708,C1C2C1C1OC21,-0.2318
709,C1C2C1N1CC21,-0.2206
710,N1C2C1C1NC21,-0.2009
711,N1C2C1C1OC21,-0.2233
712,O1C2C1C1OC21,-0.256
713,C1C2C3C1CN23,-0.2359
714,C1C2C3CC1C23,-0.2442
715,C1C2C3CC1N23,-0.2409
716,C1C2C3CN1C23,-0.2238
717,C1C2C3OC1C23,-0.2298
718,C12C3C1C1C2C31,-0.2242
719,C12C3C1N1C2C31,-0.2152
720,c1ccnnc1,-0.2329
721,c1cnnnc1,-0.2556
722,c1nncnn1,-0.2475
723,c1ncnnn1,-0.2631
724,c1cnnnn1,-0.2639
725,Cc1ccn[nH]1,-0.2317
726,Cc1ccno1,-0.2527
727,Cc1cnn[nH]1,-0.251
728,Cc1cnno1,-0.2707
729,Cc1c[nH]nc1,-0.2321
730,Cc1c[nH]nn1,-0.2499
731,Cc1cnoc1,-0.2549
732,Cc1conn1,-0.2697
733,Cc1[nH]ncn1,-0.2565
734,Cc1ncno1,-0.2874
735,Cc1cc[nH]n1,-0.2393
736,Cc1nc[nH]n1,-0.2566
737,Cc1cn[nH]n1,-0.2584
738,Cc1n[nH]nn1,-0.2882
739,Cc1ccon1,-0.2618
740,Cc1ncon1,-0.2916
741,Cc1cnon1,-0.3017
742,Cc1nnon1,-0.3198
743,Cn1cccn1,-0.2378
744,Cn1ccnn1,-0.2576
745,Cn1cncn1,-0.2624
746,Cn1cnnc1,-0.2491
747,Cn1cnnn1,-0.2827
748,Cn1nccn1,-0.2587
749,Cn1ncnn1,-0.2907
750,Cn1nnnn1,-0.3198
751,N=C1NC=NO1,-0.2313
752,N=C1NN=NN1,-0.2243
753,N=C1OC=NO1,-0.2634
754,N=C1ON=NO1,-0.2947
755,c1cn[nH]c1N,-0.206
756,c1cnoc1N,-0.218
757,c1c([nH]nn1)N,-0.2234
758,c1c(onn1)N,-0.2338
759,c1c(cn[nH]1)N,-0.1956
760,c1c(nn[nH]1)N,-0.2126
761,c1c(con1)N,-0.2186
762,c1c(nno1)N,-0.2311
763,c1nc([nH]n1)N,-0.2268
764,c1nc(on1)N,-0.2475
765,c1c[nH]nc1N,-0.2006
766,c1[nH]nc(n1)N,-0.2143
767,c1c(n[nH]n1)N,-0.2181
768,c1(n[nH]nn1)N,-0.2385
769,c1conc1N,-0.2328
770,c1nc(no1)N,-0.2447
771,c1c(non1)N,-0.2516
772,c1(nnon1)N,-0.2663
773,c1[nH]c(=O)[nH]n1,-0.2283
774,c1[nH]c(=O)on1,-0.2655
775,c1(=O)[nH]nn[nH]1,-0.261
776,c1(=O)[nH]nno1,-0.2987
777,c1noc(=O)o1,-0.2998
778,c1(=O)onno1,-0.3348
779,c1cn[nH]c1O,-0.2185
780,c1c(cn[nH]1)O,-0.2132
781,c1c(nn[nH]1)O,-0.2326
782,c1nc([nH]n1)O,-0.2453
783,c1c[nH]nc1O,-0.2207
