smiles,log10_O2_Bayesian
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,4.271841607
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,4.252853031
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cccc(F)c1,4.155336037
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,4.158362492
*/C(=C(\*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,3.591064607
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,3.301029996
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3.73239376
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,3.431363764
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3.698970004
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,3.544068044
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,3.819543936
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,3.792391689
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,2.657775267
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,3.770852012
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3.5681966605
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,3.0
*/C(=C(\*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,2.917677074666667
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,2.653212514
*/C(=C(\*)c1ccc2c(c1)CCC2)c1ccccc1,1.934498451
*/C(=C(\*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,2.763427994
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,3.322219295
*/C(=C(\*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,2.908485019
*/C(=C(\*)c1ccccc1)c1ccccc1,3.079181246
*/C=C/CC*,1.8572729985
*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.469822016
*C(*)(F)F,-0.8322994425454546
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3C)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.447158031
*C(=O)Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.973127854
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-0.587343188
*C(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)cc1C,0.041392685
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,-0.700769733
*C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-0.150135534
*C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)cc1,-0.422081149
*C(=O)Oc1c(C)cc(C(c2cc(C)c(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,1.276461804
*C(=O)Oc1ccc(C(c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3c(C)cc(-c5cc(C)c(N6C(=O)c7ccc(*)cc7C6=O)c(C)c5)cc3C)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.021189299
*C(=O)c1ccc2c(c1)C(=O)N(c1c(C)c(C)c(N3C(=O)c4ccc(*)cc4C3=O)c(C)c1C)C2=O,1.071882007
*C(C)=C(*)[Si](C)(C)C,3.733584470875
*C(C)=C(*)[Si](C)(C)C(C)C,2.662757832
*C(C)=C(*)[Si](C)(C)CC,2.842870869
*C(C)=C(*)[Si](C)(C)CCC,1.92254902
*C(C)=C(*)[Si](C)(C)CCCC,1.462397998
*C(C)=C(*)[Si](C)(C)CCCCCC,1.176091259
*C(C)=C(*)[Si](C)(C)CCCCCCCC,1.361727836
*C(C)=C(*)[Si](C)(C)c1ccccc1,0.643452676
*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,2.380211242
*C(Cl)=C(*)c1ccccc1,0.903089987
*C(F)(F)C(*)(F)Cl,-0.40533487212499997
*C*,0.6380596271166666
*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,2.995635195
*C1C2CC(C1*)C([Si](C)(C)C)C2,3.1222829745
*C1CCCCC1*,4.785329835
*C=C(*)C(C)(C)C,2.1781624255
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,2.079181246
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,1.857332496
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,1.230448921
*C=CC1CC(*)C([Si](C)(C)C)C1,1.477121255
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,1.204119983
*C=CC1CCC(*)C1,0.447158031
*C=CCC*,1.62939875025
*C=CCCC*,2.491361694
*C=Cc1ccc(*)cc1[Si](C)(C)C(C)(C)C,0.812913357
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,0.544068044
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,1.079181246
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,1.079181246
*C=Cc1ccc(*)cc1[Si](CC)(CC)CC,0.819543936
*CC(*)(C)C,0.6982732046666666
*CC(*)(C)C#N,-3.043639446
*CC(*)(C)C(=O)OC,-0.46408845
*CC(*)(C)C(=O)OCC,0.06069784
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,2.313831405
*CC(*)(C)C(=O)OCCO,0.7175503186000001
*CC(*)(Cl)Cl,-2.064609118714286
*CC(*)(F)F,-1.0514100500999999
*CC(*)C,0.20983077412499998
*CC(*)C#N,-3.35006665275
*CC(*)C(=O)OC,0.025305865
*CC(*)C(=O)OCC,1.278753601
*CC(*)C(=O)OCCCCCCCCCC,1.677606953
*CC(*)C(=O)OCCCCCCCCCCCCCC,1.756636108
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,1.875061263
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,1.882524538
*CC(*)C(C)=O,-0.305204054
*CC(*)CC(C)C,1.456988386
*CC(*)CCCC,4.857332496
*CC(*)Cl,-0.8570841409333333
*CC(*)F,-1.397940009
*CC(*)N1CCCC1=O,-1.7000571
*CC(*)O,0.14987673069230764
*CC(*)OC,0.581654886
*CC(*)OC(=O)C1CCCCC1,0.311310192
*CC(*)OC(=O)c1ccc(C(C)C)cc1,0.730864626
*CC(*)OC(=O)c1ccc(C)cc1,0.224379576
*CC(*)OC(=O)c1ccccc1,0.197705815
*CC(*)OC(C)=O,-0.21660536325000002
*CC(*)OC1C2CC3CC(C2)CC1C3,0.778874472
*CC(*)OC1CC2CCC1C2,0.5179748895
*CC(*)OC1CCCCC1,0.567026366
*CC(*)OCC,-1.619788758
*CC(*)OCC1CC2CC1C1CCCC21,-0.091514981
*CC(*)OCC1CCCCC1,0.190331698
*CC(*)OCc1ccccc1,0.367355921
*CC(*)[Si](C)(C)C,1.596455557
*CC(*)c1ccccc1,0.3305795400588235
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-0.998236835
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,-0.852642775
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-0.609511355
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2)cc1,-0.30313657
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,-0.651585639
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,-0.513751373
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,-1.065501549
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,-1.045757491
*CC(C)O*,-0.06868117024999998
*CC(CCl)O*,0.021189299
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,-1.762205007
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,-0.885842039
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,-0.535963476
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CCl,-1.304971347
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,-0.730940079
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1Cl,-1.253818824
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,-0.595277477
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,-0.907031338
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(C)=O,-0.810121325
*CC(COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1)OC(C)=O,-0.595277477
*CC(COc1ccc(O*)cc1)OC(C)=O,-1.730940079
*CC(COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1)OC(C)=O,-1.509091329
*CC(CS(=O)(=O)C(C)C)O*,-0.796967113
*CC(CS(=O)(=O)CC)O*,-1.931665687
*CC(CS(=O)(=O)CCC)O*,-0.533725678
*CC(CS(=O)(=O)CCCC)O*,-0.274088368
*CC(CS(=O)(=O)CCCCC)O*,-0.252899069
*CC(CS(C)(=O)=O)O*,-2.730020323
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,-1.6128954845
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,-1.740083458
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,-1.509091329
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,-1.318759631
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,-1.304971347
*CC(O)COc1ccc(C2CC(C(C)C)CCC2(C)c2ccc(O*)cc2)cc1,-0.347723327
*CC(O)COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1,-1.031970075
*CC(O)COc1ccc(Cc2ccc(O*)cc2)cc1,-1.606001342
*CC(O)COc1ccc(O*)cc1,-2.522879614
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,-1.9139254805
*CC/C=C(/*)C,1.597810555125
*CC1CC(*)OC(C)O1,-0.785434193
*CC1CC(*)OC(CCC)O1,-0.08482627766666667
*CC1CC(*)OCO1,-1.24295555
*CC1CC(C*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.342422681
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,-0.614221673
*CCC1CC(=O)N(*)C1=O,1.327971624
*CCC=C(*)Cl,0.5452171306
*CCCCCC(=O)N*,-2.103222268
*CCCCCC(=O)O*,0.6978370195
*CCCCCCCC(=O)N*,-1.762205007
*CCCCCCCCCCCC(=O)N*,-1.597394758
*CCCCCCCCCCOC(=O)O*,0.491684243
*CCCCCNC(=O)CCCCC(=O)N*,-1.468521083
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,-1.015118456
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)O*,-1.886320788
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-2.306609796
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-2.4179476
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-2.275161082
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-2.377501444
*CCC[Si](*)(C)C,0.977723605
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,0.041392685
*CCOC(=O)c1ccc(C(=O)O*)cc1,-0.9184308005161291
*CCOC(=O)c1ccc(O*)cc1,-3.497750458
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,-1.58564298675
*CCOC(=O)c1cccc(C(=O)O*)c1,-1.8609858149999998
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,-2.314900215
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,-1.655959333
*CCc1cc(Cl)c(*)c(Cl)c1,-0.7424059105
*CCc1ccc(*)c(Br)c1,-1.6269098465
*CCc1ccc(*)c(C#N)c1,-1.0476394375
*CCc1ccc(*)c(C)c1,-1.2404770195
*CCc1ccc(*)c(CC)c1,-0.301591606
*CCc1ccc(*)c(Cl)c1,-1.3258798505
*CCc1ccc(*)cc1,-0.7424059105
*CN1CN(*)Cc2cc(C3(c4cc(*)c(*)c(C)c4)C4CC5CC(C4)CC3C5)cc(C)c21,2.1353584973333333
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,3.178976208
*CN1CN(*)Cc2cc3c(cc21)C1(CC(C)(C)c2cc(*)c(*)cc21)CC3(C)C,2.837448933
*CN1CN(*)Cc2cc3c(cc21)C1c2ccccc2C3c2cc(*)c(*)cc21,3.165149632
*CN1CN(*)Cc2cc3cc4c(cc3cc21)C1CC4c2cc3cc4c(cc3cc21)CN(*)CN4C*,2.4711743892499998
*CN1Cc2cc3c(cc2N(*)C1)C1c2cc(*)c(*)cc2C3c2cc3cc4c(cc3cc21)C(C)(C)CCC4(C)C,3.307496038
*CO*,-0.6917853645
*COC(=O)NCCCCCCNC(=O)OCc1cccc(*)n1,-2.148741651
*COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cccc(*)n3)cc2)cc1,-1.420216403
*C[Si](*)(C)C,1.995635195
*Cc1ccc(C*)c(Cl)c1,-1.522878745
*Cc1ccc(C*)cc1,-0.619788758
*N=P(*)(Oc1ccccc1)Oc1ccccc1,-0.013228266
*N=P(N=P(N=S(*)(=O)NCC)(NCC)NCC)(NCC)NCC,0.262201208
*N=P(N=P(N=S(*)(=O)NCCC)(NCCC)NCCC)(NCCC)NCCC,0.721246399
*N=P(N=P(N=S(*)(=O)NCCCC)(NCCCC)NCCCC)(NCCCC)NCCCC,1.152610163
*N=P(N=P(N=S(*)(=O)NCCCCCC)(NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,1.201971778
*N=P(N=P(N=S(*)(=O)NCCCCCCC)(NCCCCCCC)NCCCCCCC)(NCCCCCCC)NCCCCCCC,1.176091259
*NC(CC(C)C)C(*)=O,0.935003151
*NC(CCC(=O)O)C(*)=O,-3.22184875
*NC(CCC(=O)OC)C(*)=O,-0.091514981
*NC(CCC(=O)OCc1ccccc1)C(*)=O,-0.552841969
*NC(CCCCNC(=O)OCc1ccccc1)C(*)=O,-1.698970004
*NC(CCCCSC)C(*)=O,-0.387216143
*Nc1ccc(*)cc1,-1.0245742705
*Nc1ccc(*)cc1OC,-0.694648631
*Nc1ccc(*)cc1OCC,-0.207608311
*OC(=O)C(*)C,-0.6194224943333334
*OC(C)CC(*)=O,-0.896170913
*OC1C(C)(C)C(OC(*)=O)C1(C)C,1.071090072
*OC1C(CO)OC(*)C(O)C1O,-3.740130462
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,0.006811941000000006
*OC1C(COC)OC(*)C(OC)C1OC,0.122982182
*OC1C(COCC)OC(*)C(OCC)C1OCC,1.17320354
*OC1OC(OC(C)=O)C(*)C(OC(C)=O)C1OC(C)=O,-0.363383583
*OC1OC(OCC)C(*)C(OCC)C1OCC,1.1817690386666666
*O[Si](*)(C)C,2.425020214
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,0.633468456
*Oc1c(Br)cc(C2(c3cc(Br)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(Br)c3)CC(C)CC(C)(C)C2)cc1Br,1.190331698
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc(C)c(C)cc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.2705523775
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1cc2c(cc1C31c3cc(*)c(*)cc3-c3cc4c(cc31)C(C)(C)CCC4(C)C)C(C)(C)CCC2(C)C,3.0954458584999998
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C(C)(C)C)cc1C31c2cc(C(C)(C)C)ccc2-c2cc(*)c(*)cc21,3.3555871505
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C)cc1C31c2cc(C)ccc2-c2cc(*)c(*)cc21,3.1729416065000002
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2cc(*)c(*)cc2-c2cc(C)c(C)cc21,3.1222993505
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccccc1C31c2ccccc2-c2cc(*)c(*)cc21,3.13764078775
*Oc1c(C)cc(*)cc1C,1.1467355830000001
*Oc1c(C)cc(-c2cc(C)c(Oc3ccc(C(=O)c4ccc(*)c(S(=O)(=O)O)c4)cc3S(=O)(=O)O)c(C)c2)cc1C,0.3543444681666667
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(C)c2)cc1C,0.8454597185
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,0.73895005
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,0.823149324
*Oc1c(C)cc(C2(c3cc(C)c(OC(=O)c4cc(C(*)=O)cc(C(C)(C)C)c4)c(C)c3)CC(C)CC(C)(C)C2)cc1C,1.540329475
*Oc1c(C)cc(C2CCC(C(C)(C)c3cc(C)c(OC(=O)c4ccc(C(*)=O)cc4)c(C)c3)CC2C)cc1C,1.4758825
*Oc1cc2c(cc1O*)C(=O)N(c1c(C)c(C)c(-n3c(=O)c4cc5oc6cc7c(cc6oc5cc4c3=O)C3(C(C)C)c4ccccc4C7(C(C)C)c4cc(*)c(*)cc43)c(C)c1C)C2=O,2.733999287
*Oc1cc2c(cc1O*)C(C)(C)CC1(CC(C)(C)c3cc4c(cc3O1)Oc1c(C#N)c(*)c(*)c(C#N)c1O4)O2,2.3077119765000003
*Oc1cc2c(cc1O*)C1(C)c3cc4c(cc3C2(C)c2cc3cc5c(cc3cc21)C(C)(C)CCC5(C)C)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3.771665806666667
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,3.062485445
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1c(CN)c(*)c(*)c(CN)c1O3,2.890040419222222
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2nc4cc5c(cc4nc2cc1O3)C(C)(C)CC51CC(C)(C)c2cc3nc4cc(*)c(*)cc4nc3cc21,2.278753601
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6c(C)c(C)c(N7C(=O)c8cc(*)c(*)cc8C7=O)c(C)c6C)c(=O)c5cc4oc3cc21,2.176091259
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6c(C)cc(-c7cc(C)c(N8C(=O)c9cc(*)c(*)cc9C8=O)c8ccccc78)c7ccccc67)c(=O)c5cc4oc3cc21,2.736396502
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3oc4cc5c(=O)n(-c6ccc(C(c7ccc(N8C(=O)c9cc(*)c(*)cc9C8=O)cc7)(C(F)(F)F)C(F)(F)F)cc6)c(=O)c5cc4oc3cc21,1.929418926
*Oc1cc2c(cc1O*)C1(CC2(C)CC)c2cc3c(cc2C(C)(CC)C1C)Oc1c(C#N)c(*)c(*)c(C#N)c1O3,2.913813852
*Oc1ccc(*)cc1,1.2286919213333334
*Oc1ccc(-c2c(-c3ccc(Br)cc3)c(-c3ccc(Br)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(Br)cc3)c2-c2ccc(Br)cc2)cc1O*,2.089645372666667
*Oc1ccc(-c2c(-c3ccc(C#N)cc3)c(-c3ccc(C#N)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C#N)cc3)c2-c2ccc(C#N)cc2)cc1O*,2.156683332666667
*Oc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1O*,2.402140283
*Oc1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc4c(c3)Oc3c(C#N)c(*)c(*)c(C#N)c3O4)c(-c3ccccc3)c2-c2ccccc2)cc1O*,2.5344708160000002
*Oc1ccc(C(=C(Cl)Cl)c2ccc(OC(*)=O)cc2)cc1,0.113943352
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C(C)C)c2)cc1C(C)C,0.26245109
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,-0.522878745
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,-0.142667504
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,0.43604819149999996
*Oc1ccc(C(C)(C)c2ccc(OC(=O)N(C)c3ccc(S(=O)(=O)c4ccc(N(C)C(*)=O)cc4)cc3)cc2)cc1,-0.077205061
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)c(C)c2)cc1C,0.120573931
*Oc1ccc(C(CCCCC)(CCCCC)c2ccc(OC(*)=O)cc2)cc1,0.534026106
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,-0.958607315
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C(*)=O)cc4)c(C)c3)CCCCC2)cc1C,-0.22184875
*Oc1ccc(C2(c3ccc4c(c3)Oc3cc5nc6cc7c(cc6nc5cc3O4)C(C)(C)CC73CC(C)(C)c4cc5nc6cc(*)c(*)cc6nc5cc43)c3ccccc3-c3ccccc32)cc1O*,1.770852012
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.787784843
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C(C)C)cc(C(C)(C)c4cc(C(C)C)c(*)c(C(C)C)c4)cc3C(C)C)cc2)cc1,1.450641729
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,0.807053574
