,smiles,alpha
383,CC(CO)C=O,50.03
384,CCC(C)C=O,57.5
385,CCC(O)C=O,50.71
386,CCN(C)C=O,55.18
387,COC(C)C=O,50.45
388,OCC(O)C=O,43.58
389,CC(CO)CO,53.08
390,CCC(C)CC,67.19
391,CCC(C)CO,60.09
392,CCC(C)OC,60.6
393,CCC(CC)O,60.24
394,CCC(O)CO,52.93
395,COC(C)CO,53.28
396,C(C(CO)O)O,45.75
397,CC1(CC1)C#C,59.61
398,CC1(CC1)C#N,54.31
399,CC1(CN1)C#C,56.0
400,CC1(CN1)C#N,50.81
401,CC1(CO1)C#C,52.23
402,CC1(CO1)C#N,47.2
403,C1CC1(C#N)N,51.03
404,C#CC1(CC1)O,52.54
405,C1CC1(C#N)O,47.42
406,CC1(CC1)C=O,54.61
407,CC1(CN1)C=O,50.74
408,CC1(CO1)C=O,47.26
409,C1CC1(C=O)O,48.35
410,CC1(CC1)CO,56.77
411,CC1(CO)CN1,52.8
412,CC1(CO)CO1,49.21
413,CCC1(CC1)C,63.52
414,CCC1(C)CO1,56.33
415,CCC1(CC1)O,56.44
416,CC1(CC1)OC,56.8
417,C1CC1(CO)O,49.73
418,CC1CCC1=O,53.75
419,CC1CNC1=O,50.52
420,CC1COC1=N,50.92
421,CC1COC1=O,46.04
422,CC1NCC1=O,50.49
423,CC1OCC1=O,46.89
424,CN1CCC1=O,51.94
425,NC1COC1=N,47.4
426,NC1COC1=O,42.57
427,OC1CCC1=O,46.67
428,OC1CNC1=O,43.41
429,OC1COC1=N,43.85
430,OC1COC1=O,39.11
431,CC1CCC1C,63.28
432,CC1CCC1O,56.23
433,CC1COC1C,56.23
434,CC1OCC1O,49.4
435,OC1CCC1O,49.03
436,N=C1CN=CN1,48.64
437,C1C=CCC1=O,50.91
438,C1C=CNC1=O,47.64
439,C1C(=O)NC=N1,43.5
440,C1C(=O)OC=N1,39.3
441,N=C1OCC=C1,50.58
442,C1CC(=O)C=C1,52.33
443,C1C=CC(=O)N1,48.42
444,N=C1CCCO1,50.78
445,N=C1COCO1,43.66
446,N=C1OCCO1,43.85
447,C1CCC(=O)C1,52.83
448,C1CC(=O)NC1,49.83
449,C1CC(=O)OC1,45.82
450,C1COCC1=O,46.04
451,C1C(=O)OCO1,38.99
452,C1CNC(=O)N1,46.25
453,C1COC(=O)N1,42.52
454,C1COC(=O)O1,38.98
455,CC1=CCCC1,62.6
456,CC1=CCOC1,55.75
457,CC1=NCCO1,50.7
458,CC1CC=CC1,61.16
459,CC1CN=CO1,49.49
460,OC1CC=CC1,53.91
461,CC1CCC=C1,61.66
462,CC1COC=N1,49.75
463,CC1OCC=C1,55.0
464,OC1CCC=C1,54.16
465,CC1CCCC1,63.03
466,CC1CCCO1,56.51
467,CC1CCOC1,56.14
468,CC1COCO1,49.23
469,CC1OCCO1,49.6
470,C1CCC(C1)O,55.74
471,OC1CCOC1,49.05
472,CC1C(C)C1C,63.6
473,CC1C(C)C1O,56.45
474,CC1C(C)N1C,60.42
475,CC1C(O)C1O,49.27
476,OC1C(O)C1O,41.57
477,CC12CC1CC2,60.48
478,CC12CC1CO2,53.34
479,CC12CC1OC2,53.11
480,CC12CCC1O2,53.26
481,OC12CC1CC2,53.1
482,OC12CC1OC2,45.92
483,C#CC#CC#C,72.39
484,C#CC#CC#N,63.48
485,C(#CC#N)C#N,55.28
486,C#CCCC#C,57.87
487,C#CCCC#N,52.71
488,C(CC#N)C#N,47.69
489,C#CC#CC=O,59.66
490,C(=O)C#CC#N,51.47
491,C(=O)C#CC=O,48.1
492,N=COCC#C,50.16
493,N=COCC#N,45.57
494,C#CCCC=O,52.99
495,C(CC#N)C=O,48.12
496,C#CCNC=O,49.89
497,C(C#N)NC=O,44.97
498,C#CCOC=O,45.77
499,C(C#N)OC=O,41.37
500,N=COCC=O,45.71
501,C(CC=O)C=O,48.98
502,C(C=O)NC=O,45.39
503,C(C=O)OC=O,41.52
504,CC#CC#CC,71.63
505,CC#CCC#C,59.23
506,CC#CCC#N,54.4
507,CC#CCC=O,55.38
508,CN=CNC=O,52.58
509,CN=COC=O,49.06
510,CCC#CC#C,67.0
511,CCC#CC#N,59.94
512,C#CC#CCO,59.6
513,C(C#CC#N)O,52.46
514,CCC#CC=O,57.54
515,C(C#CC=O)O,50.43
516,CCC#CCC,65.82
517,CCC#CCO,58.63
518,C(C#CCO)O,51.62
519,CCN=COC,57.34
520,CC#CCCO,57.94
521,CCCC#CC,65.57
522,CC#CCOC,59.21
523,CCOC=NC,58.57
524,CCCCC#C,62.82
525,CCCCC#N,57.89
526,CCNCC#N,54.99
527,CCOCC#C,56.58
528,CCOCC#N,51.68
529,COCCC#C,56.07
530,COCCC#N,51.25
531,C#CCCCO,55.5
532,C(CC#N)CO,50.66
533,CCCCC=O,58.27
534,CCCNC=O,54.88
535,CCCOC=O,51.52
536,CCOCC=O,51.36
537,COCCC=O,51.64
538,C(CC=O)CO,51.08
539,C(CO)NC=O,48.01
540,OCCOC=N,48.93
541,C(COC=O)O,44.01
542,CCCCCC,68.01
543,CCCCCO,60.77
544,CCCCOC,61.48
545,CCCOCC,61.68
546,CCOCCO,54.23
547,COCCCO,54.26
548,COCCOC,54.79
549,C(CCO)CO,53.58
550,C#CC1CCC1,59.52
551,C#CC1CCO1,51.95
552,C#CC1COC1,51.72
553,C1CC(C1)C#N,54.24
554,N#CC1CCN1,50.2
555,N#CC1CCO1,46.71
556,C1C(CO1)C#N,46.76
557,C1CC(C1)C=O,54.48
558,O=CC1CCO1,46.71
559,C1C(CO1)C=O,46.85
560,C1CN(C1)C=O,52.08
561,CN=C1CCO1,52.85
562,CCC1CCC1,63.82
563,CCC1CCO1,56.72
564,CCC1COC1,56.22
565,COC1CCC1,57.2
566,COC1COC1,49.83
567,C1CC(C1)CO,56.81
568,OCC1CCO1,49.25
569,C1C(CO1)CO,49.3
570,C#CCC1CC1,58.69
571,C#CCC1CO1,51.81
572,C#CCN1CC1,54.94
573,C1CC1CC#N,53.78
574,N#CCC1CN1,50.4
575,N#CCC1CO1,46.97
576,C1CN1CC#N,50.95
577,N=COC1CC1,52.29
578,C1CC1CC=O,54.2
579,O=CCC1CN1,50.56
580,O=CCC1CO1,47.21
581,C1CN1CC=O,50.88
582,C1CC1NC=O,50.79
583,C1CC1OC=O,47.46
584,CC#CC1CC1,63.06
585,CC#CC1CN1,59.57
586,CC#CC1CO1,55.68
587,CCCC1CC1,64.07
588,CCCC1CO1,57.14
589,CCCN1CC1,61.14
590,CCOC1CC1,57.69
591,COCC1CC1,57.75
592,COCC1CN1,54.33
593,COCC1CO1,50.75
594,C1CC1CCO,56.79
595,OCCC1CO1,49.89
596,C1CN1CCO,54.01
597,CC1CC1C#C,59.69
598,CC1CC1C#N,54.41
599,CC1NC1C#C,56.27
600,CC1NC1C#N,51.08
601,CC1OC1C#C,52.44
602,CC1OC1C#N,47.35
603,CN1CC1C#C,56.55
604,CN1CC1C#N,51.35
605,OC1CC1C#C,52.51
606,OC1CC1C#N,47.52
607,CC1CC1C=O,55.07
608,CC1CN1C=O,51.56
609,CC1NC1C=O,51.36
610,CC1OC1C=O,47.64
611,CN1CC1C=O,51.92
612,OC1CC1C=O,47.84
613,CC1CC1CO,57.04
614,CC1NC1CO,53.26
615,CC1OC1CO,49.75
616,CCC1CC1C,64.01
617,CCC1CC1O,56.83
618,CCC1CN1C,60.65
619,CCC1OC1C,57.13
620,CCN1CC1C,61.07
621,CN1CC1CO,53.82
622,COC1CC1C,57.42
623,COC1CC1O,49.79
624,OCC1CC1O,49.8
625,CC(=O)C1CC1,54.41
626,CC(=O)C1CN1,50.98
627,CC(=O)C1CO1,46.79
628,CC(=O)N1CC1,51.15
629,C1CC1C(=O)N,50.64
630,NC(=O)C1CN1,47.16
631,NC(=O)C1CO1,42.9
632,C1CN1C(=O)N,47.01
633,CC(C)C1CC1,63.63
634,CC(C)C1CO1,56.23
635,CC(C)N1CC1,60.85
636,CC(O)C1CC1,56.58
637,CC(O)C1CN1,52.97
638,CC(O)C1CO1,49.27
639,C1CC2(C1)CC2,60.62
640,C1CC12CCO2,53.44
641,C1CC12COC2,53.32
642,C1C2(N1)COC2,49.82
643,C1CC2(C1)CO2,53.28
644,C1C2(CO1)CO2,46.16
645,C1C2CC1C=C2,56.94
646,C1C2OC1C=C2,49.13
647,C1C2CC1CC2,59.48
648,C1C2CC1OC2,52.41
649,C1C2CCC1O2,52.01
650,CC1C2CC1C2,60.85
651,CC1C2CC1O2,53.28
652,OC1C2CC1C2,53.19
653,OC1C2CC1O2,46.16
654,C1COCC=C1,54.57
655,C1CCC=CC1,61.37
656,C1CN=COC1,49.97
657,C1CCCCC1,62.98
658,C1CCOCC1,56.25
659,C1COCCO1,49.61
660,C1COCOC1,49.04
661,C1CC2CCC12,59.31
662,C1CC2OCC12,52.42
663,C1OC2COC12,45.53
664,CC1C2CCC12,59.83
665,CC1C2COC12,52.65
666,OC1C2CCC12,52.57
667,OC1C2COC12,45.07
668,C1C2CC=CC12,57.35
669,C1C2OC=NC12,45.26
670,C1C=CC2NC12,53.83
671,C1C=CC2OC12,49.74
672,C1C2CCCC12,59.15
673,C1C2CCOC12,51.92
674,C1C2COCC12,52.46
675,C1C2OCOC12,44.8
676,C1CC2OC2C1,52.03
677,C1OCC2NC12,49.31
678,C1OCC2OC12,45.53
679,N=C1OC2CC12,47.76
680,O=C1CC2CC12,50.48
681,O=C1CC2CN12,46.41
682,O=C1CC2NC12,46.97
683,O=C1CC2OC12,43.08
684,O=C1CN2CC12,47.14
685,O=C1NC2CC12,46.67
686,O=C1OC2CC12,42.62
687,CC1CC2CC12,59.74
688,CC1CC2OC12,52.62
689,CC1OC2CC12,52.69
690,OC1CC2CC12,52.75
691,OC1CC2NC12,49.06
692,OC1CC2OC12,45.31
693,OC1CN2CC12,49.2
694,C1C2C3CC2C13,57.31
695,C1C2C3CN2C13,53.69
696,C1C2C3OC2C13,49.26
697,N1C2C3NC2C13,49.54
698,N1C2C3OC2C13,45.55
699,O1C2C3OC2C13,41.73
700,C1CC1C2CC2,60.97
701,C1CC1C1CO1,53.86
702,C1CC1N2CC2,56.86
703,C1NC1C1CN1,53.03
704,C1NC1C1CO1,50.31
705,C1OC1C1CO1,45.96
706,C1C2C1C1CC21,55.33
707,C1C2C1C1NC21,52.06
708,C1C2C1C1OC21,48.16
709,C1C2C1N1CC21,52.0
710,N1C2C1C1NC21,48.92
711,N1C2C1C1OC21,44.98
712,O1C2C1C1OC21,41.15
713,C1C2C3C1CN23,52.12
714,C1C2C3CC1C23,55.83
715,C1C2C3CC1N23,52.04
716,C1C2C3CN1C23,52.16
717,C1C2C3OC1C23,48.29
718,C12C3C1C1C2C31,51.49
719,C12C3C1N1C2C31,47.5
720,c1ccnnc1,48.99
721,c1cnnnc1,45.02
722,c1nncnn1,41.23
723,c1ncnnn1,40.74
724,c1cnnnn1,41.36
725,Cc1ccn[nH]1,51.32
726,Cc1ccno1,48.06
727,Cc1cnn[nH]1,47.65
728,Cc1cnno1,44.67
729,Cc1c[nH]nc1,51.05
730,Cc1c[nH]nn1,47.56
731,Cc1cnoc1,47.4
732,Cc1conn1,44.18
733,Cc1[nH]ncn1,46.94
734,Cc1ncno1,43.55
735,Cc1cc[nH]n1,51.26
736,Cc1nc[nH]n1,47.01
737,Cc1cn[nH]n1,47.14
738,Cc1n[nH]nn1,43.44
739,Cc1ccon1,47.54
740,Cc1ncon1,43.3
741,Cc1cnon1,43.87
742,Cc1nnon1,40.37
743,Cn1cccn1,51.67
744,Cn1ccnn1,47.81
745,Cn1cncn1,47.14
746,Cn1cnnc1,46.86
747,Cn1cnnn1,43.54
748,Cn1nccn1,47.91
749,Cn1ncnn1,43.9
750,Cn1nnnn1,40.22
751,N=C1NC=NO1,41.36
752,N=C1NN=NN1,41.35
753,N=C1OC=NO1,37.52
754,N=C1ON=NO1,34.59
755,c1cn[nH]c1N,47.71
756,c1cnoc1N,44.81
757,c1c([nH]nn1)N,44.26
758,c1c(onn1)N,41.95
759,c1c(cn[nH]1)N,47.66
760,c1c(nn[nH]1)N,44.3
761,c1c(con1)N,44.15
762,c1c(nno1)N,40.94
763,c1nc([nH]n1)N,43.39
764,c1nc(on1)N,40.19
765,c1c[nH]nc1N,47.71
766,c1[nH]nc(n1)N,43.5
767,c1c(n[nH]n1)N,43.82
768,c1(n[nH]nn1)N,40.14
769,c1conc1N,44.1
770,c1nc(no1)N,39.9
771,c1c(non1)N,40.64
772,c1(nnon1)N,37.11
773,c1[nH]c(=O)[nH]n1,39.58
774,c1[nH]c(=O)on1,36.38
775,c1(=O)[nH]nn[nH]1,36.4
776,c1(=O)[nH]nno1,33.27
777,c1noc(=O)o1,32.83
778,c1(=O)onno1,30.02
779,c1cn[nH]c1O,43.41
780,c1c(cn[nH]1)O,43.61
781,c1c(nn[nH]1)O,40.29
782,c1nc([nH]n1)O,39.16
783,c1c[nH]nc1O,43.57
784,c1[nH]nc(n1)O,39.4
785,c1c(n[nH]n1)O,39.79
786,c1(n[nH]nn1)O,36.17
787,c1conc1O,40.1
788,c1nc(no1)O,35.95
789,c1(nnon1)O,33.31
790,CC#CC(=NO)C,69.69
791,CC(=NO)CC#C,62.57
792,CC(=NO)CC#N,57.7
793,CC(=NO)CC=O,58.32
794,CC(=NO)CCO,60.51
795,CCCC(=NO)C,67.93
796,CC(=NO)COC,60.44
797,CC(=NO)C(=NO)C,71.35
798,CC(=NO)C(=O)N,54.53
799,CC(C)C(=NO)C,67.04
800,CC(O)C(C)=NO,60.35
801,CC1CC(C1)=NO,65.04
802,CN1CC(=NO)C1,62.27
803,ON=C1CC(O)C1,57.9
804,C#CC(=NO)C#C,62.61
805,CCC(=NO)C#C,64.81
806,C#CC(=NO)CO,57.99
807,CCC(=NO)CC,67.1
808,CCC(=NO)CO,59.69
809,CC1CCC1=NO,64.68
810,CC1NCC1=NO,61.33
811,CC1OCC1=NO,57.57
812,ON=C1CCC1O,57.41
813,C1C=CCC1=NO,61.44
814,C1CC(=NO)C=C1,64.84
815,C1C(=NO)C=CN1,61.8
816,C1CCC(=NO)C1,63.6
817,C1COCC1=NO,56.58
818,CC(=NO)C1CC1,64.26
819,CC(=NO)C1CN1,60.85
820,CC(=NO)C1CO1,57.93
821,ON=C1CC2CC12,61.76
822,ON=C1CC2NC12,58.33
823,ON=C1CC2OC12,54.24
824,ON=C1CN2CC12,58.41
825,C#CC(F)(F)F,30.55
826,C(#N)C(F)(F)F,26.67
827,C(=O)C(F)(F)F,26.44
828,C(C(F)(F)F)N,32.38
829,C(C(F)(F)F)O,29.26
830,CCC(F)(F)F,35.84
831,Cc1cc([nH]c1)C,68.34
832,Cc1cc(oc1)C,64.17
833,Cc1cc(c[nH]1)N,64.62
834,Cc1cc(co1)N,60.58
835,Cc1cc(c[nH]1)O,60.27
836,Cc1cc(co1)O,56.37
837,Cc1cc([nH]c1)N,64.21
838,Cc1cc([nH]c1)O,59.72
839,Cc1c[nH]c(n1)O,55.58
840,Cc1cc(oc1)N,60.58
841,Cc1coc(n1)N,56.14
842,Cc1coc(n1)O,51.67
843,Cc1c[nH]c(n1)C,64.01
844,Cc1coc(n1)C,59.82
845,Cc1nc(co1)N,56.39
846,Cc1[nH]cc(n1)O,56.23
847,Cc1nc(co1)O,52.27
848,c1c(c[nH]c1N)N,60.5
849,c1c(coc1N)N,56.9
850,c1c(c[nH]c1N)O,56.13
851,c1c(coc1N)O,52.68
852,c1c(c[nH]c1O)N,55.95
853,c1c(nc([nH]1)O)N,51.9
854,c1c(nc(o1)O)N,48.16
855,c1c(nc(o1)N)N,52.57
856,c1c(nc([nH]1)N)O,52.28
857,c1c(nc(o1)N)O,48.44
858,c1c(c[nH]c1O)O,51.69
859,c1c(nc([nH]1)O)O,47.72
860,Cc1ccc([nH]1)C,68.88
861,Cc1ccc(o1)C,64.89
