,smiles,cv
127,CCCC=O,20.766
128,CCNC=O,19.864
129,CCOC=O,18.727
130,COCC=O,19.186
131,C(CO)C=O,19.422
132,CCCCC,24.552
133,CCCCO,23.274
134,CCCOC,22.785
135,CCOCC,22.881
136,COCCO,21.001
137,C(CO)CO,22.005
138,C#CC1CC1,18.785
139,C#CC1CN1,17.704
140,C#CC1CO1,16.924
141,C1CC1C#N,16.544
142,N#CC1CN1,15.572
143,N#CC1CO1,14.866
144,C1CC1C=O,17.457
145,O=CC1CN1,16.144
146,O=CC1CO1,15.818
147,C1CN1C=O,16.197
148,CCC1CC1,21.364
149,CCC1CO1,19.579
150,CCN1CC1,20.247
151,COC1CC1,19.738
152,C1CC1CO,20.059
153,OCC1CN1,19.038
154,OCC1CO1,18.033
155,C1CC=CC1,17.052
156,C1COC=N1,14.168
157,C1C=CCO1,15.461
158,C1CCCC1,18.624
159,C1CCOC1,16.873
160,C1COCO1,15.172
161,C1C2CCC12,16.868
162,C1C2COC12,15.312
163,C1CC2OC12,15.427
164,c1c[nH]nc1,13.255
165,c1cnn[nH]1,12.248
166,c1[nH]ncn1,11.923
167,c1[nH]cnn1,12.36
168,c1cn[nH]n1,11.936
169,c1cnoc1,12.232
170,c1conn1,11.821
171,c1ncon1,11.003
172,c1nnco1,11.122
173,c1nnno1,10.82
174,c1cnon1,11.319
175,c1nnon1,10.694
176,n1nnon1,10.401
177,CC(=NO)C#C,23.675
178,CC(=NO)CO,25.106
179,CCC(=NO)C,26.442
180,C1CC(=NO)C1,21.872
181,C1C(=NO)CN1,20.934
182,C1C(=NO)CO1,19.932
183,C(F)(F)(F)F,12.639
184,N=C1NC=CO1,18.338
185,N=C1OC=CO1,16.38
186,c1c[nH]c(=O)[nH]1,18.314
187,c1coc(=O)[nH]1,16.761
188,c1coc(=O)o1,15.099
189,Cc1ccc[nH]1,20.832
190,Cc1ccco1,19.38
191,Cc1cnco1,18.024
192,Cc1ncco1,18.156
193,c1cc([nH]c1)N,20.507
194,c1cc(oc1)N,19.374
195,c1c(ocn1)N,18.0
196,c1coc(n1)N,17.958
197,c1cc([nH]c1)O,19.901
198,c1c([nH]cn1)O,18.316
199,c1cnc([nH]1)O,18.016
200,Cc1cc[nH]c1,20.948
201,Cc1c[nH]cn1,19.536
202,Cc1ccoc1,19.399
203,Cc1cocn1,18.123
204,c1c[nH]cc1N,20.983
205,c1c(nc[nH]1)N,19.414
206,c1cocc1N,19.259
207,c1c(nco1)N,17.986
208,c1c[nH]cc1O,19.995
209,c1c(nc[nH]1)O,18.065
210,c1c(nco1)O,16.639
211,Cn1cccc1,20.193
212,Cn1ccnc1,18.783
213,c1ccccc1,17.214
214,c1ccncc1,16.093
215,c1cnccn1,15.146
216,c1cncnc1,15.138
217,c1ncncn1,14.209
218,CC(C)(C)C#C,28.513
219,CC(C)(C)C#N,26.404
220,CC(C)(C#N)N,25.93
221,CC(C)(C#C)O,27.393
222,CC(C)(C#N)O,25.46
223,CC(C)(C)C=O,27.295
224,CC(C)(C=O)O,26.432
225,CC(C)(C)CO,29.797
226,CC(C)(CO)O,28.879
227,CCC(C)(C)C,30.906
228,CCC(C)(C)O,29.948
229,CC(C)(C)OC,29.597
230,CC#CC(=O)C,23.826
231,CC#CC(=O)N,23.663
232,CC#CC(C)C,27.581
233,CC#CC(C)O,26.384
234,CC(=O)CC#C,23.951
235,CC(=O)CC#N,21.969
236,C#CCC(=O)N,23.677
237,C(C#N)C(=O)N,21.668
238,CC(=N)NC=O,21.828
239,CC(=N)OC=O,21.35
240,CC(=O)CC=O,22.667
241,CC(=O)NC=N,22.603
242,CC(=O)NC=O,21.535
243,CC(=O)OC=N,21.339
244,C(=O)NC(=N)N,21.711
245,C(C=O)C(=O)N,22.336
246,C(=N)NC(=O)N,22.001
247,C(=O)NC(=O)N,20.96
248,NC(=O)OC=N,21.164
249,CC(C)CC#C,27.444
250,CC(C)CC#N,25.297
251,CC(O)CC#C,26.225
252,CC(O)CC#N,24.229
253,CN(C)CC#N,24.109
254,CC(C)CC=O,26.267
255,CC(C)NC=O,25.451
256,CC(C)OC=O,24.383
257,CC(O)CC=O,25.112
258,CN(C)CC=O,25.118
259,CC(=O)CCO,25.274
260,CCCC(=O)C,26.57
261,CCCC(=O)N,26.19
262,CCNC(=O)C,25.795
263,CCNC(=O)N,25.169
264,CCOC(=O)C,24.457
265,CCOC(=O)N,24.01
266,C[NH2+]CC([O-])=O,22.427
267,CC(=O)COC,24.783
268,COCC(=O)N,24.375
269,C(CO)C(=O)N,25.021
270,[NH3+]CCC([O-])=O,23.572
271,CC(C)CCO,28.734
272,CC(O)CCO,27.553
273,CCCC(C)C,29.991
274,CCCC(C)O,28.823
275,CCOC(C)C,28.558
276,CC(C)COC,28.268
277,COCC(C)O,26.669
278,CC(=O)C(=O)C,23.569
279,CC(=O)C(=N)N,23.683
280,CC(=O)C(=O)N,22.796
281,NC(=[NH2+])C([O-])=O,20.891
282,C(=O)(C(=O)N)N,21.839
283,CC(C)C(=O)C,27.077
284,CC(C)C(=O)N,26.737
285,CC([NH3+])C([O-])=O,23.344
286,CC(O)C(C)=O,25.252
287,CC(O)C(N)=O,24.979
288,CC(=O)N(C)C,25.808
289,CN(C)C(=O)N,25.1
290,CC(C)C(C)C,30.606
291,CC(C)C(C)O,29.475
292,CC(O)C(C)O,28.004
293,CC1(CCC1)C,26.214
294,CC1(CCO1)C,24.691
295,CC1(COC1)C,24.362
296,CC1(CCC1)O,25.093
297,CC1(COC1)O,23.305
298,CC1(C)CC1O,26.639
299,CC1(O)CC1O,25.546
300,CC1CC1(C)C,27.904
301,CC1CC1(C)O,26.806
302,CC1OC1(C)C,26.504
303,CC1(CN1C)C,26.999
304,CC1CC(=N)O1,21.198
305,CC1CC(=O)C1,22.568
306,CC1CC(=O)N1,21.755
307,CC1CC(=O)O1,20.176
308,CN1CC(=O)C1,21.382
309,C1C(CC1=O)O,21.395
310,CC1CC(C)C1,25.93
311,CC1CC(C)O1,24.277
312,CC1CC(O)C1,24.723
313,CN1CC(C1)O,23.314
314,OC1CC(O)C1,23.5
315,CC12CC(C1)C2,21.869
316,CC12CC(C1)O2,21.01
317,CC12CN(C1)C2,21.04
318,OC12CC(C1)C2,20.67
319,OC12CN(C1)C2,19.785
320,C#CC(=O)C#C,20.497
321,C#CC(=O)C#N,18.651
322,C(#N)C(=O)C#N,16.955
323,C#CC(=O)C=O,19.716
324,C(=O)C(=O)C#N,18.042
325,C(=O)C(=O)C=O,18.951
326,CC(C#C)C#C,24.829
327,CC(C#C)C#N,22.726
328,CC(C#N)C#N,20.75
329,NC(C#C)C#N,22.216
330,C(#N)C(C#N)N,20.295
331,C#CC(C#C)O,23.408
332,OC(C#C)C#N,21.363
333,C(#N)C(C#N)O,19.442
334,CC(C=O)C#C,23.743
335,CC(C=O)C#N,21.73
336,OC(C=O)C#C,21.821
337,OC(C=O)C#N,19.861
338,CC(C=O)C=O,22.644
339,CN(C=N)C=O,21.581
340,CN(C=O)C=O,20.743
341,C(=O)C(C=O)O,20.624
342,CN=C(C#N)N,22.896
343,CN=C(C=O)N,23.292
344,CCC(=O)C#C,23.625
345,CCC(=O)C#N,21.82
346,CNC(=N)C#N,22.345
347,CNC(=O)C#C,22.928
348,COC(=O)C#C,21.393
349,COC(=O)C#N,19.572
350,C#CC(=O)CO,22.333
351,C(C(=O)C#N)O,20.617
352,CCC(=O)C=O,22.634
353,CNC(=N)C=O,22.92
354,CNC(=O)C=O,21.909
355,COC(=O)C=O,20.46
356,C(C(=O)C=O)O,21.411
357,CCC(=O)CC,26.577
358,CCC(=O)CO,25.279
359,CCC(=O)NC,25.744
360,CCC(=O)OC,24.367
361,CNC(=O)CO,24.645
362,CNC(=O)NC,25.314
363,CNC(=O)OC,23.827
364,COC(=O)CN,23.834
365,COC(=O)CO,22.716
366,C(C(=O)CO)O,24.017
367,CC(=NC)OC,25.912
368,CC(CO)C#C,26.225
369,CC(CO)C#N,24.138
370,CCC(C)C#C,27.469
371,CCC(C)C#N,25.346
372,CCC(N)C#N,24.891
373,CCC(O)C#C,26.198
374,CCC(O)C#N,24.136
375,CNC(C)C#N,24.789
376,COC(C)C#C,25.831
377,COC(C)C#N,23.771
378,NC(CO)C#N,23.603
379,NCC(N)C#N,24.235
380,NCC(O)C#N,23.453
381,OCC(O)C#C,24.263
382,OCC(O)C#N,22.348
383,CC(CO)C=O,24.974
384,CCC(C)C=O,26.342
385,CCC(O)C=O,24.411
386,CCN(C)C=O,24.851
387,COC(C)C=O,24.765
388,OCC(O)C=O,22.686
389,CC(CO)CO,27.566
390,CCC(C)CC,30.015
391,CCC(C)CO,28.743
392,CCC(C)OC,28.45
393,CCC(CC)O,28.828
394,CCC(O)CO,26.859
395,COC(C)CO,26.699
396,C(C(CO)O)O,25.116
397,CC1(CC1)C#C,24.638
398,CC1(CC1)C#N,22.416
399,CC1(CN1)C#C,23.611
400,CC1(CN1)C#N,21.524
401,CC1(CO1)C#C,22.957
402,CC1(CO1)C#N,20.903
403,C1CC1(C#N)N,21.894
404,C#CC1(CC1)O,23.372
405,C1CC1(C#N)O,21.226
406,CC1(CC1)C=O,23.265
407,CC1(CN1)C=O,22.432
408,CC1(CO1)C=O,21.75
409,C1CC1(C=O)O,21.796
410,CC1(CC1)CO,25.913
411,CC1(CO)CN1,24.487
412,CC1(CO)CO1,23.915
413,CCC1(CC1)C,27.138
414,CCC1(C)CO1,25.512
415,CCC1(CC1)O,26.023
416,CC1(CC1)OC,25.705
417,C1CC1(CO)O,24.458
418,CC1CCC1=O,22.502
419,CC1CNC1=O,21.625
420,CC1COC1=N,21.067
421,CC1COC1=O,20.03
422,CC1NCC1=O,21.712
423,CC1OCC1=O,20.774
424,CN1CCC1=O,21.114
425,NC1COC1=N,20.618
426,NC1COC1=O,19.618
427,OC1CCC1=O,21.28
428,OC1CNC1=O,20.351
429,OC1COC1=N,19.922
430,OC1COC1=O,18.879
431,CC1CCC1C,25.85
432,CC1CCC1O,24.662
433,CC1COC1C,24.15
434,CC1OCC1O,23.068
435,OC1CCC1O,22.931
436,N=C1CN=CN1,18.459
437,C1C=CCC1=O,19.177
438,C1C=CNC1=O,18.76
439,C1C(=O)NC=N1,17.274
440,C1C(=O)OC=N1,15.897
441,N=C1OCC=C1,17.709
442,C1CC(=O)C=C1,18.812
443,C1C=CC(=O)N1,18.405
444,N=C1CCCO1,19.419
445,N=C1COCO1,17.785
446,N=C1OCCO1,17.613
447,C1CCC(=O)C1,20.712
448,C1CC(=O)NC1,19.794
449,C1CC(=O)OC1,18.482
450,C1COCC1=O,19.062
451,C1C(=O)OCO1,16.844
452,C1CNC(=O)N1,18.931
453,C1COC(=O)N1,17.739
454,C1COC(=O)O1,16.45
455,CC1=CCCC1,22.921
456,CC1=CCOC1,21.372
457,CC1=NCCO1,20.206
458,CC1CC=CC1,22.613
459,CC1CN=CO1,19.819
460,OC1CC=CC1,21.267
461,CC1CCC=C1,22.655
462,CC1COC=N1,19.822
463,CC1OCC=C1,21.19
464,OC1CCC=C1,21.367
465,CC1CCCC1,24.306
466,CC1CCCO1,22.689
467,CC1CCOC1,22.656
468,CC1COCO1,20.939
469,CC1OCCO1,21.023
470,C1CCC(C1)O,22.879
471,OC1CCOC1,21.242
472,CC1C(C)C1C,27.583
473,CC1C(C)C1O,26.227
474,CC1C(C)N1C,26.797
475,CC1C(O)C1O,24.471
476,OC1C(O)C1O,21.828
477,CC12CC1CC2,22.864
478,CC12CC1CO2,21.408
479,CC12CC1OC2,21.353
480,CC12CCC1O2,21.539
481,OC12CC1CC2,21.746
482,OC12CC1OC2,20.187
483,C#CC#CC#C,21.875
484,C#CC#CC#N,19.266
485,C(#CC#N)C#N,17.827
486,C#CCCC#C,24.211
487,C#CCCC#N,22.093
488,C(CC#N)C#N,20.047
489,C#CC#CC=O,20.052
490,C(=O)C#CC#N,17.93
491,C(=O)C#CC=O,19.025
492,N=COCC#C,21.973
493,N=COCC#N,20.023
494,C#CCCC=O,23.097
495,C(CC#N)C=O,21.004
496,C#CCNC=O,22.134
497,C(C#N)NC=O,20.073
498,C#CCOC=O,20.964
499,C(C#N)OC=O,19.01
500,N=COCC=O,21.086
501,C(CC=O)C=O,21.865
502,C(C=O)NC=O,21.048
503,C(C=O)OC=O,20.074
504,CC#CC#CC,24.215
505,CC#CCC#C,24.454
506,CC#CCC#N,22.357
507,CC#CCC=O,23.348
508,CN=CNC=O,22.098
509,CN=COC=O,21.182
510,CCC#CC#C,24.101
511,CCC#CC#N,21.754
512,C#CC#CCO,22.78
513,C(C#CC#N)O,20.574
514,CCC#CC=O,22.875
515,C(C#CC=O)O,21.633
516,CCC#CCC,26.786
517,CCC#CCO,25.564
518,C(C#CCO)O,24.334
519,CCN=COC,25.268
520,CC#CCCO,25.727
521,CCCC#CC,27.01
522,CC#CCOC,25.219
523,CCOC=NC,25.249
524,CCCCC#C,26.865
525,CCCCC#N,24.704
526,CCNCC#N,23.932
527,CCOCC#C,25.17
528,CCOCC#N,23.105
529,COCCC#C,25.054
530,COCCC#N,22.978
531,C#CCCCO,25.617
532,C(CC#N)CO,23.456
533,CCCCC=O,25.654
534,CCCNC=O,24.754
535,CCCOC=O,23.614
536,CCOCC=O,24.186
537,COCCC=O,23.884
538,C(CC=O)CO,24.408
539,C(CO)NC=O,23.171
540,OCCOC=N,23.021
541,C(COC=O)O,22.123
542,CCCCCC,29.423
543,CCCCCO,28.145
544,CCCCOC,27.616
545,CCCOCC,27.758
546,CCOCCO,25.975
547,COCCCO,26.355
548,COCCOC,25.869
549,C(CCO)CO,26.875
550,C#CC1CCC1,22.582
551,C#CC1CCO1,20.79
552,C#CC1COC1,20.748
553,C1CC(C1)C#N,20.406
554,N#CC1CCN1,19.583
555,N#CC1CCO1,18.731
556,C1C(CO1)C#N,18.623
557,C1CC(C1)C=O,21.345
558,O=CC1CCO1,19.792
559,C1C(CO1)C=O,19.531
560,C1CN(C1)C=O,20.138
561,CN=C1CCO1,21.051
562,CCC1CCC1,25.155
563,CCC1CCO1,23.46
564,CCC1COC1,23.307
565,COC1CCC1,23.494
566,COC1COC1,21.718
567,C1CC(C1)CO,23.883
568,OCC1CCO1,21.686
569,C1C(CO1)CO,21.983
570,C#CCC1CC1,23.656
571,C#CCC1CO1,21.894
572,C#CCN1CC1,22.525
573,C1CC1CC#N,21.499
574,N#CCC1CN1,20.503
575,N#CCC1CO1,19.788
576,C1CN1CC#N,20.445
577,N=COC1CC1,21.614
578,C1CC1CC=O,22.45
579,O=CCC1CN1,21.436
580,O=CCC1CO1,20.727
581,C1CN1CC=O,21.491
582,C1CC1NC=O,21.624
583,C1CC1OC=O,20.641
584,CC#CC1CC1,23.778
585,CC#CC1CN1,22.736
586,CC#CC1CO1,22.011
587,CCCC1CC1,26.225
588,CCCC1CO1,24.439
589,CCCN1CC1,25.133
590,CCOC1CC1,24.716
591,COCC1CC1,24.416
592,COCC1CN1,23.382
593,COCC1CO1,22.684
594,C1CC1CCO,24.947
595,OCCC1CO1,23.19
596,C1CN1CCO,23.25
597,CC1CC1C#C,24.264
598,CC1CC1C#N,22.047
599,CC1NC1C#C,23.34
600,CC1NC1C#N,21.255
601,CC1OC1C#C,22.566
602,CC1OC1C#N,20.526
603,CN1CC1C#C,23.195
604,CN1CC1C#N,21.063
605,OC1CC1C#C,23.083
606,OC1CC1C#N,20.749
607,CC1CC1C=O,22.99
608,CC1CN1C=O,21.744
609,CC1NC1C=O,22.227
610,CC1OC1C=O,21.263
611,CN1CC1C=O,21.853
612,OC1CC1C=O,21.753
613,CC1CC1CO,25.586
614,CC1NC1CO,24.284
615,CC1OC1CO,23.742
616,CCC1CC1C,26.871
617,CCC1CC1O,25.546
618,CCC1CN1C,25.815
619,CCC1OC1C,25.244
620,CCN1CC1C,25.937
621,CN1CC1CO,24.591
622,COC1CC1C,25.184
623,COC1CC1O,23.699
624,OCC1CC1O,24.284
625,CC(=O)C1CC1,23.02
626,CC(=O)C1CN1,21.929
627,CC(=O)C1CO1,21.502
628,CC(=O)N1CC1,22.044
629,C1CC1C(=O)N,22.773
630,NC(=O)C1CN1,21.626
631,NC(=O)C1CO1,20.679
632,C1CN1C(=O)N,21.345
633,CC(C)C1CC1,26.909
634,CC(C)C1CO1,24.967
635,CC(C)N1CC1,25.853
636,CC(O)C1CC1,25.76
637,CC(O)C1CN1,24.483
638,CC(O)C1CO1,23.351
639,C1CC2(C1)CC2,22.515
640,C1CC12CCO2,20.986
641,C1CC12COC2,20.683
642,C1C2(N1)COC2,19.776
643,C1CC2(C1)CO2,20.831
644,C1C2(CO1)CO2,19.054
645,C1C2CC1C=C2,18.431
646,C1C2OC1C=C2,17.166
647,C1C2CC1CC2,19.641
648,C1C2CC1OC2,18.239
649,C1C2CCC1O2,18.387
650,CC1C2CC1C2,21.437
651,CC1C2CC1O2,20.486
652,OC1C2CC1C2,20.256
653,OC1C2CC1O2,19.211
654,C1COCC=C1,19.969
655,C1CCC=CC1,21.521
656,C1CN=COC1,18.772
657,C1CCCCC1,23.005
658,C1CCOCC1,21.275
659,C1COCCO1,19.679
660,C1COCOC1,19.492
661,C1CC2CCC12,20.966
662,C1CC2OCC12,19.228
663,C1OC2COC12,17.525
664,CC1C2CCC12,22.427
665,CC1C2COC12,20.81
666,OC1C2CCC12,21.07
667,OC1C2COC12,19.197
668,C1C2CC=CC12,19.325
669,C1C2OC=NC12,16.529
670,C1C=CC2NC12,18.523
671,C1C=CC2OC12,17.799
672,C1C2CCCC12,20.793
673,C1C2CCOC12,19.348
674,C1C2COCC12,19.082
675,C1C2OCOC12,17.914
676,C1CC2OC2C1,19.278
677,C1OCC2NC12,18.366
678,C1OCC2OC12,17.597
679,N=C1OC2CC12,17.951
680,O=C1CC2CC12,18.866
681,O=C1CC2CN12,17.971
682,O=C1CC2NC12,18.256
683,O=C1CC2OC12,17.466
684,O=C1CN2CC12,17.9
685,O=C1NC2CC12,17.968
686,O=C1OC2CC12,16.913
687,CC1CC2CC12,22.557
688,CC1CC2OC12,21.008
689,CC1OC2CC12,21.073
690,OC1CC2CC12,21.241
691,OC1CC2NC12,19.981
692,OC1CC2OC12,19.349
693,OC1CN2CC12,20.301
694,C1C2C3CC2C13,17.897
695,C1C2C3CN2C13,17.197
696,C1C2C3OC2C13,16.757
697,N1C2C3NC2C13,16.494
698,N1C2C3OC2C13,16.085
699,O1C2C3OC2C13,15.634
700,C1CC1C2CC2,23.14
701,C1CC1C1CO1,21.36
702,C1CC1N2CC2,22.08
703,C1NC1C1CN1,20.774
704,C1NC1C1CO1,20.405
705,C1OC1C1CO1,19.299
706,C1C2C1C1CC21,19.575
707,C1C2C1C1NC21,18.749
708,C1C2C1C1OC21,17.954
709,C1C2C1N1CC21,18.623
710,N1C2C1C1NC21,18.091
711,N1C2C1C1OC21,17.268
712,O1C2C1C1OC21,16.443
713,C1C2C3C1CN23,17.203
714,C1C2C3CC1C23,18.147
715,C1C2C3CC1N23,17.15
716,C1C2C3CN1C23,17.297
717,C1C2C3OC1C23,16.78
718,C12C3C1C1C2C31,16.7
719,C12C3C1N1C2C31,15.652
720,c1ccnnc1,15.478
721,c1cnnnc1,14.974
722,c1nncnn1,14.117
723,c1ncnnn1,14.143
724,c1cnnnn1,14.62
725,Cc1ccn[nH]1,19.333
726,Cc1ccno1,18.293
727,Cc1cnn[nH]1,18.283
728,Cc1cnno1,17.83
729,Cc1c[nH]nc1,19.376
730,Cc1c[nH]nn1,18.403
731,Cc1cnoc1,18.255
732,Cc1conn1,17.814
733,Cc1[nH]ncn1,18.063
734,Cc1ncno1,17.122
735,Cc1cc[nH]n1,19.456
736,Cc1nc[nH]n1,18.13
737,Cc1cn[nH]n1,18.12
738,Cc1n[nH]nn1,17.141
739,Cc1ccon1,18.326
740,Cc1ncon1,17.13
741,Cc1cnon1,17.396
742,Cc1nnon1,16.782
743,Cn1cccn1,18.727
744,Cn1ccnn1,17.769
745,Cn1cncn1,17.404
746,Cn1cnnc1,17.816
747,Cn1cnnn1,16.822
748,Cn1nccn1,17.47
749,Cn1ncnn1,16.511
750,Cn1nnnn1,15.918
751,N=C1NC=NO1,16.918
752,N=C1NN=NN1,17.538
753,N=C1OC=NO1,15.318
754,N=C1ON=NO1,14.861
755,c1cn[nH]c1N,19.271
756,c1cnoc1N,18.261
757,c1c([nH]nn1)N,18.253
758,c1c(onn1)N,18.297
759,c1c(cn[nH]1)N,19.37
760,c1c(nn[nH]1)N,18.15
761,c1c(con1)N,18.119
762,c1c(nno1)N,17.458
763,c1nc([nH]n1)N,17.921
764,c1nc(on1)N,17.011
765,c1c[nH]nc1N,19.284
766,c1[nH]nc(n1)N,17.915
767,c1c(n[nH]n1)N,18.02
768,c1(n[nH]nn1)N,16.955
769,c1conc1N,17.997
770,c1nc(no1)N,16.859
771,c1c(non1)N,17.141
772,c1(nnon1)N,16.477
773,c1[nH]c(=O)[nH]n1,16.736
774,c1[nH]c(=O)on1,15.501
775,c1(=O)[nH]nn[nH]1,15.761
776,c1(=O)[nH]nno1,14.809
777,c1noc(=O)o1,14.093
778,c1(=O)onno1,13.622
779,c1cn[nH]c1O,18.193
780,c1c(cn[nH]1)O,18.266
781,c1c(nn[nH]1)O,16.777
782,c1nc([nH]n1)O,16.463
783,c1c[nH]nc1O,17.982
784,c1[nH]nc(n1)O,16.443
785,c1c(n[nH]n1)O,16.703
786,c1(n[nH]nn1)O,15.375
787,c1conc1O,16.549
788,c1nc(no1)O,15.356
789,c1(nnon1)O,14.948
790,CC#CC(=NO)C,28.751
791,CC(=NO)CC#C,28.728
792,CC(=NO)CC#N,26.606
793,CC(=NO)CC=O,27.474
794,CC(=NO)CCO,29.947
795,CCCC(=NO)C,31.298
796,CC(=NO)COC,29.454
797,CC(=NO)C(=NO)C,32.871
798,CC(=NO)C(=O)N,27.696
799,CC(C)C(=NO)C,31.926
800,CC(O)C(C)=NO,30.765
801,CC1CC(C1)=NO,27.432
802,CN1CC(=NO)C1,26.31
803,ON=C1CC(O)C1,26.231
804,C#CC(=NO)C#C,25.689
805,CCC(=NO)C#C,28.334
806,C#CC(=NO)CO,27.341
807,CCC(=NO)CC,31.175
808,CCC(=NO)CO,29.764
809,CC1CCC1=NO,27.399
810,CC1NCC1=NO,26.634
811,CC1OCC1=NO,25.694
812,ON=C1CCC1O,26.249
813,C1C=CCC1=NO,24.048
814,C1CC(=NO)C=C1,23.956
815,C1C(=NO)C=CN1,23.572
816,C1CCC(=NO)C1,25.597
817,C1COCC1=NO,23.976
818,CC(=NO)C1CC1,28.125
819,CC(=NO)C1CN1,27.007
820,CC(=NO)C1CO1,26.237
821,ON=C1CC2CC12,23.968
822,ON=C1CC2NC12,23.232
823,ON=C1CC2OC12,22.42
824,ON=C1CN2CC12,22.984
825,C#CC(F)(F)F,18.453
826,C(#N)C(F)(F)F,16.614
827,C(=O)C(F)(F)F,17.598
828,C(C(F)(F)F)N,20.798
829,C(C(F)(F)F)O,20.137
830,CCC(F)(F)F,21.285
831,Cc1cc([nH]c1)C,26.956
832,Cc1cc(oc1)C,25.447
833,Cc1cc(c[nH]1)N,27.008
834,Cc1cc(co1)N,25.319
835,Cc1cc(c[nH]1)O,26.021
836,Cc1cc(co1)O,24.408
837,Cc1cc([nH]c1)N,26.66
838,Cc1cc([nH]c1)O,26.021
839,Cc1c[nH]c(n1)O,24.147
840,Cc1cc(oc1)N,25.418
841,Cc1coc(n1)N,24.035
842,Cc1coc(n1)O,22.747
843,Cc1c[nH]c(n1)C,25.66
844,Cc1coc(n1)C,24.251
845,Cc1nc(co1)N,24.134
846,Cc1[nH]cc(n1)O,24.217
847,Cc1nc(co1)O,22.795
848,c1c(c[nH]c1N)N,26.699
849,c1c(coc1N)N,25.359
850,c1c(c[nH]c1N)O,25.73
851,c1c(coc1N)O,24.468
852,c1c(c[nH]c1O)N,26.127
853,c1c(nc([nH]1)O)N,24.196
854,c1c(nc(o1)O)N,22.672
855,c1c(nc(o1)N)N,23.972
856,c1c(nc([nH]1)N)O,24.096
857,c1c(nc(o1)N)O,22.685
858,c1c(c[nH]c1O)O,25.256
859,c1c(nc([nH]1)O)O,22.913
860,Cc1ccc([nH]1)C,26.775
861,Cc1ccc(o1)C,25.372
