,smiles,zpve
90,C1CNC1=O,0.080442
91,C1COC1=O,0.068574
92,C1C(=O)CN1,0.07965
93,C1C(=O)CO1,0.066989
94,CC1CCC1,0.138424
95,CC1CCO1,0.11459
96,CC1COC1,0.114694
97,C1CC(C1)O,0.115063
98,C1C(CO1)O,0.091005
99,CC1CC1C,0.137341
100,CC1CC1O,0.113827
101,CC1CN1C,0.125556
102,CC1OC1C,0.113178
103,OC1CC1O,0.090396
104,C1C2CC1C2,0.116844
105,C1C2CC1O2,0.092109
106,C#CCC#C,0.065276
107,C#CCC#N,0.05503
108,C(C#N)C#N,0.044642
109,C#CCC=O,0.065029
110,C(C=O)C#N,0.054694
111,C(=N)NC=O,0.068192
112,N=COC=O,0.055229
113,C(=O)NC=O,0.055704
114,CC#CC#C,0.065688
115,CC#CC#N,0.055566
116,CC#CC=O,0.065532
117,CC#CCO,0.089036
118,CCC#CC,0.112761
119,CN=COC,0.10111
120,CCCC#C,0.112736
121,CCCC#N,0.102603
122,CNCC#N,0.091346
123,COCC#C,0.088734
124,COCC#N,0.078474
125,C#CCCO,0.089329
126,C(CO)C#N,0.079045
127,CCCC=O,0.112697
128,CCNC=O,0.102695
129,CCOC=O,0.089832
130,COCC=O,0.088447
131,C(CO)C=O,0.089449
132,CCCCC,0.160138
133,CCCCO,0.136722
134,CCCOC,0.136321
135,CCOCC,0.136152
136,COCCO,0.113563
137,C(CO)CO,0.113242
138,C#CC1CC1,0.090505
139,C#CC1CN1,0.079399
140,C#CC1CO1,0.066467
141,C1CC1C#N,0.080403
142,N#CC1CN1,0.069125
143,N#CC1CO1,0.056139
144,C1CC1C=O,0.090683
145,O=CC1CN1,0.079887
146,O=CC1CO1,0.066465
147,C1CN1C=O,0.079595
148,CCC1CC1,0.137725
149,CCC1CO1,0.113861
150,CCN1CC1,0.126034
151,COC1CC1,0.113725
152,C1CC1CO,0.1143
153,OCC1CN1,0.103108
154,OCC1CO1,0.090736
155,C1CC=CC1,0.116471
156,C1COC=N1,0.081779
157,C1C=CCO1,0.092218
158,C1CCCC1,0.140316
159,C1CCOC1,0.116649
160,C1COCO1,0.092697
161,C1C2CCC12,0.116089
162,C1C2COC12,0.091972
163,C1CC2OC12,0.091787
164,c1c[nH]nc1,0.071284
165,c1cnn[nH]1,0.059084
166,c1[nH]ncn1,0.059902
167,c1[nH]cnn1,0.059116
168,c1cn[nH]n1,0.059852
169,c1cnoc1,0.058014
170,c1conn1,0.045382
171,c1ncon1,0.046608
172,c1nnco1,0.046502
173,c1nnno1,0.033398
174,c1cnon1,0.045873
175,c1nnon1,0.033459
176,n1nnon1,0.020349
177,CC(=NO)C#C,0.081951
178,CC(=NO)CO,0.105605
179,CCC(=NO)C,0.129195
180,C1CC(=NO)C1,0.107557
181,C1C(=NO)CN1,0.096619
182,C1C(=NO)CO1,0.084017
183,C(F)(F)(F)F,0.017147
184,N=C1NC=CO1,0.074595
185,N=C1OC=CO1,0.062567
186,c1c[nH]c(=O)[nH]1,0.075511
187,c1coc(=O)[nH]1,0.063077
188,c1coc(=O)o1,0.050756
189,Cc1ccc[nH]1,0.109918
190,Cc1ccco1,0.097415
191,Cc1cnco1,0.086244
192,Cc1ncco1,0.086046
193,c1cc([nH]c1)N,0.099063
194,c1cc(oc1)N,0.086472
195,c1c(ocn1)N,0.075243
196,c1coc(n1)N,0.075481
197,c1cc([nH]c1)O,0.0864
198,c1c([nH]cn1)O,0.075256
199,c1cnc([nH]1)O,0.075677
200,Cc1cc[nH]c1,0.109903
201,Cc1c[nH]cn1,0.098598
202,Cc1ccoc1,0.097541
203,Cc1cocn1,0.086195
204,c1c[nH]cc1N,0.098959
205,c1c(nc[nH]1)N,0.087869
206,c1cocc1N,0.086736
207,c1c(nco1)N,0.075457
208,c1c[nH]cc1O,0.086407
209,c1c(nc[nH]1)O,0.075668
210,c1c(nco1)O,0.063161
211,Cn1cccc1,0.110002
212,Cn1ccnc1,0.098859
213,c1ccccc1,0.100175
214,c1ccncc1,0.088683
215,c1cnccn1,0.07674
216,c1cncnc1,0.076933
217,c1ncncn1,0.065246
218,CC(C)(C)C#C,0.140054
219,CC(C)(C)C#N,0.129886
220,CC(C)(C#N)N,0.119019
221,CC(C)(C#C)O,0.116168
222,CC(C)(C#N)O,0.105718
223,CC(C)(C)C=O,0.139975
224,CC(C)(C=O)O,0.115843
225,CC(C)(C)CO,0.163869
226,CC(C)(CO)O,0.139933
227,CCC(C)(C)C,0.187572
228,CCC(C)(C)O,0.163685
229,CC(C)(C)OC,0.163225
230,CC#CC(=O)C,0.093473
231,CC#CC(=O)N,0.082966
232,CC#CC(C)C,0.140828
233,CC#CC(C)O,0.117252
234,CC(=O)CC#C,0.093109
235,CC(=O)CC#N,0.082597
236,C#CCC(=O)N,0.082749
237,C(C#N)C(=O)N,0.072367
238,CC(=N)NC=O,0.096761
239,CC(=N)OC=O,0.083113
240,CC(=O)CC=O,0.09322
241,CC(=O)NC=N,0.095742
242,CC(=O)NC=O,0.083351
243,CC(=O)OC=N,0.083216
244,C(=O)NC(=N)N,0.08593
245,C(C=O)C(=O)N,0.083052
246,C(=N)NC(=O)N,0.085659
247,C(=O)NC(=O)N,0.073232
248,NC(=O)OC=N,0.0727
249,CC(C)CC#C,0.140781
250,CC(C)CC#N,0.130632
251,CC(O)CC#C,0.117241
252,CC(O)CC#N,0.106844
253,CN(C)CC#N,0.119064
254,CC(C)CC=O,0.140549
255,CC(C)NC=O,0.130467
256,CC(C)OC=O,0.117552
257,CC(O)CC=O,0.11705
258,CN(C)CC=O,0.129063
259,CC(=O)CCO,0.117054
260,CCCC(=O)C,0.140374
261,CCCC(=O)N,0.130316
262,CCNC(=O)C,0.130219
263,CCNC(=O)N,0.120088
264,CCOC(=O)C,0.117704
265,CCOC(=O)N,0.107556
266,C[NH2+]CC([O-])=O,0.108531
267,CC(=O)COC,0.116412
268,COCC(=O)N,0.10636
269,C(CO)C(=O)N,0.106736
270,[NH3+]CCC([O-])=O,0.107753
271,CC(C)CCO,0.164714
272,CC(O)CCO,0.141169
273,CCCC(C)C,0.188151
274,CCCC(C)O,0.164563
275,CCOC(C)C,0.163926
276,CC(C)COC,0.16427
277,COCC(C)O,0.141325
278,CC(=O)C(=O)C,0.092927
279,CC(=O)C(=N)N,0.09552
280,CC(=O)C(=O)N,0.083247
281,NC(=[NH2+])C([O-])=O,0.073524
282,C(=O)(C(=O)N)N,0.073748
283,CC(C)C(=O)C,0.140412
284,CC(C)C(=O)N,0.130071
285,CC([NH3+])C([O-])=O,0.108391
286,CC(O)C(C)=O,0.117268
287,CC(O)C(N)=O,0.10692
288,CC(=O)N(C)C,0.129864
289,CN(C)C(=O)N,0.119711
290,CC(C)C(C)C,0.187721
291,CC(C)C(C)O,0.164151
292,CC(O)C(C)O,0.140737
293,CC1(CCC1)C,0.165997
294,CC1(CCO1)C,0.141947
295,CC1(COC1)C,0.142192
296,CC1(CCC1)O,0.142376
297,CC1(COC1)O,0.118569
298,CC1(C)CC1O,0.141365
299,CC1(O)CC1O,0.117602
300,CC1CC1(C)C,0.16489
301,CC1CC1(C)O,0.141106
302,CC1OC1(C)C,0.140619
303,CC1(CN1C)C,0.153033
304,CC1CC(=N)O1,0.108342
305,CC1CC(=O)C1,0.118664
306,CC1CC(=O)N1,0.108284
307,CC1CC(=O)O1,0.096346
308,CN1CC(=O)C1,0.107085
309,C1C(CC1=O)O,0.095023
310,CC1CC(C)C1,0.166237
311,CC1CC(C)O1,0.14242
312,CC1CC(O)C1,0.142766
313,CN1CC(C1)O,0.131404
314,OC1CC(O)C1,0.119358
315,CC12CC(C1)C2,0.144312
316,CC12CC(C1)O2,0.119521
317,CC12CN(C1)C2,0.132764
318,OC12CC(C1)C2,0.120826
319,OC12CN(C1)C2,0.109323
320,C#CC(=O)C#C,0.04691
321,C#CC(=O)C#N,0.036304
322,C(#N)C(=O)C#N,0.02554
323,C#CC(=O)C=O,0.046458
324,C(=O)C(=O)C#N,0.035739
325,C(=O)C(=O)C=O,0.045968
326,CC(C#C)C#C,0.093567
327,CC(C#C)C#N,0.083296
328,CC(C#N)C#N,0.072887
329,NC(C#C)C#N,0.072434
330,C(#N)C(C#N)N,0.061962
331,C#CC(C#C)O,0.070081
332,OC(C#C)C#N,0.05969
333,C(#N)C(C#N)O,0.04917
334,CC(C=O)C#C,0.093434
335,CC(C=O)C#N,0.083083
336,OC(C=O)C#C,0.070272
337,OC(C=O)C#N,0.059833
338,CC(C=O)C=O,0.093292
339,CN(C=N)C=O,0.096802
340,CN(C=O)C=O,0.084124
341,C(=O)C(C=O)O,0.070094
342,CN=C(C#N)N,0.084203
343,CN=C(C=O)N,0.095327
344,CCC(=O)C#C,0.09367
345,CCC(=O)C#N,0.08307
346,CNC(=N)C#N,0.084889
347,CNC(=O)C#C,0.0833
348,COC(=O)C#C,0.071026
349,COC(=O)C#N,0.06048
350,C#CC(=O)CO,0.070046
351,C(C(=O)C#N)O,0.059291
352,CCC(=O)C=O,0.093575
353,CNC(=N)C=O,0.095538
354,CNC(=O)C=O,0.083118
355,COC(=O)C=O,0.070937
356,C(C(=O)C=O)O,0.069653
357,CCC(=O)CC,0.140552
358,CCC(=O)CO,0.116949
359,CCC(=O)NC,0.130452
360,CCC(=O)OC,0.118017
361,CNC(=O)CO,0.106577
362,CNC(=O)NC,0.119461
363,CNC(=O)OC,0.107261
364,COC(=O)CN,0.107439
365,COC(=O)CO,0.094874
366,C(C(=O)CO)O,0.09331
367,CC(=NC)OC,0.129176
368,CC(CO)C#C,0.117465
369,CC(CO)C#N,0.107232
370,CCC(C)C#C,0.14095
371,CCC(C)C#N,0.130797
372,CCC(N)C#N,0.119956
373,CCC(O)C#C,0.117373
374,CCC(O)C#N,0.107081
375,CNC(C)C#N,0.119301
376,COC(C)C#C,0.116766
377,COC(C)C#N,0.106659
378,NC(CO)C#N,0.096396
379,NCC(N)C#N,0.109366
380,NCC(O)C#N,0.096532
381,OCC(O)C#C,0.094585
382,OCC(O)C#N,0.084113
383,CC(CO)C=O,0.117353
384,CCC(C)C=O,0.140783
385,CCC(O)C=O,0.117766
386,CCN(C)C=O,0.130695
387,COC(C)C=O,0.116572
388,OCC(O)C=O,0.094809
389,CC(CO)CO,0.141197
390,CCC(C)CC,0.188227
391,CCC(C)CO,0.164837
392,CCC(C)OC,0.164188
393,CCC(CC)O,0.164626
394,CCC(O)CO,0.141924
395,COC(C)CO,0.141335
396,C(C(CO)O)O,0.118969
397,CC1(CC1)C#C,0.118255
398,CC1(CC1)C#N,0.108158
399,CC1(CN1)C#C,0.106988
400,CC1(CN1)C#N,0.096715
401,CC1(CO1)C#C,0.094019
402,CC1(CO1)C#N,0.083704
403,C1CC1(C#N)N,0.09733
404,C#CC1(CC1)O,0.094491
405,C1CC1(C#N)O,0.084237
406,CC1(CC1)C=O,0.118497
407,CC1(CN1)C=O,0.107129
408,CC1(CO1)C=O,0.094183
409,C1CC1(C=O)O,0.094927
410,CC1(CC1)CO,0.142009
411,CC1(CO)CN1,0.13149
412,CC1(CO)CO1,0.118491
413,CCC1(CC1)C,0.165551
414,CCC1(C)CO1,0.141536
415,CCC1(CC1)O,0.141819
416,CC1(CC1)OC,0.141327
417,C1CC1(CO)O,0.1187
418,CC1CCC1=O,0.118901
419,CC1CNC1=O,0.108515
420,CC1COC1=N,0.108616
421,CC1COC1=O,0.096641
422,CC1NCC1=O,0.107628
423,CC1OCC1=O,0.094977
424,CN1CCC1=O,0.108561
425,NC1COC1=N,0.097893
426,NC1COC1=O,0.085902
427,OC1CCC1=O,0.095379
428,OC1CNC1=O,0.08494
429,OC1COC1=N,0.084855
430,OC1COC1=O,0.072889
431,CC1CCC1C,0.166462
432,CC1CCC1O,0.142966
433,CC1COC1C,0.142555
434,CC1OCC1O,0.118783
435,OC1CCC1O,0.11984
436,N=C1CN=CN1,0.08707
437,C1C=CCC1=O,0.096841
438,C1C=CNC1=O,0.08615
439,C1C(=O)NC=N1,0.075083
440,C1C(=O)OC=N1,0.062716
441,N=C1OCC=C1,0.086685
442,C1CC(=O)C=C1,0.097695
443,C1C=CC(=O)N1,0.086559
444,N=C1CCCO1,0.110489
445,N=C1COCO1,0.08643
446,N=C1OCCO1,0.08682
447,C1CCC(=O)C1,0.120921
448,C1CC(=O)NC1,0.110762
449,C1CC(=O)OC1,0.098309
450,C1COCC1=O,0.096958
451,C1C(=O)OCO1,0.074203
452,C1CNC(=O)N1,0.100038
453,C1COC(=O)N1,0.087482
454,C1COC(=O)O1,0.074926
455,CC1=CCCC1,0.144201
456,CC1=CCOC1,0.119949
457,CC1=NCCO1,0.109278
458,CC1CC=CC1,0.144419
459,CC1CN=CO1,0.109554
460,OC1CC=CC1,0.120948
461,CC1CCC=C1,0.144442
462,CC1COC=N1,0.109629
463,CC1OCC=C1,0.120101
464,OC1CCC=C1,0.121083
465,CC1CCCC1,0.168121
466,CC1CCCO1,0.144187
467,CC1CCOC1,0.144241
468,CC1COCO1,0.120486
469,CC1OCCO1,0.120277
470,C1CCC(C1)O,0.144785
471,OC1CCOC1,0.120836
472,CC1C(C)C1C,0.165387
473,CC1C(C)C1O,0.141848
474,CC1C(C)N1C,0.153308
475,CC1C(O)C1O,0.118633
476,OC1C(O)C1O,0.096192
477,CC12CC1CC2,0.143756
478,CC12CC1CO2,0.119588
479,CC12CC1OC2,0.119607
480,CC12CCC1O2,0.119394
481,OC12CC1CC2,0.120085
482,OC12CC1OC2,0.095993
483,C#CC#CC#C,0.046718
484,C#CC#CC#N,0.036829
485,C(#CC#N)C#N,0.027023
486,C#CCCC#C,0.093925
487,C#CCCC#N,0.083685
488,C(CC#N)C#N,0.073373
489,C#CC#CC=O,0.047327
490,C(=O)C#CC#N,0.03702
491,C(=O)C#CC=O,0.0471
492,N=COCC#C,0.083043
493,N=COCC#N,0.07256
494,C#CCCC=O,0.093631
495,C(CC#N)C=O,0.083388
496,C#CCNC=O,0.083614
497,C(C#N)NC=O,0.073313
498,C#CCOC=O,0.070779
499,C(C#N)OC=O,0.060309
500,N=COCC=O,0.082446
501,C(CC=O)C=O,0.093635
502,C(C=O)NC=O,0.083436
503,C(C=O)OC=O,0.070248
504,CC#CC#CC,0.094213
505,CC#CCC#C,0.093655
506,CC#CCC#N,0.083392
507,CC#CCC=O,0.093413
508,CN=CNC=O,0.095665
509,CN=COC=O,0.082782
510,CCC#CC#C,0.094569
511,CCC#CC#N,0.084479
512,C#CC#CCO,0.070848
513,C(C#CC#N)O,0.060584
514,CCC#CC=O,0.094355
515,C(C#CC=O)O,0.07066
516,CCC#CCC,0.141612
517,CCC#CCO,0.117895
518,C(C#CCO)O,0.09418
519,CCN=COC,0.129694
520,CC#CCCO,0.117711
521,CCCC#CC,0.141123
522,CC#CCOC,0.117121
523,CCOC=NC,0.129432
524,CCCCC#C,0.141225
525,CCCCC#N,0.13111
526,CCNCC#N,0.119718
527,CCOCC#C,0.11701
528,CCOCC#N,0.106754
529,COCCC#C,0.117433
530,COCCC#N,0.107193
531,C#CCCCO,0.117709
532,C(CC#N)CO,0.107556
533,CCCCC=O,0.141084
534,CCCNC=O,0.131133
535,CCCOC=O,0.118294
536,CCOCC=O,0.11665
537,COCCC=O,0.117214
538,C(CC=O)CO,0.117582
539,C(CO)NC=O,0.108023
540,OCCOC=N,0.107385
541,C(COC=O)O,0.095121
542,CCCCCC,0.188559
543,CCCCCO,0.16513
544,CCCCOC,0.164797
545,CCCOCC,0.164575
546,CCOCCO,0.14179
547,COCCCO,0.141312
548,COCCOC,0.141011
549,C(CCO)CO,0.141711
550,C#CC1CCC1,0.119752
551,C#CC1CCO1,0.095784
552,C#CC1COC1,0.095926
553,C1CC(C1)C#N,0.109648
554,N#CC1CCN1,0.098381
555,N#CC1CCO1,0.085545
556,C1C(CO1)C#N,0.085731
557,C1CC(C1)C=O,0.119748
558,O=CC1CCO1,0.095537
559,C1C(CO1)C=O,0.095867
560,C1CN(C1)C=O,0.108991
561,CN=C1CCO1,0.108198
562,CCC1CCC1,0.16689
563,CCC1CCO1,0.143052
564,CCC1COC1,0.143134
565,COC1CCC1,0.143075
566,COC1COC1,0.119168
567,C1CC(C1)CO,0.143443
568,OCC1CCO1,0.120269
569,C1C(CO1)CO,0.119781
570,C#CCC1CC1,0.118801
571,C#CCC1CO1,0.094784
572,C#CCN1CC1,0.107234
573,C1CC1CC#N,0.108659
574,N#CCC1CN1,0.097425
575,N#CCC1CO1,0.084551
576,C1CN1CC#N,0.096776
577,N=COC1CC1,0.107686
578,C1CC1CC=O,0.118731
579,O=CCC1CN1,0.107552
580,O=CCC1CO1,0.094736
581,C1CN1CC=O,0.106753
582,C1CC1NC=O,0.108445
583,C1CC1OC=O,0.09542
584,CC#CC1CC1,0.118893
585,CC#CC1CN1,0.107787
586,CC#CC1CO1,0.094802
587,CCCC1CC1,0.166165
588,CCCC1CO1,0.142296
589,CCCN1CC1,0.154458
590,CCOC1CC1,0.14199
591,COCC1CC1,0.142346
592,COCC1CN1,0.1312
593,COCC1CO1,0.118336
594,C1CC1CCO,0.142775
595,OCCC1CO1,0.118831
596,C1CN1CCO,0.131706
597,CC1CC1C#C,0.118547
598,CC1CC1C#N,0.108412
599,CC1NC1C#C,0.107167
600,CC1NC1C#N,0.09686
601,CC1OC1C#C,0.094333
602,CC1OC1C#N,0.083973
603,CN1CC1C#C,0.106781
604,CN1CC1C#N,0.096563
605,OC1CC1C#C,0.094612
606,OC1CC1C#N,0.08473
607,CC1CC1C=O,0.118807
608,CC1CN1C=O,0.10755
609,CC1NC1C=O,0.107279
610,CC1OC1C=O,0.094493
611,CN1CC1C=O,0.107142
612,OC1CC1C=O,0.095101
613,CC1CC1CO,0.142338
614,CC1NC1CO,0.131723
615,CC1OC1CO,0.118625
616,CCC1CC1C,0.165775
617,CCC1CC1O,0.142271
618,CCC1CN1C,0.154112
619,CCC1OC1C,0.141773
620,CCN1CC1C,0.153906
621,CN1CC1CO,0.130565
622,COC1CC1C,0.141831
623,COC1CC1O,0.118463
624,OCC1CC1O,0.11882
625,CC(=O)C1CC1,0.118794
626,CC(=O)C1CN1,0.107728
627,CC(=O)C1CO1,0.094448
628,CC(=O)N1CC1,0.107159
629,C1CC1C(=O)N,0.10842
630,NC(=O)C1CN1,0.097486
631,NC(=O)C1CO1,0.084825
632,C1CN1C(=O)N,0.097247
633,CC(C)C1CC1,0.165637
634,CC(C)C1CO1,0.142058
635,CC(C)N1CC1,0.153893
636,CC(O)C1CC1,0.142089
637,CC(O)C1CN1,0.13137
638,CC(O)C1CO1,0.118887
639,C1CC2(C1)CC2,0.143903
640,C1CC12CCO2,0.119866
641,C1CC12COC2,0.120166
642,C1C2(N1)COC2,0.108945
643,C1CC2(C1)CO2,0.120036
644,C1C2(CO1)CO2,0.096163
645,C1C2CC1C=C2,0.122474
646,C1C2OC1C=C2,0.098138
647,C1C2CC1CC2,0.146796
648,C1C2CC1OC2,0.122543
649,C1C2CCC1O2,0.122563
650,CC1C2CC1C2,0.144734
651,CC1C2CC1O2,0.120022
652,OC1C2CC1C2,0.121175
653,OC1C2CC1O2,0.096525
654,C1COCC=C1,0.12179
655,C1CCC=CC1,0.145885
656,C1CN=COC1,0.111001
657,C1CCCCC1,0.169722
658,C1CCOCC1,0.146029
659,C1COCCO1,0.122092
660,C1COCOC1,0.122388
661,C1CC2CCC12,0.144832
662,C1CC2OCC12,0.121217
663,C1OC2COC12,0.097397
664,CC1C2CCC12,0.144219
665,CC1C2COC12,0.120159
666,OC1C2CCC12,0.120797
667,OC1C2COC12,0.096937
668,C1C2CC=CC12,0.122084
669,C1C2OC=NC12,0.086946
670,C1C=CC2NC12,0.11066
671,C1C=CC2OC12,0.097836
672,C1C2CCCC12,0.146218
673,C1C2CCOC12,0.121999
674,C1C2COCC12,0.122247
675,C1C2OCOC12,0.097684
676,C1CC2OC2C1,0.12194
677,C1OCC2NC12,0.110626
678,C1OCC2OC12,0.097778
679,N=C1OC2CC12,0.085607
680,O=C1CC2CC12,0.097002
681,O=C1CC2CN12,0.085415
682,O=C1CC2NC12,0.085259
683,O=C1CC2OC12,0.072489
684,O=C1CN2CC12,0.085331
685,O=C1NC2CC12,0.086125
686,O=C1OC2CC12,0.073601
687,CC1CC2CC12,0.143977
688,CC1CC2OC12,0.119783
689,CC1OC2CC12,0.11981
690,OC1CC2CC12,0.12054
691,OC1CC2NC12,0.109636
692,OC1CC2OC12,0.096669
693,OC1CN2CC12,0.108991
694,C1C2C3CC2C13,0.121716
695,C1C2C3CN2C13,0.109902
696,C1C2C3OC2C13,0.097292
697,N1C2C3NC2C13,0.09889
698,N1C2C3OC2C13,0.085719
699,O1C2C3OC2C13,0.072528
700,C1CC1C2CC2,0.143702
701,C1CC1C1CO1,0.119787
702,C1CC1N2CC2,0.132005
703,C1NC1C1CN1,0.121976
704,C1NC1C1CO1,0.108598
705,C1OC1C1CO1,0.096139
706,C1C2C1C1CC21,0.121076
707,C1C2C1C1NC21,0.109564
708,C1C2C1C1OC21,0.09688
709,C1C2C1N1CC21,0.109407
710,N1C2C1C1NC21,0.097677
711,N1C2C1C1OC21,0.085037
712,O1C2C1C1OC21,0.072361
713,C1C2C3C1CN23,0.110586
714,C1C2C3CC1C23,0.122208
715,C1C2C3CC1N23,0.110858
716,C1C2C3CN1C23,0.110471
717,C1C2C3OC1C23,0.097855
718,C12C3C1C1C2C31,0.097379
719,C12C3C1N1C2C31,0.085878
720,c1ccnnc1,0.076104
721,c1cnnnc1,0.063368
722,c1nncnn1,0.051463
723,c1ncnnn1,0.051491
724,c1cnnnn1,0.050401
725,Cc1ccn[nH]1,0.09876
726,Cc1ccno1,0.08558
727,Cc1cnn[nH]1,0.086723
728,Cc1cnno1,0.073075
729,Cc1c[nH]nc1,0.098771
730,Cc1c[nH]nn1,0.086525
731,Cc1cnoc1,0.08571
732,Cc1conn1,0.073073
733,Cc1[nH]ncn1,0.087311
734,Cc1ncno1,0.074104
735,Cc1cc[nH]n1,0.098676
736,Cc1nc[nH]n1,0.087309
737,Cc1cn[nH]n1,0.087282
738,Cc1n[nH]nn1,0.075037
739,Cc1ccon1,0.085647
740,Cc1ncon1,0.074202
741,Cc1cnon1,0.073559
742,Cc1nnon1,0.061106
743,Cn1cccn1,0.098746
744,Cn1ccnn1,0.086738
745,Cn1cncn1,0.0876
746,Cn1cnnc1,0.086813
747,Cn1cnnn1,0.074633
748,Cn1nccn1,0.087299
749,Cn1ncnn1,0.075306
750,Cn1nnnn1,0.062337
751,N=C1NC=NO1,0.063044
752,N=C1NN=NN1,0.063337
753,N=C1OC=NO1,0.050594
754,N=C1ON=NO1,0.037566
755,c1cn[nH]c1N,0.087866
756,c1cnoc1N,0.0748
757,c1c([nH]nn1)N,0.075741
758,c1c(onn1)N,0.061867
759,c1c(cn[nH]1)N,0.087859
760,c1c(nn[nH]1)N,0.075973
761,c1c(con1)N,0.074853
762,c1c(nno1)N,0.062456
763,c1nc([nH]n1)N,0.076735
764,c1nc(on1)N,0.063595
765,c1c[nH]nc1N,0.088014
766,c1[nH]nc(n1)N,0.076774
767,c1c(n[nH]n1)N,0.076571
768,c1(n[nH]nn1)N,0.064539
769,c1conc1N,0.07509
770,c1nc(no1)N,0.06371
771,c1c(non1)N,0.062933
772,c1(nnon1)N,0.050629
773,c1[nH]c(=O)[nH]n1,0.064276
774,c1[nH]c(=O)on1,0.05129
775,c1(=O)[nH]nn[nH]1,0.051932
776,c1(=O)[nH]nno1,0.038735
777,c1noc(=O)o1,0.038724
778,c1(=O)onno1,0.025718
779,c1cn[nH]c1O,0.075424
780,c1c(cn[nH]1)O,0.075398
781,c1c(nn[nH]1)O,0.063735
782,c1nc([nH]n1)O,0.064546
783,c1c[nH]nc1O,0.075725
784,c1[nH]nc(n1)O,0.064531
785,c1c(n[nH]n1)O,0.064229
786,c1(n[nH]nn1)O,0.052337
787,c1conc1O,0.062841
788,c1nc(no1)O,0.0514
789,c1(nnon1)O,0.038285
790,CC#CC(=NO)C,0.110277
791,CC(=NO)CC#C,0.110179
792,CC(=NO)CC#N,0.099907
793,CC(=NO)CC=O,0.110176
794,CC(=NO)CCO,0.134383
795,CCCC(=NO)C,0.157642
796,CC(=NO)COC,0.134033
797,CC(=NO)C(=NO)C,0.127289
798,CC(=NO)C(=O)N,0.100061
799,CC(C)C(=NO)C,0.157266
800,CC(O)C(C)=NO,0.133694
801,CC1CC(C1)=NO,0.135534
802,CN1CC(=NO)C1,0.123935
803,ON=C1CC(O)C1,0.111964
804,C#CC(=NO)C#C,0.063418
805,CCC(=NO)C#C,0.110998
806,C#CC(=NO)CO,0.086869
807,CCC(=NO)CC,0.158157
808,CCC(=NO)CO,0.13466
809,CC1CCC1=NO,0.135736
810,CC1NCC1=NO,0.124472
811,CC1OCC1=NO,0.111826
812,ON=C1CCC1O,0.111986
813,C1C=CCC1=NO,0.113734
814,C1CC(=NO)C=C1,0.114241
815,C1C(=NO)C=CN1,0.103108
816,C1CCC(=NO)C1,0.137803
817,C1COCC1=NO,0.113817
818,CC(=NO)C1CC1,0.135269
819,CC(=NO)C1CN1,0.124288
