,BCCvolume_pa_min_value,BCCefflatcnt_min_value,GSestBCClatcnt_min_value,GSvolume_pa_min_value,AtomicVolume_arithmetic_average,GSestFCClatcnt_min_value,HeatVaporization_arithmetic_average,CovalentRadius_min_value,CovalentRadii_min_value,BoilingT_arithmetic_average,GSenergy_pa_composition_average,IsSimpleCubic_composition_average,n_ws^third_arithmetic_average,HeatVaporization_composition_average,AtomicVolume_composition_average,IsNonmetal_composition_average,IonicRadii_difference,AtomicVolume_difference,IonicRadii_min_value,IsPnictide_composition_average,Density_composition_average,GSbandgap_composition_average,AtomicRadii_composition_average,ThermalExpansionCoefficient_min_value,IsMetal_composition_average,target
14,14.61,6.160132677999999,3.444849839,20.44,23.4915814893387,4.340238825,324.685,111.0,1.11,3024.0,-4.6929825475,0.0,1.37,324.685,23.4915814893387,0.0,0.45,6.9504075454518,0.26,0.0,4820.0,0.3865,1.4700000000000002,2.6,0.5,247.5857593961698
15,20.17,6.859228862999999,3.728679007,25.92,72.3324102168758,4.697841169,47.03,120.0,1.16,951.0,-1.72668161,0.0,0.275,53.93333333333333,87.37361208055853,0.3333333333333333,1.24,90.2472111820964,0.5,0.0,2859.0,0.2663333333333333,2.2466666666666666,45.0,0.6666666666666666,247.5857593961698
16,6.98,4.815689402,3.033694224,13.96,6210.323531207599,3.822215211,236.1976,71.0,0.75,1979.736666666667,-6.552210222499999,0.0,1.46,177.8464,9305.8673900604,0.5,0.97,18577.293282884,0.74,0.5,3413.3755,3.2185,1.193,5.7,0.5,276.58575709351777
17,14.16,6.096226278,3.051696628,14.21,21.181336142626947,3.84489682,287.99,107.0,1.06,2627.25,-6.549843178333332,0.0,1.74,196.1266666666667,23.52559803396503,0.6666666666666666,0.46,14.0655713480285,0.17,0.6666666666666666,8735.333333333334,1.0833333333333333,1.3056666666666668,6.4,0.3333333333333333,276.58575709351777
18,27.09,7.567916457999999,3.981581991,31.56,53.0196440634335,5.016478962,72.435,139.0,1.4,1446.0,-1.8524953699975,0.0,0.955,74.6675,64.43375437325571,0.0,0.75,45.6564412392888,0.76,0.25,2316.25,0.0,2.16,11.0,1.0,523.5857374812748
19,16.92,6.46904413,3.2062378330000003,16.48,29.9964807074366,4.039606536,146.48000000000005,121.0,1.18,1736.333333333333,-2.8220673791675,0.0,0.7366666666666666,122.5175,30.98653271121425,0.0,0.48,22.8439043647428,0.54,0.0,4037.0,0.2319999999999999,1.6325,18.8,0.5,523.5857374812748
20,6.98,4.815689402,2.687689729,9.7075,12419.692271874032,3.386276865,48.7542,57.0,0.72,768.3633333333332,-3.439136671875,0.25,0.82,71.61564999999997,9331.011524324198,0.5,0.3799999999999999,18536.639285653902,1.33,0.25,1755.73675,2.10175,1.52,20.6,0.5,590.5857321613547
21,16.92,6.46904413,3.2062378330000003,16.48,23.3929239806495,4.039606536,179.385,121.0,1.18,2326.0,-3.93139273,0.0,1.325,179.385,23.3929239806495,0.0,0.22,13.596998926279197,0.54,0.5,4698.5,0.0,1.51,11.0,1.0,590.5857321613547
22,14.16,6.096226278,3.033694224,13.96,21.654621210439664,3.822215211,91.6,107.0,1.06,1116.1666666666667,-2.8367986225,0.0,1.3166666666666669,91.6,21.654621210439664,0.3333333333333333,0.59,13.008438081838698,0.17,0.3333333333333333,3166.0,0.5416666666666666,1.3873333333333333,30.2,0.6666666666666666,528.5857370842659
23,6.98,4.815689402,2.630893787,9.105,9308.61357825118,3.314718462,41.425925,66.0,0.73,583.9525,-4.47755131375,0.3333333333333333,1.0699999999999998,52.70243333333333,9308.032589595665,0.6666666666666666,1.54,18570.95490853893,0.17,0.3333333333333333,482.8515,1.3436666666666666,1.1266666666666667,46.0,0.3333333333333333,528.5857370842659
24,6.98,4.815689402,3.091182017,14.76875,6212.234667027012,3.894645292,161.3976,71.0,0.75,1595.0700000000004,-5.956048271666668,0.0,1.3333333333333337,137.3464,9307.393818450166,0.5,1.18,18570.95490853893,0.53,0.5,1864.1255,3.346166666666667,1.175,5.7,0.1666666666666666,540.5857361314445
25,7.33,4.894871769,2.630893787,9.105,12408.939648900174,3.314718462,133.3269,57.0,0.72,1264.3266666666666,-4.3064842125,0.6666666666666666,0.4033333333333333,133.3269,12408.939648900174,0.6666666666666666,0.3799999999999999,18568.595354446083,1.02,0.0,1491.7083333333337,0.6566666666666666,1.086666666666667,11.3,0.3333333333333333,540.5857361314445
26,15.62,6.29893322,3.722284555,25.786875,51.50720523887455,4.689784663999999,43.45,105.0,1.02,874.86,-2.09743204847,0.0,0.325,54.60000000000001,59.62075838694235,0.3333333333333333,1.22,48.68131888840671,0.29,0.0,1224.0,0.7340000000000001,1.99,70.0,0.6666666666666666,240.5857599519823
27,15.62,6.29893322,3.722284555,25.786875,33.20602918648117,4.689784663999999,167.10333333333332,105.0,1.02,1830.573333333333,-3.9798186489575,0.0,0.6766666666666666,127.8275,31.69615833852868,0.5,0.73,12.271783087581492,0.29,0.0,2340.0,1.101,1.5625,11.3,0.5,240.5857599519823
28,15.07,6.224116959,3.108612885,15.02,27.3217793945527,3.91660681,206.1533333333333,105.0,1.02,1990.573333333333,-3.3486851768320003,0.0,0.8666666666666667,145.29399999999998,29.7140425721164,0.4,0.73,24.0778653755185,0.29,0.0,5389.2,0.8808,1.544,8.8,0.6000000000000001,344.5857516941958
29,8.43,5.128407411,2.687689729,9.7075,6229.373969027724,3.386276865,96.8566,57.0,0.72,1280.96,-1.7775184085000002,0.6,0.5966666666666667,59.42188,11178.267808348071,0.6,0.6599999999999999,18580.064509248725,0.76,0.0,810.0176,1.182,1.1860000000000002,20.6,0.4,344.5857516941958
30,14.16,6.096226278,3.033694224,13.96,21.186114764736853,3.822215211,62.65,105.0,1.02,948.86,-2.6686083168750003,0.0,0.66,62.65,21.186114764736853,0.5,0.45,11.9608620598687,0.29,0.0,4550.0,1.101,1.3010000000000002,30.2,0.5,100.58577106823331
31,6.11,4.606669594,2.242692341,5.64,19.68668142768269,2.825615289,459.1566666666667,76.0,0.77,3443.333333333333,-6.744630636668,0.0,1.4766666666666666,520.054,15.036580252724905,0.4,0.84,35.63942003718686,0.16,0.0,2198.0,2.4080000000000004,1.15,1.0,0.2,100.58577106823331
32,8.43,5.128407411,2.687689729,9.7075,9333.288924501649,3.386276865,71.7349,57.0,0.72,1113.94,-1.773214725,0.6666666666666666,0.405,48.9132,12422.728805443963,0.6666666666666666,0.0899999999999998,18536.639285653902,1.33,0.0,1171.130666666667,1.3133333333333332,1.2200000000000002,20.6,0.3333333333333333,650.5857273972472
33,6.98,4.815689402,3.091182017,14.76875,6226.578986495979,3.894645292,268.02093333333335,71.0,0.75,2365.403333333333,-7.07517600375,0.0,1.3033333333333332,201.7139,9318.058981526685,0.5,0.88,18570.23025542436,0.83,0.5,4205.6255,3.2185,1.406,5.9,0.5,650.5857273972472
34,11.08,5.617631503999999,2.807970487,11.07,35.942281302915475,3.537821124,221.1575,132.0,1.17,2555.5,-3.5821140625016668,0.0,0.8725,164.315,35.28041710945938,0.0,0.69,53.13933974279529,0.73,0.0,5937.0,0.2319999999999999,1.6846666666666668,11.3,0.5,483.58574065734666
35,7.33,4.894871769,2.630893787,9.105,4676.034490592703,3.314718462,131.310225,66.0,0.73,1524.775,-4.220100786852221,0.6666666666666666,0.5525,60.25504444444446,12407.23597720198,0.6666666666666666,0.8699999999999999,18569.536190107043,0.53,0.0,1577.9526666666666,0.0941111111111111,1.0555555555555556,5.7,0.1111111111111111,483.58574065734666
36,27.09,7.567916457999999,3.981581991,31.56,73.82371962585654,5.016478962,67.85499999999999,139.0,1.4,1402.0,-1.6703104299999998,0.0,0.905,67.79749999999999,95.63986771689028,0.0,0.98,87.2645923641349,0.76,0.25,3083.5,0.0,2.4,11.0,1.0,135.9557896728841
37,22.88,7.153611229,3.577326635,22.89,28.589490909086948,4.50714913,89.115,138.0,1.36,1312.0,-2.341787408335,0.0,0.585,89.115,28.589490909086948,0.0,0.25,10.7343956269205,0.72,0.0,3989.0,0.2319999999999999,1.6,18.8,0.5,135.9557896728841
38,6.6,4.726663002,2.242692341,5.64,6225.723973672391,2.825615289,264.8976,71.0,0.75,1803.07,-5.565535100332,0.0,1.3566666666666665,174.87712,7469.10375046381,0.6000000000000001,1.55,18583.673876903507,0.16,0.4,794.9004,3.474,1.4900000000000002,1.0,0.4,338.5857521706066
39,7.33,4.894871769,2.630893787,9.105,6232.745484872089,3.314718462,49.42696666666667,66.0,0.73,994.0333333333332,-3.6821214658325,0.5,0.6366666666666667,37.92295,9322.608405276416,0.5,0.75,18562.00574304561,0.76,0.25,1888.9645,0.0,1.35,11.0,0.5,338.5857521706066
40,7.33,4.894871769,2.630893787,9.105,6238.343180592722,3.314718462,46.8603,66.0,0.73,970.3666666666668,-3.64857029375,0.5,0.62,35.99795,9326.80667706689,0.5,0.8500000000000001,18562.00574304561,0.76,0.25,2057.9645,0.0,1.3825,11.0,0.5,366.5857499473565
41,16.51,6.416364372,3.2135708380000003,16.5933333333,38.90158773278653,4.048845545,118.42333333333332,128.0,1.23,1872.666666666667,-2.6369238366666665,0.0,1.0166666666666666,118.42333333333332,38.90158773278653,0.0,0.6599999999999999,43.4252235948199,0.76,0.3333333333333333,3580.666666666667,0.0,1.7866666666666668,11.0,1.0,366.5857499473565
42,8.43,5.128407411,2.687689729,9.7075,6238.08863229673,3.386276865,143.82326666666668,57.0,0.72,1406.2933333333335,-1.948883755555556,0.6666666666666666,0.7,57.44653333333334,12423.883298375353,0.6666666666666666,1.35,18581.592189611987,0.26,0.0,600.464,1.3992222222222224,1.1777777777777778,2.6,0.2222222222222222,322.5857534410353
43,7.33,4.894871769,2.630893787,9.105,6233.92839398362,3.314718462,132.34696666666667,66.0,0.73,1393.3666666666666,-2.976606513333333,0.3333333333333333,0.7233333333333333,132.34696666666667,6233.92839398362,0.3333333333333333,0.7600000000000001,18575.25010287292,0.85,0.0,6944.476333333332,0.0,1.5506666666666666,14.2,0.6666666666666666,322.5857534410353
44,6.98,4.815689402,3.091182017,14.76875,6223.681463496978,3.894645292,89.0976,71.0,0.75,1031.736666666667,-4.238048128,0.0,1.22,79.53712,7457.353130041071,0.4,0.99,18569.27667352317,0.72,0.4,1221.7004000000004,2.5748,1.4380000000000002,22.5,0.6000000000000001,400.58574724769545
45,14.16,6.096226278,3.2135708380000003,16.5933333333,35.02710355767429,4.048845545,98.8,107.0,1.06,1274.5,-2.9844031841666663,0.0,1.1566666666666665,98.8,35.02710355767429,0.3333333333333333,1.09,33.779072696631104,0.17,0.3333333333333333,1662.6666666666663,0.5416666666666666,1.66,22.5,0.6666666666666666,400.58574724769545
46,14.16,6.096226278,3.2135708380000003,16.5933333333,38.2424871904039,4.048845545,99.9,107.0,1.06,1437.166666666667,-3.064639404166667,0.0,1.1466666666666665,99.9,38.2424871904039,0.3333333333333333,1.25,43.4252235948199,0.17,0.3333333333333333,1956.0,0.5416666666666666,1.6833333333333336,20.6,0.6666666666666666,1100.5856916664409
47,16.51,6.416364372,3.2135708380000003,16.5933333333,36.07910183058283,4.048845545,106.56666666666666,119.0,1.2,1548.3333333333337,-2.814766095,0.0,1.0766666666666669,106.56666666666666,36.07910183058283,0.0,0.84,43.4252235948199,0.58,0.3333333333333333,3257.333333333333,0.0,1.7200000000000002,15.4,1.0,1100.5856916664409
48,8.43,5.128407411,2.687689729,9.7075,9313.308939123595,3.386276865,154.0349,57.0,0.72,1593.94,-2.8449239906250003,0.75,0.635,78.65235,13957.4587532261,0.75,0.5800000000000001,18576.59925641001,0.75,0.0,747.5219999999999,1.4775,0.9415,10.0,0.25,856.5857110404779
49,14.16,6.096226278,3.033694224,13.96,21.186114764736853,3.822215211,62.65,105.0,1.02,948.86,-2.6686083168750003,0.0,0.66,62.65,21.186114764736853,0.5,0.45,11.9608620598687,0.29,0.0,4550.0,1.101,1.3010000000000002,30.2,0.5,856.5857110404779
50,19.65,6.7997693120000005,3.390921571,19.495,24.3944150408113,4.272293466,63.095,120.0,1.16,999.0,-2.1414830675,0.0,0.62,63.095,24.3944150408113,0.5,0.45,5.628779170032601,0.5,0.0,6734.5,0.3995,1.4445,30.8,0.5,593.5857319231493
51,11.08,5.617631503999999,2.807970487,11.07,19.014405761918333,3.537821124,349.16666666666663,105.0,1.02,3216.24,-4.910278859375,0.0,1.0333333333333332,209.8125,20.27534231669605,0.5,0.44,15.336603862771303,0.29,0.0,6406.25,1.101,1.293,6.3,0.5,593.5857319231493
52,20.17,6.859228862999999,3.577326635,22.89,25.215548860727147,4.50714913,76.96,120.0,1.16,1160.5,-2.50653211,0.0,0.585,76.96,25.215548860727147,0.5,0.22,3.9865115302009,0.5,0.0,3278.5,0.3995,1.5,24.8,0.5,184.5857643984827
53,15.62,6.29893322,3.539684396,22.175,37.92629036924793,4.459722881,102.4175,105.0,1.02,1377.93,-3.640109550832728,0.0,0.8325,51.724545454545456,35.009974624600325,0.5454545454545454,1.22,54.123898945899896,0.29,0.1818181818181818,2930.5454545454545,1.2010909090909092,1.5199999999999998,15.4,0.4545454545454546,184.5857643984827
54,15.62,6.29893322,3.722284555,25.786875,41.2448382855888,4.689784663999999,73.45,105.0,1.02,1186.36,-2.8900151593750003,0.0,0.42,73.45,41.2448382855888,0.5,0.97,28.1565849818352,0.29,0.0,2295.0,1.101,1.71,22.5,0.5,279.5857568553124
55,6.6,4.726663002,2.242692341,5.64,38.721475942943705,2.825615289,392.5,76.0,0.77,2832.333333333333,-5.096774386000001,0.0,1.3466666666666665,392.34,43.52609387781971,0.4,1.4500000000000002,83.81586212968398,0.16,0.0,3921.4,1.7984000000000002,1.631,1.0,0.6000000000000001,279.5857568553124
56,6.6,4.726663002,2.242692341,5.64,38.94216835566721,2.825615289,431.55,76.0,0.77,3119.666666666666,-5.274921408,0.0,1.3833333333333333,415.77,43.65850932545381,0.4,1.4500000000000002,83.81586212968398,0.16,0.0,5734.8,1.7984000000000002,1.632,1.0,0.6000000000000001,355.58575082077624
57,20.17,6.859228862999999,3.695665057,25.2375862069,26.262443985840804,4.656246199,125.33,120.0,1.16,1487.5766666666668,-2.620632264975429,0.0,0.8266666666666667,73.46428571428572,26.43221255780505,0.5714285714285714,0.52,2.5970625561974003,0.5,0.0,7664.857142857143,0.4565714285714286,1.4885714285714289,22.0,0.4285714285714285,355.58575082077624
58,6.6,4.726663002,2.242692341,5.64,6207.634693929962,2.825615289,272.55426666666665,71.0,0.75,1805.736666666667,-6.6111925750000005,0.0,1.5533333333333332,205.1139,9303.85076210217,0.75,1.55,18583.673876903507,0.16,0.5,2728.1255,4.3425,1.05975,1.0,0.25,481.5857408161503
59,11.08,5.617631503999999,2.807970487,11.07,43.87914652384893,3.537821124,126.56666666666666,105.0,1.02,1626.24,-3.36662215375,0.0,0.69,165.11666666666667,30.410644871669632,0.3333333333333333,1.32,80.81100991307581,0.29,0.0,5368.666666666666,0.7340000000000001,1.475666666666667,16.5,0.6666666666666666,481.5857408161503
60,7.33,4.894871769,2.630893787,9.105,6207.879207301461,3.314718462,186.65696666666668,66.0,0.73,1922.3666666666668,-4.051623483125,0.5,0.9266666666666667,140.84545,9303.958697098446,0.5,0.7799999999999999,18580.3672245575,0.62,0.0,3706.7145,0.0,1.037,16.5,0.5,335.585752408812
61,7.33,4.894871769,2.630893787,9.105,6209.627775974123,3.314718462,170.03363333333334,66.0,0.73,1667.3666666666666,-3.822808168125,0.5,0.8900000000000001,128.37795,9305.270123602944,0.5,0.7799999999999999,18575.12151853951,0.62,0.0,4099.2145,0.0,1.0785,18.9,0.5,335.585752408812
62,7.33,4.894871769,2.630893787,9.105,6211.427375119294,3.314718462,186.2803,66.0,0.73,1876.033333333333,-4.6411226150000005,0.5,0.8766666666666667,140.56295,9306.61982296182,0.5,0.6499999999999999,18575.12151853951,0.75,0.0,3369.4645,0.0,1.1275,10.0,0.5,1292.5856764212965
63,7.33,4.894871769,2.630893787,9.105,9328.58322408205,3.314718462,71.80545,66.0,0.73,1116.55,-3.81236869,0.6666666666666666,0.405,49.00726666666666,12416.454538217831,0.6666666666666666,0.02,18527.227884814707,1.4,0.0,1170.9526666666666,0.0,1.2266666666666668,20.6,0.3333333333333333,1292.5856764212965
64,14.61,6.160132677999999,3.444849839,20.44,37.66975424655961,4.340238825,247.95,111.0,1.11,2414.0,-2.930181735,0.0,1.17,210.9333333333333,43.554213089875205,0.0,1.0,35.3067530598936,0.26,0.0,2530.0,0.2576666666666666,1.8733333333333333,2.6,0.6666666666666666,301.58575510847294
65,20.17,6.859228862999999,3.695665057,25.2375862069,50.572443846475366,4.656246199,136.665,120.0,1.16,1537.4325,-2.996951254569,0.0,0.75,99.88333333333333,42.78456410625943,0.5,1.24,92.8442737382938,0.5,0.0,5723.666666666666,0.3995,1.7133333333333334,11.3,0.5,301.58575510847294
66,14.16,6.096226278,3.033694224,13.96,23.03260235649755,3.822215211,71.2,105.0,1.02,1016.555,-3.5570375346428578,0.0,0.9875,44.971428571428575,24.80429240142911,0.7142857142857142,0.59,13.008438081838698,0.17,0.1428571428571428,2476.857142857143,1.4904285714285714,1.3202857142857145,30.2,0.2857142857142857,719.5857219185235
67,25.23,7.39058945,4.052840562,33.285,44.95775141307713,5.106259136,195.08,139.0,1.41,2258.333333333333,-2.610966305,0.0,0.9866666666666668,195.08,44.95775141307713,0.0,0.71,38.00249641263059,0.71,0.0,4123.333333333333,0.0,1.9366666666666668,20.6,1.0,719.5857219185235
68,20.17,6.859228862999999,3.728679007,25.92,59.92487823540165,4.697841169,47.76000000000001,120.0,1.16,959.5,-1.7991539866666666,0.0,0.3,54.90666666666666,70.83023610525967,0.3333333333333333,1.11,65.4321472191481,0.5,0.0,2627.6666666666665,0.2663333333333333,2.12,45.0,0.6666666666666666,172.58576535130422
69,8.43,5.128407411,2.687689729,9.7075,9311.576312704236,3.386276865,75.1849,57.0,0.72,849.94,-1.78397393375,0.5,0.49,75.1849,9311.576312704236,0.5,0.5700000000000001,18580.064509248725,0.76,0.0,268.348,0.985,1.135,46.0,0.5,172.58576535130422
70,7.33,4.894871769,2.630893787,9.105,9304.395795503457,3.314718462,147.10545000000005,66.0,0.73,1441.05,-4.352244391,0.6,0.695,118.36654,11161.956069700644,0.6,0.8599999999999999,18575.60274197189,0.54,0.0,1080.8574,0.0,1.01,23.1,0.4,694.5857239035686
71,10.33,5.487907316,2.74306794,10.32,24.71530692267127,3.456049039,279.59000000000003,124.0,1.15,2888.0,-5.376095561666666,0.0,1.4066666666666667,279.59000000000003,24.71530692267127,0.0,0.3300000000000001,22.071928440814503,0.69,0.3333333333333333,6692.333333333334,0.0,1.5486666666666666,11.0,1.0,694.5857239035686
72,15.62,6.29893322,3.2135708380000003,16.5933333333,24.35530193727325,4.048845545,78.55,105.0,1.02,1166.36,-2.612330179583333,0.0,0.49,101.4,23.418220651473927,0.3333333333333333,0.47,5.622487714795902,0.29,0.0,1010.0,0.7340000000000001,1.4566666666666668,46.0,0.6666666666666666,69.63722405788964
73,6.98,4.815689402,3.091182017,14.76875,6214.310485227555,3.894645292,201.0976,71.0,0.75,1825.6433333333327,-7.522403249750002,0.0,1.02,239.31712,7451.739273114131,0.6000000000000001,1.42,18569.23302334961,0.29,0.4,2996.9004,3.0152,1.262,5.7,0.4,69.63722405788964
74,6.11,4.606669594,2.429779429,7.1725,4670.525133147046,3.061330249,269.152725,66.0,0.73,2516.525,-5.159489711834,0.6,1.02,160.14654,11165.03841323005,0.6,1.19,18584.89939922412,0.23,0.0,1294.5574,0.3048,1.0008,4.7,0.2,270.5857575699285
75,16.92,6.46904413,3.2062378330000003,16.48,21.901614571668755,4.039606536,158.56,120.0,1.16,1875.0,-3.580644394,0.0,0.695,132.11200000000002,22.96305258250052,0.6,0.04,10.6143801083177,0.5,0.0,3971.4,0.4794000000000001,1.412,23.1,0.4,270.5857575699285
76,14.47,6.140393047000001,3.0659471110000003,14.41,44.8352946360702,3.862851303,157.5,105.0,1.02,1638.24,-3.747651181666667,0.0,0.7566666666666666,150.92222222222225,37.560360630480815,0.4444444444444444,1.32,77.94256557641202,0.29,0.0,5219.222222222223,0.9786666666666668,1.5738888888888891,11.8,0.5555555555555556,1979.5856218722645
77,15.62,6.29893322,3.722284555,25.786875,44.40194464051272,4.689784663999999,51.62333333333334,105.0,1.02,1203.24,-3.3523338727075003,0.0,0.6366666666666667,41.2175,40.09309492905236,0.5,1.22,48.68131888840671,0.29,0.25,2868.25,1.101,1.62,11.0,0.5,1979.5856218722645
78,6.6,4.726663002,2.242692341,5.64,14.42073371595226,2.825615289,537.0,76.0,0.77,3736.5,-7.31731583,0.0,1.635,537.0,14.42073371595226,0.5,0.1,11.191288001321082,0.16,0.0,2295.0,2.6345,1.115,1.0,0.0,609.5857306527207
79,6.6,4.726663002,2.242692341,5.64,14.42073371595226,2.825615289,537.0,76.0,0.77,3736.5,-7.31731583,0.0,1.635,537.0,14.42073371595226,0.5,0.1,11.191288001321082,0.16,0.0,2295.0,2.6345,1.115,1.0,0.0,609.5857306527207
80,6.11,4.606669594,2.429779429,7.1725,4662.421003028095,3.061330249,232.295225,66.0,0.73,2150.275,-4.739946713834001,0.6,1.04,145.40354,11161.796761182468,0.6,1.17,18584.89939922412,0.23,0.0,1397.6574,0.3048,0.956,4.7,0.2,607.5857308115244
81,8.43,5.128407411,2.687689729,9.7075,9347.124759586788,3.386276865,36.2349,57.0,0.72,522.94,-1.33069799125,0.5,0.3,36.2349,9347.124759586788,0.5,0.28,18508.967615483623,1.33,0.0,766.8480000000001,0.985,1.6,91.0,0.5,607.5857308115244
82,14.16,6.096226278,3.033694224,13.96,39.75589007817386,3.822215211,68.2,107.0,1.06,921.8333333333331,-2.3473109790457145,0.0,1.2066666666666666,63.957142857142856,53.5750551571995,0.2857142857142857,1.34,60.6421809482754,0.17,0.2857142857142857,2030.0,0.4642857142857143,1.898857142857143,30.2,0.7142857142857142,336.58575232941024
83,28.3,7.678955297999999,4.111975037,34.7633333333,49.1117331748094,5.180763906,175.7,138.0,1.25,2010.0,-3.0769227279175,0.0,0.61,144.4325,45.32297206174385,0.0,0.54,41.8911759605307,0.97,0.0,4870.5,0.2319999999999999,1.85675,5.2,0.5,336.58575232941024
84,6.98,4.815689402,3.091182017,14.76875,6221.216758579306,3.894645292,56.62093333333333,71.0,0.75,795.9033333333333,-3.8913877895,0.0,1.403333333333333,95.84056,3749.904930068571,0.4,1.54,18564.28484480216,0.17,0.4,1294.8502,1.6124,1.622,22.3,0.6,762.5857185042465
85,14.47,6.140393047000001,3.0659471110000003,14.41,21.311294241689698,3.862851303,448.2466666666667,139.0,1.28,3662.333333333334,-6.351040331666668,0.0,1.4533333333333334,448.2466666666667,21.311294241689698,0.0,0.1899999999999999,12.2683989935009,0.64,0.0,10881.0,0.0,1.5196666666666667,5.9,1.0,762.5857185042465
