,n_ws^third_difference,GSenergy_pa_arithmetic_average,BCCenergy_pa_max_value,GSenergy_pa_composition_average,BCCenergy_pa_composition_average,BCCenergy_pa_min_value,GSenergy_pa_max_value,GSenergy_pa_min_value,NpValence_difference,SecondIonizationEnergy_composition_average,NpValence_min_value,n_ws^third_min_value,AtomicRadii_composition_average,phi_difference,BCCvolume_padiff_max_value,AtomicRadii_arithmetic_average,SecondIonizationEnergy_min_value,NUnfilled_arithmetic_average,ICSDVolume_difference,ElectronAffinity_difference,BCCenergy_pa_arithmetic_average,BCCfermi_composition_average,IonicRadii_min_value,BCCfermi_difference,NUnfilled_composition_average,target
12,0.0,-5.314061115833333,-3.96089058,-5.0911534315,-3.664046396,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.9074,4.0,1.75,1.0642,0.0,0.5775,1.287,12.126,4.666666666666667,26.3,71.1,-4.466909586666667,4.303628472,0.65,3.0835936200000003,3.6,-1.771
13,0.0,-6.1225035808333335,-3.96089058,-5.5762189105,-4.168990598,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.7954,4.0,1.73,1.0634,0.0,0.5775,1.2856666666666667,12.126,5.666666666666667,25.4,77.1,-5.308483256666666,4.670954058,0.62,4.90350917,4.2,-1.771
14,0.0,-3.2388068875,-3.96089058,-3.8460008945,-2.438549408,-3.96089058,-4.1050022975,-4.1050022975,0.0,28.5154,4.0,0.55,1.3476,0.0,2.265,1.7593333333333334,12.126,4.0,50.2,95.61,-2.4244146066666667,3.1711078500000003,1.4,5.6793154900000005,3.2,-0.08
15,0.0,-4.180816340833333,-3.96089058,-4.411206566500001,-2.996606538,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.553800000000003,4.0,1.47,1.0692,0.0,0.5775,1.2953333333333334,12.126,4.0,25.6,22.8,-3.3545098233333333,3.951293464,0.73,3.0835936200000003,3.2,-0.08
16,0.0,-4.487782885276667,-3.96089058,-4.595386493166,-3.15910523,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.8294,4.0,1.22,1.1682,0.0,0.5775,1.4603333333333337,11.67,5.0,20.1,91.1,-3.625340976666667,3.747088186,1.03,3.0835936200000003,3.8,2.653
17,0.0,-4.475142649166667,-3.96089058,-4.587802351500001,-3.152404648,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.8812,4.0,1.23,1.165,0.0,0.5775,1.455,11.929,4.333333333333333,20.1,91.1,-3.61417334,3.707581554,1.0,3.0835936200000003,3.4000000000000004,2.653
18,0.0,-3.5637936808333333,-3.96089058,-4.0409929705,-2.63394645,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.7444,4.0,0.88,1.222,0.0,0.5775,1.55,11.245,6.000000000000001,31.2,91.1,-2.7500763433333333,3.562405412,1.07,3.72282768,4.4,-1.025
19,0.0,-5.715759520833333,-3.96089058,-5.3321724745,-3.925125954,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.7314,4.0,1.77,1.0618,0.0,0.5775,1.283,12.126,5.0,25.7,117.1,-4.902042183333333,4.365844210000001,0.55,3.3779599300000003,3.8,-1.025
20,0.0,-3.958016501666666,-3.96089058,-4.277526663,-2.863707234,-3.96089058,-4.1050022975,-4.1050022975,3.0,27.5974,1.0,1.31,1.0956,0.0,0.5775,1.3393333333333337,12.126,5.333333333333334,20.1,112.1,-3.133010983333333,3.86551687,0.62,3.0835936200000003,4.0,0.264
21,0.0,-4.505405170833333,-3.96089058,-4.6059598645,-3.17016649,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.9144,4.0,1.21,1.174,0.0,0.58,1.47,12.095,8.999999999999998,20.1,91.1,-3.64377641,3.755241964,1.05,3.0835936200000003,6.2,0.264
22,0.0,-4.492611249166666,-3.96089058,-4.5982835115,-3.1237020600000003,-3.96089058,-4.1050022975,-4.1050022975,2.0,26.6822,2.0,1.37,1.0876,0.0,0.5775,1.326,12.126,5.0,20.1,21.099999999999994,-3.566335693333333,3.951554036,0.53,3.0835936200000003,3.8,4.197
23,0.0,-6.2720311791666665,-3.96089058,-5.6659354695,-4.222958954,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.4804,4.0,1.45,1.1264,0.0,0.5775,1.3906666666666667,12.126,6.333333333333333,20.1,0.0,-5.398430516666667,4.022079638,0.83,3.0835936200000003,4.6000000000000005,4.197
24,0.0,-3.037299921638,-3.96089058,-3.7250967149828,-2.299995274,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.2472,4.0,1.24,1.1336,0.0,0.5775,1.4026666666666667,12.126,3.6666666666666665,20.1,0.0,-2.19349105,3.729172894,1.02,3.0835936200000003,3.0,3.33
25,0.0,-4.47973702639,-3.96089058,-4.590558977834,-3.154973922,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.8564,4.0,1.22,1.1668,0.0,0.586666667,1.458,11.805,4.666666666666667,20.1,91.1,-3.6184554633333335,3.702568338,1.02,3.0835936200000003,3.6,3.33
26,0.0,-3.8428653875,-3.96089058,-4.2084359945,-2.7988101060000004,-3.96089058,-4.1050022975,-4.1050022975,3.0,27.2692,1.0,1.17,1.1456,0.0,0.5775,1.4226666666666667,12.126,5.333333333333334,20.1,112.1,-3.0248491033333336,4.75519905,0.8,5.32473413,4.0,5.121
27,0.0,-5.9034352175,-3.96089058,-5.4447778925,-3.913460196,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.83,1.085,0.0,0.5775,1.3216666666666668,12.126,4.666666666666667,23.6,8.900000000000006,-4.882599253333334,5.003542469999999,0.63,6.56645123,3.6,5.121
28,0.0,-3.319777971943333,-3.96089058,-3.894583545166,-2.487332282,-3.96089058,-4.1050022975,-4.1050022975,0.0,29.8204,4.0,0.65,1.2836,0.0,0.5775,1.6526666666666667,12.126,4.0,58.3,92.74,-2.5057193966666667,3.064729702,1.4,6.21120623,3.2,-1.411
29,0.0,-4.596446795833334,-3.96089058,-4.6605848395,-3.227201986,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.7072,4.0,1.18,1.189,0.0,0.5775,1.495,11.059,6.666666666666667,20.1,91.1,-3.73883557,4.630536054,1.16,4.70141915,4.8,-1.411
30,0.0,-3.5772270375,-3.96089058,-4.0490529845,-2.641136038,-3.96089058,-4.1050022975,-4.1050022975,0.0,38.823,4.0,0.98,1.1236,0.0,0.5775,1.386,12.126,4.0,20.1,81.3,-2.7620589900000003,3.12098725,0.76,5.92991849,3.2,1.596
31,0.0,-4.461598074166666,-3.96089058,-4.5796756065,-3.145010864,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.273,4.0,1.24,1.1604,0.0,0.5775,1.4473333333333334,12.126,6.666666666666667,20.1,91.1,-3.6018503666666666,3.668977208,0.98,3.1899687,4.8,1.596
32,0.0,-5.96078648428,-3.96089058,-5.479188652568,-4.042111234,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.6234,4.0,1.61,1.0616,0.0,0.5775,1.2826666666666668,12.126,5.333333333333334,25.2,0.0,-5.097017650000001,4.59053406,0.67,4.5014091800000005,4.0,5.48
33,0.0,-6.5693006575,-3.96089058,-5.8442971565,-4.437250636,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.7876,4.0,1.77,1.086,0.0,0.5775,1.3233333333333337,12.126,5.666666666666667,21.9,45.1,-5.75558332,4.802945096,0.59,5.563464359999999,4.2,5.48
34,0.0,-6.318371910833333,-3.96089058,-5.6937399085,-4.286693388000001,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.3594,4.0,1.64,1.0994,0.0,0.5775,1.3456666666666668,12.126,6.000000000000001,20.1,45.1,-5.504654573333334,4.055909938,0.64,3.0835936200000003,4.4,5.682
35,0.0,-4.5413818475,-3.96089058,-4.6275458705000005,-3.194179542,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.6408,4.0,1.2,1.1778,0.0,0.5775,1.4763333333333335,10.727,7.000000000000001,20.1,91.1,-3.683798163333334,3.764828492,1.29,3.0835936200000003,5.0,5.682
36,0.0,-4.802706257500001,-3.96089058,-4.7843405165,-3.35585689,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.129,4.0,1.75,1.0628,0.0,0.5775,1.2846666666666666,12.126,4.333333333333333,26.6,30.099999999999994,-3.95326041,4.0947040260000005,0.69,3.0835936200000003,3.4000000000000004,-0.381
37,0.0,-7.267369519566666,-3.96089058,-6.26313847374,-4.7677453860000005,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,0.0,1.0756,0.0,0.5775,1.306,12.126,9.999999999999998,20.1,0.0,-6.306407903333334,6.784348068,0.75,15.47047922,6.8,-0.381
38,0.0,-6.694166064166667,-3.96089058,-5.9192164005,-4.3345022140000005,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.85,1.0816,0.0,0.5775,1.316,12.126,5.0,23.6,31.099999999999994,-5.584335950000001,4.831009954000001,0.63,5.70378865,3.8,4.135
39,0.0,-6.1197355575,-3.96089058,-5.574558096500001,-4.131555264,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,0.0,1.1348,0.0,0.5775,1.4046666666666667,12.126,10.666666666666666,20.1,0.0,-5.246091033333333,5.66503842,0.91,9.87393098,7.2,4.135
40,0.0,-4.1636079375,-3.96089058,-4.4008815245,-2.9845839960000005,-3.96089058,-4.1050022975,-4.1050022975,2.0,26.501,2.0,1.15,1.1636,0.0,0.5775,1.4526666666666668,12.126,5.0,20.1,31.099999999999994,-3.3344722533333337,4.736246191999999,1.19,5.229969840000001,3.8,5.294
41,0.0,-4.666522924166667,-3.96089058,-4.7026305165,-3.2862316620000005,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.4214,4.0,1.67,1.0886,0.0,0.5775,1.3276666666666668,12.126,3.6666666666666665,22.7,81.1,-3.837218363333333,4.11294336,0.64,3.0835936200000003,3.0,5.294
42,0.0,-4.535471848333334,-3.96089058,-4.6239998710000005,-3.189638832,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.676,4.0,1.21,1.1756,0.0,0.5775,1.4726666666666668,10.903,6.666666666666667,20.1,91.1,-3.676230313333334,3.748198734,1.09,3.0835936200000003,4.8,5.268
43,0.0,-4.545208054166666,-3.96089058,-4.6298415945,-3.19773705,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.6056,4.0,1.2,1.1792,0.0,0.5775,1.4786666666666668,10.551,7.333333333333333,20.1,91.1,-3.6897273433333337,3.793950352,1.13,3.0835936200000003,5.2,5.268
44,0.0,-4.9634346275,-3.96089058,-4.8807775385,-3.4530566800000004,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.208,4.0,1.78,1.0896,0.0,0.5775,1.3293333333333333,12.126,4.333333333333333,22.3,64.20000000000002,-4.11526006,4.619563877999999,0.63,4.64655827,3.4000000000000004,3.511
45,0.0,-7.729476169166667,-3.96089058,-6.5404024635,-5.01088337,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.44,1.1156,0.0,0.5775,1.3726666666666667,12.126,6.333333333333333,20.1,0.0,-6.711637876666667,6.889949066,0.86,15.99848421,4.6000000000000005,3.511
46,0.0,-3.275043075833333,-3.96089058,-3.8677426075,-2.460416496,-3.96089058,-4.1050022975,-4.1050022975,0.0,28.9514,4.0,0.6,1.3096,0.0,0.5775,1.696,12.126,4.0,75.7,94.21,-2.4608597533333336,3.093722252,1.4,6.06624348,3.2,5.504
47,0.0,-7.092940655833334,-3.96089058,-6.1584811555000005,-4.6883846920000005,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.85,1.0876,0.0,0.5775,1.326,12.126,5.333333333333334,22.7,127.1,-6.17414008,4.824885014,0.53,5.673163949999999,4.0,5.504
48,0.0,-5.371813240833333,-3.96089058,-5.1258047065,-3.650025864,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.1114,4.0,1.76,1.0826,0.0,0.5775,1.3176666666666668,12.126,4.666666666666667,25.9,21.099999999999994,-4.443542033333333,4.549310395999999,0.67,4.29529086,3.6,0.336
49,0.0,-6.0188092575,-3.96089058,-5.5140023165,-3.982215558,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.8474,4.0,1.83,1.0786,0.0,0.5775,1.3110000000000002,12.126,5.0,23.4,31.099999999999994,-4.997191523333334,4.827601578,0.62,5.686746770000001,3.8,0.336
50,0.0,-4.326385514166667,-3.96089058,-4.4985480705,-3.046012108,-3.96089058,-4.1050022975,-4.1050022975,1.0,26.8014,3.0,1.26,1.1316,0.0,0.5775,1.3993333333333335,12.126,4.666666666666667,20.1,40.1,-3.43685244,4.753377887999999,0.76,5.31562832,3.6,5.577
51,0.0,-5.049102430833333,-3.96089058,-4.9321782205,-3.5024473140000003,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.0554,4.0,1.27,1.1348,0.0,0.5775,1.4046666666666667,12.126,6.666666666666667,20.1,123.0,-4.197577783333333,3.965905732,0.75,3.0835936200000003,4.8,5.577
52,0.0,-4.7622374025,-3.96089058,-4.7600592035,-3.24843116,-3.96089058,-4.1050022975,-4.1050022975,2.0,26.7644,2.0,1.5,1.0776,0.0,0.5775,1.3093333333333337,12.126,5.0,20.1,7.5,-3.774217526666667,5.05842846,0.26,6.84088118,3.8,3.988
53,0.0,-4.525057945833334,-3.96089058,-4.6177515295,-3.182677342,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.7092,4.0,1.21,1.174,0.0,0.5775,1.47,11.069,6.333333333333333,20.1,91.1,-3.6646278300000006,3.726923186,1.08,3.0835936200000003,4.6000000000000005,3.988
54,0.0,-4.2742804308333335,-3.96089058,-4.4672850205,-3.04701417,-3.96089058,-4.1050022975,-4.1050022975,2.0,26.4218,2.0,1.24,1.1376,0.0,0.5775,1.409333333333333,12.126,5.0,20.1,20.099999999999994,-3.4385225433333337,4.88565498,0.71,5.97701378,3.8,1.277
55,0.0,-3.5148692675,-3.96089058,-4.0116383225,-2.603617064,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.7014,4.0,0.84,1.2436,0.0,0.5775,1.586,11.03,3.6666666666666665,38.7,0.0,-2.699527366666667,3.417659426,1.26,4.44655761,3.0,1.277
56,0.0,-6.904397914166666,-3.96089058,-6.0453555105,-4.63830899,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.63,1.0996,0.0,0.5775,1.346,12.126,6.000000000000001,20.1,81.1,-6.090680576666666,4.162794234,0.64,3.0835936200000003,4.4,-2.742
57,0.0,-4.49700396639,-3.96089058,-4.600919141834,-3.164990458,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.8004,4.0,1.22,1.17,0.0,0.5775,1.4633333333333334,11.525,5.333333333333334,20.1,91.1,-3.63514969,3.748977992,1.18,3.0835936200000003,4.0,-2.742
58,0.0,-6.405648465833333,-3.96089058,-5.7461058415,-4.286381358,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.5474,4.0,1.81,1.0852,0.0,0.5775,1.322,12.126,5.333333333333334,23.2,71.1,-5.504134523333334,4.884373095999999,0.56,5.970604359999999,4.0,4.187
59,0.0,-4.00103223639,-3.96089058,-4.303336103834,-2.834852766,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.2154,4.0,0.0,1.1336,0.0,0.5775,1.4026666666666667,12.126,4.333333333333333,20.1,49.05000000000001,-3.0849202033333336,4.667128362,0.97,4.88438069,3.4000000000000004,4.187
60,0.0,-5.4247790875,-3.96089058,-5.1575842145,-3.7213384440000006,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.7962,4.0,1.28,1.1732,0.0,0.58,1.4686666666666668,11.504,6.333333333333333,20.1,0.0,-4.562396333333333,4.560572254,1.05,4.35160015,4.6000000000000005,-0.334
61,0.0,-5.545673774166667,-3.96089058,-5.2301210265,-3.800282704,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.2114,4.0,1.52,1.1032,0.0,0.5775,1.352,12.126,6.333333333333333,20.1,121.1,-4.6939701,3.670775714,0.61,3.18097617,4.6000000000000005,-0.334
62,0.0,-3.7114905775,-3.96089058,-4.129611108500001,-2.718608628,-3.96089058,-4.1050022975,-4.1050022975,3.0,27.581,1.0,1.12,1.1556,0.0,0.5775,1.4393333333333334,12.126,5.333333333333334,20.1,111.1,-2.8911799733333337,4.597338674,1.4,4.53543225,4.0,5.945
63,0.0,-4.445224230833333,-3.96089058,-4.5698513005,-3.134192904,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.9062,4.0,1.23,1.1696,0.0,0.5775,1.4626666666666668,12.054,4.0,20.1,91.1,-3.583820433333334,3.696263782,1.09,3.0835936200000003,3.2,5.945
64,0.0,-6.718044719166667,-3.96089058,-5.9335435935,-4.471511942,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.51,1.0906,0.0,0.5775,1.3310000000000002,12.126,10.333333333333334,20.1,0.0,-5.812685496666667,6.049374058,0.81,11.79560917,7.0,4.094
65,0.0,-5.933684964166666,-3.96089058,-5.4629277405,-4.05588122,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.4254,4.0,1.64,1.0778,0.0,0.5775,1.3096666666666668,12.126,6.000000000000001,23.6,91.1,-5.119967626666667,4.366549920000001,0.54,3.38148848,4.4,4.094
66,0.0,-7.2735316075,-3.96089058,-6.2668357265,-4.859789206,-3.96089058,-4.1050022975,-4.1050022975,0.0,23.4954,4.0,1.81,1.0876,0.0,0.5775,1.326,12.126,5.666666666666667,21.6,81.1,-6.45981427,4.551440826,0.6,4.30594301,4.2,4.549
67,0.0,-5.1087979925,-3.96089058,-4.9679955575,-3.536088586,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.9434,4.0,1.21,1.1756,0.0,0.5775,1.4726666666666668,12.126,6.666666666666667,20.1,0.0,-4.25364657,3.721963412,1.02,3.0835936200000003,4.8,4.549
68,0.0,-3.4452994275,-3.96089058,-3.9698964185,-2.5615313740000003,-3.96089058,-4.1050022975,-4.1050022975,0.0,25.933,4.0,0.92,1.2016,0.0,0.5775,1.516,12.126,3.6666666666666665,23.8,91.1,-2.62938455,3.446635886,0.99,4.30167531,3.0,4.946
69,0.0,-3.3672647058333336,-3.96089058,-3.9230755855,-2.499447382,-3.96089058,-4.1050022975,-4.1050022975,0.0,27.0882,4.0,1.32,1.08,0.0,0.5775,1.3133333333333337,12.126,3.6666666666666665,22.3,0.0,-2.52591123,3.85856018,0.74,3.0835936200000003,3.0,4.946
70,0.0,-5.8025842525,-3.96089058,-5.3842673135000005,-3.9614840560000006,-3.96089058,-4.1050022975,-4.1050022975,0.0,26.1214,4.0,1.41,1.1336,0.0,0.5775,1.4026666666666667,12.126,6.333333333333333,20.1,91.1,-4.96263902,3.921155654,0.84,3.0835936200000003,4.6000000000000005,4.679
71,0.0,-3.8757292541666666,-2.71997917,-4.2281543145,-2.8120249160000004,-2.71997917,-2.76539356,-2.76539356,0.0,27.7934,4.0,1.36,1.1024,0.0,-0.13,1.350666666666667,12.126,4.0,20.4,15.399999999999991,-3.046873786666666,3.886097484,1.15,3.0835936200000003,3.2,4.679
72,0.0,-3.7610927325,-2.71997917,-3.960232567,-2.563842634,-2.71997917,-2.76539356,-2.76539356,0.0,29.6662,4.0,1.36,1.0156,0.0,-0.13,1.087,21.49,1.5,0.3000000000000007,15.399999999999991,-2.58986539,3.46522402,1.15,0.9792262999999995,1.6,1.575
73,0.0299999999999998,-3.755869528333333,-2.71997917,-4.156238479000001,-2.749884226,-2.71997917,-2.76539356,-2.76539356,3.0,29.1338,1.0,1.36,1.0128,0.1499999999999994,-0.13,1.2013333333333334,18.828,2.6666666666666665,0.6999999999999993,96.1,-2.94330597,4.2074867440000006,0.54,4.69053992,2.4,1.575
74,0.0799999999999998,-4.057691526666667,-2.71997917,-4.337331678,-2.862839598,-2.71997917,-2.76539356,-2.76539356,1.0,29.0948,3.0,1.36,1.0048,0.4500000000000002,-0.13,1.188,18.633,2.0,4.5,64.1,-3.1315649233333334,3.949601156,0.58,3.4011119800000005,2.0,4.396
75,0.2099999999999999,-3.5772926916666665,-2.71997917,-4.049092377,-2.656737364,-2.71997917,-2.76539356,-2.76539356,0.0,29.4724,4.0,1.36,1.0152,0.8000000000000007,-0.13,1.2053333333333334,20.521,1.3333333333333333,0.4000000000000021,97.04,-2.7880612,3.855623288,0.85,2.93122264,1.6,4.396
76,0.3899999999999999,-4.7332945397233335,-2.71997917,-4.742693485834,-3.013133052,-2.71997917,-2.76539356,-2.76539356,3.0,30.399,1.0,1.36,0.9228,0.9500000000000002,-0.13,1.0513333333333337,21.49,2.6666666666666665,9.6,114.1,-3.3820540133333337,4.706593452,0.23,7.186073459999999,2.4,2.322
77,0.55,-3.148569241666667,-2.71997917,-3.791858307,-2.404551252,-2.71997917,-2.76539356,-2.76539356,0.0,27.369,4.0,0.81,1.1708,2.03,-0.13,1.4646666666666668,10.004,1.0,45.8,193.1,-2.3677510133333333,2.974600198,1.15,2.4531191099999994,1.4,2.322
78,0.3099999999999998,-3.75907472,-2.71997917,-4.158161594,-2.750901182,-2.71997917,-2.76539356,-2.76539356,0.0,29.0104,4.0,1.36,0.9508,0.7000000000000002,-0.13,1.098,18.211,1.0,9.2,381.1,-2.945000896666667,4.273893872,0.45,5.02257556,1.4,4.095
79,0.2000000000000001,-3.831959955,-2.71997917,-4.201892735,-2.7989235480000003,-2.71997917,-2.76539356,-2.76539356,1.0,28.7056,3.0,1.16,1.0668,0.1999999999999993,-0.13,1.2913333333333334,16.687,2.0,18.3,31.099999999999994,-3.0250381733333334,4.347303518,1.03,5.38962379,2.0,4.095
80,0.45,-3.1568383433333334,-2.71997917,-3.796819768,-2.405298642,-2.71997917,-2.76539356,-2.76539356,0.0,27.7424,4.0,0.91,1.1208,1.7999999999999998,-0.13,1.3813333333333333,11.871,1.0,27.1,297.1,-2.3689966633333333,3.233756774,1.0,1.1573362299999994,1.4,1.255
81,0.1200000000000001,-2.7781198966666665,-2.71997917,-3.5695887,-2.167914608,-2.71997917,-2.76539356,-2.76539356,0.0,28.7498,4.0,1.24,1.0246,0.2999999999999998,-0.13,1.221,16.908,1.0,4.5,0.0,-1.9733566066666663,3.44233092,0.95,0.9792262999999995,1.4,1.255
82,0.1700000000000001,-4.099585038333333,-2.71997917,-4.362467785,-2.950883096,-2.71997917,-2.76539356,-2.76539356,0.0,27.5384,4.0,1.19,1.0918,1.1699999999999997,-0.13,1.333,10.851,8.333333333333332,17.4,91.1,-3.278304086666667,3.38567295,1.14,0.9792262999999995,5.800000000000001,1.499
83,0.3699999999999999,-5.675967335,-2.71997917,-5.308297163000001,-3.920808316000001,-2.71997917,-2.76539356,-2.76539356,0.0,28.6682,4.0,1.36,0.9766,0.3000000000000007,-0.13,1.141,16.5,3.0,5.300000000000001,77.1,-4.89484612,4.250080594,0.62,4.90350917,2.6,1.499
84,0.81,-2.7922706416666667,-2.71997917,-3.5780791470000004,-2.190367126,-2.71997917,-2.76539356,-2.76539356,0.0,30.3882,4.0,0.55,1.2608,2.3999999999999995,-0.13,1.6146666666666667,21.49,1.3333333333333333,50.5,95.61,-2.01077747,2.750234386,1.15,3.5749481699999994,1.6,4.845
85,0.1099999999999998,-3.734280095,-2.71997917,-4.143284819,-2.748424256,-2.71997917,-2.76539356,-2.76539356,0.0,29.4266,4.0,1.36,0.9824,0.1000000000000005,-0.13,1.1506666666666667,20.292,1.3333333333333333,5.5,22.8,-2.940872686666667,3.53042,0.73,1.3052061999999998,1.6,4.845
