,BCCvolume_pa_difference,BCCefflatcnt_max_value,BCCefflatcnt_difference,BCCvolume_pa_max_value,n_ws^third_difference,CovalentRadius_difference,ICSDVolume_max_value,AtomicRadii_difference,AtomicRadii_max_value,CovalentRadius_max_value,ICSDVolume_difference,valence_max_value,MendeleevNumber_arithmetic_average,NdUnfilled_arithmetic_average,GSenergy_pa_max_value,BCCenergy_pa_max_value,GSenergy_pa_min_value,valence_arithmetic_average,BCCfermi_arithmetic_average,BCCenergy_pa_min_value,valence_composition_average,ElasticModulus_difference,BCCfermi_composition_average,MendeleevNumber_composition_average,n_ws^third_arithmetic_average,target
10,110.7,12.36054054,7.465668771000002,118.03,1.09,178.0,67.5,1.94,2.67,244.0,53.7,5.0,46.0,2.333333333333333,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,3.335455703333333,-0.85260163,2.4,127.2,3.230686822,62.40000000000001,0.73,3.89076
11,110.7,12.36054054,7.465668771000002,118.03,1.09,178.0,67.5,1.94,2.67,244.0,50.2,5.0,46.33333333333333,2.0,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,2.8177224,-0.85260163,2.4,102.2,2.92004684,62.6,0.73,3.89076
12,110.7,12.36054054,7.465668771000002,118.03,1.0799999999999998,178.0,67.5,1.94,2.67,244.0,50.2,5.0,46.66666666666667,2.333333333333333,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,2.9958628933333333,-0.85260163,2.4,181.2,3.0269311360000004,62.8,0.7266666666666667,4.3523
13,110.7,12.36054054,7.465668771000002,118.03,1.18,178.0,67.5,1.94,2.67,244.0,55.5,6.0,47.0,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.0,3.8427959333333335,-0.85260163,2.6,257.2,3.53509096,63.0,0.76,4.3523
14,110.7,12.36054054,7.465668771000002,118.03,1.22,178.0,67.5,1.94,2.67,244.0,52.0,6.0,47.33333333333334,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.0,4.062780996666667,-0.85260163,2.6,320.2,3.667081998,63.2,0.7733333333333333,3.4524
15,110.7,12.36054054,7.465668771000002,118.03,1.26,178.0,67.5,1.94,2.67,244.0,51.7,6.0,47.66666666666667,2.0,-0.85462646,-0.85260163,-0.85462646,3.0,3.643607213333333,-0.85260163,2.6,399.2,3.415577728,63.40000000000001,0.7866666666666667,3.4524
16,110.7,12.36054054,7.465668771000002,118.03,1.06,178.0,67.5,1.94,2.67,244.0,55.3,7.0,48.0,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.333333333333333,3.708762603333333,-0.85260163,2.8,196.2,3.454670962,63.6,0.7200000000000001,4.09229
17,110.7,12.36054054,7.465668771000002,118.03,1.3,178.0,67.5,1.94,2.67,244.0,52.8,7.0,48.66666666666667,1.6666666666666667,-0.85462646,-0.85260163,-0.85462646,3.333333333333333,4.099347526666667,-0.85260163,2.8,459.2,3.689021916,64.0,0.8,4.09229
18,110.7,12.36054054,7.465668771000002,118.03,1.22,178.0,67.5,1.94,2.67,244.0,55.8,6.0,49.0,1.3333333333333333,-0.85462646,-0.85260163,-0.85462646,3.0,3.33427952,-0.85260163,2.6,209.2,3.229981112,64.2,0.7733333333333333,4.03376
19,110.7,12.36054054,7.465668771000002,118.03,0.8399999999999999,178.0,67.5,1.94,2.67,244.0,50.9,3.0,55.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,3.771806183333333,-0.85260163,2.0,68.7,3.49249711,67.8,0.6466666666666667,4.03376
20,110.7,12.36054054,7.465668771000002,118.03,0.76,178.0,67.5,1.94,2.67,244.0,50.2,3.0,55.33333333333334,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,2.50040062,-0.85260163,2.0,9.2,2.729653772,68.0,0.6200000000000001,2.43733
21,110.7,12.36054054,7.465668771000002,118.03,0.6199999999999999,178.0,67.5,1.94,2.67,244.0,50.2,3.0,55.66666666666667,0.0,-0.85462646,-0.85260163,-0.85462646,2.0,3.983204253333333,-0.85260163,2.0,12.2,3.619335952,68.2,0.5733333333333333,2.43733
22,110.7,12.36054054,7.465668771000002,118.03,0.8200000000000001,178.0,67.5,1.94,2.67,244.0,50.2,4.0,57.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,2.643795896666666,-0.85260163,2.2,113.2,2.815690938,69.0,0.6400000000000001,3.25037
23,110.7,12.36054054,7.465668771000002,118.03,0.69,178.0,67.5,1.94,2.67,244.0,50.2,4.0,57.33333333333334,0.0,-0.85462646,-0.85260163,-0.85462646,2.333333333333333,4.2006308033333335,-0.85260163,2.2,48.2,3.749791882,69.2,0.5966666666666667,3.25037
24,110.7,12.36054054,7.465668771000002,118.03,0.71,178.0,67.5,1.94,2.67,244.0,50.2,5.0,59.0,0.0,-0.85462646,-0.85260163,-0.85462646,2.6666666666666665,3.980168983333333,-0.85260163,2.4,65.2,3.61751479,70.2,0.6033333333333333,3.3248300000000004
25,64.77,10.48781656,5.592944791000002,72.1,0.7599999999999999,137.0,75.6,1.62,2.35,203.0,58.3,4.0,44.66666666666666,2.6666666666666665,-1.09753971333,-1.096516,-1.09753971333,2.333333333333333,2.415835013333333,-1.096516,2.2,91.6,2.678914408,61.6,0.6866666666666666,3.3248300000000004
26,64.77,10.48781656,5.592944791000002,72.1,0.7999999999999999,137.0,75.6,1.62,2.35,203.0,58.3,4.0,45.0,2.6666666666666665,-1.09753971333,-1.096516,-1.09753971333,2.333333333333333,2.584041653333333,-1.096516,2.2,136.6,2.7798383920000003,61.8,0.7,1.98104
27,64.77,10.48781656,5.592944791000002,72.1,0.99,137.0,75.6,1.62,2.35,203.0,61.8,5.0,45.33333333333334,2.333333333333333,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,3.15815879,-1.096516,2.4,126.6,3.124308674,62.0,0.7633333333333333,1.98104
28,64.77,10.48781656,5.592944791000002,72.1,0.99,137.0,75.6,1.62,2.35,203.0,58.3,5.0,45.66666666666666,2.0,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,2.6404254866666665,-1.096516,2.4,101.6,2.813668692,62.2,0.7633333333333333,1.42356
29,64.77,10.48781656,5.592944791000002,72.1,0.98,137.0,75.6,1.62,2.35,203.0,58.3,5.0,46.0,2.333333333333333,-1.09753971333,-1.096516,-1.09753971333,2.6666666666666665,2.81856598,-1.096516,2.4,180.6,2.9205529880000003,62.40000000000001,0.76,1.42356
30,64.77,10.48781656,5.592944791000002,72.1,1.08,137.0,75.6,1.62,2.35,203.0,63.6,6.0,46.33333333333333,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.0,3.66549902,-1.096516,2.6,256.6,3.428712812,62.6,0.7933333333333333,0.8818600000000001
31,64.77,10.48781656,5.592944791000002,72.1,1.12,137.0,75.6,1.62,2.35,203.0,60.1,6.0,46.66666666666667,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.0,3.885484083333333,-1.096516,2.6,319.6,3.56070385,62.8,0.8066666666666666,0.8818600000000001
32,64.77,10.48781656,5.592944791000002,72.1,1.16,137.0,75.6,1.62,2.35,203.0,59.8,6.0,47.0,2.0,-1.09753971333,-1.096516,-1.09753971333,3.0,3.4663102999999995,-1.096516,2.6,398.6,3.30919958,63.0,0.8200000000000001,2.20395
33,64.77,10.48781656,5.592944791000002,72.1,0.96,137.0,75.6,1.62,2.35,203.0,63.39999999999999,7.0,47.33333333333333,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.333333333333333,3.53146569,-1.096516,2.8,195.6,3.348292814,63.2,0.7533333333333334,2.20395
34,64.77,10.48781656,5.592944791000002,72.1,1.2000000000000002,137.0,75.6,1.62,2.35,203.0,60.89999999999999,7.0,48.0,1.6666666666666667,-1.09753971333,-1.096516,-1.09753971333,3.333333333333333,3.922050613333333,-1.096516,2.8,458.6,3.582643768,63.6,0.8333333333333334,0.99357
35,64.77,10.48781656,5.592944791000002,72.1,0.5199999999999999,137.0,75.6,1.62,2.35,203.0,58.3,3.0,55.0,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,3.80590734,-1.096516,2.0,11.6,3.512957804,67.8,0.6066666666666667,0.99357
36,81.31,11.23526301,6.340391241000002,88.64,0.8099999999999999,154.0,93.0,1.75,2.48,220.0,75.7,4.0,45.0,2.6666666666666665,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.46415593,-0.96193707,2.8,92.0,2.707906958,61.8,0.6699999999999999,2.55662
37,81.31,11.23526301,6.340391241000002,88.64,0.85,154.0,93.0,1.75,2.48,220.0,75.7,4.0,45.33333333333333,2.6666666666666665,-0.963335025,-0.96193707,-0.963335025,3.333333333333333,2.63236257,-0.96193707,2.8,137.0,2.808830942,62.0,0.6833333333333333,2.55662
38,81.31,11.23526301,6.340391241000002,88.64,1.04,154.0,93.0,1.75,2.48,220.0,79.2,5.0,45.66666666666667,2.333333333333333,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,3.2064797066666664,-0.96193707,3.0,127.0,3.153301224,62.2,0.7466666666666666,3.49539
39,81.31,11.23526301,6.340391241000002,88.64,1.04,154.0,93.0,1.75,2.48,220.0,75.7,5.0,46.0,2.0,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,2.688746403333333,-0.96193707,3.0,102.0,2.842661242,62.40000000000001,0.7466666666666666,3.49539
40,81.31,11.23526301,6.340391241000002,88.64,1.0299999999999998,154.0,93.0,1.75,2.48,220.0,75.7,5.0,46.33333333333333,2.333333333333333,-0.963335025,-0.96193707,-0.963335025,3.6666666666666665,2.8668868966666667,-0.96193707,3.0,181.0,2.949545538,62.6,0.7433333333333333,3.9076
41,81.31,11.23526301,6.340391241000002,88.64,1.13,154.0,93.0,1.75,2.48,220.0,81.0,6.0,46.66666666666666,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.0,3.713819936666667,-0.96193707,3.2,257.0,3.4577053620000004,62.8,0.7766666666666666,3.9076
42,81.31,11.23526301,6.340391241000002,88.64,1.17,154.0,93.0,1.75,2.48,220.0,77.5,6.0,47.0,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.0,3.933805,-0.96193707,3.2,320.0,3.5896964,63.0,0.7899999999999999,4.46301
43,81.31,11.23526301,6.340391241000002,88.64,1.21,154.0,93.0,1.75,2.48,220.0,77.2,6.0,47.33333333333333,2.0,-0.963335025,-0.96193707,-0.963335025,4.0,3.5146312166666664,-0.96193707,3.2,399.0,3.3381921300000004,63.2,0.8033333333333333,4.46301
44,64.77,10.48781656,5.592944791000002,72.1,1.12,137.0,75.6,1.62,2.35,203.0,63.89999999999999,6.0,48.33333333333333,1.3333333333333333,-1.09753971333,-1.096516,-1.09753971333,3.0,3.156982606666667,-1.096516,2.6,208.6,3.123602964,63.8,0.8066666666666666,3.3826400000000003
45,64.77,10.48781656,5.592944791000002,72.1,0.7399999999999999,137.0,75.6,1.62,2.35,203.0,58.99999999999999,3.0,54.33333333333333,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,3.59450927,-1.096516,2.0,68.1,3.386118962,67.4,0.6799999999999999,3.3826400000000003
46,64.77,10.48781656,5.592944791000002,72.1,0.66,137.0,75.6,1.62,2.35,203.0,58.3,3.0,54.66666666666667,0.0,-1.09753971333,-1.096516,-1.09753971333,2.0,2.3231037066666667,-1.096516,2.0,8.6,2.623275624,67.60000000000001,0.6533333333333333,4.09872
47,81.31,11.23526301,6.340391241000002,88.64,1.0100000000000002,154.0,93.0,1.75,2.48,220.0,80.8,7.0,47.66666666666666,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.333333333333334,3.5797866066666666,-0.96193707,3.4000000000000004,196.0,3.3772853640000005,63.40000000000001,0.7366666666666667,4.09872
48,81.31,11.23526301,6.340391241000002,88.64,1.25,154.0,93.0,1.75,2.48,220.0,78.3,7.0,48.33333333333333,1.6666666666666667,-0.963335025,-0.96193707,-0.963335025,4.333333333333334,3.97037153,-0.96193707,3.4000000000000004,459.0,3.611636318,63.8,0.8166666666666667,3.72131
49,81.31,11.23526301,6.340391241000002,88.64,1.17,154.0,93.0,1.75,2.48,220.0,81.3,6.0,48.66666666666666,1.3333333333333333,-0.963335025,-0.96193707,-0.963335025,4.0,3.2053035233333333,-0.96193707,3.2,209.0,3.152595514,64.0,0.7899999999999999,3.72131
50,17.1,7.311634665,2.416762896,24.43,0.1899999999999999,76.0,26.1,0.93,1.66,142.0,8.8,3.0,54.33333333333333,0.0,-1.86988691,-1.86553478,-1.86988691,2.0,3.89966992,-1.86553478,2.0,4.0,3.569215352,67.4,0.7166666666666666,4.94129
51,11.49,6.702649876000001,1.807778107,18.82,0.3900000000000001,62.0,22.2,0.8200000000000001,1.55,128.0,4.899999999999999,4.0,55.66666666666666,0.0,-1.86988691,-1.86553478,-1.86988691,2.333333333333333,2.560261563333333,-1.86553478,2.2,105.0,2.7655703380000003,68.2,0.7833333333333334,4.94129
52,17.9,7.39058945,2.4957176810000004,25.23,0.26,73.0,27.0,0.8900000000000001,1.62,139.0,9.7,4.0,56.0,0.0,-1.86988691,-1.86553478,-1.86988691,2.333333333333333,4.11709647,-1.86553478,2.2,40.0,3.699671282,68.4,0.74,4.88951
53,19.76,7.567916457999999,2.673044689,27.09,0.28,73.0,30.2,0.8600000000000001,1.59,139.0,12.9,5.0,57.66666666666666,0.0,-1.86988691,-1.86553478,-1.86988691,2.6666666666666665,3.89663465,-1.86553478,2.4,57.0,3.56739419,69.4,0.7466666666666666,4.88951
54,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.4500000000000001,104.0,39.7,1.17,1.9,170.0,22.4,3.0,33.333333333333336,3.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,2.94686124,-1.2544847,2.0,75.0,2.997530144,54.8,0.6966666666666667,3.21099
55,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.7000000000000001,100.0,39.7,1.17,1.9,166.0,22.4,4.0,44.0,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.454977876666667,-1.2544847,2.2,105.0,2.702400126,61.2,0.78,3.21099
56,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.59,109.0,39.7,1.17,1.9,175.0,22.4,4.0,44.33333333333333,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.8722777766666665,-1.2544847,2.2,89.0,2.9527800660000003,61.40000000000001,0.7433333333333333,4.12956
57,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.63,109.0,39.7,1.17,1.9,175.0,22.4,4.0,44.66666666666666,2.6666666666666665,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,3.0404844166666667,-1.2544847,2.2,134.0,3.05370405,61.6,0.7566666666666666,4.12956
58,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.82,100.0,39.7,1.17,1.9,166.0,25.9,5.0,45.0,2.333333333333333,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.614601553333333,-1.2544847,2.4,124.0,3.398174332,61.8,0.82,4.19145
59,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.82,100.0,39.7,1.17,1.9,166.0,22.4,5.0,45.33333333333333,2.0,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.09686825,-1.2544847,2.4,99.0,3.08753435,62.0,0.82,4.19145
60,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.8099999999999999,104.0,39.7,1.17,1.9,170.0,22.4,5.0,45.66666666666667,2.333333333333333,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,3.275008743333333,-1.2544847,2.4,178.0,3.1944186460000004,62.2,0.8166666666666667,2.48776
61,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.91,100.0,39.7,1.17,1.9,166.0,27.700000000000006,6.0,46.0,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.0,4.121941783333334,-1.2544847,2.6,254.0,3.70257847,62.40000000000001,0.85,2.48776
62,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.95,100.0,39.7,1.17,1.9,166.0,24.200000000000006,6.0,46.33333333333334,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.0,4.3419268466666665,-1.2544847,2.6,317.0,3.834569508,62.6,0.8633333333333333,1.9853
63,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.99,100.0,39.7,1.17,1.9,166.0,23.9,6.0,46.66666666666667,2.0,-1.26024138333,-1.2544847,-1.26024138333,3.0,3.922753063333333,-1.2544847,2.6,396.0,3.583065238,62.8,0.8766666666666667,1.9853
64,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.7900000000000001,100.0,39.7,1.17,1.9,166.0,27.500000000000004,7.0,47.0,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.333333333333333,3.987908453333333,-1.2544847,2.8,193.0,3.622158472,63.0,0.81,1.41394
65,21.88000000000001,7.760395346,2.8655235770000003,29.21,1.0300000000000002,100.0,39.7,1.17,1.9,166.0,25.000000000000004,7.0,47.66666666666667,1.6666666666666667,-1.26024138333,-1.2544847,-1.26024138333,3.333333333333333,4.3784933766666665,-1.2544847,2.8,456.0,3.856509426,63.40000000000001,0.89,1.41394
66,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.95,100.0,39.7,1.17,1.9,166.0,28.000000000000004,6.0,48.0,1.3333333333333333,-1.26024138333,-1.2544847,-1.26024138333,3.0,3.61342537,-1.2544847,2.6,206.0,3.397468622,63.6,0.8633333333333333,2.73573
67,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.57,100.0,39.7,1.17,1.9,166.0,23.1,3.0,54.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,4.050952033333333,-1.2544847,2.0,65.5,3.65998462,67.2,0.7366666666666666,2.73573
68,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.4900000000000001,100.0,39.7,1.17,1.9,166.0,22.4,3.0,54.33333333333334,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,2.77954647,-1.2544847,2.0,6.0,2.897141282,67.4,0.71,1.5077200000000002
69,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.35,100.0,39.7,1.17,1.9,166.0,22.4,3.0,54.66666666666667,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.0,4.2623501033333335,-1.2544847,2.0,9.0,3.786823462,67.60000000000001,0.6633333333333333,1.5077200000000002
70,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.5500000000000002,100.0,39.7,1.17,1.9,166.0,22.4,4.0,56.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,2.9229417466666665,-1.2544847,2.2,110.0,2.9831784480000003,68.4,0.73,5.16611
71,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.42,100.0,39.7,1.17,1.9,166.0,22.4,4.0,56.33333333333334,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.333333333333333,4.479776653333333,-1.2544847,2.2,45.0,3.917279392,68.6,0.6866666666666666,5.16611
72,21.88000000000001,7.760395346,2.8655235770000003,29.21,0.4400000000000001,100.0,39.7,1.17,1.9,166.0,22.4,5.0,58.0,0.0,-1.26024138333,-1.2544847,-1.26024138333,2.6666666666666665,4.259314833333333,-1.2544847,2.4,62.0,3.7850023,69.6,0.6933333333333334,4.44577
73,64.77,10.48781656,5.592944791000002,72.1,0.62,137.0,75.6,1.62,2.35,203.0,58.3,3.0,33.666666666666664,3.0,-1.09753971333,-1.096516,-1.09753971333,2.0,2.4904184766666666,-1.096516,2.0,77.6,2.723664486,55.0,0.64,4.44577
74,64.77,10.48781656,5.592944791000002,72.1,0.87,137.0,75.6,1.62,2.35,203.0,58.3,4.0,44.33333333333334,2.6666666666666665,-1.09753971333,-1.096516,-1.09753971333,2.333333333333333,1.998535113333333,-1.096516,2.2,107.6,2.428534468,61.40000000000001,0.7233333333333334,4.37935
75,45.58,9.45988626,4.565014491,52.91,0.42,129.0,56.0,1.42,2.15,195.0,38.7,5.0,60.0,0.0,-1.6828136000000002,-1.67793991,-1.6828136000000002,3.0,4.391088276666666,-1.67793991,2.6,52.0,3.864066366,70.80000000000003,0.7,4.37935
76,56.26000000000001,10.05779862,5.162926851,63.59,0.46,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,3.0,35.666666666666664,3.0,-1.92352226,-1.92352226,-1.92352226,2.333333333333333,3.04165841,-1.92352226,2.2,67.0,3.054408446,56.2,0.6933333333333334,2.66608
77,56.26000000000001,10.05779862,5.162926851,63.59,0.5999999999999999,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,4.0,46.66666666666666,2.6666666666666665,-1.92352226,-1.92352226,-1.92352226,2.6666666666666665,2.9670749466666666,-1.92352226,2.4000000000000004,81.0,3.009658368,62.8,0.74,2.66608
78,56.26000000000001,10.05779862,5.162926851,63.59,0.6399999999999999,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,4.0,47.0,2.6666666666666665,-1.92352226,-1.92352226,-1.92352226,2.6666666666666665,3.135281586666667,-1.92352226,2.4000000000000004,126.0,3.110582352,63.0,0.7533333333333334,3.57637
79,56.26000000000001,10.05779862,5.162926851,63.59,0.8299999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,49.0,5.0,47.33333333333334,2.333333333333333,-1.92352226,-1.92352226,-1.92352226,3.0,3.709398723333333,-1.92352226,2.6,116.0,3.455052634,63.2,0.8166666666666667,3.57637
80,56.26000000000001,10.05779862,5.162926851,63.59,0.8299999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,5.0,47.66666666666666,2.0,-1.92352226,-1.92352226,-1.92352226,3.0,3.19166542,-1.92352226,2.6,91.0,3.144412652,63.40000000000001,0.8166666666666667,3.63504
81,56.26000000000001,10.05779862,5.162926851,63.59,0.8199999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,45.5,5.0,48.0,2.333333333333333,-1.92352226,-1.92352226,-1.92352226,3.0,3.3698059133333333,-1.92352226,2.6,170.0,3.251296948,63.6,0.8133333333333334,3.63504
82,56.26000000000001,10.05779862,5.162926851,63.59,0.92,149.0,62.8,1.4900000000000002,2.22,215.0,50.8,6.0,48.33333333333333,1.6666666666666667,-1.92352226,-1.92352226,-1.92352226,3.333333333333333,4.2167389533333335,-1.92352226,2.8,246.0,3.759456772,63.8,0.8466666666666667,2.00523
83,56.26000000000001,10.05779862,5.162926851,63.59,0.96,149.0,62.8,1.4900000000000002,2.22,215.0,47.3,6.0,48.66666666666667,1.6666666666666667,-1.92352226,-1.92352226,-1.92352226,3.333333333333333,4.436724016666666,-1.92352226,2.8,309.0,3.89144781,64.0,0.86,2.00523
84,56.26000000000001,10.05779862,5.162926851,63.59,1.0,149.0,62.8,1.4900000000000002,2.22,215.0,47.0,6.0,49.0,2.0,-1.92352226,-1.92352226,-1.92352226,3.333333333333333,4.017550233333333,-1.92352226,2.8,388.0,3.63994354,64.2,0.8733333333333334,1.51663
85,56.26000000000001,10.05779862,5.162926851,63.59,0.8,149.0,62.8,1.4900000000000002,2.22,215.0,50.6,7.0,49.33333333333333,1.6666666666666667,-1.92352226,-1.92352226,-1.92352226,3.6666666666666665,4.082705623333333,-1.92352226,3.0,185.0,3.679036774,64.4,0.8066666666666668,1.51663
86,56.26000000000001,10.05779862,5.162926851,63.59,1.04,149.0,62.8,1.4900000000000002,2.22,215.0,48.1,7.0,50.0,1.6666666666666667,-1.92352226,-1.92352226,-1.92352226,3.6666666666666665,4.473290546666666,-1.92352226,3.0,448.0,3.913387728,64.80000000000001,0.8866666666666667,0.95172
87,56.26000000000001,10.05779862,5.162926851,63.59,0.96,149.0,62.8,1.4900000000000002,2.22,215.0,51.1,6.0,50.33333333333333,1.3333333333333333,-1.92352226,-1.92352226,-1.92352226,3.333333333333333,3.70822254,-1.92352226,2.8,198.0,3.454346924,65.0,0.86,0.95172
88,56.26000000000001,10.05779862,5.162926851,63.59,0.5799999999999998,149.0,62.8,1.4900000000000002,2.22,215.0,46.2,3.0,56.33333333333333,0.0,-1.92352226,-1.92352226,-1.92352226,2.333333333333333,4.145749203333333,-1.92352226,2.2,57.5,3.716862922,68.6,0.7333333333333334,3.13734
