,GSenergy_pa_composition_average,IsAlkali_arithmetic_average,MiracleRadius_min_value,IsAlkali_composition_average,GSenergy_pa_arithmetic_average,IonicRadii_composition_average,NsUnfilled_composition_average,BoilingT_max_value,BCCenergy_pa_arithmetic_average,NsValence_composition_average,GSmagmom_composition_average,Polarizability_arithmetic_average,NUnfilled_difference,ElectronAffinity_composition_average,HHIp_difference,ElasticModulus_max_value,IonicRadii_min_value,BCCmagmom_composition_average,Electronegativity_arithmetic_average,IonicRadii_max_value,BoilingT_composition_average,NValance_composition_average,IonicRadii_arithmetic_average,HeatVaporization_max_value,Column_arithmetic_average,target
10,-7.6991773141666675,0.0,102.0,0.0,-7.124510246250002,0.4766666666666667,0.0,4701.0,-6.455095885,2.0,0.0,5.615,0.0,123.9,3500.0,533.0,0.17,0.322057,2.1950000000000003,0.63,3318.5,17.0,0.4,563.58,12.0,4.51e-05
11,-4.87544264625,0.0,126.0,0.0,-5.252115821666667,0.6975,0.0,3618.0,-5.143207896666667,2.0,0.148848675,12.1,7.0,50.25,8800.0,208.0,0.54,0.0161418,1.58,1.02,3097.0,4.75,0.75,393.3,8.666666666666666,4.51e-05
12,-4.891746226666667,0.0,118.0,0.0,-4.749650795,0.5722222222222222,0.5555555555555556,4098.0,-4.41293955,1.4444444444444444,0.0,5.135,0.0,200.7044444444444,3300.0,175.0,0.5,0.0,2.415,0.63,2702.444444444445,20.444444444444443,0.565,510.45,13.0,6.27e-05
13,-3.6645136525,0.0,144.0,0.0,-3.6645136525,1.075,0.5,3141.0,-3.5709285000000004,1.5,0.0,14.845,1.0,87.85,8300.0,80.0,1.0,0.0,1.585,1.15,2788.0,12.5,1.075,292.88,7.0,6.27e-05
14,-2.904203566,0.0,102.0,0.0,-3.3202544787500003,0.512,0.0,1180.0,-2.92006385,2.0,0.0,-1.09333333335,3.0,28.68,400.0,95.0,0.17,0.0,1.92,0.74,929.4,9.2,0.455,115.3,13.5,7.780000000000001e-05
15,-4.20012710375,0.0,172.0,0.0,-4.842610295,1.3875000000000002,0.0,5093.0,-4.75972227,2.0,0.0,19.825,3.0,18.75,0.0,73.0,1.05,0.0,1.46,1.59,3001.125,18.375,1.32,543.92,8.0,7.780000000000001e-05
16,-7.713700389166667,0.0,102.0,0.0,-7.713700389166667,0.5433333333333332,0.3333333333333333,4682.0,-7.240414483333334,1.6666666666666663,0.0,10.376666666666663,5.0,77.23333333333333,1400.0,430.0,0.17,1.91e-05,1.9066666666666667,0.84,3219.5,5.666666666666666,0.5433333333333332,590.5,9.0,2.69e-05
17,-2.5869253133333334,0.3333333333333333,115.0,0.3333333333333333,-2.5869253133333334,0.6933333333333334,0.3333333333333333,1615.0,-2.41253009,1.6666666666666663,0.0,7.609444444433332,3.0,45.6,1700.0,95.0,0.58,0.0,1.603333333333333,0.76,1227.3333333333333,9.333333333333332,0.6933333333333334,147.1,9.333333333333332,2.69e-05
18,-4.134383010556666,0.0,114.0,0.0,-4.134383010556666,0.8,0.3333333333333333,3129.0,-3.965847303333333,1.6666666666666663,0.0,11.746666666666664,3.0,130.91333333333333,8400.0,115.0,0.53,0.0,1.9266666666666663,1.02,3065.0,17.333333333333332,0.8,334.3,9.333333333333334,4.23e-05
19,-10.81337071,0.0,77.0,0.0,-10.81337071,0.345,0.0,5869.0,-8.48677007,2.0,0.0,5.685,1.0,68.15,2800.0,461.0,0.16,0.0,2.225,0.53,5084.5,12.5,0.345,715.0,10.5,4.23e-05
20,-2.5085629133333334,0.0,174.0,0.0,-2.7886795875,1.0633333333333332,0.0,2022.0,-2.7550168900000003,2.0,0.0,16.36416666665,0.0,-67.33333333333334,1200.0,21.0,1.0,0.0,1.665,1.19,1845.333333333333,10.666666666666668,1.095,177.9,8.0,2.37e-05
21,-6.723090808749999,0.0,72.0,0.0,-6.226974008333333,1.42,0.0,4682.0,-4.815993913333334,2.0,0.0,19.566666666666663,5.0,-4.0,2100.0,94.0,0.84,0.0,1.7533333333333334,1.71,1744.855,4.0,1.3233333333333333,590.5,7.0,2.37e-05
22,-10.079391365,0.0,139.0,0.0,-9.6960331625,0.6733333333333333,0.6666666666666666,4912.0,-9.65669132,1.3333333333333333,0.0,15.35,2.0,80.66666666666667,1000.0,322.0,0.59,0.0,1.745,0.84,4835.333333333333,5.333333333333333,0.715,590.5,5.0,4.47e-05
23,-6.2782661525000005,0.0,125.0,0.0,-6.010891821666666,0.6625000000000001,0.0,3200.0,-5.973158683333334,2.0,1.3019013000000002,8.516666666666667,2.0,48.25,900.0,211.0,0.55,1.3696843,1.83,0.8,2969.75,9.75,0.6666666666666667,373.3,10.0,4.47e-05
24,-7.302594225,0.0,115.0,0.0,-7.302594225,0.705,0.0,4876.0,-6.994806675,2.0,0.0,10.255,5.0,38.5,100.0,139.0,0.58,0.0,1.7400000000000002,0.83,2881.5,16.5,0.705,661.07,9.5,4e-05
25,-5.494097823000001,0.0,110.0,0.0,-5.339020476666667,0.556,0.4,4098.0,-5.083008736666667,1.6,0.0,11.576666666666664,2.0,145.56,4800.0,175.0,0.26,0.0,1.8066666666666664,1.0,3536.600000000001,13.999999999999998,0.63,510.45,9.0,4e-05
26,-2.4258300078720003,0.0,152.0,0.0,-2.4258300078720003,1.025,0.0,2840.0,-2.30760585,2.0,0.0,14.93,4.0,25.0,4000.0,63.0,1.02,0.0,1.61,1.03,1734.865,19.0,1.025,230.0,7.5,6.64e-05
27,-6.176678786380001,0.0,88.0,0.0,-7.838787559723332,0.603103448275862,0.0,4273.0,-7.1409948666666665,2.0,0.4311478862068966,11.576666666666664,18.0,85.96551724137932,1900.0,441.0,0.23,0.0467555586206896,1.7766666666666666,0.81,3480.8275862068963,8.275862068965518,0.5766666666666667,507.8,8.666666666666666,6.64e-05
28,-3.348416096666667,0.3333333333333333,64.0,0.4444444444444444,-3.418569475,1.0922222222222222,0.4444444444444444,2022.0,-2.63602032,1.5555555555555554,0.0,10.710666666666668,3.0,101.51111111111112,2400.0,20.0,0.76,0.0,2.25,1.4,982.4888888888888,6.222222222222222,1.1166666666666667,177.9,10.333333333333332,7.219999999999999e-05
29,-4.993104105833334,0.0,126.0,0.0,-4.4398836416666665,0.7683333333333333,0.1666666666666666,3186.0,-4.348489896666667,1.8333333333333333,0.3969298000000001,11.766666666666666,1.0,119.45666666666668,8500.0,208.0,0.69,0.0430448,1.8966666666666665,1.0,3169.0,13.166666666666668,0.8466666666666667,377.5,8.0,7.219999999999999e-05
30,-3.305939325,0.0,142.0,0.0,-3.305939325,0.815,0.0,3236.0,-3.27926218,1.0,0.0,12.85,0.0,55.0,6300.0,127.0,0.64,0.0,1.73,0.99,2352.5,13.0,0.815,393.3,6.5,5.350000000000001e-05
31,-7.399730688750001,0.0,155.0,0.0,-6.2535028225,0.8075,0.0,4682.0,-6.181100155,2.0,0.0,12.48,4.0,67.75,800.0,94.0,0.71,0.0,1.645,0.84,4230.25,6.5,0.7749999999999999,590.5,9.0,5.350000000000001e-05
32,-4.740615064446667,0.0,132.0,0.0,-5.268252265556667,0.9833333333333334,0.1111111111111111,3968.0,-5.080030616666667,1.8888888888888888,0.0,10.866666666666667,0.0,71.1111111111111,6300.0,330.0,0.67,0.0411507666666666,1.8433333333333333,1.03,2831.1111111111118,16.11111111111111,0.9066666666666668,495.39,9.0,2.56e-05
33,-5.4847188483333325,0.0,139.0,0.0,-5.4847188483333325,0.7866666666666666,0.3333333333333333,4098.0,-5.386786983333334,1.6666666666666663,0.0,12.086666666666664,7.0,108.76666666666668,7200.0,175.0,0.63,0.0,1.82,1.02,3530.333333333333,13.666666666666668,0.7866666666666666,510.45,9.0,2.56e-05
34,-10.37318954,0.0,137.0,0.0,-9.3512704275,0.6033333333333333,0.0,5869.0,-9.136934605,2.0,2.1166666666666666e-06,13.75,4.0,15.366666666666667,2200.0,461.0,0.53,0.0,1.63,0.75,4947.0,15.0,0.64,707.1,5.0,9.53e-05
35,-9.729002780999998,0.0,77.0,0.0,-10.085248921666668,0.532,0.6,5731.0,-8.43136467,1.4,0.0,8.123333333333333,3.0,102.46,2700.0,430.0,0.16,3.438e-05,2.083333333333333,0.64,4660.0,9.4,0.4733333333333334,737.0,9.0,9.53e-05
36,-4.441598845,0.0,141.0,0.0,-4.441598845,0.5900000000000001,0.0,3236.0,-4.370600015,1.0,0.0,5.8,5.0,52.5,1600.0,127.0,0.54,0.0,1.905,0.64,3014.0,6.5,0.5900000000000001,393.3,11.5,5.14e-05
37,-2.828072917223333,0.0,140.0,0.0,-2.828072917223333,0.8533333333333334,0.0,2973.0,-2.7485736066666666,2.0,0.0,9.144444444433336,5.0,26.333333333333336,7900.0,95.0,0.74,0.0,1.5533333333333332,1.02,2166.0,12.666666666666664,0.8533333333333334,251.04,9.333333333333332,5.14e-05
38,-3.943616415,0.3333333333333333,142.0,0.25,-3.545563696666667,0.8075,0.25,3236.0,-3.5131074166666663,0.75,0.0,12.043333333333331,4.0,72.45,500.0,127.0,0.64,0.0,1.836666666666667,1.19,2527.25,12.25,0.8633333333333334,393.3,8.333333333333334,1.7800000000000002e-05
39,-5.376929112999999,0.0,141.0,0.0,-5.1050114475,0.8280000000000001,0.0,3618.0,-4.995242325,2.0,0.0,14.75,4.0,18.0,8200.0,70.5,0.54,0.0,1.415,1.02,3287.600000000001,3.0,0.78,393.3,8.0,1.7800000000000002e-05
40,-2.889695661875,0.0,179.0,0.0,-4.0813303662500005,1.2525,0.0,3618.0,-3.584122325,2.0,0.0,11.6285,8.0,246.0,8300.0,64.4,1.02,0.0,2.6,1.33,968.16,6.0,1.175,393.3,10.0,8.62e-05
41,-4.5936830833333335,0.0,126.0,0.0,-4.831843455,0.7366666666666667,0.0,3186.0,-4.664527085,2.0,0.1984649,6.699999999999998,1.0,104.33333333333331,6900.0,208.0,0.69,0.0215224,1.98,0.76,2302.0,13.333333333333336,0.725,377.5,12.5,8.62e-05
42,-2.3051693311111108,0.0,141.0,0.0,-2.6983462266666667,1.0233333333333334,0.0,2792.0,-2.660677386666667,2.0,0.0,14.0,5.0,-87.83333333333334,2600.0,70.5,0.54,0.0,1.4466666666666668,1.26,2022.666666666667,4.055555555555555,0.8666666666666667,290.8,9.333333333333332,3.5700000000000014e-05
43,-3.863123164375,0.0,103.0,0.0,-3.863123164375,0.74,0.0,2022.0,-3.29278186,2.0,0.0,4.9475,2.0,155.20999999999995,2000.0,20.0,0.29,0.0,2.455,1.19,1369.86,17.0,0.74,177.9,15.0,3.5700000000000014e-05
44,-1.9995114635813327,0.3333333333333333,115.0,0.3333333333333333,-1.9995114635813327,1.0366666666666666,0.3333333333333333,1032.0,-1.8237703166666668,1.6666666666666663,0.0,17.633333333333333,2.0,41.78666666666667,3800.0,39.0,0.58,0.0,1.6666666666666663,1.51,849.5766666666667,14.0,1.0366666666666666,76.9,9.333333333333334,2.18e-05
45,-5.095101503333334,0.0,112.0,0.0,-5.7651329075,0.5033333333333333,0.0,3560.0,-5.65827001,2.0,7.5111111111e-06,10.1,0.0,-153.33333333333334,6900.0,301.0,0.45,0.0,1.5550000000000002,0.61,3015.333333333333,2.6666666666666665,0.53,425.2,3.0,2.18e-05
46,-3.348092088333333,0.0,114.0,0.0,-3.348092088333333,0.7766666666666666,0.0,3093.0,-3.2021639766666667,2.0,0.0,12.73,5.0,-1.0,3700.0,115.0,0.53,0.0,1.5233333333333332,1.26,2513.333333333333,6.333333333333334,0.7766666666666666,334.3,9.666666666666666,6.07e-05
47,-10.305366467857144,0.0,77.0,0.0,-9.238279615,0.5628571428571428,0.0,5828.0,-7.75656725,2.0,0.1701127714285714,6.5233333333333325,4.0,83.47142857142856,6500.0,401.0,0.16,0.0184477714285714,2.273333333333333,0.69,4854.857142857143,14.857142857142858,0.4833333333333333,715.0,10.0,6.07e-05
48,-6.1279285450000005,0.0,110.0,0.0,-6.1279285450000005,0.6666666666666667,0.0,5093.0,-5.86923208,2.0,0.1984649,14.810000000000002,6.0,81.53333333333333,3700.0,208.0,0.26,0.0215224,1.7033333333333334,1.05,3817.333333333334,6.0,0.6666666666666667,543.92,9.0,3.19e-05
49,-5.9405286975000005,0.0,142.0,0.0,-7.5460369525,0.6716666666666666,0.0,4876.0,-7.43283113,0.3333333333333333,0.0,10.5,8.0,50.0,200.0,139.0,0.64,0.0,1.75,0.83,3509.333333333333,11.333333333333336,0.735,661.07,7.0,3.19e-05
50,-2.8355833807142856,0.0,115.0,0.0,-3.0624965975,0.8142857142857143,0.0,1469.0,-2.841237725,2.0,0.0,12.605,3.0,61.57142857142857,6200.0,39.0,0.58,0.0,1.7200000000000002,0.99,1219.571428571429,15.571428571428571,0.7849999999999999,128.0,9.0,3.4200000000000005e-05
51,-5.366103031724138,0.0,141.0,0.0,-6.279165675000002,0.6241379310344828,0.0,4876.0,-6.1719497966666665,1.5172413793103448,0.0,9.266666666666666,8.0,39.31034482758621,1800.0,139.0,0.54,0.0,1.7033333333333336,0.83,3330.3448275862074,7.793103448275862,0.67,661.07,9.0,3.4200000000000005e-05
52,-6.2227614970000005,0.0,102.0,0.0,-5.506221624166668,0.6,0.4,4423.0,-5.059163613333333,1.6,0.0,17.643333333333334,1.0,62.28,1200.0,430.0,0.17,2.292e-05,1.76,1.42,2419.2,5.6,0.7366666666666667,567.77,8.333333333333334,5.479999999999999e-05
53,-5.96414321786,0.0,88.0,0.0,-4.180255877085,0.3771428571428571,0.0,4273.0,-3.322185585,2.0,0.0,14.29,5.0,-0.8571428571428577,1300.0,441.0,0.23,0.0,1.495,1.26,3899.0,2.8571428571428568,0.745,507.8,7.5,5.479999999999999e-05
54,-2.190651210835,0.0,140.0,0.0,-2.190651210835,0.855,0.0,1261.0,-1.99560496,2.0,0.0,-0.1583333333499998,2.0,95.075,1300.0,95.0,0.74,0.0,1.875,0.97,1220.5,14.0,0.855,115.3,14.0,3.950000000000001e-05
55,-6.805310224166668,0.0,132.0,0.0,-5.9086396325,0.725,0.8333333333333334,3968.0,-5.66593087,1.1666666666666667,0.0,15.65,1.0,108.33333333333331,6300.0,330.0,0.67,0.30863075,1.7599999999999998,1.0,3830.166666666666,9.833333333333334,0.835,495.39,6.0,3.950000000000001e-05
56,-5.620936595,0.3333333333333333,77.0,0.25,-4.424677575,0.7275,0.5,4300.0,-2.969605513333333,1.5,0.0,22.29666666666667,3.0,128.2075,5500.0,78.3,0.16,0.0,1.96,1.74,3168.25,8.5,0.9166666666666666,715.0,8.666666666666668,9.06e-05
57,-5.0824212104175,0.0,110.0,0.0,-5.0639700905566665,0.6799999999999999,0.0,3503.0,-4.82594339,1.0,0.0,11.943333333333332,1.0,75.9,6300.0,162.0,0.26,0.0,1.77,1.18,3287.0,8.75,0.6933333333333334,393.3,9.0,9.06e-05
58,-3.771881019,0.0,72.0,0.0,-4.5118077175,1.254,0.0,1040.0,-2.398761825,2.0,0.0,4.21,0.0,-2.8,400.0,62.0,0.95,0.0,2.365,1.71,654.884,9.2,1.33,99.87,13.5,6.05e-05
59,-2.62290652375,0.0,143.0,0.0,-2.6082747116666667,0.8625,0.25,3129.0,-2.58853905,1.75,0.0,13.727777777766669,0.0,31.185,2800.0,78.3,0.8,0.0,1.7733333333333334,1.0,2394.0,13.25,0.8833333333333333,324.43,8.666666666666666,6.05e-05
60,-5.582993539285715,0.0,103.0,0.0,-5.76119602625,0.4471428571428571,0.4285714285714285,3200.0,-5.38349467,1.5714285714285714,0.0,6.883333333333334,5.0,149.71142857142854,2400.0,259.0,0.29,0.0,2.0466666666666664,0.73,1708.4114285714286,6.7142857142857135,0.5466666666666666,339.5,11.0,6.790000000000001e-05
61,-5.7717216038888886,0.3333333333333333,64.0,0.1111111111111111,-5.646943640000001,1.252222222222222,0.1111111111111111,5285.0,-4.58468478,1.8888888888888888,0.0,18.857333333333333,3.0,123.72111111111109,5500.0,550.0,0.63,0.0,2.1533333333333333,1.61,1341.2888888888888,9.0,1.2133333333333334,627.6,8.333333333333334,6.790000000000001e-05
62,-3.990190954444445,0.3333333333333333,142.0,0.1111111111111111,-3.65623619,0.7,0.1111111111111111,3236.0,-3.617157706666666,1.4444444444444444,0.0,12.065,0.0,100.64444444444445,600.0,127.0,0.64,0.0,1.7133333333333334,0.76,2815.222222222222,11.666666666666668,0.7033333333333334,393.3,8.333333333333334,3.4200000000000005e-05
63,-7.4830560825,0.0,110.0,0.0,-7.02805045,0.5666666666666667,0.5,4423.0,-6.604413430000001,1.4999999999999998,0.0,12.61,5.0,99.53333333333332,6600.0,430.0,0.26,2.865e-05,1.7733333333333334,1.02,3872.166666666667,5.833333333333332,0.6333333333333333,567.77,8.333333333333334,3.4200000000000005e-05
64,-7.135909006666667,0.0,110.0,0.0,-7.135909006666667,0.5733333333333334,0.3333333333333333,4876.0,-6.867265913333332,1.6666666666666663,0.0,9.41,6.0,112.96666666666668,2100.0,175.0,0.26,0.0,1.8266666666666669,0.83,4049.0,15.333333333333336,0.5733333333333334,661.07,9.333333333333334,4.52e-05
65,-7.046141562500001,0.0,126.0,0.0,-7.046141562500001,0.7649999999999999,0.0,4682.0,-6.9532069550000015,2.0,0.29769735,12.35,6.0,80.5,2400.0,208.0,0.69,0.0322836,1.62,0.84,3934.0,7.0,0.7649999999999999,590.5,7.0,4.52e-05
66,-1.2298241863092858,0.5,140.0,0.0714285714285714,-1.168769814165,0.7949999999999999,0.0714285714285714,1180.0,-1.12680375,1.9285714285714288,0.0,18.70666666665,1.0,3.454285714285714,100.0,95.0,0.74,0.0,1.235,1.51,1169.4285714285716,11.214285714285712,1.125,115.3,6.5,4.05e-05
67,-4.893329383125,0.0,134.0,0.0,-4.811847654166667,0.6625,0.0,3236.0,-4.7471649399999984,1.0,1.5875e-06,10.24,0.0,41.775,2300.0,127.0,0.62,0.0,1.7900000000000005,0.75,3013.0,9.0,0.67,393.3,8.666666666666666,4.05e-05
68,-4.106879745,0.0,114.0,0.0,-4.106879745,0.7633333333333334,0.0,3618.0,-3.925251303333333,2.0,0.0,7.574444444433332,9.0,40.0,8200.0,115.0,0.53,0.0,1.6266666666666665,1.02,2630.333333333333,9.666666666666668,0.7633333333333334,393.3,9.666666666666668,2.08e-05
69,-4.062020390500002,0.0,132.0,0.0,-4.188496243333334,1.0965,0.2,3968.0,-4.056899463333333,1.8,0.0,13.715,4.0,70.3,1500.0,330.0,0.67,0.0740713799999999,1.8533333333333333,1.26,2356.15,20.3,1.04,495.39,8.333333333333334,2.08e-05
70,-7.843333577,0.0,136.0,0.0,-8.130527255,0.9240000000000002,0.0,5093.0,-7.746851190000001,2.0,0.0,19.85,5.0,45.0,0.0,533.0,0.63,0.14492565,1.75,1.05,4975.4,9.7,0.8400000000000001,563.58,6.0,2.1e-05
71,-2.0865138175,0.5,143.0,0.5,-2.0865138175,1.23,1.0,3129.0,-2.073194945,1.0,0.0,26.535,0.0,134.815,4900.0,78.3,0.85,0.0,1.68,1.61,2045.0,13.0,1.23,324.43,6.0,2.1e-05
72,-4.7866280385,0.0,64.0,0.0,-4.008433833333333,1.103,0.3,4098.0,-3.1806603666666664,1.7,0.0,0.4951111110999997,2.0,146.25,5000.0,175.0,0.63,0.0,2.4566666666666666,1.4,1401.46,12.0,0.9233333333333332,510.45,12.666666666666664,4.33e-05
73,-5.1725307266666665,0.0,114.0,0.0,-5.4507763175,0.6033333333333333,0.0,3103.0,-5.225228025,2.0,2.1166666666666666e-06,11.82,5.0,86.03333333333332,200.0,115.0,0.53,0.0,1.685,0.75,3096.333333333333,10.333333333333334,0.64,334.3,8.5,4.33e-05
74,-3.83157220875,0.0,115.0,0.0,-3.83157220875,0.6,0.0,2477.0,-3.596677375,2.0,0.0,6.215,2.0,53.0,2200.0,39.0,0.58,0.0,1.995,0.62,1682.0,14.0,0.6,256.06,14.0,6.23e-05
75,-3.813425557776666,0.0,143.0,0.0,-3.813425557776666,1.0233333333333334,0.3333333333333333,3129.0,-3.7408693766666654,1.6666666666666663,0.0,12.431666666666668,3.0,127.58,8400.0,78.3,0.85,0.0,2.03,1.19,2663.6666666666665,21.66666666666667,1.0233333333333334,324.43,9.333333333333332,6.23e-05
76,-9.0651891575,0.0,136.0,0.0,-9.0651891575,0.585,0.0,4538.0,-8.876514745,2.0,1.126666666665e-05,13.0,3.0,45.0,0.0,380.0,0.56,0.0,1.72,0.61,4049.0,5.5,0.585,502.0,5.5,8.420000000000001e-05
77,-7.128582849444445,0.0,64.0,0.0,-7.4250567175,1.0622222222222222,0.4444444444444444,5017.0,-6.27653657,1.5555555555555556,0.0,8.251,5.0,121.05555555555556,8000.0,104.0,0.64,0.0,2.52,1.4,2279.833333333333,5.5555555555555545,1.02,690.1,10.5,8.420000000000001e-05
78,-2.781798376666667,0.0,212.0,0.0,-2.5070521825,1.4466666666666663,0.6666666666666666,1655.0,-1.906875425,1.3333333333333333,0.0,13.1083965,1.0,-7.466666666666669,0.0,15.0,1.26,0.0,1.5750000000000002,1.54,565.0866666666666,1.3333333333333333,1.4,136.9,1.5,4.53e-05
79,-4.86175820625,0.0,115.0,0.0,-4.932047903333332,0.7275,0.25,3618.0,-4.732716263333334,1.75,0.0,11.053333333333333,8.0,68.075,8200.0,124.0,0.58,0.0,1.7666666666666666,1.02,2148.0,11.0,0.7766666666666666,393.3,9.666666666666666,4.53e-05
80,-1.966318055555,0.3333333333333333,141.0,0.1666666666666666,-2.23457515361,1.1466666666666667,0.1666666666666666,2792.0,-1.9108729866666667,1.8333333333333333,0.0,10.489,4.0,234.95,500.0,70.5,0.54,0.0,2.1733333333333333,1.33,714.5866666666666,5.333333333333334,0.9633333333333334,290.8,10.333333333333334,5.47e-05
81,-7.1418265833325005,0.0,77.0,0.0,-6.452530892776668,0.51,0.0,4300.0,-4.922093956666667,2.0,0.148848675,10.989999999999998,2.0,101.4,9000.0,208.0,0.16,0.0161418,1.893333333333333,1.03,3656.5,7.5,0.6266666666666667,715.0,9.0,5.47e-05
82,-9.7160726,0.0,72.0,0.0,-9.7160726,1.17,0.0,5285.0,-7.194775135,2.0,0.0,4.8,1.0,51.5,4200.0,550.0,0.63,0.0,2.62,1.71,2681.105,13.5,1.17,627.6,11.5,5.33e-05
83,-5.57635241375,0.0,126.0,0.0,-5.586361695000001,0.7549999999999999,0.0,4682.0,-5.5201063433333335,2.0,0.29769735,11.45,6.0,75.25,2400.0,208.0,0.69,0.0322836,1.6733333333333331,0.84,3349.75,9.25,0.7766666666666666,590.5,9.0,5.33e-05
84,-4.007481015,0.0,118.0,0.0,-3.725130533333333,0.6828571428571429,0.0,3618.0,-3.4660433766666667,2.0,0.0,6.884444444433331,9.0,111.4057142857143,8200.0,95.0,0.5,0.0,1.8066666666666664,1.02,1749.7142857142858,11.714285714285715,0.7533333333333334,393.3,10.333333333333332,8.92e-05
85,-6.6343765525,0.0,132.0,0.0,-6.015107585,0.7875000000000001,0.75,3968.0,-5.782582695,1.25,0.0,19.1,19.0,102.5,6300.0,330.0,0.67,0.277767675,1.7,1.14,3884.25,7.75,0.905,495.39,6.0,8.92e-05
86,-11.01516558,0.0,72.0,0.0,-10.3142344875,0.9233333333333332,0.0,5869.0,-8.07948133,2.0,0.0,5.4,2.0,7.0,2000.0,461.0,0.53,0.0,2.47,1.71,3938.403333333333,15.666666666666664,1.12,707.1,11.0,6.2e-05
87,-5.0533038050000005,0.0,139.0,0.0,-5.0533038050000005,0.8166666666666667,0.3333333333333333,4098.0,-4.9731135433333336,1.6666666666666663,0.0,12.95,7.0,78.10000000000002,6500.0,175.0,0.63,0.0,1.76,1.02,3353.666666666666,13.333333333333332,0.8166666666666667,510.45,8.666666666666666,6.2e-05
88,-2.07605622,0.0,172.0,0.0,-1.977745565,1.48,0.0,1746.0,-1.96541882,2.0,0.0,16.55,0.0,-36.0,2300.0,15.0,1.26,0.0,1.285,1.59,1715.6666666666663,18.666666666666668,1.425,162.09,7.5,0.00012334
89,-4.141856427857142,0.0,64.0,0.0,-4.2187233625000005,1.017142857142857,0.5714285714285714,3200.0,-3.051319445,1.4285714285714284,0.0,3.4760000000000004,1.0,128.07142857142856,1100.0,124.0,0.73,0.0,2.67,1.4,1867.1857142857143,8.857142857142858,1.065,300.5,13.5,0.00012334
