,GSenergy_pa_max_value,GSenergy_pa_min_value,MeltingT_max_value,HeatFusion_min_value,n_ws^third_arithmetic_average,ElasticModulus_arithmetic_average,BCCenergy_pa_max_value,HeatVaporization_max_value,ElasticModulus_composition_average,n_ws^third_max_value,n_ws^third_composition_average,BCCenergy_pa_min_value,MeltingT_composition_average,HHIr_min_value,ElasticModulus_max_value,MeltingT_arithmetic_average,ShearModulus_max_value,BulkModulus_max_value,BoilingT_max_value,HeatFusion_max_value,MeltingT_difference,GSenergy_pa_arithmetic_average,HeatCapacityMolar_min_value,Electronegativity_max_value,phi_max_value,target
11,-3.74542312,-3.74542312,933.47,10.71,1.39,70.5,-3.65018713,290.8,70.5,1.39,1.39,-3.65018713,933.47,1000.0,70.5,933.47,26.0,76.0,2792.0,10.71,0.0,-3.74542312,24.2,1.61,4.2,2.026685741
12,-3.74542312,-3.74542312,1234.93,10.71,1.375,75.25,-3.65018713,290.8,75.25,1.39,1.375,-3.65018713,1084.2,1000.0,80.0,1084.2,30.0,100.0,2792.0,11.3,301.4600000000001,-3.25540834,24.2,1.93,4.35,2.075071478
13,-3.74542312,-3.74542312,1090.0,10.71,1.415,54.75,-3.65018713,290.8,54.75,1.44,1.415,-3.65018713,1011.735,1000.0,70.5,1011.735,26.0,76.0,2792.0,24.44,156.52999999999997,-4.1981561175,24.2,2.18,4.8,2.075071478
14,-3.74542312,-3.74542312,1337.33,10.71,1.48,74.4,-3.65018713,324.43,74.4,1.57,1.48,-3.65018713,1135.4,1000.0,78.3,1135.4,27.0,220.0,3129.0,12.55,403.85999999999984,-3.477557865,24.2,2.54,5.15,1.823068663
15,-3.74542312,-3.74542312,933.47,10.71,1.275,52.25,-3.65018713,290.8,52.25,1.39,1.275,-3.65018713,738.935,1000.0,70.5,738.935,26.0,76.0,2792.0,11.106,389.0700000000001,-3.85955876,24.2,2.02,4.2,1.823068663
16,-3.74542312,-3.74542312,1115.0,8.54,1.15,45.75,-3.65018713,290.8,45.75,1.39,1.15,-3.65018713,1024.235,1000.0,70.5,1024.235,26.0,76.0,2792.0,10.71,181.53,-2.8468763425,24.2,1.61,4.2,1.989468058
17,-3.74542312,-3.74542312,933.47,6.21,1.315,66.25,-3.65018713,290.8,66.25,1.39,1.315,-3.65018713,763.845,1000.0,70.5,763.845,26.0,76.0,2792.0,10.71,339.25,-2.2787986725,24.2,1.69,4.2,1.989468058
18,-3.74542312,-3.74542312,1071.0,5.46,1.29,50.25,-3.65018713,313.8,50.25,1.39,1.29,-3.65018713,1002.235,1000.0,70.5,1002.235,26.0,76.0,3633.0,10.71,137.52999999999997,-4.260996385,24.2,1.61,4.2,2.072663228
19,-3.74542312,-3.74542312,1768.0,10.71,1.5699999999999998,139.25,-3.65018713,373.3,139.25,1.75,1.5699999999999998,-3.65018713,1350.735,1000.0,208.0,1350.735,75.0,180.0,3200.0,16.2,834.53,-5.4129061325,24.2,1.88,5.1,2.072663228
20,-3.74542312,-3.74542312,2180.0,10.71,1.56,164.75,-3.65018713,339.5,164.75,1.73,1.56,-3.65018713,1556.735,1000.0,259.0,1556.735,115.0,160.0,2944.0,21.0,1246.53,-6.62556983,23.35,1.66,4.65,1.6775237669999998
21,-3.74542312,-3.74542312,1357.77,10.71,1.43,97.25,-3.65018713,300.5,97.25,1.47,1.43,-3.65018713,1145.62,1000.0,124.0,1145.62,48.0,140.0,3200.0,13.6,424.3,-3.71303897,24.2,1.9,4.45,1.6775237669999998
22,-3.74542312,-3.74542312,1770.0,10.71,1.31,71.75,-3.65018713,292.88,71.75,1.39,1.31,-3.65018713,1351.735,1000.0,73.0,1351.735,28.0,76.0,3141.0,19.9,836.53,-4.154528432499999,24.2,1.61,4.2,1.2661
23,-3.74542312,-3.74542312,1811.0,10.71,1.58,140.75,-3.65018713,349.5,140.75,1.77,1.58,-3.65018713,1372.235,1000.0,211.0,1372.235,82.0,170.0,3134.0,13.81,877.53,-6.01545374,24.2,1.83,4.93,1.2661
24,-3.74542312,-3.74542312,933.47,5.585,1.35,40.75,-3.65018713,290.8,40.75,1.39,1.35,-3.65018713,618.19,1000.0,70.5,618.19,26.0,76.0,2792.0,10.71,630.56,-3.37883921125,24.2,1.81,4.2,1.14107
25,-3.74542312,-3.74542312,1211.4,10.71,1.38,92.75,-3.65018713,334.3,92.75,1.39,1.38,-3.65018713,1072.435,1000.0,115.0,1072.435,26.0,76.0,3093.0,36.94,277.93000000000006,-4.1807313325,23.222,2.01,4.55,1.14107
26,-3.74542312,-3.74542312,2506.0,10.71,1.42,104.75,-3.65018713,661.07,104.75,1.45,1.42,-3.65018713,1719.735,1000.0,139.0,1719.735,30.0,110.0,4876.0,27.2,1572.53,-6.8498612275,24.2,1.61,4.2,1.1236700000000002
27,-3.74542312,-3.74542312,933.47,2.295,1.315,46.25,-3.65018713,290.8,46.25,1.39,1.315,-3.65018713,583.895,1000.0,70.5,583.895,26.0,76.0,2792.0,10.71,699.1500000000002,-1.997764341207,24.2,2.0,4.2,1.1236700000000002
28,-3.74542312,-3.74542312,933.47,3.2910000000000004,1.2799999999999998,42.25,-3.65018713,290.8,42.25,1.39,1.2799999999999998,-3.65018713,681.61,1000.0,70.5,681.61,26.0,76.0,2792.0,10.71,503.72,-3.20611254,24.2,1.78,4.2,1.04139
29,-3.74542312,-3.74542312,2739.0,10.71,1.61,301.75,-3.65018713,563.58,301.75,1.83,1.61,-3.65018713,1836.235,1000.0,533.0,1836.235,210.0,320.0,4701.0,41.12,1805.53,-6.296967285,24.2,2.2,5.55,1.04139
30,-3.74542312,-3.74542312,1193.0,6.2,1.285,60.25,-3.65018713,399.57,60.25,1.39,1.285,-3.65018713,1063.235,1000.0,70.5,1063.235,26.0,76.0,3737.0,10.71,259.53,-4.336484652499999,24.2,1.61,4.2,0.91207
31,-3.74542312,-3.74542312,933.47,8.48,1.2799999999999998,57.45,-3.65018713,290.8,57.45,1.39,1.2799999999999998,-3.65018713,928.235,500.0,70.5,928.235,26.0,76.0,2792.0,10.71,10.470000000000027,-2.643847715,24.2,1.61,4.2,0.91207
32,-3.74542312,-3.74542312,1519.0,10.71,1.5,134.25,-3.65018713,290.8,134.25,1.61,1.5,-3.65018713,1226.235,1000.0,198.0,1226.235,78.0,120.0,2792.0,12.91,585.53,-6.382994185169999,24.2,1.61,4.45,1.07345
33,-3.74542312,-3.74542312,2896.0,10.71,1.58,196.25,-3.65018713,590.4,196.25,1.77,1.58,-3.65018713,1914.735,1000.0,322.0,1914.735,26.0,230.0,4912.0,37.48,1962.53,-7.295765445,24.06,2.16,4.65,1.07345
34,-3.74542312,-3.74542312,933.47,2.6,1.105,37.75,-3.65018713,290.8,37.75,1.39,1.105,-3.65018713,652.1700000000002,500.0,70.5,652.1700000000002,26.0,76.0,2792.0,10.71,562.6,-2.502832251665,24.2,1.61,4.2,1.16099
35,-3.74542312,-3.74542312,2750.0,10.71,1.515,87.25,-3.65018713,690.1,87.25,1.64,1.515,-3.65018713,1841.735,1000.0,104.0,1841.735,38.0,170.0,5017.0,30.0,1816.53,-6.919372325,24.2,1.61,4.2,1.16099
36,-3.74542312,-3.74542312,1294.0,7.14,1.295,54.25,-3.65018713,290.8,54.25,1.39,1.295,-3.65018713,1113.735,1000.0,70.5,1113.735,26.0,76.0,3373.0,10.71,360.53,-4.25388723,24.2,1.61,4.2,0.93351
37,-3.74542312,-3.74542312,1728.0,10.71,1.5699999999999998,139.25,-3.65018713,377.5,139.25,1.75,1.5699999999999998,-3.65018713,1330.735,1000.0,208.0,1330.735,76.0,180.0,3186.0,17.48,794.53,-4.6458738450000014,24.2,1.91,5.2,0.93351
38,-3.74542312,-3.74542312,3306.0,10.71,1.62,310.25,-3.65018713,627.6,310.25,1.85,1.62,-3.65018713,2119.735,1000.0,550.0,2119.735,222.0,76.0,5285.0,57.85,2372.53,-7.483063555,24.2,2.2,5.4,2.0104
39,-3.74542312,-3.74542312,933.47,10.71,1.52,37.75,-3.65018713,290.8,37.75,1.65,1.52,-3.65018713,625.385,1000.0,70.5,625.385,26.0,76.0,2792.0,18.54,616.1700000000002,-4.57296608125,23.824,2.19,5.55,2.0104
40,-3.74542312,-3.74542312,933.47,4.774,1.27,45.25,-3.65018713,290.8,45.25,1.39,1.27,-3.65018713,767.04,1000.0,70.5,767.04,26.0,76.0,2792.0,10.71,332.86,-3.687226365,24.2,2.33,4.2,2.1762
41,-3.74542312,-3.74542312,1828.05,10.71,1.5299999999999998,98.75,-3.65018713,393.3,98.75,1.67,1.5299999999999998,-3.65018713,1380.76,1000.0,127.0,1380.76,44.0,180.0,3236.0,16.74,894.5799999999998,-4.441598845,24.2,2.2,5.45,2.1762
42,-3.74542312,-3.74542312,2041.4,10.71,1.585,122.75,-3.65018713,510.45,122.75,1.78,1.585,-3.65018713,1487.435,1000.0,175.0,1487.435,61.0,230.0,4098.0,22.175,1107.93,-4.8869664,24.2,2.28,5.65,1.19608
43,-3.74542312,-3.74542312,3459.0,10.71,1.62,265.75,-3.65018713,707.1,265.75,1.85,1.62,-3.65018713,2196.235,1000.0,461.0,2196.235,178.0,370.0,5869.0,34.08,2525.53,-8.0812254425,24.2,1.9,5.2,1.19608
44,-3.74542312,-3.74542312,2237.0,10.71,1.575,200.25,-3.65018713,495.39,200.25,1.76,1.575,-3.65018713,1585.235,1000.0,330.0,1585.235,150.0,380.0,3968.0,26.59,1303.53,-5.49953432,24.2,2.28,5.4,1.1627299999999998
45,-3.74542312,-3.74542312,2607.0,10.71,1.61,250.25,-3.65018713,567.77,250.25,1.83,1.61,-3.65018713,1770.235,1000.0,430.0,1770.235,173.0,220.0,4423.0,38.59,1673.53,-6.470028345,24.06,2.2,5.4,1.1627299999999998
46,-3.74542312,-3.74542312,933.47,1.721,0.695,44.75,-3.65018713,290.8,44.75,1.39,0.695,-3.65018713,660.915,1000.0,70.5,660.915,26.0,76.0,2792.0,10.71,545.11,-3.921319919375,22.7,2.58,4.2,2.1438
47,-3.74542312,-3.74542312,933.47,10.71,1.325,68.75,-3.65018713,290.8,68.75,1.39,1.325,-3.65018713,918.625,1000.0,70.5,918.625,26.0,76.0,2792.0,19.79,29.69000000000005,-3.93139273,24.2,2.05,4.4,2.1438
48,-3.74542312,-3.74542312,1814.0,10.71,1.33,75.25,-3.65018713,304.8,75.25,1.39,1.33,-3.65018713,1373.735,1000.0,80.0,1373.735,29.0,76.0,3103.0,14.1,880.53,-5.015468105,24.2,1.61,4.2,1.18849
49,-3.74542312,-3.74542312,933.47,6.69,0.695,45.25,-3.65018713,290.8,45.25,1.39,0.695,-3.65018713,713.735,1000.0,70.5,713.735,26.0,76.0,2792.0,10.71,439.47,-3.608107515,24.2,2.55,4.2,1.18849
50,-3.74542312,-3.74542312,1687.0,10.71,1.4449999999999998,116.25,-3.65018713,359.0,116.25,1.5,1.4449999999999998,-3.65018713,1310.235,1000.0,162.0,1310.235,26.0,100.0,3173.0,50.21,753.53,-4.5851705625,19.99,1.9,4.7,1.15506
51,-3.74542312,-3.74542312,933.47,7.15,1.315,60.25,-3.65018713,290.8,60.25,1.39,1.315,-3.65018713,719.275,1000.0,70.5,719.275,26.0,76.0,2875.0,10.71,428.39,-3.853235105,24.2,1.96,4.2,1.15506
52,-3.74542312,-3.74542312,3290.0,10.71,1.5099999999999998,126.75,-3.65018713,737.0,126.75,1.63,1.5099999999999998,-3.65018713,2111.735,1000.0,183.0,2111.735,69.0,200.0,5731.0,36.57,2356.53,-7.798411329999999,24.2,1.61,4.2,2.06319
53,-3.74542312,-3.74542312,2430.0,10.71,1.6,225.25,-3.65018713,502.0,225.25,1.81,1.6,-3.65018713,1681.735,1000.0,380.0,1681.735,26.0,76.0,4538.0,33.29,1496.53,-7.0502871575,24.2,1.9,5.3,2.06319
54,-3.74542312,-3.74542312,933.47,10.71,0.695,55.25,-3.65018713,290.8,55.25,1.39,0.695,-3.65018713,828.065,1000.0,70.5,828.065,26.0,76.0,2792.0,17.38,210.8100000000001,-3.4433628133350003,24.2,2.1,4.2,1.08586
55,-3.74542312,-3.74542312,1941.0,10.71,1.455,90.25,-3.65018713,425.2,90.25,1.52,1.455,-3.65018713,1437.235,1000.0,110.0,1437.235,44.0,110.0,3560.0,14.15,1007.53,-5.76032512,24.2,1.61,4.2,1.08586
56,-3.74542312,-3.74542312,933.47,4.142,1.255,41.25,-3.65018713,290.8,41.25,1.39,1.255,-3.65018713,755.235,1000.0,70.5,755.235,26.0,76.0,2792.0,10.71,356.47,-3.009050325,24.2,1.62,4.2,1.10136
57,-3.74542312,-3.74542312,2183.0,10.71,1.515,99.75,-3.65018713,446.7,99.75,1.64,1.515,-3.65018713,1558.235,1000.0,129.0,1558.235,47.0,160.0,3680.0,21.5,1249.53,-6.342341905,24.2,1.63,4.25,1.10136
58,-3.74542312,-3.74542312,3695.0,10.71,1.6,235.75,-3.65018713,422.58,235.75,1.81,1.6,-3.65018713,2314.235,1000.0,401.0,2314.235,161.0,310.0,5828.0,52.31,2761.53,-8.35211187,24.2,2.36,4.8,2.2252
59,-3.74542312,-3.74542312,1799.0,10.71,1.2999999999999998,67.45,-3.65018713,393.3,67.45,1.39,1.2999999999999998,-3.65018713,1366.235,1000.0,70.5,1366.235,26.0,76.0,3618.0,11.39,865.53,-5.1050114475,24.2,1.61,4.2,2.2252
60,-3.74542312,-3.74542312,933.47,7.068,1.355,82.75,-3.65018713,290.8,82.75,1.39,1.355,-3.65018713,813.075,1000.0,95.0,813.075,43.0,76.0,2792.0,10.71,240.79000000000008,-2.4927115175,24.2,1.65,4.2,0.77761
61,-3.74542312,-3.74542312,2128.0,10.71,1.4,82.25,-3.65018713,590.5,82.25,1.41,1.4,-3.65018713,1530.735,1000.0,94.0,1530.735,33.0,76.0,4682.0,21.0,1194.53,-6.1456908375,24.2,1.61,4.2,0.77761
62,-3.20969261,-3.20969261,1337.33,12.55,1.57,78.3,-3.18445282,324.43,78.3,1.57,1.57,-3.18445282,1337.33,1000.0,78.3,1337.33,27.0,220.0,3129.0,12.55,0.0,-3.20969261,25.418000000000003,2.54,5.15,1.24671
63,-3.20969261,-3.20969261,1337.33,11.3,1.465,79.15,-3.18445282,324.43,79.15,1.57,1.465,-3.18445282,1286.13,1000.0,80.0,1286.13,30.0,220.0,3129.0,12.55,102.39999999999986,-2.987543085,25.35,2.54,5.15,1.24671
64,-3.20969261,-3.20969261,1337.33,6.21,1.405,70.15,-3.18445282,324.43,70.15,1.57,1.405,-3.18445282,965.775,1000.0,78.3,965.775,27.0,220.0,3129.0,12.55,743.1099999999999,-2.0109334175,25.418000000000003,2.54,5.15,1.9213
65,-3.20969261,-3.20969261,2896.0,12.55,1.67,200.15,-3.18445282,590.4,200.15,1.77,1.67,-3.18445282,2116.665,1000.0,322.0,2116.665,27.0,230.0,4912.0,37.48,1558.67,-7.02790019,24.06,2.54,5.15,1.9213
66,-3.20969261,-3.20969261,2750.0,12.55,1.605,91.15,-3.18445282,690.1,91.15,1.64,1.605,-3.18445282,2043.665,1000.0,104.0,2043.665,38.0,220.0,5017.0,30.0,1412.67,-6.65150707,24.6,2.54,5.15,3.0262
67,-3.20969261,-3.20969261,1828.05,12.55,1.62,102.65,-3.18445282,393.3,102.65,1.67,1.62,-3.18445282,1582.69,1000.0,127.0,1582.69,44.0,220.0,3236.0,16.74,490.72,-4.17373359,25.418000000000003,2.54,5.45,3.0262
68,-3.20969261,-3.20969261,2237.0,12.55,1.665,204.15,-3.18445282,495.39,204.15,1.76,1.665,-3.18445282,1787.165,1000.0,330.0,1787.165,150.0,380.0,3968.0,26.59,899.6700000000002,-5.231669065,24.98,2.54,5.4,1.19687
69,-3.20969261,-3.20969261,2607.0,12.55,1.7000000000000002,254.15,-3.18445282,567.77,254.15,1.83,1.7000000000000002,-3.18445282,1972.165,1000.0,430.0,1972.165,173.0,220.0,4423.0,38.59,1269.67,-6.20216309,24.06,2.54,5.4,1.19687
70,-3.20969261,-3.20969261,2430.0,12.55,1.69,229.15,-3.18445282,502.0,229.15,1.81,1.69,-3.18445282,1883.665,1000.0,380.0,1883.665,27.0,220.0,4538.0,33.29,1092.67,-6.782421902499999,25.418000000000003,2.54,5.3,2.667
71,-3.20969261,-3.20969261,1799.0,11.39,1.39,71.35,-3.18445282,393.3,71.35,1.57,1.39,-3.18445282,1568.165,1000.0,78.3,1568.165,27.0,220.0,3618.0,12.55,461.6700000000001,-4.8371461925,25.418000000000003,2.54,5.15,2.667
72,-3.20969261,-3.20969261,2128.0,12.55,1.49,86.15,-3.18445282,590.5,86.15,1.57,1.49,-3.18445282,1732.665,1000.0,94.0,1732.665,33.0,220.0,4682.0,21.0,790.6700000000002,-5.8778255825,25.36,2.54,5.15,0.9308
73,-1.948329565,-1.948329565,1115.0,8.54,0.91,21.0,-1.92725921,154.67,21.0,0.91,0.91,-1.92725921,1115.0,1500.0,21.0,1115.0,7.4,17.0,1757.0,8.54,0.0,-1.948329565,25.929,1.0,2.55,0.9308
74,-1.948329565,-1.948329565,1234.93,8.54,1.135,50.5,-1.92725921,250.63,50.5,1.36,1.135,-1.92725921,1174.965,1400.0,80.0,1174.965,30.0,100.0,2435.0,11.3,119.93000000000006,-2.3568615625,25.35,1.93,4.35,1.59959
75,-1.948329565,-1.948329565,1115.0,6.21,1.075,41.5,-1.92725921,154.67,41.5,1.24,1.075,-1.92725921,854.61,1300.0,62.0,854.61,19.0,42.0,1757.0,8.54,520.78,-1.380251895,25.929,1.69,4.05,1.59959
76,-1.948329565,-1.948329565,2750.0,8.54,1.275,62.5,-1.92725921,690.1,62.5,1.64,1.275,-1.92725921,1932.5,1500.0,104.0,1932.5,38.0,170.0,5017.0,30.0,1635.0,-6.0208255475,24.6,1.6,4.05,2.8061
77,-1.948329565,-1.948329565,1799.0,8.54,1.06,42.7,-1.92725921,393.3,42.7,1.21,1.06,-1.92725921,1457.0,1500.0,64.4,1457.0,26.0,41.0,3618.0,11.39,684.0,-4.20646467,25.929,1.22,3.2,2.8061
78,-1.948329565,-1.948329565,2128.0,8.54,1.16,57.5,-1.92725921,590.5,57.5,1.41,1.16,-1.92725921,1621.5,1500.0,94.0,1621.5,33.0,17.0,4682.0,21.0,1013.0,-5.24714406,25.36,1.33,3.45,1.0389700000000002
79,-3.68065482,-3.68065482,1357.77,13.6,1.47,124.0,-3.64288728,300.5,124.0,1.47,1.47,-3.64288728,1357.77,1500.0,124.0,1357.77,48.0,140.0,3200.0,13.6,0.0,-3.68065482,24.44,1.9,4.45,1.0389700000000002
80,-3.68065482,-3.68065482,1357.77,11.3,1.415,102.0,-3.64288728,300.5,102.0,1.47,1.415,-3.64288728,1296.35,1400.0,124.0,1296.35,48.0,140.0,3200.0,13.6,122.83999999999992,-3.2230241900000003,24.44,1.93,4.45,0.94554
81,-3.68065482,-3.68065482,1357.77,10.71,1.43,97.25,-3.64288728,300.5,97.25,1.47,1.43,-3.64288728,1145.62,1000.0,124.0,1145.62,48.0,140.0,3200.0,13.6,424.3,-3.71303897,24.2,1.9,4.45,0.94554
82,-3.68065482,-3.68065482,1357.77,12.55,1.52,101.15,-3.64288728,324.43,101.15,1.57,1.52,-3.64288728,1347.55,1000.0,124.0,1347.55,48.0,220.0,3200.0,13.6,20.44000000000005,-3.445173715,24.44,2.54,5.15,1.52261
83,-3.68065482,-3.68065482,1357.77,11.106,1.315,79.0,-3.64288728,300.5,79.0,1.47,1.315,-3.64288728,951.085,1500.0,124.0,951.085,48.0,140.0,3200.0,13.6,813.37,-3.82717461,24.44,2.02,4.45,1.52261
84,-3.68065482,-3.68065482,1357.77,6.21,1.355,93.0,-3.64288728,300.5,93.0,1.47,1.355,-3.64288728,975.995,1300.0,124.0,975.995,48.0,140.0,3200.0,13.6,763.55,-2.2464145225,24.44,1.9,4.45,1.60389
85,-3.68065482,-3.68065482,1768.0,13.6,1.61,166.0,-3.64288728,373.3,166.0,1.75,1.61,-3.64288728,1562.885,1500.0,208.0,1562.885,75.0,180.0,3200.0,16.2,410.23,-5.3805219825,24.44,1.9,5.1,1.60389
86,-3.68065482,-3.68065482,2180.0,13.6,1.6,191.5,-3.64288728,339.5,191.5,1.73,1.6,-3.64288728,1768.885,1500.0,259.0,1768.885,115.0,160.0,3200.0,21.0,822.23,-6.59318568,23.35,1.9,4.65,3.189
87,-3.68065482,-3.68065482,1811.0,13.6,1.62,167.5,-3.64288728,349.5,167.5,1.77,1.62,-3.64288728,1584.385,1400.0,211.0,1584.385,82.0,170.0,3200.0,13.81,453.23,-5.98306959,24.44,1.9,4.93,3.189
88,-3.68065482,-3.68065482,1357.77,5.585,1.39,67.5,-3.64288728,300.5,67.5,1.47,1.39,-3.64288728,830.34,1500.0,124.0,830.34,48.0,140.0,3200.0,13.6,1054.86,-3.34645506125,24.44,1.9,4.45,2.0685
89,-3.68065482,-3.68065482,1357.77,13.6,1.42,119.5,-3.64288728,334.3,119.5,1.47,1.42,-3.64288728,1284.585,1500.0,124.0,1284.585,48.0,140.0,3200.0,36.94,146.3699999999999,-4.1483471825,23.222,2.01,4.55,2.0685
90,-3.68065482,-3.68065482,2506.0,13.6,1.46,131.5,-3.64288728,661.07,131.5,1.47,1.46,-3.64288728,1931.885,1500.0,139.0,1931.885,48.0,140.0,4876.0,27.2,1148.23,-6.8174770775,24.44,1.9,4.45,2.5963
91,-3.68065482,-3.68065482,1357.77,2.295,1.355,73.0,-3.64288728,300.5,73.0,1.47,1.355,-3.64288728,796.045,1500.0,124.0,796.045,48.0,140.0,3200.0,13.6,1123.45,-1.965380191207,24.44,2.0,4.45,2.5963
92,-3.68065482,-3.68065482,1357.77,3.2910000000000004,1.3199999999999998,69.0,-3.64288728,300.5,69.0,1.47,1.3199999999999998,-3.64288728,893.76,1500.0,124.0,893.76,48.0,140.0,3200.0,13.6,928.02,-3.17372839,24.44,1.9,4.45,1.11138
93,-3.68065482,-3.68065482,2739.0,13.6,1.65,328.5,-3.64288728,563.58,328.5,1.83,1.65,-3.64288728,2048.385,1500.0,533.0,2048.385,210.0,320.0,4701.0,41.12,1381.23,-6.2645831350000005,24.44,2.2,5.55,1.11138
94,-3.68065482,-3.68065482,1357.77,8.48,1.3199999999999998,84.2,-3.64288728,300.5,84.2,1.47,1.3199999999999998,-3.64288728,1140.385,500.0,124.0,1140.385,48.0,140.0,3200.0,13.6,434.77,-2.611463565,24.44,1.9,4.45,1.02572
95,-3.68065482,-3.68065482,1519.0,12.91,1.54,161.0,-3.64288728,300.5,161.0,1.61,1.54,-3.64288728,1438.385,1500.0,198.0,1438.385,78.0,140.0,3200.0,13.6,161.23000000000005,-6.35061003517,24.44,1.9,4.45,1.02572
96,-3.68065482,-3.68065482,2896.0,13.6,1.62,223.0,-3.64288728,590.4,223.0,1.77,1.62,-3.64288728,2126.885,1500.0,322.0,2126.885,48.0,230.0,4912.0,37.48,1538.23,-7.263381295,24.06,2.16,4.65,1.56769
97,-3.68065482,-3.68065482,2750.0,13.6,1.555,114.0,-3.64288728,690.1,114.0,1.64,1.555,-3.64288728,2053.885,1500.0,124.0,2053.885,48.0,170.0,5017.0,30.0,1392.23,-6.886988175000001,24.44,1.9,4.45,1.56769
98,-3.68065482,-3.68065482,1728.0,13.6,1.61,166.0,-3.64288728,377.5,166.0,1.75,1.61,-3.64288728,1542.885,1500.0,208.0,1542.885,76.0,180.0,3200.0,17.48,370.23,-4.613489695,24.44,1.91,5.2,0.8235100000000001
99,-3.68065482,-3.68065482,3306.0,13.6,1.66,337.0,-3.64288728,627.6,337.0,1.85,1.66,-3.64288728,2331.885,1500.0,550.0,2331.885,222.0,140.0,5285.0,57.85,1948.23,-7.450679405000002,24.44,2.2,5.4,0.8235100000000001
100,-3.68065482,-3.68065482,1357.77,4.774,1.31,72.0,-3.64288728,300.5,72.0,1.47,1.31,-3.64288728,979.19,1500.0,124.0,979.19,48.0,140.0,3200.0,13.6,757.16,-3.654842215,24.44,2.33,4.45,1.11237
101,-3.68065482,-3.68065482,1828.05,13.6,1.5699999999999998,125.5,-3.64288728,393.3,125.5,1.67,1.5699999999999998,-3.64288728,1592.91,1500.0,127.0,1592.91,48.0,180.0,3236.0,16.74,470.28,-4.409214695,24.44,2.2,5.45,1.11237
