,BCCenergy_pa_composition_average,HeatVaporization_composition_average,MeltingT_difference,HeatVaporization_difference,HeatVaporization_max_value,BCCfermi_composition_average,MeltingT_max_value,BoilingT_composition_average,phi_max_value,NdValence_composition_average,HHIp_composition_average,n_ws^third_max_value,valence_composition_average,HeatFusion_composition_average,phi_difference,NValance_composition_average,n_ws^third_composition_average,GSmagmom_composition_average,GSenergy_pa_composition_average,ThermalExpansionCoefficient_composition_average,MiracleRadius_composition_average,CovalentRadii_composition_average,MeltingT_composition_average,Group_composition_average,ElasticModulus_difference,AtomicVolume_difference,BCCmagmom_composition_average,BCCvolume_padiff_composition_average,SecondIonizationEnergy_composition_average,NUnfilled_composition_average,NpUnfilled_arithmetic_average,Column_composition_average,NdUnfilled_composition_average,IonicRadii_composition_average,HeatCapacityMolar_composition_average,Density_composition_average,AtomicVolume_min_value,ICSDVolume_composition_average,HHIr_composition_average,IonicRadii_arithmetic_average,Electronegativity_composition_average,phi_composition_average,AtomicRadii_composition_average,SpaceGroupNumber_composition_average,HHIr_arithmetic_average,ICSDVolume_min_value,ICSDVolume_difference,CovalentRadius_composition_average,IonizationEnergy_composition_average,FirstIonizationEnergy_composition_average,target
10,-3.624223016,120.54354,2128.2,443.2891,446.7,3.595723804,2183.0,1131.26,4.25,0.6,1770.0,1.64,2.6,6.029,1.85,5.0,0.5029999999999999,0.0,-5.0050415975,474.16,106.5,1.047,685.98,11.0,114.0,18578.35226826842,0.0,-1.292,26.2903,2.6,0.5,11.0,1.4,1.174,27.8767,1640.8574,13.8448982209802,23.15,1430.0,1.0499999999999998,2.585,1.345,1.1142,98.0,2100.0,13.8,42.2,107.3,1032.27,10.700869,-4.684
11,-4.417851689,173.89303999999998,2841.2,586.9891,590.4,4.1612740365,2896.0,1672.06,4.65,1.15,2355.0,1.77,2.95,9.434499999999998,2.3300000000000005,6.4,0.576,0.0,-5.8176360065,469.69,103.75,1.0385,899.98,11.35,309.0,18576.6962858016,0.0,-0.978,26.67685,4.8,0.5,11.35,2.35,1.1865,29.3968,3417.5074,15.5008806878023,21.555,1940.0,1.1149999999999998,2.7205000000000004,1.5260000000000002,1.0917,93.55,2800.0,15.5,47.3,110.55,1039.265,10.7723692,-4.684
12,-4.036482273,145.15303999999998,2128.2,443.2891,446.7,3.7248788605,2183.0,1425.66,4.25,0.75,2535.0,1.64,2.75,6.238499999999999,1.93,6.2,0.5499999999999999,0.0,-5.4362665905,470.41,102.75,1.0225,757.38,11.15,116.0,18578.35226826842,0.0,-0.978,26.31465,5.0,0.5,11.15,2.75,1.1765,29.5628,2583.5074,13.8448982209802,21.215,1560.0,1.1025,2.6145,1.4460000000000002,1.0835,93.55,2325.0,13.8,49.0,110.35,1032.285,10.703121200000002,-5.487
13,-3.9420851090000006,173.91303999999997,2073.2,587.0891,590.5,3.2794845945,2128.0,1626.06,3.45,0.55,2555.0,1.41,2.55,6.1385,1.1300000000000003,6.0,0.504,0.0,-5.3576061635,469.87,107.55,1.0685,746.38,10.95,81.0,18568.93122322021,0.0,-1.067,26.01065,5.2,0.5,10.95,2.95,1.2365,29.6568,2663.7074,23.2659432691915,23.095,1400.0,1.1774999999999998,2.5545,1.286,1.1393,86.55,2125.0,17.3,45.5,114.75,1034.285,10.6806632,-5.487
14,-4.28849345,165.31754,2841.2,586.9891,590.4,4.071331961,2896.0,1603.06,4.65,1.1,2030.0,1.77,2.9,9.307,2.3300000000000005,6.0,0.556,0.0,-5.681091054,470.82,106.1,1.057,870.6800000000001,11.3,309.0,18576.6962858016,0.0,-1.007,26.5723,4.0,0.5,11.3,1.9,1.2049999999999998,28.9488,3197.9574,15.5008806878023,23.05,1900.0,1.1149999999999998,2.705,1.4820000000000002,1.1126,95.3,2800.0,15.5,47.3,111.5,1034.81,10.7254624,-3.615
15,-3.907124034,136.57754,2128.2,443.2891,446.7,3.634936785,2183.0,1356.66,4.25,0.7,2210.0,1.64,2.7,6.110999999999999,1.93,5.800000000000001,0.53,0.0,-5.299721638,471.54,105.1,1.041,728.08,11.1,116.0,18578.35226826842,0.0,-1.007,26.2101,4.2,0.5,11.1,2.3,1.1949999999999998,29.1148,2363.9574,13.8448982209802,22.71,1520.0,1.1025,2.599,1.402,1.1044,95.3,2325.0,13.8,49.0,111.3,1027.83,10.6562144,-3.615
16,-3.812726870000001,165.33754,2073.2,587.0891,590.5,3.189542519,2128.0,1557.06,3.45,0.5,2230.0,1.41,2.5,6.010999999999999,1.1300000000000003,5.6,0.484,0.0,-5.221061211,471.0,109.9,1.087,717.08,10.9,81.0,18568.93122322021,0.0,-1.096,25.9061,4.4,0.5,10.9,2.5,1.255,29.2088,2444.1574,23.2659432691915,24.590000000000003,1360.0,1.1774999999999998,2.539,1.242,1.1602,88.3,2125.0,17.3,45.5,115.7,1029.83,10.6337564,-0.952
17,-4.0366691205,145.87653999999998,2128.2,443.2891,446.7,3.7896680045,2183.0,1406.36,4.25,0.75,2580.0,1.64,2.75,6.3095,1.7000000000000002,6.2,0.5549999999999999,0.0,-5.43750695575,470.495,101.65,1.0105,763.13,11.15,108.0,18578.35226826842,0.0,-1.0255,26.408,5.0,0.5,11.15,2.75,1.1555,29.45575,2485.5074,13.8448982209802,20.28,1520.0,0.9975,2.62,1.4575,1.071,93.35,2125.0,13.8,30.3,108.4,1036.63,10.748196,-0.952
18,-3.907497729,138.02454,2128.2,443.2891,446.7,3.764515073,2183.0,1318.06,4.25,0.7,2300.0,1.64,2.7,6.252999999999999,1.7000000000000002,5.800000000000001,0.5399999999999999,0.0,-5.3022023685,471.71,102.9,1.017,739.58,11.1,108.0,18578.35226826842,0.0,-1.102,26.3968,4.2,0.5,11.1,2.3,1.153,28.9007,2167.9574,13.8448982209802,20.840000000000003,1440.0,0.9975,2.61,1.4249999999999998,1.0794,94.9,2125.0,13.8,30.3,107.4,1036.52,10.746364,-5.403
19,-4.0242031555,144.98803999999998,2128.2,443.2891,446.7,3.7304253015,2183.0,1401.26,4.25,0.75,2595.0,1.64,2.75,6.254,1.85,6.2,0.5514999999999999,0.0,-5.4242311575,470.505,102.2,1.019,759.88,11.15,114.0,18578.35226826842,0.0,-1.044,26.36595,5.0,0.5,11.15,2.75,1.1685,29.4988,2539.5074,13.8448982209802,20.875,1595.0,1.0625,2.6175,1.4500000000000002,1.08,93.35,2500.0,13.8,42.2,109.35,1034.615,10.7272805,-5.403
20,-3.9298059915,173.74803999999995,2073.2,587.0891,590.5,3.2850310355000003,2128.0,1601.66,3.45,0.55,2615.0,1.41,2.55,6.154,1.0500000000000005,6.0,0.5055,0.0,-5.3455707305,469.965,107.0,1.065,748.88,10.95,79.0,18568.93122322021,0.0,-1.133,26.06195,5.2,0.5,10.95,2.95,1.2285,29.5928,2619.7074,23.2659432691915,22.755000000000003,1435.0,1.1375,2.5575,1.29,1.1358,86.35000000000001,2300.0,17.3,38.7,113.75,1036.615,10.7048225,-3.571
21,-4.263935215,164.98754,2841.2,586.9891,590.4,4.082424843,2896.0,1554.2599999999998,4.65,1.1,2150.0,1.77,2.9,9.338,2.2500000000000004,6.0,0.5589999999999999,0.0,-5.657020188000001,471.01,105.0,1.05,875.6800000000001,11.3,307.0,18576.6962858016,0.0,-1.139,26.6749,4.0,0.5,11.3,1.9,1.1889999999999998,28.8208,3109.9574,15.5008806878023,22.37,1970.0,1.075,2.7110000000000003,1.4900000000000002,1.1056,94.9,2975.0,15.5,40.5,109.5,1039.47,10.773781,-3.571
22,-4.464993569,194.30754,3235.2,733.5891,737.0,3.4422739810000005,3290.0,1718.06,4.05,0.7,2130.0,1.63,2.7,9.156,1.65,8.6,0.5309999999999999,0.0,-5.858078542,471.31,106.2,1.058,954.48,11.1,168.0,18574.150436930217,0.0,-1.139,23.3827,4.2,0.5,11.1,2.3,1.1989999999999998,29.0808,4383.9574,18.0467295591839,22.79,1870.0,1.0875,2.579,1.37,1.1192,94.9,2850.0,17.3,38.7,112.7,1054.69,10.865209,-4.622
23,-3.882565799,136.24754,2128.2,443.2891,446.7,3.646029667,2183.0,1307.86,4.25,0.7,2330.0,1.64,2.7,6.142,1.85,5.800000000000001,0.5329999999999999,0.0,-5.2756507720000005,471.73,104.0,1.034,733.08,11.1,114.0,18578.35226826842,0.0,-1.139,26.3127,4.2,0.5,11.1,2.3,1.1789999999999998,28.9868,2275.9574,13.8448982209802,22.03,1590.0,1.0625,2.605,1.41,1.0974,94.9,2500.0,13.8,42.2,109.3,1032.49,10.704533,-4.622
24,-3.788168635000001,165.00754,2073.2,587.0891,590.5,3.2006354010000004,2128.0,1508.2599999999998,3.45,0.5,2350.0,1.41,2.5,6.042,1.0500000000000005,5.6,0.487,0.0,-5.196990345000001,471.19,108.8,1.0799999999999998,722.08,10.9,79.0,18568.93122322021,0.0,-1.228,26.0087,4.4,0.5,10.9,2.5,1.239,29.0808,2356.1574,23.2659432691915,23.910000000000004,1430.0,1.1375,2.545,1.25,1.1532,87.89999999999999,2300.0,17.3,38.7,113.7,1034.49,10.682075,-4.149
25,-4.029776972,148.16654,2841.2,586.9891,590.4,3.89144781,2896.0,1465.06,4.65,1.0,1380.0,1.77,2.8,9.052,2.3300000000000005,5.2,0.516,0.0,-5.408001149,473.08,110.8,1.094,812.08,11.2,309.0,18576.6962858016,0.0,-1.065,26.3632,2.4,0.6666666666666666,11.2,1.0,1.2419999999999998,28.0528,2758.8574,15.5008806878023,26.04,1820.0,1.1366666666666665,2.6740000000000004,1.394,1.1544,98.8,2700.0,15.5,47.3,113.4,1025.9,10.6316488,-4.149
26,-3.879219724,168.10654,2695.2,686.6891,690.1,3.144412652,2750.0,1486.06,4.05,0.8,2600.0,1.64,2.6,7.555999999999999,1.73,5.0,0.49,0.0,-5.257443901,473.58,111.6,1.102,782.88,11.0,91.0,18574.195033509084,0.0,-1.065,25.935,2.6,0.6666666666666666,11.0,1.2,1.2519999999999998,28.1608,2416.8574,18.0021329803168,26.56,2520.0,1.153333333333333,2.5620000000000003,1.274,1.1678,98.8,3866.6666666666665,17.3,45.5,115.4,1021.72,10.5649328,-5.489
27,-4.230835325999999,177.48654,3235.2,733.5891,737.0,3.251296948,3290.0,1628.86,4.05,0.6,1360.0,1.63,2.6,8.87,1.73,7.800000000000001,0.488,0.0,-5.609059502999999,473.38,112.0,1.102,890.88,11.0,170.0,18574.150436930217,0.0,-1.065,23.071,2.6,0.6666666666666666,11.0,1.4,1.2519999999999998,28.3128,4032.8574,18.0467295591839,26.46,1720.0,1.153333333333333,2.542,1.274,1.168,98.8,2533.333333333333,17.3,45.5,116.6,1041.12,10.7230768,-5.489
28,-4.3100710630000005,207.01204,2695.2,686.6891,690.1,4.070709446,2750.0,1725.16,4.05,0.95,3575.0,1.64,2.75,7.417999999999999,1.73,5.15,0.5455,0.0,-5.70804748975,471.27,106.20000000000002,0.9925,811.83,11.15,91.0,18574.195033509084,0.000120765,-0.979125,26.09325,3.95,0.5,11.15,2.55,1.213,28.0168,2812.2574,18.0021329803168,22.75,2640.0,1.155,2.5935,1.4015,1.11635,93.55,3675.0,17.3,45.5,114.2,1027.0,10.6197182,-4.209
29,-4.661686665,216.39204,3235.2,733.5891,737.0,4.177593742000001,3290.0,1867.96,4.05,0.75,2335.0,1.63,2.75,8.732,1.73,7.949999999999999,0.5435,0.0,-6.05966309175,471.07,106.6,0.9925,919.83,11.15,170.0,18574.150436930217,0.000120765,-0.979125,23.22925,3.95,0.5,11.15,2.75,1.213,28.1688,4428.2574,18.0467295591839,22.65,1840.0,1.155,2.5735,1.4015,1.11655,93.55,2675.0,17.3,45.5,115.4,1046.4,10.7778622,-4.209
30,-3.984861731000001,187.09204,2073.2,587.0891,590.5,3.935955162,2128.0,1658.16,3.45,0.55,2555.0,1.41,2.55,5.618,1.1300000000000003,4.95,0.4994999999999999,0.0,-5.39857489475,470.95,109.20000000000002,1.0145,687.43,10.95,81.0,18568.93122322021,0.000120765,-1.068125,25.85525,4.15,0.5,10.95,2.95,1.253,28.1688,2400.4574,23.2659432691915,23.770000000000003,1400.0,1.205,2.5395000000000003,1.2815,1.15055,86.55,2125.0,17.3,45.5,116.4,1026.2,10.5947282,-3.713
31,-4.16645395,194.04354,2695.2,686.6891,690.1,3.761943848,2750.0,1645.46,4.05,0.9,3250.0,1.64,2.7,7.463999999999999,1.73,5.1,0.5269999999999999,0.0,-5.557846293500001,472.04,108.0,1.029,802.18,11.1,91.0,18574.195033509084,8.051e-05,-1.00775,26.0405,3.5,0.5,11.1,2.1,1.226,28.0648,2680.4574,18.0021329803168,24.020000000000003,2600.0,1.155,2.583,1.359,1.1335,95.3,3675.0,17.3,45.5,114.6,1025.24,10.6014564,-3.713
32,-4.518069552,203.42354,3235.2,733.5891,737.0,3.868828144,3290.0,1788.26,4.05,0.7,2010.0,1.63,2.7,8.778,1.73,7.9,0.5249999999999999,0.0,-5.9094618955,471.84,108.4,1.029,910.18,11.1,170.0,18574.150436930217,8.051e-05,-1.00775,23.1765,3.5,0.5,11.1,2.3,1.226,28.2168,4296.4574,18.0467295591839,23.92,1800.0,1.155,2.563,1.359,1.1337,95.3,2675.0,17.3,45.5,115.8,1044.64,10.7596004,-5.301
33,-4.030524362,151.06054,2841.2,586.9891,590.4,4.150604386,2896.0,1387.86,4.65,1.0,1560.0,1.77,2.8,9.336,2.1000000000000005,5.2,0.536,0.0,-5.41296261,473.42,106.4,1.046,835.08,11.2,301.0,18576.6962858016,0.0,-1.255,26.7366,2.4,0.6666666666666666,11.2,1.0,1.158,27.6246,2366.8574,15.5008806878023,22.3,1660.0,0.9966666666666666,2.696,1.44,1.1044,98.0,2433.333333333333,15.5,28.6,105.6,1043.28,10.811948,-5.301
34,-3.879967114,171.00054,2695.2,686.6891,690.1,3.4035692280000003,2750.0,1408.86,4.05,0.8,2780.0,1.64,2.6,7.84,1.5,5.0,0.51,0.0,-5.262405362000001,473.92,107.20000000000002,1.054,805.88,11.0,83.0,18574.195033509084,0.0,-1.255,26.3084,2.6,0.6666666666666666,11.0,1.2,1.168,27.7326,2024.8574,18.0021329803168,22.82,2360.0,1.0133333333333332,2.584,1.3199999999999998,1.1178,98.0,3600.0,17.3,26.8,107.6,1039.1,10.745232,-4.187
35,-3.5547577820000003,151.08053999999998,2073.2,587.0891,590.5,3.2688149440000003,2128.0,1341.86,3.45,0.4,1760.0,1.41,2.4000000000000004,6.039999999999999,0.9000000000000004,4.800000000000001,0.4639999999999999,0.0,-4.952932767,473.6,110.20000000000002,1.0759999999999998,681.48,10.8,73.0,18568.93122322021,0.0,-1.344,26.0704,2.8,0.6666666666666666,10.8,1.6,1.2079999999999995,27.8846,1613.0574,23.2659432691915,23.840000000000003,1120.0,1.0799999999999998,2.53,1.2000000000000002,1.152,91.0,1533.3333333333333,17.3,26.8,109.8,1038.3,10.720242,-4.187
36,-4.4608151585,187.79554,2841.2,586.9891,590.4,4.882533748,2896.0,1684.86,4.65,1.15,2400.0,1.77,2.95,8.985,2.1000000000000005,5.35,0.5765,0.0,-5.859845103,470.855,104.3,0.9725,846.7800000000001,11.35,301.0,18576.6962858016,0.000120765,-1.026625,26.6148,3.75,0.5,11.35,2.35,1.182,27.80175,3056.2574,15.5008806878023,21.295,1900.0,1.0375,2.7110000000000003,1.533,1.09045,93.35,2600.0,15.5,28.6,110.25,1035.525,10.731509,-3.86
37,-4.310257910500001,207.73554,2695.2,686.6891,690.1,4.13549859,2750.0,1705.86,4.05,0.95,3620.0,1.64,2.75,7.489,1.5,5.15,0.5505,0.0,-5.709287855,471.355,105.1,0.9805,817.58,11.15,83.0,18574.195033509084,0.000120765,-1.026625,26.1866,3.95,0.5,11.15,2.55,1.1919999999999995,27.90975,2714.2574,18.0021329803168,21.815,2600.0,1.05,2.599,1.4129999999999998,1.10385,93.35,3475.0,17.3,26.8,112.25,1031.345,10.664793,-3.86
38,-4.6618735125,217.11554,3235.2,733.5891,737.0,4.242382886,3290.0,1848.66,4.05,0.75,2380.0,1.63,2.75,8.802999999999999,1.5,7.949999999999999,0.5485,0.0,-6.060903457,471.155,105.5,0.9805,925.58,11.15,162.0,18574.150436930217,0.000120765,-1.026625,23.3226,3.95,0.5,11.15,2.75,1.1919999999999995,28.06175,4330.2574,18.0467295591839,21.715000000000003,1800.0,1.05,2.579,1.4129999999999998,1.10405,93.35,2475.0,17.3,26.8,113.45,1050.745,10.822937,-4.153
39,-3.9850485785000007,187.81554,2073.2,587.0891,590.5,4.000744306,2128.0,1638.86,3.45,0.55,2600.0,1.41,2.55,5.689,0.9000000000000004,4.95,0.5045,0.0,-5.39981526,471.035,108.1,1.0025,693.18,10.95,73.0,18568.93122322021,0.000120765,-1.115625,25.9486,4.15,0.5,10.95,2.95,1.2319999999999998,28.06175,2302.4574,23.2659432691915,22.835,1360.0,1.1,2.545,1.293,1.13805,86.35000000000001,1925.0,17.3,26.8,114.45,1030.545,10.639803,-4.153
40,-4.317384893,175.55053999999998,2841.2,586.9891,590.4,4.638557294,2896.0,1585.86,4.65,1.1,2120.0,1.77,2.9,9.102,2.1000000000000005,5.3,0.563,0.0,-5.710884272,471.71,105.0,0.997,842.88,11.3,301.0,18576.6962858016,8.051e-05,-1.10275,26.6554,3.3,0.5,11.3,1.9,1.174,27.7427,2826.4574,15.5008806878023,21.630000000000003,1820.0,1.0375,2.7060000000000004,1.5020000000000002,1.0951,94.9,2600.0,15.5,28.6,108.7,1038.11,10.758322,-5.55
41,-4.166827645000001,195.49054,2695.2,686.6891,690.1,3.891522136,2750.0,1606.86,4.05,0.9,3340.0,1.64,2.7,7.606,1.5,5.1,0.5369999999999999,0.0,-5.560327024,472.21,105.8,1.005,813.68,11.1,83.0,18574.195033509084,8.051e-05,-1.10275,26.2272,3.5,0.5,11.1,2.1,1.1839999999999995,27.8507,2484.4574,18.0021329803168,22.15,2520.0,1.05,2.5940000000000003,1.382,1.1085,94.9,3475.0,17.3,26.8,110.7,1033.93,10.691606,-5.55
42,-4.518443247,204.87054,3235.2,733.5891,737.0,3.998406432,3290.0,1749.66,4.05,0.7,2100.0,1.63,2.7,8.92,1.5,7.9,0.5349999999999999,0.0,-5.911942626,472.01,106.2,1.005,921.68,11.1,162.0,18574.150436930217,8.051e-05,-1.10275,23.3632,3.5,0.5,11.1,2.3,1.1839999999999995,28.0027,4100.4574,18.0467295591839,22.050000000000004,1720.0,1.05,2.574,1.382,1.1087,94.9,2475.0,17.3,26.8,111.9,1053.33,10.84975,-4.285
43,-3.841618313000001,175.57054,2073.2,587.0891,590.5,3.756767852,2128.0,1539.86,3.45,0.5,2320.0,1.41,2.5,5.805999999999999,0.9000000000000004,4.9,0.491,0.0,-5.250854429,471.89,108.8,1.027,689.2800000000001,10.9,73.0,18568.93122322021,8.051e-05,-1.19175,25.9892,3.7,0.5,10.9,2.5,1.2239999999999998,28.0027,2072.6574,23.2659432691915,23.17,1280.0,1.1,2.54,1.262,1.1427,87.89999999999999,1925.0,17.3,26.8,112.9,1033.13,10.666616,-4.285
44,-4.396652680000001,202.40854,2695.2,686.6891,690.1,3.504180954,2750.0,1762.06,4.05,1.0,3900.0,1.64,2.8,8.066,0.8499999999999996,6.6,0.57,0.0,-5.803623711,469.06,102.2,1.028,900.08,11.2,49.0,18574.195033509084,0.0,-0.949,26.3532,5.8,0.6666666666666666,11.2,3.0,1.178,29.9528,3295.0574,18.0021329803168,20.58,2680.0,1.03,2.624,1.45,1.0842,91.8,4133.333333333334,17.3,15.599999999999998,111.6,1039.54,10.75256,-5.911
45,-4.748268282,211.78854,3235.2,733.5891,737.0,3.61106525,3290.0,1904.86,4.05,0.8,2660.0,1.63,2.8,9.38,0.8499999999999996,9.4,0.568,0.0,-6.155239313,468.86,102.6,1.028,1008.08,11.2,128.0,18574.150436930217,0.0,-0.949,23.4892,5.8,0.6666666666666666,11.2,3.2,1.178,30.1048,4911.0574,18.0467295591839,20.480000000000004,1880.0,1.03,2.604,1.45,1.0844,91.8,2799.9999999999995,17.3,15.599999999999998,112.8,1058.94,10.910704,-5.911
46,-4.165840512,153.72854,2128.2,443.2891,446.7,3.814820936,2183.0,1494.66,4.25,0.8,2860.0,1.64,2.8,6.366,1.0499999999999998,6.6,0.57,0.0,-5.572811543,469.28,100.4,1.004,786.68,11.2,74.0,18578.35226826842,0.0,-0.949,26.4192,5.8,0.6666666666666666,11.2,3.2,1.158,30.0108,2803.0574,13.8448982209802,19.72,1600.0,0.9966666666666666,2.63,1.49,1.0626,91.8,2333.333333333333,13.8,19.1,109.4,1036.74,10.750028,-3.846
47,-4.071443348000001,182.48854,2073.2,587.0891,590.5,3.36942667,2128.0,1695.06,3.45,0.6000000000000001,2880.0,1.41,2.6,6.266,0.25,6.4,0.524,0.0,-5.494151116,468.74,105.20000000000002,1.05,775.68,11.0,39.0,18568.93122322021,0.0,-1.038,26.1152,6.000000000000001,0.6666666666666666,11.0,3.4000000000000004,1.218,30.1048,2883.2574,23.2659432691915,21.6,1440.0,1.096666666666667,2.5700000000000003,1.33,1.1184,84.8,2066.6666666666665,17.3,15.599999999999998,113.8,1038.74,10.72757,-3.846
