,phi_composition_average,AtomicNumber_min_value,AtomicWeight_min_value,k_condition,Number_min_value,BCCvolume_padiff_composition_average,ThermalExpansionCoefficient_min_value,ElectronAffinity_difference,ShearModulus_composition_average,CovalentRadius_max_value,phi_max_value,BulkModulus_min_value,NUnfilled_composition_average,ICSDVolume_max_value,BCCfermi_max_value,HeatFusion_max_value,NpValence_composition_average,valence_composition_average,NValance_composition_average,IsBoron_arithmetic_average,CovalentRadius_arithmetic_average,n_ws^third_difference,ThermalConductivity_composition_average,GSenergy_pa_composition_average,IonizationEnergy_min_value,target
11,4.824999999999998,15.0,30.973762,300.0,15.0,-4.6638690475,19.7,42.7,0.0,122.0,5.55,11.0,4.0,19.6,10.06787517,18.54,2.0,4.0,9.0,0.5,114.5,0.3399999999999998,20.4175,-4.2063821725,578.8,3.46834733
12,2.525,4.0,9.012182,300.0,4.0,-0.9325,11.3,0.0,66.0,96.0,5.05,130.0,1.0,17.3,8.09610906,7.895,2.0,2.0,4.0,0.0,81.0,0.0,100.1337,-4.2559153,899.4,1.809559715
13,4.35,33.0,74.9216,300.0,33.0,-1.4975,15.4,48.0,0.0,142.0,4.8,22.0,4.0,26.1,8.39826763,24.44,2.0,4.0,14.0,0.5,130.5,0.27,65.8,-3.6588455375,558.3,1.809559715
14,2.225,29.0,63.54600000000001,300.0,29.0,-1.955,0.0,206.3,24.0,132.0,4.45,1.9,1.0,65.1,4.378739700000001,13.6,2.5,4.5,14.0,0.0,126.0,0.0,200.561,-2.63184007875,745.4,2.650307523
15,4.725,15.0,30.973762,300.0,15.0,-4.1201190475,32.1,42.7,0.0,142.0,5.55,11.0,4.0,26.1,10.06787517,18.54,2.0,4.0,9.0,0.5,124.5,0.48,40.9175,-4.03365550125,558.3,2.650307523
16,2.05,30.0,65.38,300.0,30.0,-3.1316666665,18.8,0.0,29.5,138.0,4.1,65.0,1.0,33.9,7.95791419,17.38,2.0,4.0,14.0,0.0,130.0,0.0,59.175,-2.190651210835,869.2,1.506505032
17,2.225,29.0,63.54600000000001,300.0,29.0,-3.8225,16.5,177.0,24.0,139.0,4.45,7.7,1.0,42.5,4.49323253,13.6,2.5,4.5,14.0,0.0,135.5,0.0,200.7245,-2.59302861875,745.4,1.506505032
18,2.225,29.0,63.54600000000001,300.0,29.0,-3.8225,16.5,177.0,24.0,139.0,4.45,7.7,1.0,42.5,4.49323253,13.6,2.5,4.5,14.0,0.0,135.5,0.0,200.7245,-2.59302861875,745.4,2.57054294
19,4.25,31.0,69.723,300.0,31.0,-2.69375,11.0,72.0,10.0,139.0,4.4,42.0,4.0,30.2,8.38916182,19.79,2.0,4.0,14.0,0.5,130.5,0.05,32.45,-3.56480882125,578.8,2.57054294
20,1.725,12.0,24.305,300.0,12.0,-3.2366666665,18.8,0.0,16.5,141.0,3.45,45.0,1.0,33.9,7.95791419,17.38,2.0,4.0,9.0,0.0,139.5,0.0,79.175,-2.341787408335,737.7,1.562292864
21,2.225,17.0,35.453,300.0,17.0,-1.97375,0.0,230.5,24.0,132.0,4.45,1.1,1.0,29.0,4.378739700000001,13.6,2.5,4.5,9.0,0.0,117.0,0.0,200.50445,-2.7325442875,745.4,1.562292864
22,4.300000000000002,13.0,26.9815386,300.0,13.0,-2.015,11.0,56.0,23.0,139.0,4.4,42.0,4.0,30.2,8.38916182,19.79,2.0,4.0,9.0,0.5,130.0,0.1299999999999999,130.65,-3.93139273,577.6,2.017033339
23,5.48,7.0,14.0067,300.0,7.0,-4.353125,19.7,36.0,0.0,122.0,6.86,0.0,4.0,22.6,6.27497729,5.585,2.0,4.0,9.0,0.5,96.5,0.3399999999999998,20.31299,-5.61184825625,578.8,2.017033339
24,2.175,47.0,107.8682,300.0,47.0,-3.8925,18.9,169.60000000000005,15.0,145.0,4.35,7.7,1.0,42.5,4.49323253,11.3,2.5,4.5,14.0,0.0,142.0,0.0,214.7245,-2.1353979887500003,731.0,2.650307523
25,5.53,7.0,14.0067,300.0,7.0,-3.674375,23.1,52.0,13.0,121.0,6.86,76.0,4.0,22.6,7.76407342,10.71,2.0,4.0,4.0,0.5,96.0,0.26,118.51299,-5.978432165,577.6,2.650307523
26,4.875,13.0,26.9815386,300.0,13.0,-3.9851190475,23.1,26.700000000000006,13.0,121.0,5.55,11.0,4.0,18.9,10.06787517,18.54,2.0,4.0,4.0,0.5,114.0,0.26,118.6175,-4.57296608125,577.6,1.401400541
27,4.15,49.0,114.818,300.0,49.0,-2.15,11.0,72.0,10.0,142.0,4.4,42.0,4.0,30.2,8.39826763,19.79,2.0,4.0,14.0,0.5,140.5,0.09,52.95,-3.39208215,558.3,1.401400541
28,2.525,4.0,9.012182,300.0,4.0,-3.2766666665,11.3,0.0,74.0,138.0,5.05,65.0,1.0,33.9,8.09610906,17.38,2.0,4.0,9.0,0.0,117.0,0.0,101.175,-3.448170600835,869.2,0.439332694
29,2.025,48.0,112.411,300.0,48.0,-3.1541666665,18.8,0.0,17.5,144.0,4.05,42.0,1.0,33.9,7.95791419,17.38,2.0,4.0,14.0,0.0,141.0,0.0,49.575,-1.976738365835,867.7,0.439332694
30,2.025,34.0,78.96,300.0,34.0,-2.7975,30.8,0.0,11.35,144.0,4.05,8.3,1.0,29.8,5.61176057,6.69,2.0,4.0,14.0,0.0,132.0,0.0,49.42,-2.1414830675,867.7,1.930439595
31,2.225,17.0,35.453,300.0,17.0,-1.97375,0.0,230.5,24.0,132.0,4.45,1.1,1.0,29.0,4.378739700000001,13.6,2.5,4.5,9.0,0.0,117.0,0.0,200.50445,-2.7325442875,745.4,1.930439595
32,2.025,16.0,32.065,300.0,16.0,-5.0059375,30.8,0.0,9.5,144.0,4.05,7.7,1.0,25.7,7.76558603,6.21,2.0,4.0,9.0,0.0,124.5,0.0,48.5345,-2.454695471875,867.7,1.276461804
33,5.425,5.0,10.811,300.0,5.0,-4.7363690475,4.7,44.7,0.0,107.0,5.55,11.0,4.0,18.9,10.25960696,50.2,2.0,4.0,4.0,0.5,95.5,0.1,13.6175,-6.039103598335,800.6,1.276461804
34,5.4700000000000015,6.0,12.0107,300.0,6.0,-2.435,1.0,11.299999999999995,0.0,111.0,6.24,33.0,4.0,20.0,9.91441468,117.4,2.0,4.0,4.0,0.0,93.5,0.27,74.0,-7.31731583,786.4,0.8512583490000001
35,2.525,4.0,9.012182,300.0,4.0,-2.92,11.3,0.0,67.85,120.0,5.05,8.3,1.0,29.8,8.09610906,7.895,2.0,4.0,9.0,0.0,108.0,0.0,101.02,-3.6129153025,899.4,0.8512583490000001
36,5.53,7.0,14.0067,300.0,7.0,-3.674375,23.1,52.0,13.0,121.0,6.86,76.0,4.0,22.6,7.76407342,10.71,2.0,4.0,4.0,0.5,96.0,0.26,118.51299,-5.978432165,577.6,0.8512583490000001
37,4.825,1.0,1.00794,300.0,1.0,-1.8575,0.0,45.5,24.0,132.0,5.2,140.0,1.0,32.0,4.378739700000001,13.6,0.0,1.5,6.0,0.0,81.5,0.03,200.59075,-3.5059727925,745.4,0.8512583490000001
38,2.225,29.0,63.54600000000001,300.0,29.0,-1.955,0.0,206.3,24.0,132.0,4.45,1.9,1.0,65.1,4.378739700000001,13.6,2.5,4.5,14.0,0.0,126.0,0.0,200.561,-2.63184007875,745.4,1.511883361
39,5.38,7.0,14.0067,300.0,7.0,-3.809375,32.1,36.0,0.0,142.0,6.86,0.0,4.0,26.1,8.39826763,3.2910000000000004,2.0,4.0,9.0,0.5,106.5,0.48,40.81299,-5.4391215850000005,558.3,1.511883361
40,2.175,47.0,107.8682,300.0,47.0,-3.8925,18.9,169.60000000000005,15.0,145.0,4.35,7.7,1.0,42.5,4.49323253,11.3,2.5,4.5,14.0,0.0,142.0,0.0,214.7245,-2.1353979887500003,731.0,1.167317335
41,4.5,13.0,26.9815386,300.0,13.0,-1.3625,15.4,32.0,13.0,121.0,4.8,22.0,4.0,21.5,7.76407342,24.44,2.0,4.0,9.0,0.5,120.0,0.05,143.5,-4.1981561175,577.6,1.167317335
42,4.384166666666667,22.0,47.867,400.0,22.0,-2.6321666666666665,7.3,101.0,45.98,164.0,5.2,58.0,4.663333333333333,27.0,9.05054728,30.0,0.6666666666666666,3.67,9.336666666666666,0.0,146.75,0.51,59.83933333333333,-5.768593241366668,658.0,0.100370545
43,2.956711409395973,29.0,63.54600000000001,1000.0,29.0,-1.9228859060402683,16.5,76.66000000000003,33.13422818791946,132.0,4.45,8.3,1.335570469798658,29.8,5.61176057,13.6,1.342281879194631,3.342281879194632,12.677852348993287,0.0,126.0,0.0,267.1208053691276,-3.6102310246979865,745.4,0.100370545
44,1.66,52.0,127.6,300.0,52.0,-5.093999999799999,13.4,80.15,14.4,148.0,4.15,31.0,2.4,35.3,8.46315729,17.38,3.6,5.6,21.2,0.0,143.0,0.0,4.558,-3.474259264002,703.3,1.888740961
45,2.2186274509803923,16.0,32.065,700.0,16.0,-5.317712418300653,4.8,136.42,17.614379084967318,154.0,4.65,7.7,3.908496732026144,25.7,8.63699786,37.48,2.0915032679738563,6.0,6.0,0.0,132.66666666666669,0.04,62.2197385620915,-7.2033863968627445,652.8,1.888740961
46,1.4976190476190476,16.0,32.065,300.0,16.0,-6.692351190476191,8.6,180.42,12.190476190476188,160.0,4.15,7.7,3.571428571428571,35.3,8.46315729,14.15,2.9047619047619047,5.3809523809523805,8.809523809523807,0.0,137.66666666666669,0.3600000000000001,6.505095238095237,-4.9552874354166665,658.0,2.257678575
47,1.2936,8.0,15.9994,300.0,8.0,-1.2614,20.6,0.0,2.244,215.0,4.1,9.6,2.0,62.8,8.30350334,7.43,2.8,2.4000000000000004,9.6,0.0,155.5,0.3399999999999998,9.11604,-3.9357004778,502.9,2.257678575
48,1.25,8.0,15.9994,400.0,8.0,-1.305,7.3,0.0,9.78,195.0,4.05,110.0,2.76,56.0,4.90182207,30.0,2.4,2.44,4.84,0.0,146.25,0.7999999999999999,6.518440000000001,-4.8384070634,549.5,0.387389826
49,3.866116666666666,12.0,24.305,300.0,12.0,-1.94721,2.6,0.0,11.345333333333334,148.0,4.7,31.0,1.3323333333333331,35.3,9.91441468,50.21,0.6676666666666666,2.6676666666666664,2.6916666666666664,0.0,133.33333333333334,0.3400000000000001,153.19320333333334,-2.835036318061667,703.3,0.387389826
50,4.228571428571429,30.0,65.38,400.0,30.0,-1.8014285714285714,11.0,0.0,33.142857142857146,139.0,4.4,42.0,1.2857142857142858,30.2,8.38916182,19.79,1.2857142857142858,3.2857142857142856,13.285714285714285,0.0,130.5,0.06,76.7,-2.47315524,833.7,2.371067862
51,2.0489999999999995,52.0,127.6,400.0,52.0,-3.3290166665,18.8,160.15,10.786,146.0,4.1,43.0,3.005,33.9,8.30350334,17.38,2.995,4.995,21.995,0.3333333333333333,143.0,0.0299999999999998,18.879,-3.3783842979350003,589.3,2.371067862
52,1.6456722446624354,16.0,32.065,300.0,16.0,-7.03511925372187,13.4,152.06,4.458165031736874,203.0,4.15,3.1,2.3075591459896136,75.6,-0.05407911,11.106,3.40392383150606,5.346220427005194,14.11252163877669,0.0,152.0,0.5099999999999999,8.944437391806117,-3.8790070659451823,418.8,1.924279286
53,1.5604166666666668,16.0,32.065,400.0,16.0,-6.146861979166665,8.6,180.42,10.216666666666669,160.0,4.1,7.7,3.625,30.3,8.30350334,14.15,2.7916666666666665,5.208333333333333,9.708333333333334,0.0,137.0,0.3700000000000001,11.343770833333336,-4.7756838027864585,658.0,1.924279286
54,1.2886943620178042,52.0,127.6,700.0,52.0,-3.603068743620178,5.2,140.15,15.186943620178043,207.0,3.17,28.0,4.845697329376856,37.4,7.95791419,17.38,2.373887240356083,4.780415430267063,10.715133531157267,0.0,172.5,0.0,6.882789317507418,-3.867460915961424,538.1,1.139879086
55,4.566666666666666,27.0,58.933195,300.0,27.0,-3.2608641975308643,11.0,72.0,33.333333333333336,142.0,5.1,42.0,3.0246913580246915,30.2,8.39826763,19.79,2.2345679012345685,4.481481481481481,13.493827160493824,0.3333333333333333,135.66666666666669,0.5800000000000001,43.69876543209877,-4.831065743950617,558.3,1.139879086
56,4.200740740740741,13.0,26.9815386,700.0,13.0,-3.132962962962963,2.6,0.0,8.451851851851849,215.0,4.7,9.6,3.703703703703704,62.8,9.91441468,50.21,1.4074074074074074,3.4074074074074074,3.4074074074074074,0.25,160.5,0.69,154.895,-4.404107027592593,502.9,1.95616843
57,2.2630000000000003,8.0,15.9994,1000.0,8.0,-0.8898999999999999,4.9,371.1,39.77,141.0,4.65,45.0,2.69,23.4,7.97704267,21.0,2.0,2.96,7.209999999999999,0.0,119.5,0.56,124.4317,-5.595354350199998,652.8,1.95616843
58,1.54375,32.0,72.64,300.0,32.0,-4.727708333125,5.7,160.15,10.7,145.0,4.55,43.0,3.0,33.9,7.95791419,36.94,3.0,5.0,18.5,0.3333333333333333,134.33333333333334,0.25,20.48125,-3.10848839229375,589.3,0.8241258340000001
59,2.050125,8.0,15.9994,1000.0,8.0,-0.7871999999999999,23.1,96.1,21.47875,122.0,4.2,70.0,1.00625,17.3,7.76407342,10.71,2.00125,2.00125,8.98875,0.3333333333333333,103.0,0.0699999999999998,58.28495,-3.00152768900625,577.6,0.8241258340000001
60,1.9928571428571429,42.0,95.96,300.0,42.0,-3.693333333142857,4.8,94.15,17.714285714285715,154.0,4.65,65.0,3.7142857142857135,33.9,8.63699786,37.48,2.2857142857142856,6.0,11.714285714285715,0.0,146.0,0.0,60.485714285714295,-6.443361905240001,684.9,1.056904851
61,1.23056,8.0,15.9994,300.0,8.0,-1.30188,8.6,0.0,9.716,195.0,3.8,41.0,2.736,56.0,3.35771331,14.15,2.4,2.384,4.928,0.0,153.25,0.68,5.067240000000001,-4.69490452433328,549.5,1.056904851
62,1.4134,8.0,15.9994,700.0,8.0,-1.21978390806,9.8,0.0,17.451999999999998,192.0,4.45,17.0,2.26,44.1,7.57494268,12.91,2.4,3.02,5.62,0.0,143.25,0.7000000000000001,38.04844,-5.1004358523014,581.0,0.100370545
63,2.051,8.0,15.9994,400.0,8.0,-0.7850999999999999,23.1,96.1,21.33,122.0,4.2,70.0,1.05,17.3,7.76407342,10.71,2.01,2.01,8.91,0.3333333333333333,103.0,0.0699999999999998,59.34369999999999,-3.02345014205,577.6,0.100370545
64,2.3937500000000003,16.0,32.065,700.0,16.0,-5.0821875,4.8,104.42,17.0,154.0,5.2,7.7,3.5,25.7,8.63699786,37.48,2.0,5.625,6.5,0.0,127.66666666666669,0.02,63.222,-6.809189344375,684.9,1.298853076
65,1.5607799999999998,8.0,15.9994,300.0,8.0,-1.0022259999999998,5.7,112.1,0.0,142.0,4.55,0.0,3.1988000000000003,26.1,8.39826763,36.94,2.8012,2.4012,8.8012,0.3333333333333333,109.33333333333334,0.2000000000000001,32.7744,-3.923135012102,558.3,1.298853076
66,1.2416666666666667,8.0,15.9994,1000.0,8.0,-1.3454166666666667,7.3,0.0,8.658333333333333,195.0,4.05,110.0,2.466666666666667,56.0,4.90182207,30.0,2.333333333333333,2.3666666666666667,4.7,0.0,146.25,0.7999999999999999,5.748483333333334,-4.56863967825,549.5,2.62324929
67,1.7439285714285715,52.0,127.6,700.0,52.0,-3.130095237935714,5.2,140.15,14.771428571428574,207.0,4.15,28.0,5.092857142857143,37.4,8.46315729,17.38,2.192857142857143,4.621428571428573,11.635714285714286,0.0,164.33333333333334,0.02,7.6411428571428575,-3.9841290446206425,538.1,2.62324929
68,2.050125,8.0,15.9994,700.0,8.0,-0.7871999999999999,23.1,96.1,21.47875,122.0,4.2,70.0,1.00625,17.3,7.76407342,10.71,2.00125,2.00125,8.98875,0.3333333333333333,103.0,0.0699999999999998,58.28495,-3.00152768900625,577.6,2.57054294
69,3.5785714285714283,13.0,26.9815386,1000.0,13.0,-2.26,11.0,0.0,15.457142857142856,176.0,4.4,17.0,2.0,44.1,8.38916182,19.79,1.4285714285714286,3.4285714285714284,7.7142857142857135,0.3333333333333333,145.33333333333334,0.4799999999999999,129.9857142857143,-3.1346426907142857,577.6,2.57054294
70,1.3559799713876968,52.0,127.6,700.0,52.0,-3.4537279444921314,5.2,140.15,15.144492131616596,207.0,3.17,28.0,4.994277539341917,37.4,7.95791419,17.38,2.28898426323319,4.716738197424894,10.439198855507868,0.0,172.5,0.0,7.119456366237482,-3.9053752675007143,538.1,2.033423755
71,1.2307692307692308,8.0,15.9994,300.0,8.0,-1.3198717948717948,4.5,81.1,41.282051282051285,162.0,4.8,310.0,3.025641025641025,17.3,7.37947651,52.31,2.9743589743589745,3.025641025641025,9.589743589743591,0.0,114.0,0.0,44.81422051282051,-6.859871062692307,770.0,2.033423755
72,1.2155999999999998,8.0,15.9994,300.0,8.0,-1.2986,6.9,0.0,8.9,201.0,3.8,32.0,2.88,56.0,3.44641484,14.15,2.4,2.3600000000000003,4.880000000000001,0.0,155.5,0.68,5.0304400000000005,-4.6251682558,530.0,2.371067862
73,1.4842857142857142,51.0,121.76,400.0,51.0,-3.3910238093428564,5.2,140.15,15.257142857142856,207.0,4.4,28.0,5.0285714285714285,37.4,8.38916182,19.79,2.257142857142857,4.685714285714286,10.4,0.0,161.33333333333334,0.08,7.755714285714285,-3.9347229354779993,538.1,2.371067862
74,3.865383333333334,12.0,24.305,400.0,12.0,-1.94349,2.6,0.0,11.361333333333334,148.0,4.7,31.0,1.331,35.3,9.91441468,50.21,0.669,2.669,2.725,0.0,133.33333333333334,0.3400000000000001,153.00636333333333,-2.833101353255,703.3,1.158362492
75,1.1631999999999998,8.0,15.9994,400.0,8.0,-1.2727999999999997,7.3,0.0,9.070222222222222,215.0,4.05,9.6,2.888888888888889,62.8,4.90182207,30.0,2.6666666666666665,2.666666666666667,5.333333333333334,0.0,160.0,0.8299999999999998,13.14818888888889,-5.611564940822222,502.9,1.158362492
76,4.383333333333334,22.0,47.867,300.0,22.0,-2.631666666666667,8.6,101.0,46.0,160.0,5.2,58.0,4.666666666666666,27.0,9.05054728,17.48,0.6666666666666666,3.666666666666666,9.333333333333334,0.0,141.0,0.51,59.73333333333333,-5.76086626,658.0,0.439332694
77,1.586,8.0,15.9994,400.0,8.0,-1.1712,5.7,112.1,0.0,142.0,4.55,0.0,3.16,26.1,8.39826763,36.94,2.84,2.44,8.84,0.3333333333333333,109.33333333333334,0.2000000000000001,31.932440000000003,-3.9987654304,558.3,0.439332694
78,1.96296,8.0,15.9994,300.0,8.0,-1.0638,8.6,121.1,32.495999999999995,160.0,4.93,110.0,2.832,17.6,6.45149343,14.15,2.4,3.584,6.768000000000002,0.0,119.33333333333334,0.25,31.774040000000007,-6.16418682908,658.0,2.021189299
79,3.866483333333334,12.0,24.305,700.0,12.0,-1.94907,2.6,0.0,11.337333333333332,148.0,4.7,31.0,1.3330000000000002,35.3,9.91441468,50.21,0.667,2.667,2.675,0.0,133.33333333333334,0.3400000000000001,153.28662333333332,-2.8360038004650003,703.3,2.021189299
80,4.384166666666667,22.0,47.867,300.0,22.0,-2.6321666666666665,7.3,101.0,45.98,164.0,5.2,58.0,4.663333333333333,27.0,9.05054728,30.0,0.6666666666666666,3.67,9.336666666666666,0.0,146.75,0.51,59.83933333333333,-5.768593241366668,658.0,0.387389826
81,2.3937500000000003,16.0,32.065,1000.0,16.0,-5.0821875,4.8,104.42,17.0,154.0,5.2,7.7,3.5,25.7,8.63699786,37.48,2.0,5.625,6.5,0.0,127.66666666666669,0.02,63.222,-6.809189344375,684.9,0.387389826
82,1.56026,8.0,15.9994,400.0,8.0,-0.998742,5.7,112.1,0.0,142.0,4.55,0.0,3.1996,26.1,8.39826763,36.94,2.8004,2.4004,8.8004,0.3333333333333333,109.33333333333334,0.2000000000000001,32.791760000000004,-3.921575622034,558.3,1.938519725
83,4.2566250000000005,28.0,58.6934,700.0,28.0,-4.116497500000001,5.7,20.0,35.87800000000001,175.0,5.2,42.0,4.498500000000001,30.2,9.05054728,27.2,1.0015,3.751500000000001,12.251500000000004,0.0,150.4,0.51,61.62405000000001,-5.679871396625002,642.0,1.938519725
84,4.462941176470588,26.0,55.845,300.0,26.0,-3.1655882352941176,5.2,77.0,33.82352941176471,204.0,5.1,22.0,4.294117647058823,34.4,8.38916182,19.79,2.117647058823529,5.0,12.764705882352944,0.0,150.25,0.5800000000000001,37.85882352941177,-5.065985879705883,527.8,0.7680235879999999
85,1.4096,8.0,15.9994,400.0,8.0,-1.267416551744,7.3,0.0,16.796799999999998,176.0,4.45,17.0,2.24,44.1,8.46315729,30.0,2.424,3.008,5.6,0.0,138.6,0.7299999999999999,40.55444,-5.07263907498528,589.8,0.7680235879999999
86,3.865566666666668,12.0,24.305,300.0,12.0,-1.9444200000000005,2.6,0.0,11.357333333333337,148.0,4.7,31.0,1.3313333333333337,35.3,9.91441468,50.21,0.6686666666666667,2.6686666666666667,2.716666666666667,0.0,133.33333333333334,0.3400000000000001,153.05307333333334,-2.8335850944566667,703.3,0.0064660419999999
87,2.051,8.0,15.9994,1000.0,8.0,-0.7850999999999999,23.1,96.1,21.33,122.0,4.2,70.0,1.05,17.3,7.76407342,10.71,2.01,2.01,8.91,0.3333333333333333,103.0,0.0699999999999998,59.34369999999999,-3.02345014205,577.6,0.0064660419999999
88,2.4137500000000003,8.0,15.9994,400.0,8.0,-0.81775,8.2,371.1,46.175,142.0,5.4,45.0,1.925,23.4,7.36882436,26.59,2.0,2.9000000000000004,7.825,0.0,120.25,0.5900000000000001,138.0337,-4.96918670725,720.0,0.603871171
89,1.2475,8.0,15.9994,700.0,8.0,-1.3035,7.3,0.0,9.84,195.0,4.05,110.0,2.77,56.0,4.90182207,30.0,2.4,2.43,4.83,0.0,146.25,0.7999999999999999,6.20044,-4.8152261193,549.5,0.603871171
90,2.5935482258870564,3.0,6.941,400.0,3.0,-0.8823618190893553,13.4,81.3,37.78216891554223,128.0,5.2,11.0,1.9967016491754124,21.6,5.09579251,17.48,1.9990004997501247,2.4936531734132936,7.971314342828586,0.0,106.0,0.77,45.486506746626695,-5.139629340836582,520.0,0.429832996
91,3.657692307692308,13.0,26.9815386,400.0,13.0,-2.3607692307692307,11.0,0.0,16.076923076923073,176.0,4.4,17.0,2.1538461538461537,44.1,8.38916182,19.79,1.5384615384615383,3.5384615384615383,8.153846153846152,0.3333333333333333,145.33333333333334,0.4799999999999999,124.6,-3.2258975465384614,577.6,0.429832996
92,1.2839999999999998,8.0,15.9994,400.0,8.0,-1.103,20.6,0.0,2.1,215.0,4.1,9.6,2.0,62.8,8.30350334,7.12,2.8,2.4000000000000004,9.6,0.0,142.33333333333334,0.3399999999999998,10.900439999999998,-3.964585517,502.9,0.46834733
93,1.165,8.0,15.9994,700.0,8.0,-1.145691034484,-2.0,0.0,6.5520000000000005,196.0,4.45,17.0,4.268,44.1,7.57494268,12.91,2.4,2.248,5.964,0.0,144.25,0.7000000000000001,42.24708,-4.22701904528408,589.8,0.46834733
94,1.5604166666666668,16.0,32.065,700.0,16.0,-6.146861979166665,8.6,180.42,10.216666666666669,160.0,4.1,7.7,3.625,30.3,8.30350334,14.15,2.7916666666666665,5.208333333333333,9.708333333333334,0.0,137.0,0.3700000000000001,11.343770833333336,-4.7756838027864585,658.0,0.360744841
95,4.382298195631529,14.0,28.0855,700.0,14.0,-4.372062678062678,2.6,0.0,3.3804368471035136,215.0,5.15,9.6,3.0993352326685666,62.8,9.91441468,50.21,1.5008547008547009,3.5984805318138653,5.74624881291548,0.0,154.0,0.76,144.80645773979106,-4.6766288408917385,502.9,0.360744841
96,1.2416666666666667,8.0,15.9994,400.0,8.0,-1.3454166666666667,7.3,0.0,8.658333333333333,195.0,4.05,110.0,2.466666666666667,56.0,4.90182207,30.0,2.333333333333333,2.3666666666666667,4.7,0.0,146.25,0.7999999999999999,5.748483333333334,-4.56863967825,549.5,0.935507266
97,3.579214285714285,11.0,22.98976928,1000.0,11.0,-2.25607142857,11.0,0.0,15.43957142857143,176.0,4.4,6.3,2.0042857142857144,44.1,8.38916182,19.79,1.4285714285714286,3.4242857142857144,7.710000000000001,0.25,150.5,0.57,129.73285714285714,-3.131693741364272,495.8,0.935507266
98,3.5785714285714283,13.0,26.9815386,700.0,13.0,-2.26,11.0,0.0,15.457142857142856,176.0,4.4,17.0,2.0,44.1,8.38916182,19.79,1.4285714285714286,3.4285714285714284,7.7142857142857135,0.3333333333333333,145.33333333333334,0.4799999999999999,129.9857142857143,-3.1346426907142857,577.6,0.789580712
