,Cement (component 1)(kg in a m^3 mixture),Age (day),Water  (component 4)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),target
22,139.6,3.0,192.0,209.4,0.0,806.9,1047.0,0.0,28.02
23,139.6,180.0,192.0,209.4,0.0,806.9,1047.0,0.0,28.02
24,380.0,365.0,228.0,0.0,0.0,670.0,932.0,0.0,43.01
25,380.0,270.0,228.0,0.0,0.0,670.0,932.0,0.0,43.01
26,380.0,270.0,228.0,95.0,0.0,594.0,932.0,0.0,42.33
27,342.0,180.0,228.0,38.0,0.0,670.0,932.0,0.0,42.33
28,427.5,28.0,228.0,47.5,0.0,594.0,932.0,0.0,47.81
29,475.0,7.0,228.0,0.0,0.0,594.0,932.0,0.0,47.81
30,304.0,365.0,228.0,76.0,0.0,670.0,932.0,0.0,52.91
31,266.0,365.0,228.0,114.0,0.0,670.0,932.0,0.0,52.91
32,198.6,180.0,192.0,132.4,0.0,825.5,978.4,0.0,39.36
33,475.0,270.0,228.0,0.0,0.0,594.0,932.0,0.0,39.36
34,190.0,365.0,228.0,190.0,0.0,670.0,932.0,0.0,56.14
35,237.5,270.0,228.0,237.5,0.0,594.0,932.0,0.0,56.14
36,237.5,28.0,228.0,237.5,0.0,594.0,932.0,0.0,40.56
37,332.5,90.0,228.0,142.5,0.0,594.0,932.0,0.0,40.56
38,475.0,90.0,228.0,0.0,0.0,594.0,932.0,0.0,42.62
39,237.5,180.0,228.0,237.5,0.0,594.0,932.0,0.0,42.62
40,342.0,90.0,228.0,38.0,0.0,670.0,932.0,0.0,41.84
41,427.5,365.0,228.0,47.5,0.0,594.0,932.0,0.0,41.84
42,237.5,365.0,228.0,237.5,0.0,594.0,932.0,0.0,28.24
43,380.0,180.0,228.0,0.0,0.0,670.0,932.0,0.0,28.24
44,427.5,90.0,228.0,47.5,0.0,594.0,932.0,0.0,8.06
45,427.5,7.0,228.0,47.5,0.0,594.0,932.0,0.0,8.06
46,349.0,3.0,192.0,0.0,0.0,806.9,1047.0,0.0,44.21
47,380.0,180.0,228.0,95.0,0.0,594.0,932.0,0.0,44.21
48,237.5,7.0,228.0,237.5,0.0,594.0,932.0,0.0,52.52
49,380.0,7.0,228.0,95.0,0.0,594.0,932.0,0.0,52.52
50,332.5,180.0,228.0,142.5,0.0,594.0,932.0,0.0,53.3
51,190.0,180.0,228.0,190.0,0.0,670.0,932.0,0.0,53.3
52,237.5,90.0,228.0,237.5,0.0,594.0,932.0,0.0,41.15
53,304.0,90.0,228.0,76.0,0.0,670.0,932.0,0.0,41.15
54,139.6,7.0,192.0,209.4,0.0,806.9,1047.0,0.0,52.12
55,198.6,7.0,192.0,132.4,0.0,825.5,978.4,0.0,52.12
56,475.0,365.0,228.0,0.0,0.0,594.0,932.0,0.0,37.43
57,198.6,3.0,192.0,132.4,0.0,825.5,978.4,0.0,37.43
58,304.0,180.0,228.0,76.0,0.0,670.0,932.0,0.0,38.6
59,332.5,28.0,228.0,142.5,0.0,594.0,932.0,0.0,38.6
60,304.0,270.0,228.0,76.0,0.0,670.0,932.0,0.0,55.26
61,266.0,270.0,228.0,114.0,0.0,670.0,932.0,0.0,55.26
62,310.0,3.0,192.0,0.0,0.0,850.6,971.0,0.0,52.91
63,190.0,270.0,228.0,190.0,0.0,670.0,932.0,0.0,52.91
64,266.0,180.0,228.0,114.0,0.0,670.0,932.0,0.0,41.72
65,342.0,270.0,228.0,38.0,0.0,670.0,932.0,0.0,41.72
66,139.6,360.0,192.0,209.4,0.0,806.9,1047.0,0.0,42.13
67,332.5,7.0,228.0,142.5,0.0,594.0,932.0,0.0,42.13
68,190.0,28.0,228.0,190.0,0.0,670.0,932.0,0.0,53.69
69,485.0,28.0,146.0,0.0,0.0,800.0,1120.0,0.0,53.69
70,374.0,3.0,170.1,189.2,10.1,756.7,926.1,0.0,38.41
71,313.3,3.0,175.5,262.2,8.6,611.8,1046.9,0.0,38.41
72,425.0,3.0,153.5,106.3,16.5,887.1,852.1,0.0,30.08
73,425.0,3.0,151.4,106.3,18.6,803.7,936.0,0.0,30.08
74,375.0,3.0,126.6,93.8,23.4,992.6,852.1,0.0,37.72
75,475.0,3.0,181.1,118.8,8.9,781.5,852.1,0.0,37.72
76,469.0,3.0,137.8,117.2,32.2,840.5,852.1,0.0,42.23
77,425.0,3.0,153.5,106.3,16.5,887.1,852.1,0.0,42.23
78,388.6,3.0,157.9,97.1,12.1,925.7,852.1,0.0,36.25
79,531.3,3.0,141.8,0.0,28.2,893.7,852.1,0.0,36.25
80,425.0,3.0,153.5,106.3,16.5,887.1,852.1,0.0,50.46
81,318.8,3.0,155.7,212.5,14.3,880.4,852.1,0.0,50.46
82,401.8,3.0,147.4,94.7,11.4,852.1,946.8,0.0,43.7
83,362.6,3.0,164.9,189.0,11.6,755.8,944.7,0.0,43.7
84,323.7,3.0,183.8,282.8,10.3,659.9,942.7,0.0,39.0
85,379.5,3.0,153.9,151.2,15.9,605.0,1134.3,0.0,39.0
86,362.6,3.0,164.9,189.0,11.6,755.8,944.7,0.0,53.1
87,286.3,3.0,144.7,200.9,11.2,803.7,1004.6,0.0,53.1
88,362.6,3.0,164.9,189.0,11.6,755.8,944.7,0.0,41.54
89,439.0,3.0,186.0,177.0,11.1,707.9,884.9,0.0,41.54
90,389.9,3.0,145.9,189.0,22.0,755.8,944.7,0.0,35.08
91,362.6,3.0,164.9,189.0,11.6,755.8,944.7,0.0,35.08
92,337.9,3.0,174.9,189.0,9.5,755.8,944.7,0.0,15.05
93,374.0,7.0,170.1,189.2,10.1,756.7,926.1,0.0,15.05
94,313.3,7.0,175.5,262.2,8.6,611.8,1046.9,0.0,40.76
95,425.0,7.0,153.5,106.3,16.5,887.1,852.1,0.0,40.76
96,425.0,7.0,151.4,106.3,18.6,803.7,936.0,0.0,26.26
97,375.0,7.0,126.6,93.8,23.4,992.6,852.1,0.0,26.26
98,475.0,7.0,181.1,118.8,8.9,781.5,852.1,0.0,32.82
99,469.0,7.0,137.8,117.2,32.2,840.5,852.1,0.0,32.82
100,425.0,7.0,153.5,106.3,16.5,887.1,852.1,0.0,39.78
101,388.6,7.0,157.9,97.1,12.1,925.7,852.1,0.0,39.78
102,531.3,7.0,141.8,0.0,28.2,893.7,852.1,0.0,46.93
103,425.0,7.0,153.5,106.3,16.5,887.1,852.1,0.0,46.93
104,318.8,7.0,155.7,212.5,14.3,880.4,852.1,0.0,33.12
105,401.8,7.0,147.4,94.7,11.4,852.1,946.8,0.0,33.12
106,362.6,7.0,164.9,189.0,11.6,755.8,944.7,0.0,49.19
107,323.7,7.0,183.8,282.8,10.3,659.9,942.7,0.0,49.19
108,379.5,7.0,153.9,151.2,15.9,605.0,1134.3,0.0,14.59
109,362.6,7.0,164.9,189.0,11.6,755.8,944.7,0.0,14.59
110,286.3,7.0,144.7,200.9,11.2,803.7,1004.6,0.0,14.64
111,362.6,7.0,164.9,189.0,11.6,755.8,944.7,0.0,14.64
112,439.0,7.0,186.0,177.0,11.1,707.9,884.9,0.0,41.93
113,389.9,7.0,145.9,189.0,22.0,755.8,944.7,0.0,41.93
114,362.6,7.0,164.9,189.0,11.6,755.8,944.7,0.0,9.13
115,337.9,7.0,174.9,189.0,9.5,755.8,944.7,0.0,9.13
116,374.0,28.0,170.1,189.2,10.1,756.7,926.1,0.0,50.95
117,313.3,28.0,175.5,262.2,8.6,611.8,1046.9,0.0,50.95
118,425.0,28.0,153.5,106.3,16.5,887.1,852.1,0.0,33.02
119,425.0,28.0,151.4,106.3,18.6,803.7,936.0,0.0,33.02
120,375.0,28.0,126.6,93.8,23.4,992.6,852.1,0.0,54.38
121,475.0,28.0,181.1,118.8,8.9,781.5,852.1,0.0,54.38
122,469.0,28.0,137.8,117.2,32.2,840.5,852.1,0.0,51.73
123,425.0,28.0,153.5,106.3,16.5,887.1,852.1,0.0,51.73
124,388.6,28.0,157.9,97.1,12.1,925.7,852.1,0.0,9.87
125,531.3,28.0,141.8,0.0,28.2,893.7,852.1,0.0,9.87
126,425.0,28.0,153.5,106.3,16.5,887.1,852.1,0.0,50.66
127,318.8,28.0,155.7,212.5,14.3,880.4,852.1,0.0,50.66
128,401.8,28.0,147.4,94.7,11.4,852.1,946.8,0.0,48.7
129,362.6,28.0,164.9,189.0,11.6,755.8,944.7,0.0,48.7
130,323.7,28.0,183.8,282.8,10.3,659.9,942.7,0.0,55.06
131,379.5,28.0,153.9,151.2,15.9,605.0,1134.3,0.0,55.06
132,362.6,28.0,164.9,189.0,11.6,755.8,944.7,0.0,44.7
133,286.3,28.0,144.7,200.9,11.2,803.7,1004.6,0.0,44.7
134,362.6,28.0,164.9,189.0,11.6,755.8,944.7,0.0,30.28
135,439.0,28.0,186.0,177.0,11.1,707.9,884.9,0.0,30.28
136,389.9,28.0,145.9,189.0,22.0,755.8,944.7,0.0,40.86
137,362.6,28.0,164.9,189.0,11.6,755.8,944.7,0.0,40.86
138,337.9,28.0,174.9,189.0,9.5,755.8,944.7,0.0,71.99
139,374.0,56.0,170.1,189.2,10.1,756.7,926.1,0.0,71.99
140,313.3,56.0,175.5,262.2,8.6,611.8,1046.9,0.0,34.4
141,425.0,56.0,153.5,106.3,16.5,887.1,852.1,0.0,34.4
142,425.0,56.0,151.4,106.3,18.6,803.7,936.0,0.0,28.8
143,375.0,56.0,126.6,93.8,23.4,992.6,852.1,0.0,28.8
144,475.0,56.0,181.1,118.8,8.9,781.5,852.1,0.0,33.4
145,469.0,56.0,137.8,117.2,32.2,840.5,852.1,0.0,33.4
146,425.0,56.0,153.5,106.3,16.5,887.1,852.1,0.0,36.3
147,388.6,56.0,157.9,97.1,12.1,925.7,852.1,0.0,36.3
148,531.3,56.0,141.8,0.0,28.2,893.7,852.1,0.0,29.0
149,425.0,56.0,153.5,106.3,16.5,887.1,852.1,0.0,29.0
150,318.8,56.0,155.7,212.5,14.3,880.4,852.1,0.0,37.8
151,401.8,56.0,147.4,94.7,11.4,852.1,946.8,0.0,37.8
152,362.6,56.0,164.9,189.0,11.6,755.8,944.7,0.0,40.2
153,323.7,56.0,183.8,282.8,10.3,659.9,942.7,0.0,40.2
154,379.5,56.0,153.9,151.2,15.9,605.0,1134.3,0.0,33.4
155,362.6,56.0,164.9,189.0,11.6,755.8,944.7,0.0,33.4
156,286.3,56.0,144.7,200.9,11.2,803.7,1004.6,0.0,28.1
157,362.6,56.0,164.9,189.0,11.6,755.8,944.7,0.0,28.1
158,439.0,56.0,186.0,177.0,11.1,707.9,884.9,0.0,41.3
159,389.9,56.0,145.9,189.0,22.0,755.8,944.7,0.0,41.3
160,362.6,56.0,164.9,189.0,11.6,755.8,944.7,0.0,33.4
161,337.9,56.0,174.9,189.0,9.5,755.8,944.7,0.0,33.4
162,374.0,91.0,170.1,189.2,10.1,756.7,926.1,0.0,25.2
163,313.3,91.0,175.5,262.2,8.6,611.8,1046.9,0.0,25.2
164,425.0,91.0,153.5,106.3,16.5,887.1,852.1,0.0,41.1
165,425.0,91.0,151.4,106.3,18.6,803.7,936.0,0.0,41.1
166,375.0,91.0,126.6,93.8,23.4,992.6,852.1,0.0,35.3
167,475.0,91.0,181.1,118.8,8.9,781.5,852.1,0.0,35.3
168,469.0,91.0,137.8,117.2,32.2,840.5,852.1,0.0,28.3
169,425.0,91.0,153.5,106.3,16.5,887.1,852.1,0.0,28.3
170,388.6,91.0,157.9,97.1,12.1,925.7,852.1,0.0,28.6
171,531.3,91.0,141.8,0.0,28.2,893.7,852.1,0.0,28.6
172,425.0,91.0,153.5,106.3,16.5,887.1,852.1,0.0,35.3
173,318.8,91.0,155.7,212.5,14.3,880.4,852.1,0.0,35.3
174,401.8,91.0,147.4,94.7,11.4,852.1,946.8,0.0,24.4
175,362.6,91.0,164.9,189.0,11.6,755.8,944.7,0.0,24.4
176,379.5,91.0,153.9,151.2,15.9,605.0,1134.3,0.0,35.3
177,362.6,91.0,164.9,189.0,11.6,755.8,944.7,0.0,35.3
178,286.3,91.0,144.7,200.9,11.2,803.7,1004.6,0.0,39.3
179,362.6,91.0,164.9,189.0,11.6,755.8,944.7,0.0,39.3
180,439.0,91.0,186.0,177.0,11.1,707.9,884.9,0.0,40.6
181,389.9,91.0,145.9,189.0,22.0,755.8,944.7,0.0,40.6
182,362.6,91.0,164.9,189.0,11.6,755.8,944.7,0.0,35.3
183,337.9,91.0,174.9,189.0,9.5,755.8,944.7,0.0,35.3
184,222.4,3.0,189.3,0.0,4.5,870.3,967.1,96.7,24.1
185,222.4,14.0,189.3,0.0,4.5,870.3,967.1,96.7,24.1
186,222.4,28.0,189.3,0.0,4.5,870.3,967.1,96.7,46.2
187,222.4,56.0,189.3,0.0,4.5,870.3,967.1,96.7,46.2
188,222.4,100.0,189.3,0.0,4.5,870.3,967.1,96.7,42.8
189,233.8,3.0,197.9,0.0,4.6,852.2,947.0,94.6,42.8
190,233.8,14.0,197.9,0.0,4.6,852.2,947.0,94.6,49.2
191,233.8,28.0,197.9,0.0,4.6,852.2,947.0,94.6,49.2
192,233.8,56.0,197.9,0.0,4.6,852.2,947.0,94.6,46.8
193,233.8,100.0,197.9,0.0,4.6,852.2,947.0,94.6,46.8
194,194.7,3.0,165.6,0.0,7.5,905.9,1006.4,100.5,45.7
195,194.7,14.0,165.6,0.0,7.5,905.9,1006.4,100.5,45.7
196,194.7,28.0,165.6,0.0,7.5,905.9,1006.4,100.5,55.6
197,194.7,56.0,165.6,0.0,7.5,905.9,1006.4,100.5,55.6
198,194.7,100.0,165.6,0.0,7.5,905.9,1006.4,100.5,54.9
199,190.7,3.0,162.1,0.0,7.8,804.0,1090.0,125.4,54.9
200,190.7,14.0,162.1,0.0,7.8,804.0,1090.0,125.4,49.2
201,190.7,28.0,162.1,0.0,7.8,804.0,1090.0,125.4,49.2
202,190.7,56.0,162.1,0.0,7.8,804.0,1090.0,125.4,34.9
203,190.7,100.0,162.1,0.0,7.8,804.0,1090.0,125.4,34.9
204,212.1,3.0,180.3,0.0,5.7,779.3,1057.6,121.6,46.9
205,212.1,14.0,180.3,0.0,5.7,779.3,1057.6,121.6,46.9
206,212.1,28.0,180.3,0.0,5.7,779.3,1057.6,121.6,49.2
207,212.1,56.0,180.3,0.0,5.7,779.3,1057.6,121.6,49.2
208,212.1,100.0,180.3,0.0,5.7,779.3,1057.6,121.6,33.4
209,230.0,3.0,195.5,0.0,4.6,758.6,1029.4,118.3,33.4
210,230.0,14.0,195.5,0.0,4.6,758.6,1029.4,118.3,54.1
211,230.0,28.0,195.5,0.0,4.6,758.6,1029.4,118.3,54.1
212,230.0,56.0,195.5,0.0,4.6,758.6,1029.4,118.3,55.9
213,230.0,100.0,195.5,0.0,4.6,758.6,1029.4,118.3,55.9
214,190.3,3.0,161.9,0.0,9.9,802.6,1088.1,125.2,49.8
215,190.3,14.0,161.9,0.0,9.9,802.6,1088.1,125.2,49.8
216,190.3,28.0,161.9,0.0,9.9,802.6,1088.1,125.2,47.1
217,190.3,56.0,161.9,0.0,9.9,802.6,1088.1,125.2,47.1
218,190.3,100.0,161.9,0.0,9.9,802.6,1088.1,125.2,55.9
219,166.1,3.0,176.5,0.0,4.5,780.1,1058.6,163.3,55.9
220,166.1,14.0,176.5,0.0,4.5,780.1,1058.6,163.3,38.0
221,166.1,28.0,176.5,0.0,4.5,780.1,1058.6,163.3,38.0
222,166.1,56.0,176.5,0.0,4.5,780.1,1058.6,163.3,55.9
223,166.1,100.0,176.5,0.0,4.5,780.1,1058.6,163.3,55.9
224,168.0,3.0,121.8,42.1,5.7,780.1,1058.7,163.8,56.1
225,168.0,14.0,121.8,42.1,5.7,780.1,1058.7,163.8,56.1
226,168.0,28.0,121.8,42.1,5.7,780.1,1058.7,163.8,59.09
227,168.0,56.0,121.8,42.1,5.7,780.1,1058.7,163.8,59.09
228,168.0,100.0,121.8,42.1,5.7,780.1,1058.7,163.8,22.9
229,213.7,3.0,181.7,98.1,6.9,785.4,1065.8,24.5,22.9
230,213.7,14.0,181.7,98.1,6.9,785.4,1065.8,24.5,35.1
231,213.7,28.0,181.7,98.1,6.9,785.4,1065.8,24.5,35.1
232,213.7,56.0,181.7,98.1,6.9,785.4,1065.8,24.5,61.09
233,213.7,100.0,181.7,98.1,6.9,785.4,1065.8,24.5,61.09
234,213.8,3.0,181.7,98.1,6.7,785.5,1066.0,24.5,59.8
235,213.8,14.0,181.7,98.1,6.7,785.5,1066.0,24.5,59.8
236,213.8,28.0,181.7,98.1,6.7,785.5,1066.0,24.5,60.29
237,213.8,56.0,181.7,98.1,6.7,785.5,1066.0,24.5,60.29
238,213.8,100.0,181.7,98.1,6.7,785.5,1066.0,24.5,61.8
239,229.7,3.0,195.2,0.0,6.1,757.6,1028.1,118.2,61.8
240,229.7,14.0,195.2,0.0,6.1,757.6,1028.1,118.2,56.7
241,229.7,28.0,195.2,0.0,6.1,757.6,1028.1,118.2,56.7
242,229.7,56.0,195.2,0.0,6.1,757.6,1028.1,118.2,68.3
243,229.7,100.0,195.2,0.0,6.1,757.6,1028.1,118.2,68.3
244,238.1,3.0,186.7,0.0,7.0,847.0,949.9,94.1,66.9
245,238.1,14.0,186.7,0.0,7.0,847.0,949.9,94.1,66.9
246,238.1,28.0,186.7,0.0,7.0,847.0,949.9,94.1,60.29
247,238.1,56.0,186.7,0.0,7.0,847.0,949.9,94.1,60.29
248,238.1,100.0,186.7,0.0,7.0,847.0,949.9,94.1,50.7
249,250.0,3.0,187.4,0.0,5.5,861.2,956.9,95.7,50.7
250,250.0,14.0,187.4,0.0,5.5,861.2,956.9,95.7,56.4
251,250.0,28.0,187.4,0.0,5.5,861.2,956.9,95.7,56.4
252,250.0,56.0,187.4,0.0,5.5,861.2,956.9,95.7,60.29
253,250.0,100.0,187.4,0.0,5.5,861.2,956.9,95.7,60.29
254,212.5,3.0,159.3,0.0,8.7,903.6,1007.8,100.4,55.5
255,212.5,14.0,159.3,0.0,8.7,903.6,1007.8,100.4,55.5
256,212.5,28.0,159.3,0.0,8.7,903.6,1007.8,100.4,68.5
257,212.5,56.0,159.3,0.0,8.7,903.6,1007.8,100.4,68.5
258,212.5,100.0,159.3,0.0,8.7,903.6,1007.8,100.4,71.3
259,212.6,3.0,159.4,0.0,10.4,903.8,1003.8,100.4,71.3
260,212.6,14.0,159.4,0.0,10.4,903.8,1003.8,100.4,74.7
261,212.6,28.0,159.4,0.0,10.4,903.8,1003.8,100.4,74.7
262,212.6,56.0,159.4,0.0,10.4,903.8,1003.8,100.4,52.2
263,212.6,100.0,159.4,0.0,10.4,903.8,1003.8,100.4,52.2
264,212.0,3.0,159.0,0.0,7.8,799.5,1085.4,124.8,71.3
265,212.0,14.0,159.0,0.0,7.8,799.5,1085.4,124.8,71.3
266,212.0,28.0,159.0,0.0,7.8,799.5,1085.4,124.8,67.7
267,212.0,56.0,159.0,0.0,7.8,799.5,1085.4,124.8,67.7
268,212.0,100.0,159.0,0.0,7.8,799.5,1085.4,124.8,71.3
269,231.8,3.0,174.0,0.0,6.7,778.5,1056.4,121.6,71.3
270,231.8,14.0,174.0,0.0,6.7,778.5,1056.4,121.6,66.0
271,231.8,28.0,174.0,0.0,6.7,778.5,1056.4,121.6,66.0
272,231.8,56.0,174.0,0.0,6.7,778.5,1056.4,121.6,74.5
273,231.8,100.0,174.0,0.0,6.7,778.5,1056.4,121.6,74.5
274,251.4,3.0,188.5,0.0,5.8,757.7,1028.4,118.3,71.3
275,251.4,14.0,188.5,0.0,5.8,757.7,1028.4,118.3,71.3
276,251.4,28.0,188.5,0.0,5.8,757.7,1028.4,118.3,49.9
277,251.4,56.0,188.5,0.0,5.8,757.7,1028.4,118.3,49.9
278,251.4,100.0,188.5,0.0,5.8,757.7,1028.4,118.3,63.4
279,251.4,3.0,188.5,0.0,6.4,757.7,1028.4,118.3,63.4
280,251.4,14.0,188.5,0.0,6.4,757.7,1028.4,118.3,64.9
281,251.4,28.0,188.5,0.0,6.4,757.7,1028.4,118.3,64.9
282,251.4,56.0,188.5,0.0,6.4,757.7,1028.4,118.3,64.3
283,251.4,100.0,188.5,0.0,6.4,757.7,1028.4,118.3,64.3
284,181.4,3.0,169.6,0.0,7.6,777.8,1055.6,167.0,64.9
285,181.4,14.0,169.6,0.0,7.6,777.8,1055.6,167.0,64.9
286,181.4,28.0,169.6,0.0,7.6,777.8,1055.6,167.0,60.2
287,181.4,56.0,169.6,0.0,7.6,777.8,1055.6,167.0,60.2
288,181.4,100.0,169.6,0.0,7.6,777.8,1055.6,167.0,72.3
289,182.0,3.0,170.2,45.2,8.2,780.7,1059.4,122.0,72.3
290,182.0,14.0,170.2,45.2,8.2,780.7,1059.4,122.0,69.3
291,182.0,28.0,170.2,45.2,8.2,780.7,1059.4,122.0,69.3
292,182.0,56.0,170.2,45.2,8.2,780.7,1059.4,122.0,64.3
293,182.0,100.0,170.2,45.2,8.2,780.7,1059.4,122.0,64.3
294,168.9,3.0,158.3,42.2,10.8,796.2,1080.8,124.3,55.2
295,168.9,14.0,158.3,42.2,10.8,796.2,1080.8,124.3,55.2
296,168.9,28.0,158.3,42.2,10.8,796.2,1080.8,124.3,58.8
297,168.9,56.0,158.3,42.2,10.8,796.2,1080.8,124.3,58.8
298,168.9,100.0,158.3,42.2,10.8,796.2,1080.8,124.3,64.3
299,290.4,3.0,168.1,0.0,9.4,865.0,961.2,96.2,64.3
300,290.4,14.0,168.1,0.0,9.4,865.0,961.2,96.2,66.1
301,290.4,28.0,168.1,0.0,9.4,865.0,961.2,96.2,66.1
302,290.4,56.0,168.1,0.0,9.4,865.0,961.2,96.2,73.7
303,290.4,100.0,168.1,0.0,9.4,865.0,961.2,96.2,73.7
304,277.1,3.0,160.6,0.0,11.8,875.6,973.9,97.4,77.3
305,277.1,14.0,160.6,0.0,11.8,875.6,973.9,97.4,77.3
306,277.1,28.0,160.6,0.0,11.8,875.6,973.9,97.4,80.2
307,277.1,56.0,160.6,0.0,11.8,875.6,973.9,97.4,80.2
308,277.1,100.0,160.6,0.0,11.8,875.6,973.9,97.4,54.9
309,295.7,3.0,171.5,0.0,8.9,859.2,955.1,95.6,54.9
310,295.7,14.0,171.5,0.0,8.9,859.2,955.1,95.6,77.3
311,295.7,28.0,171.5,0.0,8.9,859.2,955.1,95.6,77.3
312,295.7,56.0,171.5,0.0,8.9,859.2,955.1,95.6,72.99
313,295.7,100.0,171.5,0.0,8.9,859.2,955.1,95.6,72.99
314,251.8,3.0,146.1,0.0,12.4,899.8,1006.0,99.9,77.3
315,251.8,14.0,146.1,0.0,12.4,899.8,1006.0,99.9,77.3
316,251.8,28.0,146.1,0.0,12.4,899.8,1006.0,99.9,71.7
317,251.8,56.0,146.1,0.0,12.4,899.8,1006.0,99.9,71.7
318,251.8,100.0,146.1,0.0,12.4,899.8,1006.0,99.9,79.4
319,249.1,3.0,158.1,0.0,12.8,889.0,987.8,98.8,79.4
320,249.1,14.0,158.1,0.0,12.8,889.0,987.8,98.8,77.3
321,249.1,28.0,158.1,0.0,12.8,889.0,987.8,98.8,77.3
322,249.1,56.0,158.1,0.0,12.8,889.0,987.8,98.8,59.89
323,249.1,100.0,158.1,0.0,12.8,889.0,987.8,98.8,59.89
324,252.3,3.0,146.3,0.0,14.2,889.0,987.8,98.8,64.9
325,252.3,14.0,146.3,0.0,14.2,889.0,987.8,98.8,64.9
326,252.3,28.0,146.3,0.0,14.2,889.0,987.8,98.8,66.6
327,252.3,56.0,146.3,0.0,14.2,889.0,987.8,98.8,66.6
328,252.3,100.0,146.3,0.0,14.2,889.0,987.8,98.8,65.2
329,246.8,3.0,143.3,0.0,12.0,800.9,1086.8,125.1,65.2
330,246.8,14.0,143.3,0.0,12.0,800.9,1086.8,125.1,66.7
331,246.8,28.0,143.3,0.0,12.0,800.9,1086.8,125.1,66.7
332,246.8,56.0,143.3,0.0,12.0,800.9,1086.8,125.1,62.5
333,246.8,100.0,143.3,0.0,12.0,800.9,1086.8,125.1,62.5
334,275.1,3.0,159.5,0.0,9.9,777.5,1053.6,121.4,74.19
335,275.1,14.0,159.5,0.0,9.9,777.5,1053.6,121.4,74.19
336,275.1,28.0,159.5,0.0,9.9,777.5,1053.6,121.4,70.7
337,275.1,56.0,159.5,0.0,9.9,777.5,1053.6,121.4,70.7
338,275.1,100.0,159.5,0.0,9.9,777.5,1053.6,121.4,65.2
339,297.2,3.0,174.8,0.0,9.5,753.5,1022.8,117.5,65.2
340,297.2,14.0,174.8,0.0,9.5,753.5,1022.8,117.5,57.6
341,297.2,28.0,174.8,0.0,9.5,753.5,1022.8,117.5,57.6
342,297.2,56.0,174.8,0.0,9.5,753.5,1022.8,117.5,59.2
343,297.2,100.0,174.8,0.0,9.5,753.5,1022.8,117.5,59.2
344,213.7,3.0,154.8,0.0,10.2,776.4,1053.5,174.7,65.2
345,213.7,14.0,154.8,0.0,10.2,776.4,1053.5,174.7,65.2
346,213.7,28.0,154.8,0.0,10.2,776.4,1053.5,174.7,68.1
347,213.7,56.0,154.8,0.0,10.2,776.4,1053.5,174.7,68.1
348,213.7,100.0,154.8,0.0,10.2,776.4,1053.5,174.7,75.5
349,213.5,3.0,154.6,0.0,11.7,775.5,1052.3,174.2,75.5
350,213.5,14.0,154.6,0.0,11.7,775.5,1052.3,174.2,79.3
351,213.5,28.0,154.6,0.0,11.7,775.5,1052.3,174.2,79.3
352,213.5,56.0,154.6,0.0,11.7,775.5,1052.3,174.2,56.5
353,213.5,100.0,154.6,0.0,11.7,775.5,1052.3,174.2,56.5
